time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2840975,1762285627.241223,ACCEL,0,0.00000,0.12000,0.06749,2840975
2840980,1762285627.342472,ACCEL,0,0.00000,0.12000,0.06749,2840980
2840985,1762285627.342542,ACCEL,1,0.00491,0.12000,0.06763,2840985
2840990,1762285627.342605,ACCEL,1,0.00491,0.12000,0.06763,2840990
2840995,1762285627.342661,ACCEL,1,0.00491,0.12000,0.06763,2840995
2841000,1762285627.342673,ACCEL,1,0.00491,0.12000,0.06763,2841000
2841005,1762285627.342681,ACCEL,1,0.00491,0.12000,0.06763,2841005
2841010,1762285627.342688,ACCEL,1,0.00491,0.12000,0.06763,2841010
2841015,1762285627.342695,ACCEL,1,0.00491,0.12000,0.06763,2841015
2841020,1762285627.342703,ACCEL,1,0.00491,0.12000,0.06763,2841020
2841025,1762285627.342709,ACCEL,2,0.00982,0.12000,0.06776,2841025
2841030,1762285627.342716,ACCEL,2,0.00982,0.12000,0.06776,2841030
2841035,1762285627.342722,ACCEL,2,0.00982,0.12000,0.06776,2841035
2841040,1762285627.342728,ACCEL,2,0.00982,0.12000,0.06776,2841040
2841045,1762285627.342735,ACCEL,2,0.00982,0.12000,0.06776,2841045
2841050,1762285627.342742,ACCEL,2,0.00982,0.12000,0.06776,2841050
2841055,1762285627.342748,ACCEL,2,0.00982,0.12000,0.06776,2841055
2841060,1762285627.342767,ACCEL,2,0.00982,0.12000,0.06776,2841060
2841065,1762285627.342814,ACCEL,3,0.01473,0.12000,0.06790,2841065
2841070,1762285627.342824,ACCEL,3,0.01473,0.12000,0.06790,2841070
2841075,1762285627.342831,ACCEL,3,0.01473,0.12000,0.06790,2841075
2841080,1762285627.342838,ACCEL,3,0.01473,0.12000,0.06790,2841080
2841085,1762285627.342844,ACCEL,3,0.01473,0.12000,0.06790,2841085
2841090,1762285627.342850,ACCEL,3,0.01473,0.12000,0.06790,2841090
2841095,1762285627.342857,ACCEL,3,0.01473,0.12000,0.06790,2841095
2841100,1762285627.342868,ACCEL,3,0.01473,0.12000,0.06790,2841100
2841105,1762285627.342874,ACCEL,4,0.01963,0.12000,0.06803,2841105
2841110,1762285627.342881,ACCEL,4,0.01963,0.12000,0.06803,2841110
2841115,1762285627.342887,ACCEL,4,0.01963,0.12000,0.06803,2841115
2841120,1762285627.342893,ACCEL,4,0.01963,0.12000,0.06803,2841120
2841125,1762285627.342899,ACCEL,4,0.01963,0.12000,0.06803,2841125
2841130,1762285627.342905,ACCEL,4,0.01963,0.12000,0.06803,2841130
2841135,1762285627.342911,ACCEL,4,0.01963,0.12000,0.06803,2841135
2841140,1762285627.342919,ACCEL,4,0.01963,0.12000,0.06803,2841140
2841145,1762285627.342925,ACCEL,4,0.01963,0.12000,0.06803,2841145
2841150,1762285627.342931,ACCEL,5,0.02454,0.12000,0.06817,2841150
2841155,1762285627.342937,ACCEL,5,0.02454,0.12000,0.06817,2841155
2841160,1762285627.342943,ACCEL,5,0.02454,0.12000,0.06817,2841160
2841165,1762285627.342949,ACCEL,5,0.02454,0.12000,0.06817,2841165
2841170,1762285627.342956,ACCEL,5,0.02454,0.12000,0.06817,2841170
2841175,1762285627.342961,ACCEL,5,0.02454,0.12000,0.06817,2841175
2841180,1762285627.342968,ACCEL,5,0.02454,0.12000,0.06817,2841180
2841185,1762285627.342974,ACCEL,5,0.02454,0.12000,0.06817,2841185
2841190,1762285627.342980,ACCEL,6,0.02945,0.12000,0.06831,2841190
2841195,1762285627.342985,ACCEL,6,0.02945,0.12000,0.06831,2841195
2841200,1762285627.342991,ACCEL,6,0.02945,0.12000,0.06831,2841200
2841205,1762285627.342997,ACCEL,6,0.02945,0.12000,0.06831,2841205
2841210,1762285627.343003,ACCEL,6,0.02945,0.12000,0.06831,2841210
2841335,1762285627.609430,ACCEL,9,0.04418,0.12000,0.06872,2841335
2841340,1762285627.609452,ACCEL,9,0.04418,0.12000,0.06872,2841340
2841345,1762285627.612570,ACCEL,9,0.04418,0.12000,0.06872,2841345
2841350,1762285627.612585,ACCEL,9,0.04418,0.12000,0.06872,2841350
2841355,1762285627.612595,ACCEL,10,0.04909,0.12000,0.06885,2841355
2841360,1762285627.612609,ACCEL,10,0.04909,0.12000,0.06885,2841360
2841365,1762285627.612617,ACCEL,10,0.04909,0.12000,0.06885,2841365
2841370,1762285627.612624,ACCEL,10,0.04909,0.12000,0.06885,2841370
2841375,1762285627.612631,ACCEL,10,0.04909,0.12000,0.06885,2841375
2841380,1762285627.612638,ACCEL,10,0.04909,0.12000,0.06885,2841380
2841385,1762285627.612645,ACCEL,10,0.04909,0.12000,0.06885,2841385
2841390,1762285627.612667,ACCEL,10,0.04909,0.12000,0.06885,2841390
2841395,1762285627.612674,ACCEL,11,0.05400,0.12000,0.06899,2841395
2841400,1762285627.612681,ACCEL,11,0.05400,0.12000,0.06899,2841400
2841405,1762285627.612688,ACCEL,11,0.05400,0.12000,0.06899,2841405
2841410,1762285627.612695,ACCEL,11,0.05400,0.12000,0.06899,2841410
2841415,1762285627.612703,ACCEL,11,0.05400,0.12000,0.06899,2841415
2841420,1762285627.612712,ACCEL,11,0.05400,0.12000,0.06899,2841420
2841425,1762285627.612719,ACCEL,11,0.05400,0.12000,0.06899,2841425
2841430,1762285627.612725,ACCEL,11,0.05400,0.12000,0.06899,2841430
2841435,1762285627.612732,ACCEL,12,0.05890,0.12000,0.06912,2841435
2841440,1762285627.612739,ACCEL,12,0.05890,0.12000,0.06912,2841440
2841445,1762285627.612746,ACCEL,12,0.05890,0.12000,0.06912,2841445
2841450,1762285627.612754,ACCEL,12,0.05890,0.12000,0.06912,2841450
2841455,1762285627.612761,ACCEL,12,0.05890,0.12000,0.06912,2841455
2841460,1762285627.612767,ACCEL,12,0.05890,0.12000,0.06912,2841460
