time_ms,time_ts,v4,v5,g4,g5
2892565,1762285679.073617,2.505646,2.511725,0.002823,0.005863
2892565,1762285679.073700,2.504366,2.512045,0.002183,0.006023
2892565,1762285679.073714,2.503406,2.512365,0.001703,0.006183
2892565,1762285679.073726,2.504046,2.511725,0.002023,0.005863
2892565,1762285679.073737,2.504046,2.512365,0.002023,0.006183
2892565,1762285679.073779,2.503726,2.511405,0.001863,0.005703
2892565,1762285679.073816,2.502766,2.511725,0.001383,0.005863
2892565,1762285679.073859,2.502126,2.513325,0.001063,0.006663
2892565,1762285679.073899,2.501806,2.512365,0.000903,0.006183
2892566,1762285679.074416,2.502446,2.512365,0.001223,0.006183
2892581,1762285679.089709,2.500846,2.513325,0.000423,0.006663
2892581,1762285679.089755,2.501486,2.513325,0.000743,0.006663
2892581,1762285679.089778,2.501166,2.512365,0.000583,0.006183
2892581,1762285679.089791,2.500846,2.512685,0.000423,0.006343
2892581,1762285679.089805,2.499566,2.514285,-0.000217,0.007142
2892581,1762285679.089816,2.498926,2.513965,-0.000537,0.006983
2892581,1762285679.089830,2.500206,2.514925,0.000103,0.007462
2892581,1762285679.089848,2.498926,2.515565,-0.000537,0.007782
2892581,1762285679.089862,2.499246,2.515565,-0.000377,0.007782
2892581,1762285679.089876,2.499246,2.515885,-0.000377,0.007942
2892598,1762285679.106725,2.498606,2.516525,-0.000697,0.008262
2892598,1762285679.106826,2.498286,2.517485,-0.000857,0.008742
2892598,1762285679.106835,2.498926,2.517165,-0.000537,0.008582
2892598,1762285679.106839,2.498926,2.517805,-0.000537,0.008902
2892598,1762285679.106886,2.498286,2.518125,-0.000857,0.009062
2892601,1762285679.110116,2.498926,2.519405,-0.000537,0.009702
2892602,1762285679.110705,2.498286,2.520685,-0.000857,0.010342
2892602,1762285679.110750,2.497326,2.521005,-0.001337,0.010502
2892602,1762285679.110758,2.497966,2.522284,-0.001017,0.011142
2892603,1762285679.111597,2.498606,2.522604,-0.000697,0.011302
