time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2487770,1762285273.474615,ACCEL,0,0.00000,0.12000,0.06749,2487770
2487775,1762285273.575535,ACCEL,0,0.00000,0.12000,0.06749,2487775
2487780,1762285273.575554,ACCEL,1,0.00491,0.12000,0.06763,2487780
2487785,1762285273.575564,ACCEL,1,0.00491,0.12000,0.06763,2487785
2487790,1762285273.575572,ACCEL,1,0.00491,0.12000,0.06763,2487790
2487795,1762285273.575579,ACCEL,1,0.00491,0.12000,0.06763,2487795
2487800,1762285273.575609,ACCEL,1,0.00491,0.12000,0.06763,2487800
2487805,1762285273.575616,ACCEL,1,0.00491,0.12000,0.06763,2487805
2487810,1762285273.575623,ACCEL,1,0.00491,0.12000,0.06763,2487810
2487815,1762285273.575630,ACCEL,1,0.00491,0.12000,0.06763,2487815
2487820,1762285273.575636,ACCEL,2,0.00982,0.12000,0.06776,2487820
2487825,1762285273.575643,ACCEL,2,0.00982,0.12000,0.06776,2487825
2487830,1762285273.575649,ACCEL,2,0.00982,0.12000,0.06776,2487830
2487835,1762285273.575655,ACCEL,2,0.00982,0.12000,0.06776,2487835
2487840,1762285273.575662,ACCEL,2,0.00982,0.12000,0.06776,2487840
2487845,1762285273.575667,ACCEL,2,0.00982,0.12000,0.06776,2487845
2487850,1762285273.575674,ACCEL,2,0.00982,0.12000,0.06776,2487850
2487855,1762285273.575680,ACCEL,2,0.00982,0.12000,0.06776,2487855
2487860,1762285273.575686,ACCEL,3,0.01473,0.12000,0.06790,2487860
2487865,1762285273.575693,ACCEL,3,0.01473,0.12000,0.06790,2487865
2487870,1762285273.575699,ACCEL,3,0.01473,0.12000,0.06790,2487870
2487875,1762285273.575705,ACCEL,3,0.01473,0.12000,0.06790,2487875
2487880,1762285273.575711,ACCEL,3,0.01473,0.12000,0.06790,2487880
2487885,1762285273.575716,ACCEL,3,0.01473,0.12000,0.06790,2487885
2487890,1762285273.575722,ACCEL,3,0.01473,0.12000,0.06790,2487890
2487895,1762285273.575735,ACCEL,3,0.01473,0.12000,0.06790,2487895
2487900,1762285273.575741,ACCEL,4,0.01963,0.12000,0.06803,2487900
2487905,1762285273.575747,ACCEL,4,0.01963,0.12000,0.06803,2487905
2487910,1762285273.575752,ACCEL,4,0.01963,0.12000,0.06803,2487910
2487915,1762285273.575758,ACCEL,4,0.01963,0.12000,0.06803,2487915
2487920,1762285273.575764,ACCEL,4,0.01963,0.12000,0.06803,2487920
2487925,1762285273.575770,ACCEL,4,0.01963,0.12000,0.06803,2487925
2487930,1762285273.575775,ACCEL,4,0.01963,0.12000,0.06803,2487930
2487935,1762285273.575783,ACCEL,4,0.01963,0.12000,0.06803,2487935
2487940,1762285273.575788,ACCEL,4,0.01963,0.12000,0.06803,2487940
2487945,1762285273.575794,ACCEL,5,0.02454,0.12000,0.06817,2487945
2487950,1762285273.575800,ACCEL,5,0.02454,0.12000,0.06817,2487950
2487955,1762285273.575806,ACCEL,5,0.02454,0.12000,0.06817,2487955
2487960,1762285273.575812,ACCEL,5,0.02454,0.12000,0.06817,2487960
2487965,1762285273.575817,ACCEL,5,0.02454,0.12000,0.06817,2487965
2487970,1762285273.575823,ACCEL,5,0.02454,0.12000,0.06817,2487970
2487975,1762285273.575829,ACCEL,5,0.02454,0.12000,0.06817,2487975
2487980,1762285273.575835,ACCEL,5,0.02454,0.12000,0.06817,2487980
2487985,1762285273.575840,ACCEL,6,0.02945,0.12000,0.06831,2487985
2487990,1762285273.575853,ACCEL,6,0.02945,0.12000,0.06831,2487990
2487995,1762285273.575859,ACCEL,6,0.02945,0.12000,0.06831,2487995
2488000,1762285273.575865,ACCEL,6,0.02945,0.12000,0.06831,2488000
2488005,1762285273.575871,ACCEL,6,0.02945,0.12000,0.06831,2488005
2488120,1762285273.835016,ACCEL,9,0.04418,0.12000,0.06872,2488120
2488125,1762285273.835045,ACCEL,9,0.04418,0.12000,0.06872,2488125
2488130,1762285273.838159,ACCEL,9,0.04418,0.12000,0.06872,2488130
2488135,1762285273.838172,ACCEL,9,0.04418,0.12000,0.06872,2488135
2488140,1762285273.838181,ACCEL,9,0.04418,0.12000,0.06872,2488140
2488145,1762285273.838190,ACCEL,9,0.04418,0.12000,0.06872,2488145
2488150,1762285273.838198,ACCEL,10,0.04909,0.12000,0.06885,2488150
2488155,1762285273.838205,ACCEL,10,0.04909,0.12000,0.06885,2488155
2488160,1762285273.838212,ACCEL,10,0.04909,0.12000,0.06885,2488160
2488165,1762285273.838219,ACCEL,10,0.04909,0.12000,0.06885,2488165
2488170,1762285273.838226,ACCEL,10,0.04909,0.12000,0.06885,2488170
2488175,1762285273.838236,ACCEL,10,0.04909,0.12000,0.06885,2488175
2488180,1762285273.838242,ACCEL,10,0.04909,0.12000,0.06885,2488180
2488185,1762285273.838249,ACCEL,10,0.04909,0.12000,0.06885,2488185
2488190,1762285273.838255,ACCEL,11,0.05400,0.12000,0.06899,2488190
2488195,1762285273.838261,ACCEL,11,0.05400,0.12000,0.06899,2488195
2488200,1762285273.838267,ACCEL,11,0.05400,0.12000,0.06899,2488200
2488205,1762285273.838276,ACCEL,11,0.05400,0.12000,0.06899,2488205
2488210,1762285273.838282,ACCEL,11,0.05400,0.12000,0.06899,2488210
2488215,1762285273.838289,ACCEL,11,0.05400,0.12000,0.06899,2488215
2488220,1762285273.838295,ACCEL,11,0.05400,0.12000,0.06899,2488220
2488225,1762285273.838301,ACCEL,11,0.05400,0.12000,0.06899,2488225
2488230,1762285273.838307,ACCEL,12,0.05890,0.12000,0.06912,2488230
2488235,1762285273.838314,ACCEL,12,0.05890,0.12000,0.06912,2488235
2488240,1762285273.838320,ACCEL,12,0.05890,0.12000,0.06912,2488240
2488245,1762285273.838326,ACCEL,12,0.05890,0.12000,0.06912,2488245
2488250,1762285273.838332,ACCEL,12,0.05890,0.12000,0.06912,2488250
2488255,1762285273.838338,ACCEL,12,0.05890,0.12000,0.06912,2488255
2488260,1762285273.838344,ACCEL,12,0.05890,0.12000,0.06912,2488260
2488265,1762285273.838352,ACCEL,12,0.05890,0.12000,0.06912,2488265
2488270,1762285273.838358,ACCEL,13,0.06381,0.12000,0.06926,2488270
2488275,1762285273.838364,ACCEL,13,0.06381,0.12000,0.06926,2488275
2488280,1762285273.838371,ACCEL,13,0.06381,0.12000,0.06926,2488280
2488285,1762285273.838377,ACCEL,13,0.06381,0.12000,0.06926,2488285
2488290,1762285273.838383,ACCEL,13,0.06381,0.12000,0.06926,2488290
2488295,1762285273.838391,ACCEL,13,0.06381,0.12000,0.06926,2488295
2488300,1762285273.838397,ACCEL,13,0.06381,0.12000,0.06926,2488300
2488305,1762285273.838404,ACCEL,13,0.06381,0.12000,0.06926,2488305
2488310,1762285273.838410,ACCEL,14,0.06872,0.12000,0.06940,2488310
2488315,1762285273.838416,ACCEL,14,0.06872,0.12000,0.06940,2488315
2488320,1762285273.838422,ACCEL,14,0.06872,0.12000,0.06940,2488320
2488325,1762285273.838428,ACCEL,14,0.06872,0.12000,0.06940,2488325
2488330,1762285273.838434,ACCEL,14,0.06872,0.12000,0.06940,2488330
2488335,1762285273.838440,ACCEL,14,0.06872,0.12000,0.06940,2488335
2488340,1762285273.838445,ACCEL,14,0.06872,0.12000,0.06940,2488340
2488345,1762285273.838453,ACCEL,14,0.06872,0.12000,0.06940,2488345
2488350,1762285273.838459,ACCEL,15,0.07363,0.12000,0.06953,2488350
2488355,1762285273.838465,ACCEL,15,0.07363,0.12000,0.06953,2488355
2488360,1762285273.838471,ACCEL,15,0.07363,0.12000,0.06953,2488360
2488365,1762285273.838477,ACCEL,15,0.07363,0.12000,0.06953,2488365
2488385,1762285274.124268,ACCEL,15,0.07363,0.12000,0.06953,2488385
2488390,1762285274.124293,ACCEL,15,0.07363,0.12000,0.06953,2488390
2488395,1762285274.124592,ACCEL,16,0.07854,0.12000,0.06967,2488395
2488400,1762285274.124603,ACCEL,16,0.07854,0.12000,0.06967,2488400
2488405,1762285274.124612,ACCEL,16,0.07854,0.12000,0.06967,2488405
2488410,1762285274.124620,ACCEL,16,0.07854,0.12000,0.06967,2488410
2488415,1762285274.124629,ACCEL,16,0.07854,0.12000,0.06967,2488415
2488420,1762285274.124637,ACCEL,16,0.07854,0.12000,0.06967,2488420
2488425,1762285274.124645,ACCEL,16,0.07854,0.12000,0.06967,2488425
2488430,1762285274.124653,ACCEL,16,0.07854,0.12000,0.06967,2488430
2488435,1762285274.124660,ACCEL,17,0.08345,0.12000,0.06980,2488435
2488440,1762285274.124671,ACCEL,17,0.08345,0.12000,0.06980,2488440
2488445,1762285274.124678,ACCEL,17,0.08345,0.12000,0.06980,2488445
2488450,1762285274.124686,ACCEL,17,0.08345,0.12000,0.06980,2488450
2488455,1762285274.124693,ACCEL,17,0.08345,0.12000,0.06980,2488455
2488460,1762285274.124700,ACCEL,17,0.08345,0.12000,0.06980,2488460
2488465,1762285274.124708,ACCEL,17,0.08345,0.12000,0.06980,2488465
2488470,1762285274.124715,ACCEL,17,0.08345,0.12000,0.06980,2488470
2488475,1762285274.124722,ACCEL,18,0.08836,0.12000,0.06994,2488475
2488480,1762285274.124730,ACCEL,18,0.08836,0.12000,0.06994,2488480
2488485,1762285274.124737,ACCEL,18,0.08836,0.12000,0.06994,2488485
2488490,1762285274.124744,ACCEL,18,0.08836,0.12000,0.06994,2488490
2488495,1762285274.124755,ACCEL,18,0.08836,0.12000,0.06994,2488495
2488500,1762285274.124763,ACCEL,18,0.08836,0.12000,0.06994,2488500
2488505,1762285274.124771,ACCEL,18,0.08836,0.12000,0.06994,2488505
2488510,1762285274.124778,ACCEL,18,0.08836,0.12000,0.06994,2488510
2488515,1762285274.124785,ACCEL,19,0.09327,0.12000,0.07008,2488515
2488520,1762285274.124793,ACCEL,19,0.09327,0.12000,0.07008,2488520
2488525,1762285274.124801,ACCEL,19,0.09327,0.12000,0.07008,2488525
2488530,1762285274.124809,ACCEL,19,0.09327,0.12000,0.07008,2488530
2488535,1762285274.124816,ACCEL,19,0.09327,0.12000,0.07008,2488535
2488540,1762285274.124825,ACCEL,19,0.09327,0.12000,0.07008,2488540
2488545,1762285274.124832,ACCEL,19,0.09327,0.12000,0.07008,2488545
2488550,1762285274.124839,ACCEL,19,0.09327,0.12000,0.07008,2488550
2488555,1762285274.124846,ACCEL,20,0.09817,0.12000,0.07021,2488555
2488560,1762285274.124853,ACCEL,20,0.09817,0.12000,0.07021,2488560
2488565,1762285274.124861,ACCEL,20,0.09817,0.12000,0.07021,2488565
2488570,1762285274.124868,ACCEL,20,0.09817,0.12000,0.07021,2488570
2488575,1762285274.124875,ACCEL,20,0.09817,0.12000,0.07021,2488575
2488580,1762285274.124921,ACCEL,20,0.09817,0.12000,0.07021,2488580
2488585,1762285274.124929,ACCEL,20,0.09817,0.12000,0.07021,2488585
2488590,1762285274.124936,ACCEL,20,0.09817,0.12000,0.07021,2488590
2488595,1762285274.124943,ACCEL,20,0.09817,0.12000,0.07021,2488595
2488600,1762285274.124950,ACCEL,21,0.10308,0.12000,0.07035,2488600
