time_ms,time_ts,v4,v5,g4,g5
2596980,1762285383.012268,2.503726,2.511405,0.001863,0.005703
2596981,1762285383.012326,2.502766,2.512365,0.001383,0.006183
2596981,1762285383.012342,2.502766,2.511405,0.001383,0.005703
2596981,1762285383.012352,2.502766,2.510445,0.001383,0.005223
2596981,1762285383.012361,2.502126,2.511725,0.001063,0.005863
2596981,1762285383.012459,2.502446,2.512045,0.001223,0.006023
2596981,1762285383.012539,2.501166,2.511725,0.000583,0.005863
2596981,1762285383.012567,2.502126,2.511725,0.001063,0.005863
2596981,1762285383.012590,2.502126,2.512045,0.001063,0.006023
2596981,1762285383.013203,2.500526,2.512045,0.000263,0.006023
2596997,1762285383.028686,2.501166,2.511085,0.000583,0.005543
2596997,1762285383.028720,2.500846,2.510765,0.000423,0.005383
2596997,1762285383.028732,2.501166,2.511085,0.000583,0.005543
2596997,1762285383.028761,2.500206,2.512045,0.000103,0.006023
2596997,1762285383.028776,2.500526,2.510445,0.000263,0.005223
2596997,1762285383.028799,2.500846,2.511085,0.000423,0.005543
2596997,1762285383.028813,2.499566,2.511405,-0.000217,0.005703
2596997,1762285383.028838,2.498926,2.511085,-0.000537,0.005543
2596997,1762285383.028854,2.500206,2.511085,0.000103,0.005543
2596997,1762285383.028879,2.498606,2.511725,-0.000697,0.005863
2597012,1762285383.043607,2.499566,2.511405,-0.000217,0.005703
2597012,1762285383.043643,2.499566,2.511405,-0.000217,0.005703
2597012,1762285383.043648,2.499246,2.512045,-0.000377,0.006023
2597012,1762285383.043652,2.498606,2.510765,-0.000697,0.005383
2597012,1762285383.043655,2.498926,2.512045,-0.000537,0.006023
2597012,1762285383.043660,2.498926,2.512365,-0.000537,0.006183
2597012,1762285383.043663,2.498286,2.511725,-0.000857,0.005863
2597012,1762285383.043668,2.498926,2.512365,-0.000537,0.006183
2597012,1762285383.043671,2.498926,2.512685,-0.000537,0.006343
2597012,1762285383.043674,2.499566,2.512685,-0.000217,0.006343
2597027,1762285383.058731,2.498926,2.512685,-0.000537,0.006343
2597028,1762285383.059960,2.499566,2.513325,-0.000217,0.006663
2597028,1762285383.060008,2.498606,2.513005,-0.000697,0.006503
2597028,1762285383.060059,2.498606,2.514285,-0.000697,0.007142
2597028,1762285383.060067,2.498606,2.513325,-0.000697,0.006663
2597028,1762285383.060073,2.498926,2.514285,-0.000537,0.007142
2597028,1762285383.060079,2.498286,2.514925,-0.000857,0.007462
2597028,1762285383.060084,2.499246,2.514925,-0.000377,0.007462
2597028,1762285383.060097,2.499246,2.515565,-0.000377,0.007782
2597028,1762285383.060130,2.499566,2.516205,-0.000217,0.008102
2597034,1762285383.065885,2.498606,2.516845,-0.000697,0.008422
2597034,1762285383.065935,2.499566,2.515885,-0.000217,0.007942
2597034,1762285383.065943,2.499886,2.517165,-0.000057,0.008582
