time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2596965,1762285382.838841,ACCEL,0,0.00000,0.12000,0.06749,2596965
2596970,1762285382.941804,ACCEL,0,0.00000,0.12000,0.06749,2596970
2596975,1762285382.941825,ACCEL,1,0.00491,0.12000,0.06763,2596975
2596980,1762285382.941837,ACCEL,1,0.00491,0.12000,0.06763,2596980
2596985,1762285382.941847,ACCEL,1,0.00491,0.12000,0.06763,2596985
2596990,1762285382.941856,ACCEL,1,0.00491,0.12000,0.06763,2596990
2596995,1762285382.941864,ACCEL,1,0.00491,0.12000,0.06763,2596995
2597000,1762285382.941872,ACCEL,1,0.00491,0.12000,0.06763,2597000
2597005,1762285382.941880,ACCEL,1,0.00491,0.12000,0.06763,2597005
2597010,1762285382.941888,ACCEL,1,0.00491,0.12000,0.06763,2597010
2597015,1762285382.941896,ACCEL,2,0.00982,0.12000,0.06776,2597015
2597020,1762285382.941904,ACCEL,2,0.00982,0.12000,0.06776,2597020
2597025,1762285382.941911,ACCEL,2,0.00982,0.12000,0.06776,2597025
2597030,1762285382.941919,ACCEL,2,0.00982,0.12000,0.06776,2597030
2597035,1762285382.941926,ACCEL,2,0.00982,0.12000,0.06776,2597035
2597040,1762285382.941935,ACCEL,2,0.00982,0.12000,0.06776,2597040
2597045,1762285382.941944,ACCEL,2,0.00982,0.12000,0.06776,2597045
2597050,1762285382.941952,ACCEL,2,0.00982,0.12000,0.06776,2597050
2597055,1762285382.941959,ACCEL,3,0.01473,0.12000,0.06790,2597055
2597060,1762285382.941967,ACCEL,3,0.01473,0.12000,0.06790,2597060
2597065,1762285382.941974,ACCEL,3,0.01473,0.12000,0.06790,2597065
2597070,1762285382.941985,ACCEL,3,0.01473,0.12000,0.06790,2597070
2597075,1762285382.941992,ACCEL,3,0.01473,0.12000,0.06790,2597075
2597080,1762285382.942000,ACCEL,3,0.01473,0.12000,0.06790,2597080
2597085,1762285382.942007,ACCEL,3,0.01473,0.12000,0.06790,2597085
2597090,1762285382.942015,ACCEL,3,0.01473,0.12000,0.06790,2597090
2597095,1762285382.942022,ACCEL,4,0.01963,0.12000,0.06803,2597095
2597100,1762285382.942029,ACCEL,4,0.01963,0.12000,0.06803,2597100
2597105,1762285382.942037,ACCEL,4,0.01963,0.12000,0.06803,2597105
2597110,1762285382.942044,ACCEL,4,0.01963,0.12000,0.06803,2597110
2597115,1762285382.942051,ACCEL,4,0.01963,0.12000,0.06803,2597115
2597120,1762285382.942059,ACCEL,4,0.01963,0.12000,0.06803,2597120
2597125,1762285382.942065,ACCEL,4,0.01963,0.12000,0.06803,2597125
2597130,1762285382.942074,ACCEL,4,0.01963,0.12000,0.06803,2597130
2597135,1762285382.942081,ACCEL,4,0.01963,0.12000,0.06803,2597135
2597140,1762285382.942089,ACCEL,5,0.02454,0.12000,0.06817,2597140
2597145,1762285382.942097,ACCEL,5,0.02454,0.12000,0.06817,2597145
2597150,1762285382.942104,ACCEL,5,0.02454,0.12000,0.06817,2597150
2597155,1762285382.942111,ACCEL,5,0.02454,0.12000,0.06817,2597155
2597160,1762285382.942118,ACCEL,5,0.02454,0.12000,0.06817,2597160
2597165,1762285382.942137,ACCEL,5,0.02454,0.12000,0.06817,2597165
2597170,1762285382.942189,ACCEL,5,0.02454,0.12000,0.06817,2597170
2597175,1762285382.942208,ACCEL,5,0.02454,0.12000,0.06817,2597175
2597180,1762285382.942219,ACCEL,6,0.02945,0.12000,0.06831,2597180
2597185,1762285382.942229,ACCEL,6,0.02945,0.12000,0.06831,2597185
2597190,1762285382.942237,ACCEL,6,0.02945,0.12000,0.06831,2597190
2597195,1762285382.942244,ACCEL,6,0.02945,0.12000,0.06831,2597195
2597200,1762285382.942254,ACCEL,6,0.02945,0.12000,0.06831,2597200
2597325,1762285383.208632,ACCEL,9,0.04418,0.12000,0.06872,2597325
2597330,1762285383.208656,ACCEL,9,0.04418,0.12000,0.06872,2597330
2597335,1762285383.211782,ACCEL,9,0.04418,0.12000,0.06872,2597335
