time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2649291,1762285435.246440,ACCEL,0,0.00000,0.12000,0.06749,2649291
2649296,1762285435.347321,ACCEL,0,0.00000,0.12000,0.06749,2649296
2649301,1762285435.347340,ACCEL,1,0.00491,0.12000,0.06763,2649301
2649306,1762285435.347351,ACCEL,1,0.00491,0.12000,0.06763,2649306
2649311,1762285435.347358,ACCEL,1,0.00491,0.12000,0.06763,2649311
2649316,1762285435.347365,ACCEL,1,0.00491,0.12000,0.06763,2649316
2649321,1762285435.347372,ACCEL,1,0.00491,0.12000,0.06763,2649321
2649326,1762285435.347380,ACCEL,1,0.00491,0.12000,0.06763,2649326
2649331,1762285435.347424,ACCEL,1,0.00491,0.12000,0.06763,2649331
2649336,1762285435.347433,ACCEL,1,0.00491,0.12000,0.06763,2649336
2649341,1762285435.347440,ACCEL,2,0.00982,0.12000,0.06776,2649341
2649346,1762285435.347448,ACCEL,2,0.00982,0.12000,0.06776,2649346
2649351,1762285435.347456,ACCEL,2,0.00982,0.12000,0.06776,2649351
2649356,1762285435.347463,ACCEL,2,0.00982,0.12000,0.06776,2649356
2649361,1762285435.347471,ACCEL,2,0.00982,0.12000,0.06776,2649361
2649366,1762285435.347478,ACCEL,2,0.00982,0.12000,0.06776,2649366
2649371,1762285435.347486,ACCEL,2,0.00982,0.12000,0.06776,2649371
2649376,1762285435.347493,ACCEL,2,0.00982,0.12000,0.06776,2649376
2649381,1762285435.347509,ACCEL,3,0.01473,0.12000,0.06790,2649381
2649386,1762285435.347515,ACCEL,3,0.01473,0.12000,0.06790,2649386
2649391,1762285435.347521,ACCEL,3,0.01473,0.12000,0.06790,2649391
2649396,1762285435.347529,ACCEL,3,0.01473,0.12000,0.06790,2649396
2649401,1762285435.347535,ACCEL,3,0.01473,0.12000,0.06790,2649401
2649406,1762285435.347555,ACCEL,3,0.01473,0.12000,0.06790,2649406
2649411,1762285435.347563,ACCEL,3,0.01473,0.12000,0.06790,2649411
2649416,1762285435.347571,ACCEL,3,0.01473,0.12000,0.06790,2649416
2649421,1762285435.347578,ACCEL,4,0.01963,0.12000,0.06803,2649421
2649426,1762285435.347586,ACCEL,4,0.01963,0.12000,0.06803,2649426
2649431,1762285435.347593,ACCEL,4,0.01963,0.12000,0.06803,2649431
2649436,1762285435.347600,ACCEL,4,0.01963,0.12000,0.06803,2649436
2649441,1762285435.347608,ACCEL,4,0.01963,0.12000,0.06803,2649441
2649446,1762285435.347615,ACCEL,4,0.01963,0.12000,0.06803,2649446
2649451,1762285435.347623,ACCEL,4,0.01963,0.12000,0.06803,2649451
2649456,1762285435.347631,ACCEL,4,0.01963,0.12000,0.06803,2649456
2649461,1762285435.347638,ACCEL,4,0.01963,0.12000,0.06803,2649461
2649466,1762285435.347645,ACCEL,5,0.02454,0.12000,0.06817,2649466
2649471,1762285435.347652,ACCEL,5,0.02454,0.12000,0.06817,2649471
2649476,1762285435.347659,ACCEL,5,0.02454,0.12000,0.06817,2649476
2649481,1762285435.347666,ACCEL,5,0.02454,0.12000,0.06817,2649481
2649486,1762285435.347673,ACCEL,5,0.02454,0.12000,0.06817,2649486
2649491,1762285435.347679,ACCEL,5,0.02454,0.12000,0.06817,2649491
2649496,1762285435.347687,ACCEL,5,0.02454,0.12000,0.06817,2649496
2649501,1762285435.347695,ACCEL,5,0.02454,0.12000,0.06817,2649501
2649506,1762285435.347701,ACCEL,6,0.02945,0.12000,0.06831,2649506
2649511,1762285435.347708,ACCEL,6,0.02945,0.12000,0.06831,2649511
2649516,1762285435.347715,ACCEL,6,0.02945,0.12000,0.06831,2649516
2649521,1762285435.347722,ACCEL,6,0.02945,0.12000,0.06831,2649521
2649526,1762285435.347729,ACCEL,6,0.02945,0.12000,0.06831,2649526
2649641,1762285435.606816,ACCEL,9,0.04418,0.12000,0.06872,2649641
2649646,1762285435.606842,ACCEL,9,0.04418,0.12000,0.06872,2649646
2649651,1762285435.610900,ACCEL,9,0.04418,0.12000,0.06872,2649651
2649656,1762285435.613694,ACCEL,9,0.04418,0.12000,0.06872,2649656
2649661,1762285435.614219,ACCEL,9,0.04418,0.12000,0.06872,2649661
2649666,1762285435.614241,ACCEL,9,0.04418,0.12000,0.06872,2649666
2649671,1762285435.614284,ACCEL,10,0.04909,0.12000,0.06885,2649671
2649676,1762285435.614304,ACCEL,10,0.04909,0.12000,0.06885,2649676
2649681,1762285435.614315,ACCEL,10,0.04909,0.12000,0.06885,2649681
2649686,1762285435.614323,ACCEL,10,0.04909,0.12000,0.06885,2649686
2649691,1762285435.614332,ACCEL,10,0.04909,0.12000,0.06885,2649691
2649696,1762285435.614340,ACCEL,10,0.04909,0.12000,0.06885,2649696
2649701,1762285435.614348,ACCEL,10,0.04909,0.12000,0.06885,2649701
2649706,1762285435.614356,ACCEL,10,0.04909,0.12000,0.06885,2649706
2649711,1762285435.614363,ACCEL,11,0.05400,0.12000,0.06899,2649711
2649716,1762285435.614371,ACCEL,11,0.05400,0.12000,0.06899,2649716
2649721,1762285435.614378,ACCEL,11,0.05400,0.12000,0.06899,2649721
2649726,1762285435.614388,ACCEL,11,0.05400,0.12000,0.06899,2649726
2649731,1762285435.614395,ACCEL,11,0.05400,0.12000,0.06899,2649731
2649736,1762285435.614403,ACCEL,11,0.05400,0.12000,0.06899,2649736
2649741,1762285435.614410,ACCEL,11,0.05400,0.12000,0.06899,2649741
2649746,1762285435.614416,ACCEL,11,0.05400,0.12000,0.06899,2649746
2649751,1762285435.615220,ACCEL,12,0.05890,0.12000,0.06912,2649751
2649756,1762285435.615247,ACCEL,12,0.05890,0.12000,0.06912,2649756
2649761,1762285435.615260,ACCEL,12,0.05890,0.12000,0.06912,2649761
2649766,1762285435.615270,ACCEL,12,0.05890,0.12000,0.06912,2649766
2649771,1762285435.615314,ACCEL,12,0.05890,0.12000,0.06912,2649771
2649776,1762285435.615321,ACCEL,12,0.05890,0.12000,0.06912,2649776
2649781,1762285435.615339,ACCEL,12,0.05890,0.12000,0.06912,2649781
2649786,1762285435.615358,ACCEL,12,0.05890,0.12000,0.06912,2649786
2649791,1762285435.615367,ACCEL,13,0.06381,0.12000,0.06926,2649791
2649796,1762285435.615376,ACCEL,13,0.06381,0.12000,0.06926,2649796
2649801,1762285435.615403,ACCEL,13,0.06381,0.12000,0.06926,2649801
2649806,1762285435.615412,ACCEL,13,0.06381,0.12000,0.06926,2649806
2649811,1762285435.615419,ACCEL,13,0.06381,0.12000,0.06926,2649811
2649816,1762285435.615426,ACCEL,13,0.06381,0.12000,0.06926,2649816
2649821,1762285435.615433,ACCEL,13,0.06381,0.12000,0.06926,2649821
2649826,1762285435.615441,ACCEL,13,0.06381,0.12000,0.06926,2649826
2649831,1762285435.615449,ACCEL,14,0.06872,0.12000,0.06940,2649831
2649836,1762285435.615457,ACCEL,14,0.06872,0.12000,0.06940,2649836
2649841,1762285435.615464,ACCEL,14,0.06872,0.12000,0.06940,2649841
2649846,1762285435.615472,ACCEL,14,0.06872,0.12000,0.06940,2649846
2649851,1762285435.615480,ACCEL,14,0.06872,0.12000,0.06940,2649851
2649856,1762285435.615487,ACCEL,14,0.06872,0.12000,0.06940,2649856
2649861,1762285435.615495,ACCEL,14,0.06872,0.12000,0.06940,2649861
2649866,1762285435.615505,ACCEL,14,0.06872,0.12000,0.06940,2649866
2649871,1762285435.615513,ACCEL,15,0.07363,0.12000,0.06953,2649871
2649876,1762285435.615520,ACCEL,15,0.07363,0.12000,0.06953,2649876
2649881,1762285435.615528,ACCEL,15,0.07363,0.12000,0.06953,2649881
2649886,1762285435.615535,ACCEL,15,0.07363,0.12000,0.06953,2649886
2649911,1762285435.894660,ACCEL,15,0.07363,0.12000,0.06953,2649911
2649916,1762285435.894678,ACCEL,16,0.07854,0.12000,0.06967,2649916
2649921,1762285435.894740,ACCEL,16,0.07854,0.12000,0.06967,2649921
2649926,1762285435.894749,ACCEL,16,0.07854,0.12000,0.06967,2649926
2649931,1762285435.894757,ACCEL,16,0.07854,0.12000,0.06967,2649931
2649936,1762285435.894764,ACCEL,16,0.07854,0.12000,0.06967,2649936
2649941,1762285435.894771,ACCEL,16,0.07854,0.12000,0.06967,2649941
2649946,1762285435.894777,ACCEL,16,0.07854,0.12000,0.06967,2649946
2649951,1762285435.894784,ACCEL,16,0.07854,0.12000,0.06967,2649951
2649956,1762285435.894791,ACCEL,17,0.08345,0.12000,0.06980,2649956
2649961,1762285435.894798,ACCEL,17,0.08345,0.12000,0.06980,2649961
2649966,1762285435.894807,ACCEL,17,0.08345,0.12000,0.06980,2649966
2649971,1762285435.894814,ACCEL,17,0.08345,0.12000,0.06980,2649971
2649976,1762285435.894820,ACCEL,17,0.08345,0.12000,0.06980,2649976
2649981,1762285435.894827,ACCEL,17,0.08345,0.12000,0.06980,2649981
2649986,1762285435.894834,ACCEL,17,0.08345,0.12000,0.06980,2649986
2649991,1762285435.894840,ACCEL,17,0.08345,0.12000,0.06980,2649991
2649996,1762285435.894846,ACCEL,18,0.08836,0.12000,0.06994,2649996
2650001,1762285435.894852,ACCEL,18,0.08836,0.12000,0.06994,2650001
2650006,1762285435.894859,ACCEL,18,0.08836,0.12000,0.06994,2650006
2650011,1762285435.894865,ACCEL,18,0.08836,0.12000,0.06994,2650011
2650016,1762285435.894871,ACCEL,18,0.08836,0.12000,0.06994,2650016
2650021,1762285435.894877,ACCEL,18,0.08836,0.12000,0.06994,2650021
2650026,1762285435.894883,ACCEL,18,0.08836,0.12000,0.06994,2650026
2650031,1762285435.894889,ACCEL,18,0.08836,0.12000,0.06994,2650031
2650036,1762285435.894896,ACCEL,19,0.09327,0.12000,0.07008,2650036
2650041,1762285435.894902,ACCEL,19,0.09327,0.12000,0.07008,2650041
2650046,1762285435.894908,ACCEL,19,0.09327,0.12000,0.07008,2650046
2650051,1762285435.894913,ACCEL,19,0.09327,0.12000,0.07008,2650051
2650056,1762285435.894919,ACCEL,19,0.09327,0.12000,0.07008,2650056
2650061,1762285435.894925,ACCEL,19,0.09327,0.12000,0.07008,2650061
2650066,1762285435.894932,ACCEL,19,0.09327,0.12000,0.07008,2650066
2650071,1762285435.894938,ACCEL,19,0.09327,0.12000,0.07008,2650071
2650076,1762285435.894948,ACCEL,20,0.09817,0.12000,0.07021,2650076
2650081,1762285435.894954,ACCEL,20,0.09817,0.12000,0.07021,2650081
2650086,1762285435.894960,ACCEL,20,0.09817,0.12000,0.07021,2650086
2650091,1762285435.894966,ACCEL,20,0.09817,0.12000,0.07021,2650091
2650096,1762285435.894972,ACCEL,20,0.09817,0.12000,0.07021,2650096
2650101,1762285435.894978,ACCEL,20,0.09817,0.12000,0.07021,2650101
2650106,1762285435.894984,ACCEL,20,0.09817,0.12000,0.07021,2650106
2650111,1762285435.894989,ACCEL,20,0.09817,0.12000,0.07021,2650111
2650116,1762285435.894995,ACCEL,20,0.09817,0.12000,0.07021,2650116
2650121,1762285435.895001,ACCEL,21,0.10308,0.12000,0.07035,2650121
2650126,1762285435.895007,ACCEL,21,0.10308,0.12000,0.07035,2650126
2650131,1762285435.895013,ACCEL,21,0.10308,0.12000,0.07035,2650131
2650136,1762285435.895019,ACCEL,21,0.10308,0.12000,0.07035,2650136
2650141,1762285435.895025,ACCEL,21,0.10308,0.12000,0.07035,2650141
2650146,1762285435.895030,ACCEL,21,0.10308,0.12000,0.07035,2650146
2650151,1762285435.895036,ACCEL,21,0.10308,0.12000,0.07035,2650151
2650186,1762285436.153846,ACCEL,22,0.10799,0.12000,0.07048,2650186
2650191,1762285436.153868,ACCEL,22,0.10799,0.12000,0.07048,2650191
2650196,1762285436.153882,ACCEL,22,0.10799,0.12000,0.07048,2650196
2650201,1762285436.153951,ACCEL,23,0.11290,0.12000,0.07062,2650201
2650206,1762285436.153959,ACCEL,23,0.11290,0.12000,0.07062,2650206
2650211,1762285436.153967,ACCEL,23,0.11290,0.12000,0.07062,2650211
2650216,1762285436.153974,ACCEL,23,0.11290,0.12000,0.07062,2650216
2650221,1762285436.153981,ACCEL,23,0.11290,0.12000,0.07062,2650221
2650226,1762285436.153988,ACCEL,23,0.11290,0.12000,0.07062,2650226
2650231,1762285436.153995,ACCEL,23,0.11290,0.12000,0.07062,2650231
2650236,1762285436.154001,ACCEL,23,0.11290,0.12000,0.07062,2650236
