time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
758133,1762288851.902124,ACCEL,0,0.00000,0.12000,0.03374,758133
758138,1762288852.003745,ACCEL,1,0.00491,0.12000,0.03381,758138
758143,1762288852.003766,ACCEL,1,0.00491,0.12000,0.03381,758143
758148,1762288852.003776,ACCEL,1,0.00491,0.12000,0.03381,758148
758153,1762288852.003785,ACCEL,1,0.00491,0.12000,0.03381,758153
758158,1762288852.003792,ACCEL,1,0.00491,0.12000,0.03381,758158
758163,1762288852.003799,ACCEL,1,0.00491,0.12000,0.03381,758163
758169,1762288852.003806,ACCEL,1,0.00491,0.12000,0.03381,758169
758174,1762288852.003813,ACCEL,1,0.00491,0.12000,0.03381,758174
758178,1762288852.003820,ACCEL,2,0.00982,0.12000,0.03388,758178
758183,1762288852.003826,ACCEL,2,0.00982,0.12000,0.03388,758183
758188,1762288852.003833,ACCEL,2,0.00982,0.12000,0.03388,758188
758193,1762288852.003839,ACCEL,2,0.00982,0.12000,0.03388,758193
758198,1762288852.003845,ACCEL,2,0.00982,0.12000,0.03388,758198
758203,1762288852.003851,ACCEL,2,0.00982,0.12000,0.03388,758203
758208,1762288852.003858,ACCEL,2,0.00982,0.12000,0.03388,758208
758214,1762288852.003863,ACCEL,2,0.00982,0.12000,0.03388,758214
758218,1762288852.003871,ACCEL,3,0.01473,0.12000,0.03395,758218
758224,1762288852.003877,ACCEL,3,0.01473,0.12000,0.03395,758224
758228,1762288852.003883,ACCEL,3,0.01473,0.12000,0.03395,758228
758233,1762288852.003889,ACCEL,3,0.01473,0.12000,0.03395,758233
758238,1762288852.003895,ACCEL,3,0.01473,0.12000,0.03395,758238
758243,1762288852.003901,ACCEL,3,0.01473,0.12000,0.03395,758243
758249,1762288852.003906,ACCEL,3,0.01473,0.12000,0.03395,758249
758253,1762288852.003913,ACCEL,3,0.01473,0.12000,0.03395,758253
758258,1762288852.003923,ACCEL,4,0.01963,0.12000,0.03402,758258
758263,1762288852.003929,ACCEL,4,0.01963,0.12000,0.03402,758263
758268,1762288852.003935,ACCEL,4,0.01963,0.12000,0.03402,758268
758273,1762288852.003941,ACCEL,4,0.01963,0.12000,0.03402,758273
758278,1762288852.003949,ACCEL,4,0.01963,0.12000,0.03402,758278
758283,1762288852.003955,ACCEL,4,0.01963,0.12000,0.03402,758283
