time_ms,time_ts,v4,v5,g4,g5
758149,1762288852.106677,2.499566,2.520685,-0.000217,0.010342
758150,1762288852.106744,2.500206,2.520045,0.000103,0.010022
758150,1762288852.107142,2.498606,2.519405,-0.000697,0.009702
758150,1762288852.107219,2.498926,2.519725,-0.000537,0.009862
758150,1762288852.107230,2.499566,2.519405,-0.000217,0.009702
758150,1762288852.107257,2.500206,2.518765,0.000103,0.009382
758150,1762288852.107269,2.500206,2.519085,0.000103,0.009542
758150,1762288852.107303,2.499566,2.519725,-0.000217,0.009862
758150,1762288852.107335,2.498926,2.518125,-0.000537,0.009062
758150,1762288852.107356,2.499566,2.518125,-0.000217,0.009062
758167,1762288852.123988,2.499246,2.517805,-0.000377,0.008902
758167,1762288852.124029,2.499246,2.517805,-0.000377,0.008902
758167,1762288852.124037,2.499566,2.518445,-0.000217,0.009222
758167,1762288852.124044,2.499886,2.518125,-0.000057,0.009062
758167,1762288852.124050,2.499886,2.517805,-0.000057,0.008902
758167,1762288852.124053,2.499246,2.518125,-0.000377,0.009062
758167,1762288852.124104,2.499566,2.518445,-0.000217,0.009222
758167,1762288852.124116,2.500526,2.518445,0.000263,0.009222
758167,1762288852.124122,2.499566,2.518765,-0.000217,0.009382
758170,1762288852.127649,2.501166,2.517805,0.000583,0.008902
758180,1762288852.137629,2.500526,2.518445,0.000263,0.009222
758180,1762288852.137654,2.500206,2.518445,0.000103,0.009222
758180,1762288852.137661,2.501166,2.518765,0.000583,0.009382
758180,1762288852.137666,2.499886,2.519085,-0.000057,0.009542
758180,1762288852.137672,2.500206,2.519085,0.000103,0.009542
758180,1762288852.137678,2.500846,2.520045,0.000423,0.010022
758180,1762288852.137683,2.500206,2.519405,0.000103,0.009702
758180,1762288852.137689,2.499886,2.520045,-0.000057,0.010022
758180,1762288852.137695,2.501486,2.520365,0.000743,0.010182
758180,1762288852.137700,2.500526,2.521324,0.000263,0.010662
758181,1762288852.138010,2.501166,2.520365,0.000583,0.010182
758181,1762288852.138030,2.500526,2.521005,0.000263,0.010502
758181,1762288852.138037,2.500526,2.521005,0.000263,0.010502
758181,1762288852.138047,2.500846,2.521964,0.000423,0.010982
758181,1762288852.138053,2.500526,2.522604,0.000263,0.011302
758181,1762288852.138058,2.500206,2.522284,0.000103,0.011142
758181,1762288852.138062,2.500846,2.523564,0.000423,0.011782
758181,1762288852.138067,2.500526,2.522604,0.000263,0.011302
758181,1762288852.138071,2.501806,2.523564,0.000903,0.011782
758181,1762288852.138076,2.501486,2.523884,0.000743,0.011942
758197,1762288852.154232,2.502126,2.524524,0.001063,0.012262
758197,1762288852.154269,2.502126,2.525164,0.001063,0.012582
758197,1762288852.154276,2.503086,2.525484,0.001543,0.012742
758197,1762288852.154290,2.503726,2.525804,0.001863,0.012902
758197,1762288852.154294,2.504046,2.526764,0.002023,0.013382
758197,1762288852.154315,2.503406,2.526444,0.001703,0.013222
758197,1762288852.154332,2.504046,2.527724,0.002023,0.013862
758197,1762288852.154340,2.504686,2.528684,0.002343,0.014342
758197,1762288852.154343,2.504366,2.528364,0.002183,0.014182
758197,1762288852.154348,2.505326,2.528684,0.002663,0.014342
758211,1762288852.168660,2.505646,2.529004,0.002823,0.014502
758211,1762288852.168690,2.505006,2.529644,0.002503,0.014822
758211,1762288852.168695,2.505326,2.530284,0.002663,0.015142
758211,1762288852.168700,2.505966,2.531884,0.002983,0.015942
758212,1762288852.168730,2.506926,2.530604,0.003463,0.015302
758212,1762288852.168739,2.507246,2.532204,0.003623,0.016102
758212,1762288852.168744,2.507246,2.531884,0.003623,0.015942
758212,1762288852.168750,2.508525,2.532844,0.004263,0.016422
758212,1762288852.168771,2.507885,2.533164,0.003943,0.016582
758212,1762288852.168789,2.508845,2.534124,0.004423,0.017062
758230,1762288852.187625,2.508525,2.535083,0.004263,0.017542
758230,1762288852.187659,2.508845,2.535083,0.004423,0.017542
758230,1762288852.187665,2.509165,2.536683,0.004583,0.018342
758230,1762288852.187672,2.509485,2.537003,0.004743,0.018502
758230,1762288852.187678,2.509165,2.537963,0.004583,0.018982
758230,1762288852.187685,2.509165,2.537963,0.004583,0.018982
758230,1762288852.187690,2.509805,2.538923,0.004903,0.019462
758231,1762288852.187746,2.509805,2.538923,0.004903,0.019462
758231,1762288852.187826,2.510125,2.539883,0.005063,0.019942
758231,1762288852.187861,2.509805,2.540523,0.004903,0.020262
758231,1762288852.188406,2.511405,2.540203,0.005703,0.020102
758231,1762288852.188423,2.512045,2.541483,0.006023,0.020742
758231,1762288852.188429,2.511405,2.542123,0.005703,0.021061
758231,1762288852.188447,2.511405,2.542763,0.005703,0.021381
758231,1762288852.188454,2.512365,2.543083,0.006183,0.021541
758231,1762288852.188458,2.511725,2.543403,0.005863,0.021701
758231,1762288852.188507,2.512685,2.544043,0.006343,0.022021
758231,1762288852.188560,2.512365,2.544683,0.006183,0.022341
758231,1762288852.188573,2.513645,2.544683,0.006823,0.022341
758231,1762288852.188579,2.512685,2.545323,0.006343,0.022661
758247,1762288852.204454,2.514285,2.545003,0.007142,0.022501
758247,1762288852.204480,2.513645,2.545963,0.006823,0.022981
758247,1762288852.204486,2.514605,2.547243,0.007302,0.023621
758247,1762288852.204492,2.514285,2.546923,0.007142,0.023461
758247,1762288852.204496,2.513965,2.547883,0.006983,0.023941
758248,1762288852.204892,2.514925,2.548203,0.007462,0.024101
758248,1762288852.204915,2.514605,2.549162,0.007302,0.024581
758248,1762288852.204925,2.514285,2.548842,0.007142,0.024421
758248,1762288852.204929,2.514605,2.549802,0.007302,0.024901
758248,1762288852.204957,2.514925,2.550122,0.007462,0.025061
758250,1762288852.206874,2.513965,2.550762,0.006983,0.025381
758250,1762288852.206897,2.514605,2.551082,0.007302,0.025541
758250,1762288852.206902,2.513965,2.552362,0.006983,0.026181
758250,1762288852.206945,2.513965,2.552362,0.006983,0.026181
758250,1762288852.206952,2.513965,2.553002,0.006983,0.026501
758250,1762288852.206986,2.513965,2.554602,0.006983,0.027301
758251,1762288852.208652,2.514285,2.553642,0.007142,0.026821
758251,1762288852.208722,2.513645,2.554922,0.006823,0.027461
758252,1762288852.208730,2.515245,2.554282,0.007622,0.027141
758252,1762288852.208789,2.514925,2.554282,0.007462,0.027141
758260,1762288852.216789,2.513645,2.556842,0.006823,0.028421
758260,1762288852.216818,2.513965,2.556202,0.006983,0.028101
758260,1762288852.216825,2.513645,2.555562,0.006823,0.027781
758260,1762288852.216831,2.512685,2.556842,0.006343,0.028421
758260,1762288852.216835,2.512045,2.557162,0.006023,0.028581
758260,1762288852.216838,2.512045,2.556522,0.006023,0.028261
758260,1762288852.216873,2.512365,2.557802,0.006183,0.028901
758260,1762288852.216898,2.512365,2.557482,0.006183,0.028741
758260,1762288852.216907,2.512365,2.557162,0.006183,0.028581
758260,1762288852.216915,2.512045,2.557802,0.006023,0.028901
758260,1762288852.217163,2.512365,2.558122,0.006183,0.029061
758260,1762288852.217174,2.510765,2.558442,0.005383,0.029221
758260,1762288852.217181,2.510445,2.558442,0.005223,0.029221
758260,1762288852.217186,2.510765,2.557802,0.005383,0.028901
758260,1762288852.217191,2.511405,2.557162,0.005703,0.028581
758260,1762288852.217196,2.511085,2.557162,0.005543,0.028581
758260,1762288852.217229,2.510125,2.557482,0.005063,0.028741
758260,1762288852.217234,2.509805,2.557162,0.004903,0.028581
758260,1762288852.217240,2.510765,2.556522,0.005383,0.028261
758260,1762288852.217245,2.509805,2.556842,0.004903,0.028421
758276,1762288852.232838,2.510125,2.557162,0.005063,0.028581
758276,1762288852.233340,2.510765,2.557162,0.005383,0.028581
758276,1762288852.233376,2.510125,2.557482,0.005063,0.028741
758276,1762288852.233381,2.508845,2.557162,0.004423,0.028581
758276,1762288852.233386,2.508845,2.557482,0.004423,0.028741
758277,1762288852.233744,2.508525,2.556842,0.004263,0.028421
758277,1762288852.233759,2.508525,2.556842,0.004263,0.028421
758277,1762288852.233765,2.508845,2.555562,0.004423,0.027781
758277,1762288852.233770,2.508525,2.555242,0.004263,0.027621
758277,1762288852.233779,2.508525,2.555882,0.004263,0.027941
758294,1762288852.251416,2.508525,2.554282,0.004263,0.027141
758295,1762288852.251846,2.508205,2.555562,0.004103,0.027781
758295,1762288852.252148,2.508525,2.554602,0.004263,0.027301
758295,1762288852.252155,2.507885,2.554922,0.003943,0.027461
758295,1762288852.252438,2.507885,2.554282,0.003943,0.027141
758295,1762288852.252447,2.506926,2.554922,0.003463,0.027461
758295,1762288852.252453,2.506926,2.554282,0.003463,0.027141
758295,1762288852.252460,2.506926,2.554282,0.003463,0.027141
758295,1762288852.252466,2.507246,2.552682,0.003623,0.026341
758295,1762288852.252471,2.506926,2.553322,0.003463,0.026661
758308,1762288852.265054,2.507565,2.553002,0.003783,0.026501
758308,1762288852.265082,2.505646,2.551402,0.002823,0.025701
758308,1762288852.265097,2.505966,2.551402,0.002983,0.025701
758308,1762288852.265104,2.505326,2.550442,0.002663,0.025221
758308,1762288852.265108,2.506606,2.550122,0.003303,0.025061
758308,1762288852.265141,2.505646,2.549162,0.002823,0.024581
758308,1762288852.265147,2.505646,2.549482,0.002823,0.024741
758308,1762288852.265152,2.504686,2.547883,0.002343,0.023941
758308,1762288852.265157,2.504686,2.549162,0.002343,0.024581
758308,1762288852.265164,2.505646,2.547563,0.002823,0.023781
758308,1762288852.265392,2.505006,2.547243,0.002503,0.023621
758308,1762288852.265410,2.505006,2.546603,0.002503,0.023301
758308,1762288852.265433,2.505006,2.546603,0.002503,0.023301
758308,1762288852.265441,2.505326,2.545323,0.002663,0.022661
758308,1762288852.265447,2.505966,2.545003,0.002983,0.022501
758308,1762288852.265452,2.505646,2.545003,0.002823,0.022501
758308,1762288852.265475,2.505646,2.544683,0.002823,0.022341
758308,1762288852.265480,2.505646,2.543723,0.002823,0.021861
758308,1762288852.265486,2.506286,2.542763,0.003143,0.021381
758308,1762288852.265491,2.506926,2.543083,0.003463,0.021541
758325,1762288852.282678,2.505966,2.542123,0.002983,0.021061
758326,1762288852.282832,2.505646,2.542443,0.002823,0.021221
758326,1762288852.282841,2.506606,2.541163,0.003303,0.020582
758326,1762288852.282847,2.507246,2.540523,0.003623,0.020262
758326,1762288852.283123,2.507246,2.540843,0.003623,0.020422
758326,1762288852.283253,2.506606,2.539243,0.003303,0.019622
758326,1762288852.283264,2.507246,2.539243,0.003623,0.019622
758326,1762288852.283287,2.507885,2.538283,0.003943,0.019142
758326,1762288852.283306,2.507565,2.537963,0.003783,0.018982
758326,1762288852.283312,2.507565,2.537643,0.003783,0.018822
758339,1762288852.295879,2.506926,2.537963,0.003463,0.018982
758339,1762288852.295904,2.507246,2.537323,0.003623,0.018662
758339,1762288852.295926,2.507246,2.537643,0.003623,0.018822
758339,1762288852.295944,2.508205,2.536363,0.004103,0.018182
758339,1762288852.295951,2.507565,2.535403,0.003783,0.017702
758339,1762288852.295991,2.507246,2.536363,0.003623,0.018182
758339,1762288852.296008,2.507246,2.534444,0.003623,0.017222
758339,1762288852.296055,2.508845,2.534444,0.004423,0.017222
758339,1762288852.296069,2.507885,2.533804,0.003943,0.016902
758339,1762288852.296075,2.507565,2.534764,0.003783,0.017382
758339,1762288852.296422,2.507885,2.533484,0.003943,0.016742
758339,1762288852.296436,2.508845,2.532204,0.004423,0.016102
758339,1762288852.296441,2.507885,2.531564,0.003943,0.015782
758339,1762288852.296446,2.507885,2.531884,0.003943,0.015942
758339,1762288852.296451,2.508845,2.531244,0.004423,0.015622
758339,1762288852.296456,2.508205,2.531884,0.004103,0.015942
758339,1762288852.296460,2.508845,2.531244,0.004423,0.015622
758339,1762288852.296463,2.508525,2.530284,0.004263,0.015142
758339,1762288852.296467,2.508525,2.529324,0.004263,0.014662
758340,1762288852.296863,2.508525,2.528364,0.004263,0.014182
758356,1762288852.313201,2.507885,2.528364,0.003943,0.014182
758356,1762288852.313227,2.508205,2.526764,0.004103,0.013382
758356,1762288852.313247,2.508205,2.527404,0.004103,0.013702
758356,1762288852.313253,2.507885,2.527084,0.003943,0.013542
758356,1762288852.313258,2.508525,2.527084,0.004263,0.013542
758356,1762288852.313264,2.508525,2.525804,0.004263,0.012902
758356,1762288852.313268,2.508205,2.526124,0.004103,0.013062
758356,1762288852.313285,2.507246,2.525484,0.003623,0.012742
758356,1762288852.313291,2.507246,2.524524,0.003623,0.012262
758356,1762288852.313308,2.507246,2.525164,0.003623,0.012582
758356,1762288852.313686,2.507565,2.524204,0.003783,0.012102
758357,1762288852.313729,2.507565,2.523564,0.003783,0.011782
758357,1762288852.313749,2.507246,2.522924,0.003623,0.011462
758357,1762288852.313768,2.507565,2.523564,0.003783,0.011782
758357,1762288852.313774,2.507246,2.522284,0.003623,0.011142
758357,1762288852.313778,2.505646,2.522604,0.002823,0.011302
758357,1762288852.313784,2.506926,2.522604,0.003463,0.011302
758357,1762288852.313789,2.506926,2.522284,0.003463,0.011142
758357,1762288852.313808,2.506926,2.521964,0.003463,0.010982
758357,1762288852.313820,2.506286,2.521964,0.003143,0.010982
758370,1762288852.326895,2.506286,2.521005,0.003143,0.010502
758370,1762288852.326922,2.506286,2.521324,0.003143,0.010662
758370,1762288852.326927,2.505326,2.522284,0.002663,0.011142
758370,1762288852.326931,2.506606,2.521324,0.003303,0.010662
