time_ms,time_ts,v4,v5,g4,g5
118198,1762287860.966522,2.499246,2.504046,-0.000377,0.002023
118199,1762287860.967640,2.499566,2.504046,-0.000217,0.002023
118199,1762287860.967705,2.500846,2.505006,0.000423,0.002503
118199,1762287860.967753,2.500206,2.504366,0.000103,0.002183
118202,1762287860.971000,2.500526,2.504046,0.000263,0.002023
118203,1762287860.971443,2.502446,2.504046,0.001223,0.002023
118203,1762287860.971456,2.500846,2.503726,0.000423,0.001863
118203,1762287860.971466,2.500846,2.503726,0.000423,0.001863
118203,1762287860.971520,2.501486,2.503726,0.000743,0.001863
118203,1762287860.971558,2.502446,2.504366,0.001223,0.002183
118215,1762287860.983680,2.500526,2.504046,0.000263,0.002023
118215,1762287860.983716,2.500846,2.503086,0.000423,0.001543
118215,1762287860.983722,2.502446,2.503726,0.001223,0.001863
118215,1762287860.983729,2.500526,2.504686,0.000263,0.002343
118215,1762287860.983734,2.501806,2.504046,0.000903,0.002023
118216,1762287860.984215,2.503086,2.504366,0.001543,0.002183
118216,1762287860.984302,2.500846,2.505966,0.000423,0.002983
118216,1762287860.984325,2.503086,2.504366,0.001543,0.002183
118216,1762287860.984332,2.502446,2.505006,0.001223,0.002503
118216,1762287860.984338,2.503406,2.506606,0.001703,0.003303
118216,1762287860.984552,2.502446,2.505326,0.001223,0.002663
118216,1762287860.984571,2.503406,2.506286,0.001703,0.003143
118216,1762287860.984587,2.504366,2.506606,0.002183,0.003303
118216,1762287860.984594,2.503086,2.506286,0.001543,0.003143
118216,1762287860.984599,2.504046,2.506286,0.002023,0.003143
118216,1762287860.984605,2.504046,2.505966,0.002023,0.002983
118216,1762287860.984610,2.503406,2.507246,0.001703,0.003623
118216,1762287860.984615,2.503726,2.506606,0.001863,0.003303
118216,1762287860.984620,2.505646,2.507246,0.002823,0.003623
118216,1762287860.984625,2.504686,2.507565,0.002343,0.003783
118229,1762287860.997828,2.504686,2.507565,0.002343,0.003783
118230,1762287860.998220,2.505966,2.508525,0.002983,0.004263
118230,1762287860.998296,2.505326,2.508525,0.002663,0.004263
118230,1762287860.998339,2.505326,2.508525,0.002663,0.004263
118230,1762287860.998354,2.505966,2.508205,0.002983,0.004103
118230,1762287860.998422,2.505326,2.508845,0.002663,0.004423
118230,1762287860.998435,2.506606,2.508845,0.003303,0.004423
118230,1762287860.998900,2.506286,2.508525,0.003143,0.004263
118230,1762287860.998932,2.507246,2.508845,0.003623,0.004423
118230,1762287860.998942,2.507246,2.509485,0.003623,0.004743
118245,1762287861.013554,2.507246,2.508525,0.003623,0.004263
118245,1762287861.013594,2.507565,2.509805,0.003783,0.004903
118245,1762287861.013599,2.507885,2.510765,0.003943,0.005383
118245,1762287861.013604,2.507246,2.510765,0.003623,0.005383
118245,1762287861.013608,2.507246,2.510125,0.003623,0.005063
118245,1762287861.013612,2.508525,2.510445,0.004263,0.005223
118245,1762287861.013616,2.510125,2.510125,0.005063,0.005063
118245,1762287861.013619,2.513645,2.510765,0.006823,0.005383
118245,1762287861.013623,2.507885,2.510445,0.003943,0.005223
118245,1762287861.013627,2.508205,2.510125,0.004103,0.005063
118261,1762287861.029560,2.508525,2.511405,0.004263,0.005703
118261,1762287861.029601,2.508525,2.510445,0.004263,0.005223
118261,1762287861.029608,2.507565,2.511085,0.003783,0.005543
118261,1762287861.029616,2.508845,2.511405,0.004423,0.005703
118261,1762287861.029623,2.507885,2.511405,0.003943,0.005703
118261,1762287861.029629,2.507885,2.511085,0.003943,0.005543
118261,1762287861.029634,2.507885,2.512045,0.003943,0.006023
118261,1762287861.029640,2.507885,2.511405,0.003943,0.005703
118261,1762287861.029646,2.512685,2.512365,0.006343,0.006183
118261,1762287861.029651,2.507565,2.511405,0.003783,0.005703
118267,1762287861.035827,2.507885,2.511725,0.003943,0.005863
118267,1762287861.035853,2.517485,2.512365,0.008742,0.006183
118267,1762287861.035861,2.514605,2.512685,0.007302,0.006343
118267,1762287861.035866,2.507246,2.512045,0.003623,0.006023
118267,1762287861.035872,2.509165,2.512045,0.004583,0.006023
118267,1762287861.035880,2.508205,2.511725,0.004103,0.005863
118267,1762287861.036183,2.516205,2.512045,0.008102,0.006023
118268,1762287861.036223,2.507565,2.512365,0.003783,0.006183
118268,1762287861.036232,2.505326,2.511725,0.002663,0.005863
118268,1762287861.036237,2.511405,2.512045,0.005703,0.006023
118279,1762287861.047436,2.504686,2.511725,0.002343,0.005863
118279,1762287861.047890,2.506926,2.511725,0.003463,0.005863
118279,1762287861.047897,2.509165,2.512365,0.004583,0.006183
118279,1762287861.048008,2.503406,2.511725,0.001703,0.005863
118279,1762287861.048054,2.506606,2.511405,0.003303,0.005703
118279,1762287861.048071,2.504046,2.511405,0.002023,0.005703
118279,1762287861.048104,2.507246,2.510445,0.003623,0.005223
118279,1762287861.048145,2.506606,2.511085,0.003303,0.005543
118279,1762287861.048167,2.504686,2.511085,0.002343,0.005543
118280,1762287861.048212,2.511725,2.511405,0.005863,0.005703
118280,1762287861.048761,2.505006,2.512365,0.002503,0.006183
118280,1762287861.048786,2.514605,2.510765,0.007302,0.005383
118280,1762287861.048794,2.506606,2.510125,0.003303,0.005063
118280,1762287861.048800,2.505966,2.511405,0.002983,0.005703
118280,1762287861.048805,2.501806,2.511085,0.000903,0.005543
118280,1762287861.048840,2.497966,2.511085,-0.001017,0.005543
118280,1762287861.048910,2.503726,2.510445,0.001863,0.005223
118280,1762287861.048928,2.504046,2.511085,0.002023,0.005543
118280,1762287861.048934,2.508525,2.511725,0.004263,0.005863
118280,1762287861.048939,2.502126,2.510445,0.001063,0.005223
118293,1762287861.061708,2.506286,2.510765,0.003143,0.005383
118293,1762287861.061760,2.516845,2.511405,0.008422,0.005703
118293,1762287861.061822,2.509165,2.510765,0.004583,0.005383
118293,1762287861.061846,2.515245,2.510765,0.007622,0.005383
118293,1762287861.061852,2.506926,2.510765,0.003463,0.005383
118293,1762287861.061877,2.511405,2.511405,0.005703,0.005703
118293,1762287861.061892,2.500526,2.511405,0.000263,0.005703
118293,1762287861.061897,2.503406,2.510765,0.001703,0.005383
118293,1762287861.061941,2.506286,2.510765,0.003143,0.005383
118293,1762287861.061979,2.504686,2.511405,0.002343,0.005703
118309,1762287861.077699,2.504686,2.511405,0.002343,0.005703
118309,1762287861.077746,2.502446,2.511085,0.001223,0.005543
118309,1762287861.077757,2.506606,2.509805,0.003303,0.004903
118309,1762287861.077766,2.518125,2.509805,0.009062,0.004903
118309,1762287861.077776,2.513645,2.510445,0.006823,0.005223
118309,1762287861.077787,2.505326,2.510765,0.002663,0.005383
118309,1762287861.077798,2.507246,2.509805,0.003623,0.004903
118309,1762287861.077807,2.505966,2.510125,0.002983,0.005063
118309,1762287861.077817,2.507565,2.509805,0.003783,0.004903
118309,1762287861.077831,2.511085,2.508205,0.005543,0.004103
118309,1762287861.078104,2.505326,2.510445,0.002663,0.005223
118309,1762287861.078117,2.500846,2.509485,0.000423,0.004743
118309,1762287861.078126,2.506606,2.510445,0.003303,0.005223
