time_ms,time_ts,v4,v5,g4,g5
2087538,1762284872.762141,2.504686,2.528364,0.002343,0.014182
2087538,1762284872.762244,2.504366,2.527724,0.002183,0.013862
2087538,1762284872.762274,2.504046,2.527724,0.002023,0.013862
2087538,1762284872.762292,2.504686,2.528684,0.002343,0.014342
2087538,1762284872.762309,2.503726,2.528684,0.001863,0.014342
2087538,1762284872.762331,2.503086,2.527404,0.001543,0.013702
2087538,1762284872.762379,2.503406,2.527404,0.001703,0.013702
2087538,1762284872.762744,2.503726,2.528044,0.001863,0.014022
2087538,1762284872.762835,2.502446,2.528684,0.001223,0.014342
2087539,1762284872.763520,2.502766,2.527724,0.001383,0.013862
2087552,1762284872.776675,2.502446,2.528364,0.001223,0.014182
2087552,1762284872.776706,2.502126,2.528044,0.001063,0.014022
2087552,1762284872.776714,2.501806,2.527724,0.000903,0.013862
2087552,1762284872.776720,2.501806,2.528044,0.000903,0.014022
2087552,1762284872.776723,2.501486,2.527724,0.000743,0.013862
2087552,1762284872.776727,2.502126,2.527724,0.001063,0.013862
2087552,1762284872.776773,2.501486,2.528044,0.000743,0.014022
2087552,1762284872.776780,2.501166,2.527404,0.000583,0.013702
2087552,1762284872.776799,2.501486,2.527724,0.000743,0.013862
2087552,1762284872.776806,2.500846,2.528044,0.000423,0.014022
2087566,1762284872.790894,2.501486,2.526764,0.000743,0.013382
2087566,1762284872.790919,2.499566,2.528044,-0.000217,0.014022
2087566,1762284872.790924,2.500526,2.527404,0.000263,0.013702
2087566,1762284872.790927,2.501166,2.527404,0.000583,0.013702
2087566,1762284872.790931,2.500846,2.527084,0.000423,0.013542
2087566,1762284872.790935,2.500206,2.527084,0.000103,0.013542
2087566,1762284872.790939,2.500846,2.527404,0.000423,0.013702
2087566,1762284872.790943,2.500526,2.527724,0.000263,0.013862
2087566,1762284872.790946,2.501486,2.527084,0.000743,0.013542
2087566,1762284872.790950,2.500526,2.526764,0.000263,0.013382
2087583,1762284872.807722,2.500846,2.527084,0.000423,0.013542
2087583,1762284872.807766,2.501166,2.532844,0.000583,0.016422
2087583,1762284872.807792,2.501486,2.527724,0.000743,0.013862
2087583,1762284872.807804,2.501486,2.523564,0.000743,0.011782
2087583,1762284872.807809,2.501806,2.526444,0.000903,0.013222
2087583,1762284872.807815,2.502126,2.545323,0.001063,0.022661
2087583,1762284872.807821,2.502766,2.528684,0.001383,0.014342
2087583,1762284872.807826,2.503086,2.531564,0.001543,0.015782
2087583,1762284872.807831,2.504366,2.530284,0.002183,0.015142
2087583,1762284872.807879,2.504046,2.531564,0.002023,0.015782
2087584,1762284872.808143,2.504046,2.530284,0.002023,0.015142
2087584,1762284872.808211,2.506286,2.539563,0.003143,0.019782
2087584,1762284872.808219,2.505326,2.537643,0.002663,0.018822
2087584,1762284872.808226,2.505646,2.540523,0.002823,0.020262
2087584,1762284872.808231,2.506286,2.534444,0.003143,0.017222
2087584,1762284872.808236,2.507246,2.534764,0.003623,0.017382
2087584,1762284872.808241,2.507885,2.533804,0.003943,0.016902
2087584,1762284872.808247,2.508525,2.527724,0.004263,0.013862
2087584,1762284872.808252,2.509165,2.537323,0.004583,0.018662
2087584,1762284872.808257,2.510125,2.540523,0.005063,0.020262
2087599,1762284872.823525,2.511085,2.532204,0.005543,0.016102
2087599,1762284872.823685,2.511405,2.542123,0.005703,0.021061
2087599,1762284872.823694,2.511725,2.542763,0.005863,0.021381
2087599,1762284872.823735,2.513005,2.548203,0.006503,0.024101
2087599,1762284872.823754,2.513325,2.543723,0.006663,0.021861
2087599,1762284872.823760,2.513965,2.546923,0.006983,0.023461
2087599,1762284872.823766,2.513325,2.542763,0.006663,0.021381
2087599,1762284872.823772,2.514605,2.552682,0.007302,0.026341
2087599,1762284872.823777,2.514925,2.548523,0.007462,0.024261
2087599,1762284872.823783,2.516205,2.561962,0.008102,0.030981
2087614,1762284872.838894,2.517165,2.548203,0.008582,0.024101
2087614,1762284872.838923,2.516845,2.567721,0.008422,0.033861
2087614,1762284872.838928,2.517165,2.554282,0.008582,0.027141
2087614,1762284872.838933,2.517805,2.542443,0.008902,0.021221
2087614,1762284872.838937,2.518765,2.560042,0.009382,0.030021
2087614,1762284872.838942,2.517805,2.545963,0.008902,0.022981
2087614,1762284872.838986,2.519085,2.561322,0.009542,0.030661
2087614,1762284872.838993,2.519725,2.559402,0.009862,0.029701
2087614,1762284872.838997,2.519405,2.556842,0.009702,0.028421
2087614,1762284872.839000,2.520685,2.555562,0.010342,0.027781
2087615,1762284872.839140,2.521005,2.561642,0.010502,0.030821
2087615,1762284872.839147,2.521324,2.577960,0.010662,0.038980
2087615,1762284872.839151,2.521964,2.570921,0.010982,0.035460
2087615,1762284872.839155,2.521644,2.566761,0.010822,0.033381
2087615,1762284872.839158,2.521644,2.575401,0.010822,0.037700
2087615,1762284872.839162,2.521964,2.568681,0.010982,0.034341
2087615,1762284872.839165,2.523244,2.576041,0.011622,0.038020
2087615,1762284872.839172,2.521964,2.573801,0.010982,0.036900
2087615,1762284872.839176,2.523244,2.575401,0.011622,0.037700
2087615,1762284872.839180,2.522924,2.573481,0.011462,0.036740
2087630,1762284872.855005,2.522604,2.574761,0.011302,0.037380
2087630,1762284872.855052,2.522604,2.561962,0.011302,0.030981
2087630,1762284872.855061,2.522284,2.578280,0.011142,0.039140
2087630,1762284872.855065,2.523244,2.575401,0.011622,0.037700
2087630,1762284872.855069,2.523564,2.577640,0.011782,0.038820
2087630,1762284872.855073,2.522924,2.579240,0.011462,0.039620
2087630,1762284872.855077,2.522604,2.579880,0.011302,0.039940
2087630,1762284872.855083,2.521644,2.581480,0.010822,0.040740
2087630,1762284872.855087,2.522284,2.584680,0.011142,0.042340
2087630,1762284872.855091,2.522924,2.584040,0.011462,0.042020
2087634,1762284872.858953,2.521644,2.582440,0.010822,0.041220
2087634,1762284872.858974,2.522284,2.582120,0.011142,0.041060
2087634,1762284872.859012,2.521324,2.585960,0.010662,0.042980
2087634,1762284872.859040,2.520045,2.574441,0.010022,0.037220
2087634,1762284872.859050,2.521324,2.583400,0.010662,0.041700
2087634,1762284872.859056,2.520685,2.588840,0.010342,0.044420
2087635,1762284872.859358,2.520365,2.587560,0.010182,0.043780
2087635,1762284872.859366,2.521005,2.585320,0.010502,0.042660
2087635,1762284872.859373,2.519405,2.583720,0.009702,0.041860
2087635,1762284872.859394,2.518765,2.582440,0.009382,0.041220
2087647,1762284872.871419,2.518445,2.585640,0.009222,0.042820
2087649,1762284872.873741,2.518445,2.585000,0.009222,0.042500
2087649,1762284872.873766,2.516845,2.586600,0.008422,0.043300
2087649,1762284872.873817,2.517485,2.583080,0.008742,0.041540
