time_ms,time_ts,v4,v5,g4,g5
2142595,1762284927.945424,2.499886,2.508845,-0.000057,0.004423
2142595,1762284927.945479,2.500526,2.509485,0.000263,0.004743
2142595,1762284927.945518,2.499886,2.509165,-0.000057,0.004583
2142595,1762284927.945574,2.499886,2.508845,-0.000057,0.004423
2142595,1762284927.945597,2.499566,2.510445,-0.000217,0.005223
2142595,1762284927.945667,2.500206,2.509485,0.000103,0.004743
2142595,1762284927.945680,2.500206,2.509805,0.000103,0.004903
2142595,1762284927.945711,2.499566,2.510125,-0.000217,0.005063
2142595,1762284927.945722,2.498606,2.510125,-0.000697,0.005063
2142599,1762284927.949616,2.500526,2.510125,0.000263,0.005063
2142611,1762284927.961317,2.500206,2.510765,0.000103,0.005383
2142611,1762284927.961351,2.500206,2.509165,0.000103,0.004583
2142611,1762284927.961716,2.501166,2.510765,0.000583,0.005383
2142611,1762284927.961723,2.499886,2.512365,-0.000057,0.006183
2142611,1762284927.961750,2.500846,2.509805,0.000423,0.004903
2142611,1762284927.961782,2.500526,2.510765,0.000263,0.005383
2142611,1762284927.961808,2.501806,2.511405,0.000903,0.005703
2142611,1762284927.961817,2.500206,2.511085,0.000103,0.005543
2142611,1762284927.961822,2.501486,2.510445,0.000743,0.005223
2142611,1762284927.961828,2.501166,2.512365,0.000583,0.006183
2142627,1762284927.977797,2.500846,2.512685,0.000423,0.006343
2142627,1762284927.977843,2.501806,2.511405,0.000903,0.005703
2142627,1762284927.977863,2.501806,2.512045,0.000903,0.006023
2142627,1762284927.977870,2.502126,2.510765,0.001063,0.005383
2142627,1762284927.977875,2.501486,2.512045,0.000743,0.006023
2142627,1762284927.977881,2.502446,2.511725,0.001223,0.005863
2142627,1762284927.977892,2.501486,2.512045,0.000743,0.006023
2142627,1762284927.977898,2.502446,2.512045,0.001223,0.006023
2142627,1762284927.977902,2.503086,2.512365,0.001543,0.006183
2142627,1762284927.977906,2.502446,2.512365,0.001223,0.006183
2142643,1762284927.994097,2.503406,2.511405,0.001703,0.005703
2142644,1762284927.994545,2.503726,2.512045,0.001863,0.006023
2142644,1762284927.994580,2.503726,2.512045,0.001863,0.006023
2142644,1762284927.994608,2.504046,2.512045,0.002023,0.006023
