time_ms,time_ts,v4,v5,g4,g5
2196126,1762284981.550464,2.502126,2.529004,0.001063,0.014502
2196126,1762284981.550983,2.501486,2.529004,0.000743,0.014502
2196126,1762284981.551017,2.500206,2.527724,0.000103,0.013862
2196126,1762284981.551028,2.501486,2.527724,0.000743,0.013862
2196126,1762284981.551066,2.499886,2.527724,-0.000057,0.013862
2196126,1762284981.551095,2.500526,2.526444,0.000263,0.013222
2196126,1762284981.551108,2.499886,2.526444,-0.000057,0.013222
2196126,1762284981.551117,2.500206,2.525804,0.000103,0.012902
2196126,1762284981.551173,2.499566,2.525804,-0.000217,0.012902
2196132,1762284981.557061,2.498926,2.525484,-0.000537,0.012742
2196140,1762284981.565272,2.499246,2.525164,-0.000377,0.012582
2196140,1762284981.565303,2.499566,2.524524,-0.000217,0.012262
2196140,1762284981.565311,2.499886,2.524524,-0.000057,0.012262
2196140,1762284981.565317,2.499886,2.523244,-0.000057,0.011622
2196140,1762284981.565360,2.498926,2.523884,-0.000537,0.011942
2196140,1762284981.565367,2.499246,2.523564,-0.000377,0.011782
2196140,1762284981.565372,2.499566,2.522284,-0.000217,0.011142
2196140,1762284981.565378,2.498606,2.523244,-0.000697,0.011622
2196140,1762284981.565383,2.499246,2.521644,-0.000377,0.010822
2196140,1762284981.565388,2.499246,2.522924,-0.000377,0.011462
2196156,1762284981.581298,2.499246,2.522284,-0.000377,0.011142
2196156,1762284981.581329,2.499886,2.521324,-0.000057,0.010662
2196156,1762284981.581337,2.500206,2.522284,0.000103,0.011142
2196156,1762284981.581343,2.498926,2.521005,-0.000537,0.010502
2196156,1762284981.581348,2.499886,2.520685,-0.000057,0.010342
2196156,1762284981.581357,2.500206,2.521324,0.000103,0.010662
2196156,1762284981.581362,2.498926,2.521964,-0.000537,0.010982
2196156,1762284981.581368,2.499566,2.520685,-0.000217,0.010342
2196156,1762284981.581373,2.500526,2.520685,0.000263,0.010342
2196156,1762284981.581401,2.500206,2.521005,0.000103,0.010502
2196171,1762284981.596306,2.500206,2.519725,0.000103,0.009862
2196172,1762284981.597419,2.501806,2.519725,0.000903,0.009862
2196173,1762284981.597455,2.500846,2.520685,0.000423,0.010342
2196173,1762284981.597463,2.501806,2.519725,0.000903,0.009862
2196173,1762284981.597477,2.501486,2.519405,0.000743,0.009702
2196173,1762284981.597482,2.502446,2.519725,0.001223,0.009862
2196173,1762284981.597486,2.501806,2.519725,0.000903,0.009862
2196173,1762284981.597490,2.501806,2.520045,0.000903,0.010022
