time_ms,time_ts,v4,v5,g4,g5
1995401,1762284780.498401,2.500206,2.511725,0.000103,0.005863
1995401,1762284780.498463,2.498926,2.512365,-0.000537,0.006183
1995402,1762284780.498482,2.498286,2.512365,-0.000857,0.006183
1995402,1762284780.498517,2.497326,2.512685,-0.001337,0.006343
1995402,1762284780.498550,2.498606,2.512045,-0.000697,0.006023
1995402,1762284780.498564,2.497966,2.512045,-0.001017,0.006023
1995402,1762284780.498573,2.497646,2.512045,-0.001177,0.006023
1995402,1762284780.498582,2.498286,2.512045,-0.000857,0.006023
1995402,1762284780.498590,2.496686,2.512685,-0.001657,0.006343
1995405,1762284780.501711,2.497326,2.510765,-0.001337,0.005383
1995417,1762284780.514100,2.497326,2.513005,-0.001337,0.006503
1995417,1762284780.514118,2.496686,2.513005,-0.001657,0.006503
1995417,1762284780.514123,2.497326,2.511725,-0.001337,0.005863
1995417,1762284780.514127,2.497326,2.513325,-0.001337,0.006663
1995417,1762284780.514130,2.496686,2.512685,-0.001657,0.006343
1995417,1762284780.514134,2.496686,2.512045,-0.001657,0.006023
1995417,1762284780.514137,2.497006,2.512685,-0.001497,0.006343
1995417,1762284780.514141,2.497006,2.513325,-0.001497,0.006663
1995417,1762284780.514145,2.497006,2.512365,-0.001497,0.006183
1995417,1762284780.514148,2.497326,2.512685,-0.001337,0.006343
1995433,1762284780.530171,2.497326,2.513005,-0.001337,0.006503
1995433,1762284780.530246,2.498286,2.512365,-0.000857,0.006183
1995433,1762284780.530300,2.497966,2.513325,-0.001017,0.006663
1995433,1762284780.530322,2.498926,2.513005,-0.000537,0.006503
1995433,1762284780.530342,2.497966,2.512685,-0.001017,0.006343
1995433,1762284780.530358,2.498926,2.513005,-0.000537,0.006503
1995433,1762284780.530370,2.498286,2.513325,-0.000857,0.006663
1995433,1762284780.530425,2.499246,2.513645,-0.000377,0.006823
1995433,1762284780.530456,2.499246,2.513965,-0.000377,0.006983
1995434,1762284780.530486,2.499246,2.512685,-0.000377,0.006343
1995450,1762284780.546790,2.500846,2.514925,0.000423,0.007462
1995450,1762284780.546818,2.499566,2.514605,-0.000217,0.007302
1995450,1762284780.546839,2.500206,2.514285,0.000103,0.007142
1995450,1762284780.546859,2.500526,2.514605,0.000263,0.007302
1995450,1762284780.546876,2.500206,2.514925,0.000103,0.007462
1995450,1762284780.546901,2.501166,2.515245,0.000583,0.007622
1995450,1762284780.546908,2.501806,2.515245,0.000903,0.007622
1995450,1762284780.546914,2.501806,2.515565,0.000903,0.007782
1995450,1762284780.546919,2.500846,2.516525,0.000423,0.008262
1995450,1762284780.546924,2.502126,2.515885,0.001063,0.007942
1995450,1762284780.547150,2.501806,2.515245,0.000903,0.007622
1995450,1762284780.547166,2.502766,2.516525,0.001383,0.008262
1995450,1762284780.547173,2.502126,2.516845,0.001063,0.008422
1995450,1762284780.547178,2.502126,2.515885,0.001063,0.007942
1995450,1762284780.547183,2.503086,2.516525,0.001543,0.008262
1995450,1762284780.547188,2.503086,2.518125,0.001543,0.009062
1995450,1762284780.547236,2.502766,2.518125,0.001383,0.009062
