time_ms,time_ts,v4,v5,g4,g5
1624790,1762284409.292746,2.499246,2.510125,-0.000377,0.005063
1624790,1762284409.292859,2.500526,2.501486,0.000263,0.000743
1624790,1762284409.292924,2.499246,2.503406,-0.000377,0.001703
1624790,1762284409.292996,2.500526,2.505326,0.000263,0.002663
1624790,1762284409.293034,2.500846,2.500206,0.000423,0.000103
1624790,1762284409.293050,2.500526,2.503406,0.000263,0.001703
1624790,1762284409.293063,2.501166,2.504686,0.000583,0.002343
1624790,1762284409.293074,2.501486,2.507885,0.000743,0.003943
1624790,1762284409.293107,2.501166,2.504686,0.000583,0.002343
1624793,1762284409.296200,2.501806,2.504686,0.000903,0.002343
1624805,1762284409.308536,2.502126,2.499886,0.001063,-0.000057
1624805,1762284409.308562,2.502766,2.493806,0.001383,-0.003097
1624805,1762284409.308568,2.503086,2.506926,0.001543,0.003463
1624805,1762284409.308572,2.504046,2.504686,0.002023,0.002343
1624805,1762284409.308576,2.503406,2.501806,0.001703,0.000903
1624805,1762284409.308580,2.504046,2.516525,0.002023,0.008262
1624805,1762284409.308583,2.504686,2.519085,0.002343,0.009542
1624805,1762284409.308588,2.505006,2.496046,0.002503,-0.001977
1624805,1762284409.308592,2.505966,2.516525,0.002983,0.008262
1624805,1762284409.308595,2.506926,2.507246,0.003463,0.003623
1624820,1762284409.323521,2.506606,2.502446,0.003303,0.001223
1624820,1762284409.323562,2.507885,2.502126,0.003943,0.001063
1624820,1762284409.323569,2.507246,2.497006,0.003623,-0.001497
1624820,1762284409.323573,2.509165,2.495726,0.004583,-0.002137
1624820,1762284409.323577,2.508205,2.501486,0.004103,0.000743
1624822,1762284409.324773,2.510445,2.509805,0.005223,0.004903
1624822,1762284409.324788,2.510765,2.507565,0.005383,0.003783
1624822,1762284409.324839,2.510125,2.514605,0.005063,0.007302
1624822,1762284409.324873,2.512045,2.510765,0.006023,0.005383
1624822,1762284409.324938,2.511085,2.504366,0.005543,0.002183
1624840,1762284409.342926,2.513645,2.508845,0.006823,0.004423
1624840,1762284409.342959,2.513005,2.514285,0.006503,0.007142
1624840,1762284409.342983,2.514605,2.506926,0.007302,0.003463
1624840,1762284409.343016,2.514605,2.497006,0.007302,-0.001497
1624840,1762284409.343023,2.515565,2.504366,0.007782,0.002183
1624840,1762284409.343043,2.516845,2.503406,0.008422,0.001703
1624840,1762284409.343067,2.515565,2.502446,0.007782,0.001223
1624840,1762284409.343079,2.517805,2.505646,0.008902,0.002823
1624840,1762284409.343085,2.517805,2.510765,0.008902,0.005383
1624840,1762284409.343090,2.517805,2.515565,0.008902,0.007782
1624840,1762284409.343376,2.518765,2.517165,0.009382,0.008582
1624840,1762284409.343400,2.518765,2.506606,0.009382,0.003303
1624840,1762284409.343409,2.521005,2.512365,0.010502,0.006183
1624840,1762284409.343415,2.520365,2.512685,0.010182,0.006343
1624840,1762284409.343421,2.521324,2.513645,0.010662,0.006823
1624840,1762284409.343427,2.519405,2.517805,0.009702,0.008902
1624840,1762284409.343433,2.522284,2.514925,0.011142,0.007462
1624840,1762284409.343439,2.522604,2.514605,0.011302,0.007302
1624840,1762284409.343445,2.521644,2.516205,0.010822,0.008102
1624840,1762284409.343451,2.522604,2.517805,0.011302,0.008902
1624853,1762284409.356016,2.523244,2.515885,0.011622,0.007942
1624853,1762284409.356051,2.524204,2.517165,0.012102,0.008582
1624853,1762284409.356085,2.523564,2.516205,0.011782,0.008102
1624853,1762284409.356093,2.524204,2.517485,0.012102,0.008742
1624853,1762284409.356099,2.524524,2.516845,0.012262,0.008422
1624853,1762284409.356104,2.523244,2.523564,0.011622,0.011782
1624853,1762284409.356110,2.524524,2.520685,0.012262,0.010342
1624853,1762284409.356130,2.524524,2.521005,0.012262,0.010502
1624853,1762284409.356136,2.523884,2.518765,0.011942,0.009382
1624853,1762284409.356141,2.524204,2.522284,0.012102,0.011142
1624868,1762284409.371513,2.523564,2.522604,0.011782,0.011302
1624868,1762284409.371544,2.524524,2.522284,0.012262,0.011142
1624868,1762284409.371548,2.523884,2.522924,0.011942,0.011462
1624868,1762284409.371552,2.523244,2.522924,0.011622,0.011462
1624868,1762284409.371557,2.522284,2.525804,0.011142,0.012902
1624868,1762284409.371563,2.523244,2.525164,0.011622,0.012582
1624868,1762284409.371611,2.522604,2.524524,0.011302,0.012262
1624868,1762284409.371617,2.521964,2.524524,0.010982,0.012262
1624868,1762284409.371621,2.521324,2.526764,0.010662,0.013382
1624868,1762284409.371625,2.521644,2.527724,0.010822,0.013862
1624869,1762284409.371773,2.520685,2.526124,0.010342,0.013062
1624869,1762284409.371780,2.521644,2.525484,0.010822,0.012742
1624869,1762284409.371784,2.520045,2.527084,0.010022,0.013542
1624869,1762284409.371788,2.519725,2.527724,0.009862,0.013862
1624869,1762284409.371791,2.520365,2.528364,0.010182,0.014182
1624869,1762284409.371795,2.518125,2.528364,0.009062,0.014182
1624869,1762284409.371798,2.520045,2.528364,0.010022,0.014182
1624869,1762284409.371810,2.518765,2.528044,0.009382,0.014022
1624869,1762284409.371815,2.519085,2.528684,0.009542,0.014342
1624869,1762284409.371819,2.518765,2.529324,0.009382,0.014662
1624885,1762284409.387810,2.517165,2.528364,0.008582,0.014182
1624885,1762284409.387837,2.518125,2.529644,0.009062,0.014822
1624885,1762284409.387844,2.515885,2.530604,0.007942,0.015302
1624885,1762284409.387850,2.516845,2.529644,0.008422,0.014822
1624885,1762284409.387856,2.515565,2.529644,0.007782,0.014822
1624885,1762284409.387861,2.515565,2.529324,0.007782,0.014662
1624885,1762284409.387867,2.514925,2.530284,0.007462,0.015142
1624885,1762284409.387872,2.514285,2.529644,0.007142,0.014822
1624885,1762284409.387878,2.514925,2.529964,0.007462,0.014982
1624885,1762284409.387883,2.513325,2.529964,0.006663,0.014982
1624900,1762284409.403552,2.512685,2.529324,0.006343,0.014662
1624900,1762284409.403601,2.513325,2.530284,0.006663,0.015142
1624900,1762284409.403619,2.511405,2.529644,0.005703,0.014822
1624900,1762284409.403634,2.512045,2.529644,0.006023,0.014822
1624900,1762284409.403647,2.511085,2.529964,0.005543,0.014982
1624901,1762284409.403664,2.511405,2.529004,0.005703,0.014502
1624901,1762284409.403676,2.510765,2.529324,0.005383,0.014662
1624901,1762284409.403692,2.510445,2.529324,0.005223,0.014662
1624901,1762284409.403706,2.509485,2.528364,0.004743,0.014182
1624901,1762284409.403781,2.508525,2.529324,0.004263,0.014662
1624901,1762284409.404366,2.509165,2.528684,0.004583,0.014342
1624901,1762284409.404399,2.508845,2.528684,0.004423,0.014342
1624901,1762284409.404459,2.507246,2.528684,0.003623,0.014342
1624901,1762284409.404474,2.507565,2.527724,0.003783,0.013862
1624901,1762284409.404480,2.506606,2.528044,0.003303,0.014022
1624901,1762284409.404486,2.506606,2.527404,0.003303,0.013702
1624901,1762284409.404504,2.505646,2.527724,0.002823,0.013862
1624901,1762284409.404519,2.505326,2.527404,0.002663,0.013702
1624901,1762284409.404539,2.505646,2.527084,0.002823,0.013542
1624901,1762284409.404554,2.505006,2.526124,0.002503,0.013062
1624916,1762284409.419497,2.505006,2.525164,0.002503,0.012582
1624916,1762284409.419519,2.505006,2.525804,0.002503,0.012902
1624916,1762284409.419524,2.505966,2.523884,0.002983,0.011942
1624916,1762284409.419528,2.504366,2.525164,0.002183,0.012582
1624916,1762284409.419533,2.504046,2.524204,0.002023,0.012102
1624916,1762284409.419536,2.503726,2.524524,0.001863,0.012262
1624916,1762284409.419540,2.504686,2.522924,0.002343,0.011462
1624916,1762284409.419543,2.504366,2.523884,0.002183,0.011942
1624916,1762284409.419547,2.503726,2.522924,0.001863,0.011462
1624916,1762284409.419550,2.503726,2.522604,0.001863,0.011302
1624931,1762284409.434501,2.503406,2.521005,0.001703,0.010502
1624932,1762284409.435524,2.504366,2.521324,0.002183,0.010662
1624932,1762284409.435544,2.503406,2.520685,0.001703,0.010342
1624932,1762284409.435586,2.503086,2.521324,0.001543,0.010662
1624933,1762284409.435664,2.503086,2.520685,0.001543,0.010342
1624933,1762284409.435681,2.503406,2.520365,0.001703,0.010182
1624933,1762284409.436446,2.503406,2.519085,0.001703,0.009542
1624936,1762284409.439038,2.503086,2.519725,0.001543,0.009862
1624936,1762284409.439488,2.503086,2.519405,0.001543,0.009702
1624936,1762284409.439542,2.502446,2.519725,0.001223,0.009862
1624938,1762284409.440682,2.502766,2.518765,0.001383,0.009382
1624938,1762284409.440706,2.502126,2.518765,0.001063,0.009382
1624938,1762284409.440773,2.503086,2.518125,0.001543,0.009062
1624938,1762284409.440790,2.501806,2.518445,0.000903,0.009222
1624939,1762284409.441991,2.503086,2.517485,0.001543,0.008742
1624939,1762284409.442003,2.502126,2.517165,0.001063,0.008582
1624939,1762284409.442012,2.502446,2.517165,0.001223,0.008582
1624939,1762284409.442027,2.501486,2.517805,0.000743,0.008902
1624939,1762284409.442037,2.501486,2.516525,0.000743,0.008262
1624939,1762284409.442046,2.498606,2.517485,-0.000697,0.008742
1624947,1762284409.450383,2.501806,2.516205,0.000903,0.008102
1624947,1762284409.450415,2.498286,2.516845,-0.000857,0.008422
1624947,1762284409.450434,2.510445,2.516525,0.005223,0.008262
1624947,1762284409.450464,2.503406,2.516525,0.001703,0.008262
1624947,1762284409.450500,2.502126,2.515565,0.001063,0.007782
1624947,1762284409.450547,2.495726,2.515885,-0.002137,0.007942
1624947,1762284409.450574,2.503726,2.514925,0.001863,0.007462
1624947,1762284409.450581,2.499886,2.515565,-0.000057,0.007782
1624947,1762284409.450586,2.501166,2.513965,0.000583,0.006983
1624947,1762284409.450594,2.507565,2.515245,0.003783,0.007622
1624948,1762284409.450891,2.524204,2.515245,0.012102,0.007622
1624948,1762284409.450919,2.516205,2.515245,0.008102,0.007622
1624948,1762284409.450927,2.490287,2.515245,-0.004857,0.007622
1624948,1762284409.450940,2.502766,2.515245,0.001383,0.007622
1624948,1762284409.450969,2.494126,2.514605,-0.002937,0.007302
1624948,1762284409.450974,2.504046,2.515565,0.002023,0.007782
1624948,1762284409.450980,2.497326,2.515885,-0.001337,0.007942
1624948,1762284409.450985,2.500526,2.515885,0.000263,0.007942
1624948,1762284409.450991,2.526444,2.516205,0.013222,0.008102
1624948,1762284409.450995,2.502766,2.516845,0.001383,0.008422
1624963,1762284409.466053,2.502766,2.516845,0.001383,0.008422
1624963,1762284409.466112,2.515885,2.516845,0.007942,0.008422
1624963,1762284409.466141,2.504686,2.517485,0.002343,0.008742
1624963,1762284409.466172,2.507565,2.517805,0.003783,0.008902
1624963,1762284409.466188,2.502126,2.518125,0.001063,0.009062
1624963,1762284409.466195,2.502446,2.518765,0.001223,0.009382
1624963,1762284409.466201,2.510445,2.519725,0.005223,0.009862
1624963,1762284409.466207,2.526764,2.520045,0.013382,0.010022
1624963,1762284409.466212,2.508205,2.520685,0.004103,0.010342
1624963,1762284409.466217,2.504046,2.520365,0.002023,0.010182
1624979,1762284409.481784,2.502446,2.520685,0.001223,0.010342
1624979,1762284409.481805,2.518445,2.521644,0.009222,0.010822
1624979,1762284409.481810,2.508525,2.521964,0.004263,0.010982
1624979,1762284409.481816,2.514925,2.523564,0.007462,0.011782
1624979,1762284409.481820,2.503086,2.523564,0.001543,0.011782
1624979,1762284409.481824,2.508845,2.523884,0.004423,0.011942
1624979,1762284409.481827,2.507246,2.523564,0.003623,0.011782
1624979,1762284409.481831,2.506286,2.524524,0.003143,0.012262
1624979,1762284409.481834,2.509485,2.525484,0.004743,0.012742
1624979,1762284409.481838,2.504366,2.525804,0.002183,0.012902
1624996,1762284409.498973,2.505006,2.527084,0.002503,0.013542
1624996,1762284409.499018,2.500846,2.526444,0.000423,0.013222
1624996,1762284409.499039,2.505006,2.527084,0.002503,0.013542
1624996,1762284409.499097,2.505326,2.527084,0.002663,0.013542
1624997,1762284409.500492,2.510765,2.527724,0.005383,0.013862
1624997,1762284409.500510,2.514605,2.528684,0.007302,0.014342
1624997,1762284409.500518,2.504046,2.528044,0.002023,0.014022
1624999,1762284409.502311,2.505966,2.528044,0.002983,0.014022
1624999,1762284409.502355,2.506926,2.529004,0.003463,0.014502
1624999,1762284409.502367,2.509485,2.529324,0.004743,0.014662
1625001,1762284409.503961,2.512365,2.530284,0.006183,0.015142
1625002,1762284409.504666,2.505966,2.529004,0.002983,0.014502
1625002,1762284409.504707,2.507565,2.530284,0.003783,0.015142
1625002,1762284409.504818,2.503086,2.529964,0.001543,0.014982
1625002,1762284409.504828,2.515885,2.529964,0.007942,0.014982
1625002,1762284409.504835,2.505646,2.530924,0.002823,0.015462
1625002,1762284409.504842,2.521964,2.530284,0.010982,0.015142
1625002,1762284409.504849,2.509165,2.531884,0.004583,0.015942
1625002,1762284409.504860,2.504046,2.530604,0.002023,0.015302
1625002,1762284409.504883,2.505326,2.531564,0.002663,0.015782
1625012,1762284409.514864,2.507246,2.531564,0.003623,0.015782
1625012,1762284409.515592,2.502446,2.530924,0.001223,0.015462
1625013,1762284409.515657,2.510445,2.532524,0.005223,0.016262
1625013,1762284409.515723,2.509165,2.532204,0.004583,0.016102
1625013,1762284409.515737,2.517485,2.530604,0.008742,0.015302
1625013,1762284409.515746,2.507246,2.532524,0.003623,0.016262
1625013,1762284409.515754,2.508525,2.532204,0.004263,0.016102
1625013,1762284409.515763,2.505006,2.531884,0.002503,0.015942
1625013,1762284409.515771,2.512045,2.532204,0.006023,0.016102
1625013,1762284409.515779,2.510765,2.532524,0.005383,0.016262
1625013,1762284409.516623,2.501486,2.532524,0.000743,0.016262
1625013,1762284409.516640,2.508525,2.532844,0.004263,0.016422
1625014,1762284409.516673,2.506606,2.532844,0.003303,0.016422
1625014,1762284409.516684,2.502446,2.532524,0.001223,0.016262
1625014,1762284409.516690,2.510445,2.532844,0.005223,0.016422
1625014,1762284409.516707,2.506286,2.532204,0.003143,0.016102
1625014,1762284409.516713,2.508525,2.532524,0.004263,0.016262
1625014,1762284409.516749,2.505646,2.533164,0.002823,0.016582
1625014,1762284409.516765,2.500206,2.532524,0.000103,0.016262
1625014,1762284409.516790,2.508525,2.532524,0.004263,0.016262
1625025,1762284409.528626,2.508205,2.533164,0.004103,0.016582
1625026,1762284409.528723,2.505646,2.531884,0.002823,0.015942
