time_ms,time_ts,v4,v5,g4,g5
1678684,1762284463.265996,2.499566,2.509805,-0.000217,0.004903
1678684,1762284463.266053,2.500526,2.509805,0.000263,0.004903
1678684,1762284463.266067,2.499886,2.509485,-0.000057,0.004743
1678684,1762284463.266078,2.500206,2.509805,0.000103,0.004903
1678684,1762284463.266088,2.499886,2.509165,-0.000057,0.004583
1678684,1762284463.266097,2.501166,2.509165,0.000583,0.004583
1678684,1762284463.266106,2.500526,2.509165,0.000263,0.004583
1678684,1762284463.266113,2.500526,2.510125,0.000263,0.005063
1678684,1762284463.266120,2.500526,2.509165,0.000263,0.004583
1678685,1762284463.266634,2.500526,2.509485,0.000263,0.004743
1678701,1762284463.283106,2.500846,2.509805,0.000423,0.004903
1678701,1762284463.283141,2.501486,2.508525,0.000743,0.004263
1678701,1762284463.283185,2.500846,2.509165,0.000423,0.004583
1678701,1762284463.283198,2.501486,2.508525,0.000743,0.004263
1678701,1762284463.283202,2.500526,2.507885,0.000263,0.003943
1678702,1762284463.284590,2.501166,2.509485,0.000583,0.004743
1678703,1762284463.284615,2.501806,2.508845,0.000903,0.004423
1678704,1762284463.286254,2.501166,2.509165,0.000583,0.004583
1678704,1762284463.286262,2.503406,2.509165,0.001703,0.004583
1678704,1762284463.286284,2.502126,2.508845,0.001063,0.004423
1678716,1762284463.298004,2.502766,2.508525,0.001383,0.004263
1678716,1762284463.298056,2.502126,2.509485,0.001063,0.004743
1678717,1762284463.298686,2.503406,2.508845,0.001703,0.004423
1678717,1762284463.298703,2.503086,2.508845,0.001543,0.004423
1678717,1762284463.298720,2.503406,2.508525,0.001703,0.004263
1678717,1762284463.298738,2.503086,2.509485,0.001543,0.004743
1678717,1762284463.298750,2.503726,2.508845,0.001863,0.004423
1678717,1762284463.298801,2.504366,2.509165,0.002183,0.004583
1678717,1762284463.298815,2.504366,2.509485,0.002183,0.004743
1678717,1762284463.298850,2.503726,2.507565,0.001863,0.003783
1678731,1762284463.313216,2.504366,2.508845,0.002183,0.004423
1678731,1762284463.313260,2.505006,2.509165,0.002503,0.004583
1678731,1762284463.313268,2.504686,2.508205,0.002343,0.004103
1678731,1762284463.313277,2.505006,2.509165,0.002503,0.004583
1678731,1762284463.313315,2.505966,2.508525,0.002983,0.004263
1678731,1762284463.313334,2.505966,2.509165,0.002983,0.004583
1678731,1762284463.313339,2.505966,2.507565,0.002983,0.003783
