time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
3142783,1762285929.513390,ACCEL,0,0.00000,0.12000,0.06749,3142783
3142788,1762285929.614544,ACCEL,0,0.00000,0.12000,0.06749,3142788
3142793,1762285929.614567,ACCEL,1,0.00491,0.12000,0.06763,3142793
3142798,1762285929.614579,ACCEL,1,0.00491,0.12000,0.06763,3142798
3142803,1762285929.614588,ACCEL,1,0.00491,0.12000,0.06763,3142803
3142808,1762285929.614596,ACCEL,1,0.00491,0.12000,0.06763,3142808
3142813,1762285929.614603,ACCEL,1,0.00491,0.12000,0.06763,3142813
3142818,1762285929.614610,ACCEL,1,0.00491,0.12000,0.06763,3142818
3142823,1762285929.614618,ACCEL,1,0.00491,0.12000,0.06763,3142823
3142828,1762285929.614720,ACCEL,1,0.00491,0.12000,0.06763,3142828
3142833,1762285929.614803,ACCEL,2,0.00982,0.12000,0.06776,3142833
3142838,1762285929.614838,ACCEL,2,0.00982,0.12000,0.06776,3142838
3142843,1762285929.614862,ACCEL,2,0.00982,0.12000,0.06776,3142843
3142848,1762285929.614881,ACCEL,2,0.00982,0.12000,0.06776,3142848
3142853,1762285929.614921,ACCEL,2,0.00982,0.12000,0.06776,3142853
3142858,1762285929.614938,ACCEL,2,0.00982,0.12000,0.06776,3142858
3142863,1762285929.614955,ACCEL,2,0.00982,0.12000,0.06776,3142863
3142868,1762285929.614974,ACCEL,2,0.00982,0.12000,0.06776,3142868
3142873,1762285929.614992,ACCEL,3,0.01473,0.12000,0.06790,3142873
3142878,1762285929.615009,ACCEL,3,0.01473,0.12000,0.06790,3142878
3142883,1762285929.615026,ACCEL,3,0.01473,0.12000,0.06790,3142883
3142888,1762285929.615041,ACCEL,3,0.01473,0.12000,0.06790,3142888
3142893,1762285929.615056,ACCEL,3,0.01473,0.12000,0.06790,3142893
3142898,1762285929.615070,ACCEL,3,0.01473,0.12000,0.06790,3142898
3142903,1762285929.615083,ACCEL,3,0.01473,0.12000,0.06790,3142903
3142908,1762285929.615102,ACCEL,3,0.01473,0.12000,0.06790,3142908
3142913,1762285929.615116,ACCEL,4,0.01963,0.12000,0.06803,3142913
3142918,1762285929.615131,ACCEL,4,0.01963,0.12000,0.06803,3142918
3142923,1762285929.615144,ACCEL,4,0.01963,0.12000,0.06803,3142923
3142928,1762285929.615158,ACCEL,4,0.01963,0.12000,0.06803,3142928
3142933,1762285929.615202,ACCEL,4,0.01963,0.12000,0.06803,3142933
3142938,1762285929.615223,ACCEL,4,0.01963,0.12000,0.06803,3142938
3142943,1762285929.615233,ACCEL,4,0.01963,0.12000,0.06803,3142943
3142948,1762285929.615248,ACCEL,4,0.01963,0.12000,0.06803,3142948
3142953,1762285929.615254,ACCEL,4,0.01963,0.12000,0.06803,3142953
3142958,1762285929.615261,ACCEL,5,0.02454,0.12000,0.06817,3142958
3142963,1762285929.615268,ACCEL,5,0.02454,0.12000,0.06817,3142963
3142968,1762285929.615274,ACCEL,5,0.02454,0.12000,0.06817,3142968
3142973,1762285929.615281,ACCEL,5,0.02454,0.12000,0.06817,3142973
3142978,1762285929.615287,ACCEL,5,0.02454,0.12000,0.06817,3142978
3142983,1762285929.615294,ACCEL,5,0.02454,0.12000,0.06817,3142983
3142988,1762285929.615301,ACCEL,5,0.02454,0.12000,0.06817,3142988
3142993,1762285929.615307,ACCEL,5,0.02454,0.12000,0.06817,3142993
3142998,1762285929.615313,ACCEL,6,0.02945,0.12000,0.06831,3142998
