time_ms,time_ts,v4,v5,g4,g5
3255115,1762286042.229323,2.501166,2.507565,0.000583,0.003783
3255115,1762286042.229395,2.500526,2.507565,0.000263,0.003783
3255115,1762286042.229445,2.499886,2.506926,-0.000057,0.003463
3255115,1762286042.229909,2.500206,2.507565,0.000103,0.003783
3255115,1762286042.229929,2.500526,2.507885,0.000263,0.003943
3255116,1762286042.230900,2.499246,2.507565,-0.000377,0.003783
3255118,1762286042.232679,2.499246,2.507885,-0.000377,0.003943
3255119,1762286042.233264,2.499246,2.507885,-0.000377,0.003943
3255119,1762286042.233284,2.498286,2.508525,-0.000857,0.004263
3255124,1762286042.238315,2.498926,2.507565,-0.000537,0.003783
3255130,1762286042.244220,2.498926,2.506606,-0.000537,0.003303
3255130,1762286042.244306,2.498926,2.507565,-0.000537,0.003783
3255130,1762286042.244788,2.498926,2.506926,-0.000537,0.003463
3255131,1762286042.245262,2.498606,2.507246,-0.000697,0.003623
3255131,1762286042.245295,2.497966,2.507565,-0.001017,0.003783
3255131,1762286042.245313,2.497966,2.507885,-0.001017,0.003943
3255131,1762286042.245354,2.497646,2.506926,-0.001177,0.003463
3255131,1762286042.245375,2.498286,2.507565,-0.000857,0.003783
3255131,1762286042.245413,2.497966,2.506926,-0.001017,0.003463
3255131,1762286042.245420,2.497646,2.507565,-0.001177,0.003783
3255131,1762286042.245696,2.497646,2.506286,-0.001177,0.003143
3255131,1762286042.245713,2.498606,2.507885,-0.000697,0.003943
3255131,1762286042.245771,2.498286,2.507885,-0.000857,0.003943
3255131,1762286042.245787,2.496686,2.506606,-0.001657,0.003303
3255131,1762286042.245793,2.497646,2.506926,-0.001177,0.003463
3255131,1762286042.245797,2.497966,2.507246,-0.001017,0.003623
3255132,1762286042.246436,2.497326,2.507246,-0.001337,0.003623
3255132,1762286042.246493,2.497326,2.506606,-0.001337,0.003303
3255132,1762286042.246526,2.498286,2.506926,-0.000857,0.003463
3255132,1762286042.246541,2.497966,2.507885,-0.001017,0.003943
3255145,1762286042.259596,2.497646,2.506606,-0.001177,0.003303
3255145,1762286042.259624,2.497646,2.505966,-0.001177,0.002983
3255145,1762286042.259662,2.497646,2.506926,-0.001177,0.003463
3255145,1762286042.259728,2.497646,2.505966,-0.001177,0.002983
3255145,1762286042.259769,2.497326,2.505646,-0.001337,0.002823
3255145,1762286042.259788,2.497966,2.505646,-0.001017,0.002823
3255145,1762286042.259805,2.497326,2.506606,-0.001337,0.003303
3255145,1762286042.259844,2.497646,2.505646,-0.001177,0.002823
3255145,1762286042.259874,2.497646,2.505646,-0.001177,0.002823
3255145,1762286042.259895,2.498606,2.504686,-0.000697,0.002343
3255161,1762286042.275536,2.498286,2.505966,-0.000857,0.002983
3255161,1762286042.275570,2.497966,2.505966,-0.001017,0.002983
3255161,1762286042.275575,2.497966,2.504686,-0.001017,0.002343
