time_ms,time_ts,v4,v5,g4,g5
1194740,1762295104.906349,2.501166,2.568361,0.000583,0.034181
1194740,1762295104.906404,2.500526,2.567401,0.000263,0.033701
1194740,1762295104.906441,2.501166,2.568361,0.000583,0.034181
1194740,1762295104.906473,2.501806,2.568681,0.000903,0.034341
1194740,1762295104.906495,2.500846,2.569321,0.000423,0.034661
1194740,1762295104.906551,2.501166,2.568361,0.000583,0.034181
1194740,1762295104.906583,2.502446,2.568681,0.001223,0.034341
1194740,1762295104.906599,2.501166,2.569321,0.000583,0.034661
1194740,1762295104.906646,2.502446,2.569641,0.001223,0.034820
1194744,1762295104.910162,2.501806,2.569641,0.000903,0.034820
1194755,1762295104.921823,2.501806,2.570601,0.000903,0.035300
1194755,1762295104.921844,2.501486,2.569641,0.000743,0.034820
1194755,1762295104.921849,2.501166,2.570281,0.000583,0.035140
1194755,1762295104.921853,2.502446,2.570281,0.001223,0.035140
1194755,1762295104.921857,2.501166,2.570281,0.000583,0.035140
1194755,1762295104.921861,2.502766,2.569641,0.001383,0.034820
1194755,1762295104.921864,2.503086,2.569641,0.001543,0.034820
1194755,1762295104.921868,2.502446,2.570601,0.001223,0.035300
1194755,1762295104.921872,2.503406,2.569641,0.001703,0.034820
1194755,1762295104.921875,2.502766,2.569001,0.001383,0.034501
1194772,1762295104.938320,2.503086,2.569321,0.001543,0.034661
1194772,1762295104.938369,2.501486,2.569321,0.000743,0.034661
1194772,1762295104.938388,2.503406,2.568361,0.001703,0.034181
1194772,1762295104.938399,2.503726,2.566761,0.001863,0.033381
1194772,1762295104.938408,2.505006,2.567721,0.002503,0.033861
1194772,1762295104.938874,2.504366,2.568041,0.002183,0.034021
1194773,1762295104.939866,2.504366,2.566761,0.002183,0.033381
1194773,1762295104.939877,2.503406,2.566441,0.001703,0.033221
1194775,1762295104.941561,2.505006,2.566121,0.002503,0.033061
1194775,1762295104.941623,2.505966,2.566761,0.002983,0.033381
1194787,1762295104.953244,2.505326,2.566761,0.002663,0.033381
1194787,1762295104.953287,2.504366,2.565481,0.002183,0.032741
1194787,1762295104.953303,2.505646,2.565161,0.002823,0.032581
1194787,1762295104.953317,2.505966,2.564841,0.002983,0.032421
1194787,1762295104.953360,2.505966,2.565481,0.002983,0.032741
1194787,1762295104.953416,2.505326,2.564521,0.002663,0.032261
