time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1309670,1762295219.819582,ACCEL,0,0.00000,0.12000,0.06749,1309670
1309675,1762295219.922457,ACCEL,0,0.00000,0.12000,0.06749,1309675
1309680,1762295219.922480,ACCEL,1,0.00491,0.12000,0.06763,1309680
1309685,1762295219.922493,ACCEL,1,0.00491,0.12000,0.06763,1309685
1309690,1762295219.922503,ACCEL,1,0.00491,0.12000,0.06763,1309690
1309695,1762295219.922512,ACCEL,1,0.00491,0.12000,0.06763,1309695
1309700,1762295219.922521,ACCEL,1,0.00491,0.12000,0.06763,1309700
1309705,1762295219.922529,ACCEL,1,0.00491,0.12000,0.06763,1309705
1309710,1762295219.922537,ACCEL,1,0.00491,0.12000,0.06763,1309710
1309715,1762295219.922546,ACCEL,1,0.00491,0.12000,0.06763,1309715
1309720,1762295219.922554,ACCEL,2,0.00982,0.12000,0.06776,1309720
1309725,1762295219.922562,ACCEL,2,0.00982,0.12000,0.06776,1309725
1309730,1762295219.922570,ACCEL,2,0.00982,0.12000,0.06776,1309730
1309735,1762295219.922578,ACCEL,2,0.00982,0.12000,0.06776,1309735
1309740,1762295219.922585,ACCEL,2,0.00982,0.12000,0.06776,1309740
1309745,1762295219.922593,ACCEL,2,0.00982,0.12000,0.06776,1309745
1309750,1762295219.922606,ACCEL,2,0.00982,0.12000,0.06776,1309750
1309755,1762295219.922614,ACCEL,2,0.00982,0.12000,0.06776,1309755
1309760,1762295219.923137,ACCEL,3,0.01473,0.12000,0.06790,1309760
1309765,1762295219.923154,ACCEL,3,0.01473,0.12000,0.06790,1309765
1309770,1762295219.923163,ACCEL,3,0.01473,0.12000,0.06790,1309770
1309775,1762295219.923172,ACCEL,3,0.01473,0.12000,0.06790,1309775
1309780,1762295219.923180,ACCEL,3,0.01473,0.12000,0.06790,1309780
1309785,1762295219.923187,ACCEL,3,0.01473,0.12000,0.06790,1309785
1309790,1762295219.923195,ACCEL,3,0.01473,0.12000,0.06790,1309790
1309795,1762295219.923203,ACCEL,3,0.01473,0.12000,0.06790,1309795
1309800,1762295219.923212,ACCEL,4,0.01963,0.12000,0.06803,1309800
1309805,1762295219.923221,ACCEL,4,0.01963,0.12000,0.06803,1309805
1309810,1762295219.923229,ACCEL,4,0.01963,0.12000,0.06803,1309810
1309815,1762295219.923237,ACCEL,4,0.01963,0.12000,0.06803,1309815
1309820,1762295219.923245,ACCEL,4,0.01963,0.12000,0.06803,1309820
1309825,1762295219.923253,ACCEL,4,0.01963,0.12000,0.06803,1309825
1309830,1762295219.923261,ACCEL,4,0.01963,0.12000,0.06803,1309830
1309835,1762295219.923272,ACCEL,4,0.01963,0.12000,0.06803,1309835
1309840,1762295219.923280,ACCEL,4,0.01963,0.12000,0.06803,1309840
1309845,1762295219.923288,ACCEL,5,0.02454,0.12000,0.06817,1309845
1309850,1762295219.923296,ACCEL,5,0.02454,0.12000,0.06817,1309850
1309855,1762295219.923305,ACCEL,5,0.02454,0.12000,0.06817,1309855
1309860,1762295219.923312,ACCEL,5,0.02454,0.12000,0.06817,1309860
1309865,1762295219.923320,ACCEL,5,0.02454,0.12000,0.06817,1309865
1309870,1762295219.923328,ACCEL,5,0.02454,0.12000,0.06817,1309870
1309875,1762295219.923337,ACCEL,5,0.02454,0.12000,0.06817,1309875
1309880,1762295219.923345,ACCEL,5,0.02454,0.12000,0.06817,1309880
1309885,1762295219.923353,ACCEL,6,0.02945,0.12000,0.06831,1309885
1309890,1762295219.923361,ACCEL,6,0.02945,0.12000,0.06831,1309890
1309895,1762295219.923368,ACCEL,6,0.02945,0.12000,0.06831,1309895
1309900,1762295219.923377,ACCEL,6,0.02945,0.12000,0.06831,1309900
1309905,1762295219.923384,ACCEL,6,0.02945,0.12000,0.06831,1309905
1310030,1762295220.193506,ACCEL,9,0.04418,0.12000,0.06872,1310030
1310035,1762295220.193533,ACCEL,9,0.04418,0.12000,0.06872,1310035
1310040,1762295220.196751,ACCEL,9,0.04418,0.12000,0.06872,1310040
1310045,1762295220.196766,ACCEL,9,0.04418,0.12000,0.06872,1310045
1310050,1762295220.196777,ACCEL,10,0.04909,0.12000,0.06885,1310050
1310055,1762295220.196787,ACCEL,10,0.04909,0.12000,0.06885,1310055
1310060,1762295220.196796,ACCEL,10,0.04909,0.12000,0.06885,1310060
1310065,1762295220.196805,ACCEL,10,0.04909,0.12000,0.06885,1310065
1310070,1762295220.196814,ACCEL,10,0.04909,0.12000,0.06885,1310070
1310075,1762295220.196822,ACCEL,10,0.04909,0.12000,0.06885,1310075
1310080,1762295220.196830,ACCEL,10,0.04909,0.12000,0.06885,1310080
1310085,1762295220.196839,ACCEL,10,0.04909,0.12000,0.06885,1310085
1310090,1762295220.196846,ACCEL,11,0.05400,0.12000,0.06899,1310090
1310095,1762295220.196854,ACCEL,11,0.05400,0.12000,0.06899,1310095
1310100,1762295220.196862,ACCEL,11,0.05400,0.12000,0.06899,1310100
1310105,1762295220.196870,ACCEL,11,0.05400,0.12000,0.06899,1310105
1310110,1762295220.196878,ACCEL,11,0.05400,0.12000,0.06899,1310110
1310115,1762295220.196887,ACCEL,11,0.05400,0.12000,0.06899,1310115
1310120,1762295220.196895,ACCEL,11,0.05400,0.12000,0.06899,1310120
1310125,1762295220.196903,ACCEL,11,0.05400,0.12000,0.06899,1310125
1310130,1762295220.196911,ACCEL,12,0.05890,0.12000,0.06912,1310130
1310135,1762295220.196918,ACCEL,12,0.05890,0.12000,0.06912,1310135
1310140,1762295220.196926,ACCEL,12,0.05890,0.12000,0.06912,1310140
1310145,1762295220.196934,ACCEL,12,0.05890,0.12000,0.06912,1310145
1310150,1762295220.196942,ACCEL,12,0.05890,0.12000,0.06912,1310150
1310155,1762295220.196949,ACCEL,12,0.05890,0.12000,0.06912,1310155
1310160,1762295220.196957,ACCEL,12,0.05890,0.12000,0.06912,1310160
1310165,1762295220.196965,ACCEL,12,0.05890,0.12000,0.06912,1310165
