time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
991599,1762294901.231280,ACCEL,0,0.00000,0.12000,0.06749,991599
991604,1762294901.332237,ACCEL,0,0.00000,0.12000,0.06749,991604
991609,1762294901.332259,ACCEL,1,0.00491,0.12000,0.06763,991609
991614,1762294901.332272,ACCEL,1,0.00491,0.12000,0.06763,991614
991619,1762294901.332282,ACCEL,1,0.00491,0.12000,0.06763,991619
991624,1762294901.332292,ACCEL,1,0.00491,0.12000,0.06763,991624
991629,1762294901.333586,ACCEL,1,0.00491,0.12000,0.06763,991629
991634,1762294901.333613,ACCEL,1,0.00491,0.12000,0.06763,991634
991640,1762294901.333630,ACCEL,1,0.00491,0.12000,0.06763,991640
991645,1762294901.333642,ACCEL,1,0.00491,0.12000,0.06763,991645
991649,1762294901.333651,ACCEL,2,0.00982,0.12000,0.06776,991649
991654,1762294901.333660,ACCEL,2,0.00982,0.12000,0.06776,991654
991659,1762294901.333669,ACCEL,2,0.00982,0.12000,0.06776,991659
991664,1762294901.333677,ACCEL,2,0.00982,0.12000,0.06776,991664
991669,1762294901.333686,ACCEL,2,0.00982,0.12000,0.06776,991669
991674,1762294901.333695,ACCEL,2,0.00982,0.12000,0.06776,991674
991679,1762294901.333704,ACCEL,2,0.00982,0.12000,0.06776,991679
991685,1762294901.333712,ACCEL,2,0.00982,0.12000,0.06776,991685
991689,1762294901.333733,ACCEL,3,0.01473,0.12000,0.06790,991689
991695,1762294901.333743,ACCEL,3,0.01473,0.12000,0.06790,991695
991699,1762294901.333752,ACCEL,3,0.01473,0.12000,0.06790,991699
991704,1762294901.333760,ACCEL,3,0.01473,0.12000,0.06790,991704
991709,1762294901.333771,ACCEL,3,0.01473,0.12000,0.06790,991709
991714,1762294901.333778,ACCEL,3,0.01473,0.12000,0.06790,991714
991720,1762294901.333786,ACCEL,3,0.01473,0.12000,0.06790,991720
991724,1762294901.333795,ACCEL,3,0.01473,0.12000,0.06790,991724
991729,1762294901.333803,ACCEL,4,0.01963,0.12000,0.06803,991729
991734,1762294901.333811,ACCEL,4,0.01963,0.12000,0.06803,991734
991739,1762294901.333819,ACCEL,4,0.01963,0.12000,0.06803,991739
991744,1762294901.333826,ACCEL,4,0.01963,0.12000,0.06803,991744
991749,1762294901.333833,ACCEL,4,0.01963,0.12000,0.06803,991749
991754,1762294901.333840,ACCEL,4,0.01963,0.12000,0.06803,991754
991759,1762294901.333848,ACCEL,4,0.01963,0.12000,0.06803,991759
991764,1762294901.333858,ACCEL,4,0.01963,0.12000,0.06803,991764
991769,1762294901.333866,ACCEL,4,0.01963,0.12000,0.06803,991769
991774,1762294901.333874,ACCEL,5,0.02454,0.12000,0.06817,991774
991779,1762294901.333882,ACCEL,5,0.02454,0.12000,0.06817,991779
991784,1762294901.333890,ACCEL,5,0.02454,0.12000,0.06817,991784
991789,1762294901.333896,ACCEL,5,0.02454,0.12000,0.06817,991789
991794,1762294901.333953,ACCEL,5,0.02454,0.12000,0.06817,991794
991799,1762294901.334370,ACCEL,5,0.02454,0.12000,0.06817,991799
991805,1762294901.334394,ACCEL,5,0.02454,0.12000,0.06817,991805
991809,1762294901.334407,ACCEL,5,0.02454,0.12000,0.06817,991809
991814,1762294901.334417,ACCEL,6,0.02945,0.12000,0.06831,991814
991820,1762294901.334426,ACCEL,6,0.02945,0.12000,0.06831,991820
991824,1762294901.334435,ACCEL,6,0.02945,0.12000,0.06831,991824
991829,1762294901.334444,ACCEL,6,0.02945,0.12000,0.06831,991829
991834,1762294901.334452,ACCEL,6,0.02945,0.12000,0.06831,991834
991950,1762294901.594727,ACCEL,9,0.04418,0.12000,0.06872,991950
991954,1762294901.594751,ACCEL,9,0.04418,0.12000,0.06872,991954
991959,1762294901.595284,ACCEL,9,0.04418,0.12000,0.06872,991959
991964,1762294901.595297,ACCEL,9,0.04418,0.12000,0.06872,991964
991969,1762294901.595305,ACCEL,9,0.04418,0.12000,0.06872,991969
991975,1762294901.595314,ACCEL,9,0.04418,0.12000,0.06872,991975
991979,1762294901.595320,ACCEL,10,0.04909,0.12000,0.06885,991979
991984,1762294901.595328,ACCEL,10,0.04909,0.12000,0.06885,991984
991989,1762294901.595334,ACCEL,10,0.04909,0.12000,0.06885,991989
991995,1762294901.595341,ACCEL,10,0.04909,0.12000,0.06885,991995
991999,1762294901.595348,ACCEL,10,0.04909,0.12000,0.06885,991999
992004,1762294901.595354,ACCEL,10,0.04909,0.12000,0.06885,992004
992010,1762294901.595361,ACCEL,10,0.04909,0.12000,0.06885,992010
992014,1762294901.595369,ACCEL,10,0.04909,0.12000,0.06885,992014
992020,1762294901.595375,ACCEL,11,0.05400,0.12000,0.06899,992020
992024,1762294901.595382,ACCEL,11,0.05400,0.12000,0.06899,992024
992029,1762294901.595388,ACCEL,11,0.05400,0.12000,0.06899,992029
992035,1762294901.595396,ACCEL,11,0.05400,0.12000,0.06899,992035
992039,1762294901.595402,ACCEL,11,0.05400,0.12000,0.06899,992039
992044,1762294901.595409,ACCEL,11,0.05400,0.12000,0.06899,992044
992050,1762294901.595416,ACCEL,11,0.05400,0.12000,0.06899,992050
992054,1762294901.595423,ACCEL,11,0.05400,0.12000,0.06899,992054
992060,1762294901.595429,ACCEL,12,0.05890,0.12000,0.06912,992060
992064,1762294901.595436,ACCEL,12,0.05890,0.12000,0.06912,992064
992069,1762294901.595442,ACCEL,12,0.05890,0.12000,0.06912,992069
992075,1762294901.595448,ACCEL,12,0.05890,0.12000,0.06912,992075
992079,1762294901.595454,ACCEL,12,0.05890,0.12000,0.06912,992079
992084,1762294901.595461,ACCEL,12,0.05890,0.12000,0.06912,992084
992089,1762294901.595467,ACCEL,12,0.05890,0.12000,0.06912,992089
992094,1762294901.595474,ACCEL,12,0.05890,0.12000,0.06912,992094
992099,1762294901.595480,ACCEL,13,0.06381,0.12000,0.06926,992099
992104,1762294901.595486,ACCEL,13,0.06381,0.12000,0.06926,992104
992109,1762294901.595492,ACCEL,13,0.06381,0.12000,0.06926,992109
992114,1762294901.595498,ACCEL,13,0.06381,0.12000,0.06926,992114
992120,1762294901.595504,ACCEL,13,0.06381,0.12000,0.06926,992120
992125,1762294901.595510,ACCEL,13,0.06381,0.12000,0.06926,992125
992129,1762294901.595516,ACCEL,13,0.06381,0.12000,0.06926,992129
992134,1762294901.595521,ACCEL,13,0.06381,0.12000,0.06926,992134
992139,1762294901.595528,ACCEL,14,0.06872,0.12000,0.06940,992139
992144,1762294901.595534,ACCEL,14,0.06872,0.12000,0.06940,992144
992149,1762294901.595540,ACCEL,14,0.06872,0.12000,0.06940,992149
992154,1762294901.595546,ACCEL,14,0.06872,0.12000,0.06940,992154
992160,1762294901.595552,ACCEL,14,0.06872,0.12000,0.06940,992160
992164,1762294901.595558,ACCEL,14,0.06872,0.12000,0.06940,992164
992169,1762294901.595564,ACCEL,14,0.06872,0.12000,0.06940,992169
992174,1762294901.595572,ACCEL,14,0.06872,0.12000,0.06940,992174
992179,1762294901.595578,ACCEL,15,0.07363,0.12000,0.06953,992179
992184,1762294901.595583,ACCEL,15,0.07363,0.12000,0.06953,992184
992189,1762294901.595590,ACCEL,15,0.07363,0.12000,0.06953,992189
992195,1762294901.595596,ACCEL,15,0.07363,0.12000,0.06953,992195
992214,1762294901.852248,ACCEL,15,0.07363,0.12000,0.06953,992214
992219,1762294901.852264,ACCEL,15,0.07363,0.12000,0.06953,992219
992224,1762294901.852349,ACCEL,16,0.07854,0.12000,0.06967,992224
992229,1762294901.852357,ACCEL,16,0.07854,0.12000,0.06967,992229
992235,1762294901.852365,ACCEL,16,0.07854,0.12000,0.06967,992235
992239,1762294901.852376,ACCEL,16,0.07854,0.12000,0.06967,992239
992244,1762294901.852383,ACCEL,16,0.07854,0.12000,0.06967,992244
992249,1762294901.852390,ACCEL,16,0.07854,0.12000,0.06967,992249
992254,1762294901.852397,ACCEL,16,0.07854,0.12000,0.06967,992254
992259,1762294901.852404,ACCEL,16,0.07854,0.12000,0.06967,992259
992264,1762294901.852412,ACCEL,17,0.08345,0.12000,0.06980,992264
992269,1762294901.852420,ACCEL,17,0.08345,0.12000,0.06980,992269
