time_ms,time_ts,v4,v5,g4,g5
1099440,1762295009.468871,2.500526,2.610598,0.000263,0.055299
1099440,1762295009.468946,2.501166,2.611558,0.000583,0.055779
1099441,1762295009.470311,2.501806,2.612518,0.000903,0.056259
1099443,1762295009.472280,2.500526,2.613798,0.000263,0.056899
1099444,1762295009.472745,2.500526,2.611558,0.000263,0.055779
1099444,1762295009.472781,2.500846,2.612838,0.000423,0.056419
1099444,1762295009.473075,2.501806,2.612518,0.000903,0.056259
1099444,1762295009.473085,2.501486,2.613158,0.000743,0.056579
1099444,1762295009.473156,2.501486,2.613158,0.000743,0.056579
1099449,1762295009.477646,2.501166,2.613158,0.000583,0.056579
1099455,1762295009.483793,2.500526,2.612838,0.000263,0.056419
1099457,1762295009.486267,2.501486,2.612518,0.000743,0.056259
1099457,1762295009.486294,2.501806,2.613158,0.000903,0.056579
1099457,1762295009.486312,2.502766,2.613478,0.001383,0.056739
1099457,1762295009.486319,2.503086,2.613158,0.001543,0.056579
1099457,1762295009.486325,2.501486,2.612198,0.000743,0.056099
1099457,1762295009.486332,2.503086,2.612518,0.001543,0.056259
1099457,1762295009.486343,2.503086,2.611238,0.001543,0.055619
1099457,1762295009.486349,2.503406,2.611238,0.001703,0.055619
1099457,1762295009.486354,2.503086,2.610598,0.001543,0.055299
1099458,1762295009.487406,2.503406,2.610598,0.001703,0.055299
1099458,1762295009.487429,2.502446,2.609318,0.001223,0.054659
1099458,1762295009.487436,2.504046,2.608358,0.002023,0.054179
1099458,1762295009.487441,2.504686,2.607718,0.002343,0.053859
1099458,1762295009.487455,2.504366,2.606758,0.002183,0.053379
1099459,1762295009.487482,2.503726,2.606118,0.001863,0.053059
1099459,1762295009.487488,2.503086,2.607078,0.001543,0.053539
1099459,1762295009.487493,2.504046,2.604838,0.002023,0.052419
1099459,1762295009.487499,2.505006,2.605478,0.002503,0.052739
1099459,1762295009.487528,2.504046,2.604518,0.002023,0.052259
1099471,1762295009.499794,2.503726,2.599719,0.001863,0.049859
1099471,1762295009.499832,2.504046,2.600359,0.002023,0.050179
1099471,1762295009.499840,2.504046,2.599399,0.002023,0.049699
1099471,1762295009.499866,2.503406,2.599399,0.001703,0.049699
1099471,1762295009.499872,2.503406,2.597799,0.001703,0.048899
1099471,1762295009.499890,2.504046,2.597159,0.002023,0.048579
1099471,1762295009.499895,2.504686,2.596519,0.002343,0.048260
1099471,1762295009.499901,2.503726,2.595559,0.001863,0.047780
1099471,1762295009.499952,2.503086,2.592039,0.001543,0.046020
1099471,1762295009.499985,2.504366,2.592359,0.002183,0.046180
1099486,1762295009.514920,2.504046,2.590119,0.002023,0.045060
1099486,1762295009.514961,2.503726,2.587880,0.001863,0.043940
1099486,1762295009.514967,2.503726,2.587560,0.001863,0.043780
1099486,1762295009.514972,2.504366,2.585640,0.002183,0.042820
1099486,1762295009.514977,2.504046,2.585960,0.002023,0.042980
1099486,1762295009.514981,2.504046,2.583400,0.002023,0.041700
1099486,1762295009.514986,2.503406,2.583400,0.001703,0.041700
1099486,1762295009.514990,2.505006,2.580520,0.002503,0.040260
1099486,1762295009.514995,2.504686,2.581160,0.002343,0.040580
1099486,1762295009.515000,2.504366,2.578280,0.002183,0.039140
1099502,1762295009.531125,2.504686,2.578280,0.002343,0.039140
1099502,1762295009.531157,2.505006,2.575401,0.002503,0.037700
1099502,1762295009.531163,2.503726,2.573801,0.001863,0.036900
1099502,1762295009.531169,2.505326,2.573481,0.002663,0.036740
1099502,1762295009.531175,2.505326,2.571881,0.002663,0.035940
1099502,1762295009.531180,2.505006,2.571241,0.002503,0.035620
1099502,1762295009.531185,2.504686,2.570281,0.002343,0.035140
1099503,1762295009.531680,2.504686,2.570601,0.002343,0.035300
1099506,1762295009.534970,2.504366,2.568041,0.002183,0.034021
1099506,1762295009.535008,2.504366,2.568361,0.002183,0.034181
1099507,1762295009.535832,2.505326,2.566121,0.002663,0.033061
1099507,1762295009.535861,2.505006,2.565481,0.002503,0.032741
1099507,1762295009.535867,2.505326,2.566121,0.002663,0.033061
1099507,1762295009.535872,2.504046,2.564521,0.002023,0.032261
1099507,1762295009.535908,2.504686,2.563881,0.002343,0.031941
1099507,1762295009.535926,2.504046,2.563241,0.002023,0.031621
1099507,1762295009.535977,2.504366,2.563561,0.002183,0.031781
1099507,1762295009.535987,2.504686,2.562601,0.002343,0.031301
1099507,1762295009.536338,2.504046,2.562921,0.002023,0.031461
1099507,1762295009.536345,2.503406,2.561002,0.001703,0.030501
1099517,1762295009.546123,2.504046,2.561962,0.002023,0.030981
1099517,1762295009.546153,2.504366,2.560362,0.002183,0.030181
1099517,1762295009.546164,2.504046,2.560362,0.002023,0.030181
1099517,1762295009.546175,2.504046,2.559402,0.002023,0.029701
1099517,1762295009.546193,2.503726,2.558442,0.001863,0.029221
1099517,1762295009.546234,2.503406,2.559722,0.001703,0.029861
1099517,1762295009.546363,2.503406,2.559082,0.001703,0.029541
1099517,1762295009.546426,2.502446,2.558122,0.001223,0.029061
1099518,1762295009.546492,2.503406,2.558122,0.001703,0.029061
1099518,1762295009.546511,2.503086,2.558442,0.001543,0.029221
1099519,1762295009.547529,2.504046,2.557802,0.002023,0.028901
1099519,1762295009.547548,2.503406,2.557482,0.001703,0.028741
1099519,1762295009.547561,2.504046,2.556842,0.002023,0.028421
1099519,1762295009.547922,2.503726,2.557162,0.001863,0.028581
1099519,1762295009.547963,2.503406,2.557482,0.001703,0.028741
1099519,1762295009.547977,2.503726,2.556522,0.001863,0.028261
1099519,1762295009.547989,2.503726,2.556202,0.001863,0.028101
1099519,1762295009.548001,2.504366,2.555882,0.002183,0.027941
1099519,1762295009.548033,2.504366,2.556202,0.002183,0.028101
1099519,1762295009.548060,2.504046,2.557482,0.002023,0.028741
1099533,1762295009.561984,2.503726,2.556522,0.001863,0.028261
1099533,1762295009.562007,2.503726,2.555562,0.001863,0.027781
1099533,1762295009.562019,2.504366,2.556842,0.002183,0.028421
1099533,1762295009.562029,2.504366,2.557482,0.002183,0.028741
1099533,1762295009.562061,2.503726,2.558122,0.001863,0.029061
1099533,1762295009.562072,2.503406,2.558442,0.001703,0.029221
1099533,1762295009.562078,2.504046,2.558442,0.002023,0.029221
1099533,1762295009.562085,2.504686,2.557802,0.002343,0.028901
1099533,1762295009.562091,2.504366,2.559082,0.002183,0.029541
1099533,1762295009.562157,2.504366,2.559082,0.002183,0.029541
1099549,1762295009.577930,2.503086,2.559722,0.001543,0.029861
1099549,1762295009.577970,2.503086,2.560362,0.001543,0.030181
1099549,1762295009.577981,2.502766,2.560042,0.001383,0.030021
1099549,1762295009.577991,2.502126,2.561322,0.001063,0.030661
1099549,1762295009.578000,2.502766,2.561322,0.001383,0.030661
1099549,1762295009.578009,2.501806,2.561642,0.000903,0.030821
1099549,1762295009.578017,2.502766,2.562282,0.001383,0.031141
1099549,1762295009.578026,2.502766,2.562282,0.001383,0.031141
1099549,1762295009.578034,2.502766,2.562282,0.001383,0.031141
1099549,1762295009.578046,2.502126,2.562921,0.001063,0.031461
1099549,1762295009.578271,2.501806,2.561322,0.000903,0.030661
1099549,1762295009.578285,2.500846,2.563561,0.000423,0.031781
1099549,1762295009.578295,2.500846,2.561962,0.000423,0.030981
1099549,1762295009.578303,2.501486,2.562921,0.000743,0.031461
1099549,1762295009.578312,2.501806,2.562282,0.000903,0.031141
1099549,1762295009.578331,2.502446,2.562282,0.001223,0.031141
1099549,1762295009.578340,2.502126,2.562921,0.001063,0.031461
1099549,1762295009.578347,2.501166,2.563241,0.000583,0.031621
1099549,1762295009.578356,2.500526,2.563241,0.000263,0.031621
1099549,1762295009.578363,2.500846,2.563241,0.000423,0.031621
1099565,1762295009.593567,2.500846,2.562921,0.000423,0.031461
1099565,1762295009.593604,2.500846,2.562601,0.000423,0.031301
1099565,1762295009.593616,2.501486,2.563561,0.000743,0.031781
1099565,1762295009.593625,2.501166,2.563561,0.000583,0.031781
1099565,1762295009.593634,2.500846,2.563241,0.000423,0.031621
1099565,1762295009.593642,2.500526,2.563561,0.000263,0.031781
1099565,1762295009.593651,2.501486,2.563561,0.000743,0.031781
1099565,1762295009.593660,2.500846,2.563561,0.000423,0.031781
1099565,1762295009.593668,2.502446,2.563881,0.001223,0.031941
1099565,1762295009.593686,2.502446,2.565481,0.001223,0.032741
1099581,1762295009.609986,2.500526,2.565161,0.000263,0.032581
1099581,1762295009.610039,2.500846,2.564841,0.000423,0.032421
1099581,1762295009.610097,2.501166,2.563241,0.000583,0.031621
1099581,1762295009.610129,2.501166,2.565481,0.000583,0.032741
1099581,1762295009.610163,2.501806,2.565161,0.000903,0.032581
1099581,1762295009.610182,2.501486,2.566121,0.000743,0.033061
1099581,1762295009.610230,2.500526,2.567081,0.000263,0.033541
1099581,1762295009.610256,2.500206,2.567081,0.000103,0.033541
1099581,1762295009.610263,2.500206,2.567081,0.000103,0.033541
1099581,1762295009.610268,2.500526,2.567401,0.000263,0.033701
1099582,1762295009.610479,2.500526,2.569001,0.000263,0.034501
1099582,1762295009.610490,2.500206,2.569641,0.000103,0.034820
1099582,1762295009.610507,2.498926,2.569641,-0.000537,0.034820
1099582,1762295009.610513,2.498926,2.569641,-0.000537,0.034820
1099582,1762295009.610519,2.498606,2.570601,-0.000697,0.035300
1099582,1762295009.610524,2.498926,2.569961,-0.000537,0.034980
1099582,1762295009.610530,2.499246,2.571881,-0.000377,0.035940
1099582,1762295009.610535,2.498926,2.572521,-0.000537,0.036260
1099582,1762295009.610541,2.498606,2.572841,-0.000697,0.036420
1099582,1762295009.610548,2.498926,2.572841,-0.000537,0.036420
1099597,1762295009.625499,2.499246,2.572521,-0.000377,0.036260
1099597,1762295009.625548,2.499566,2.573801,-0.000217,0.036900
1099597,1762295009.625579,2.498926,2.574121,-0.000537,0.037060
1099597,1762295009.625625,2.499246,2.573801,-0.000377,0.036900
1099597,1762295009.625694,2.500206,2.574441,0.000103,0.037220
