time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2697670,1762293200.724702,ACCEL,0,0.00000,0.12000,0.06749,2697670
2697675,1762293200.827281,ACCEL,0,0.00000,0.12000,0.06749,2697675
2697680,1762293200.827329,ACCEL,1,0.00491,0.12000,0.06763,2697680
2697685,1762293200.827358,ACCEL,1,0.00491,0.12000,0.06763,2697685
2697690,1762293200.827381,ACCEL,1,0.00491,0.12000,0.06763,2697690
2697695,1762293200.827483,ACCEL,1,0.00491,0.12000,0.06763,2697695
2697700,1762293200.828208,ACCEL,1,0.00491,0.12000,0.06763,2697700
2697705,1762293200.829005,ACCEL,1,0.00491,0.12000,0.06763,2697705
2697710,1762293200.829032,ACCEL,1,0.00491,0.12000,0.06763,2697710
2697715,1762293200.829046,ACCEL,1,0.00491,0.12000,0.06763,2697715
2697720,1762293200.829056,ACCEL,2,0.00982,0.12000,0.06776,2697720
2697725,1762293200.829066,ACCEL,2,0.00982,0.12000,0.06776,2697725
2697730,1762293200.829077,ACCEL,2,0.00982,0.12000,0.06776,2697730
2697735,1762293200.829085,ACCEL,2,0.00982,0.12000,0.06776,2697735
2697740,1762293200.829093,ACCEL,2,0.00982,0.12000,0.06776,2697740
2697745,1762293200.829102,ACCEL,2,0.00982,0.12000,0.06776,2697745
2697750,1762293200.829110,ACCEL,2,0.00982,0.12000,0.06776,2697750
2697755,1762293200.829117,ACCEL,2,0.00982,0.12000,0.06776,2697755
2697760,1762293200.829140,ACCEL,3,0.01473,0.12000,0.06790,2697760
2697765,1762293200.829147,ACCEL,3,0.01473,0.12000,0.06790,2697765
2697770,1762293200.829556,ACCEL,3,0.01473,0.12000,0.06790,2697770
2697775,1762293200.829630,ACCEL,3,0.01473,0.12000,0.06790,2697775
2697780,1762293200.829669,ACCEL,3,0.01473,0.12000,0.06790,2697780
2697785,1762293200.829681,ACCEL,3,0.01473,0.12000,0.06790,2697785
2697790,1762293200.829691,ACCEL,3,0.01473,0.12000,0.06790,2697790
2697795,1762293200.829699,ACCEL,3,0.01473,0.12000,0.06790,2697795
2697800,1762293200.829767,ACCEL,4,0.01963,0.12000,0.06803,2697800
2697805,1762293200.829816,ACCEL,4,0.01963,0.12000,0.06803,2697805
2697810,1762293200.829882,ACCEL,4,0.01963,0.12000,0.06803,2697810
2697815,1762293200.829906,ACCEL,4,0.01963,0.12000,0.06803,2697815
2697820,1762293200.829916,ACCEL,4,0.01963,0.12000,0.06803,2697820
2697825,1762293200.829924,ACCEL,4,0.01963,0.12000,0.06803,2697825
2697830,1762293200.829932,ACCEL,4,0.01963,0.12000,0.06803,2697830
2697835,1762293200.829943,ACCEL,4,0.01963,0.12000,0.06803,2697835
2697840,1762293200.829951,ACCEL,4,0.01963,0.12000,0.06803,2697840
2697845,1762293200.829958,ACCEL,5,0.02454,0.12000,0.06817,2697845
2697850,1762293200.829965,ACCEL,5,0.02454,0.12000,0.06817,2697850
2697855,1762293200.829978,ACCEL,5,0.02454,0.12000,0.06817,2697855
2697860,1762293200.829986,ACCEL,5,0.02454,0.12000,0.06817,2697860
2697865,1762293200.829993,ACCEL,5,0.02454,0.12000,0.06817,2697865
2697870,1762293200.830001,ACCEL,5,0.02454,0.12000,0.06817,2697870
2697875,1762293200.830008,ACCEL,5,0.02454,0.12000,0.06817,2697875
2697880,1762293200.830014,ACCEL,5,0.02454,0.12000,0.06817,2697880
2697885,1762293200.830021,ACCEL,6,0.02945,0.12000,0.06831,2697885
