time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
890539,1762294800.014400,ACCEL,0,0.00000,0.12000,0.06749,890539
890544,1762294800.115916,ACCEL,0,0.00000,0.12000,0.06749,890544
890549,1762294800.115948,ACCEL,1,0.00491,0.12000,0.06763,890549
890554,1762294800.115966,ACCEL,1,0.00491,0.12000,0.06763,890554
890559,1762294800.115980,ACCEL,1,0.00491,0.12000,0.06763,890559
890564,1762294800.115994,ACCEL,1,0.00491,0.12000,0.06763,890564
890569,1762294800.116007,ACCEL,1,0.00491,0.12000,0.06763,890569
890574,1762294800.116019,ACCEL,1,0.00491,0.12000,0.06763,890574
890579,1762294800.116031,ACCEL,1,0.00491,0.12000,0.06763,890579
890584,1762294800.116043,ACCEL,1,0.00491,0.12000,0.06763,890584
890589,1762294800.116055,ACCEL,2,0.00982,0.12000,0.06776,890589
890594,1762294800.116069,ACCEL,2,0.00982,0.12000,0.06776,890594
890599,1762294800.116083,ACCEL,2,0.00982,0.12000,0.06776,890599
890604,1762294800.116928,ACCEL,2,0.00982,0.12000,0.06776,890604
890609,1762294800.116949,ACCEL,2,0.00982,0.12000,0.06776,890609
890614,1762294800.116998,ACCEL,2,0.00982,0.12000,0.06776,890614
890619,1762294800.117027,ACCEL,2,0.00982,0.12000,0.06776,890619
890624,1762294800.117043,ACCEL,2,0.00982,0.12000,0.06776,890624
890629,1762294800.117055,ACCEL,3,0.01473,0.12000,0.06790,890629
890634,1762294800.117067,ACCEL,3,0.01473,0.12000,0.06790,890634
890639,1762294800.117078,ACCEL,3,0.01473,0.12000,0.06790,890639
890644,1762294800.117089,ACCEL,3,0.01473,0.12000,0.06790,890644
890649,1762294800.117107,ACCEL,3,0.01473,0.12000,0.06790,890649
890654,1762294800.117119,ACCEL,3,0.01473,0.12000,0.06790,890654
890659,1762294800.117130,ACCEL,3,0.01473,0.12000,0.06790,890659
890664,1762294800.117141,ACCEL,3,0.01473,0.12000,0.06790,890664
890669,1762294800.117152,ACCEL,4,0.01963,0.12000,0.06803,890669
890674,1762294800.117164,ACCEL,4,0.01963,0.12000,0.06803,890674
890679,1762294800.117175,ACCEL,4,0.01963,0.12000,0.06803,890679
890684,1762294800.117185,ACCEL,4,0.01963,0.12000,0.06803,890684
890689,1762294800.117245,ACCEL,4,0.01963,0.12000,0.06803,890689
890694,1762294800.117274,ACCEL,4,0.01963,0.12000,0.06803,890694
890699,1762294800.117287,ACCEL,4,0.01963,0.12000,0.06803,890699
890704,1762294800.117299,ACCEL,4,0.01963,0.12000,0.06803,890704
890709,1762294800.117308,ACCEL,4,0.01963,0.12000,0.06803,890709
890714,1762294800.117315,ACCEL,5,0.02454,0.12000,0.06817,890714
890719,1762294800.117335,ACCEL,5,0.02454,0.12000,0.06817,890719
890724,1762294800.117344,ACCEL,5,0.02454,0.12000,0.06817,890724
890729,1762294800.117350,ACCEL,5,0.02454,0.12000,0.06817,890729
890734,1762294800.117357,ACCEL,5,0.02454,0.12000,0.06817,890734
890739,1762294800.118110,ACCEL,5,0.02454,0.12000,0.06817,890739
890744,1762294800.118132,ACCEL,5,0.02454,0.12000,0.06817,890744
