time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
529041,1762294437.955369,ACCEL,0,0.00000,0.12000,0.06749,529041
529046,1762294438.056484,ACCEL,0,0.00000,0.12000,0.06749,529046
529051,1762294438.056504,ACCEL,1,0.00491,0.12000,0.06763,529051
529056,1762294438.056517,ACCEL,1,0.00491,0.12000,0.06763,529056
529061,1762294438.056526,ACCEL,1,0.00491,0.12000,0.06763,529061
529066,1762294438.056535,ACCEL,1,0.00491,0.12000,0.06763,529066
529071,1762294438.056544,ACCEL,1,0.00491,0.12000,0.06763,529071
529076,1762294438.056552,ACCEL,1,0.00491,0.12000,0.06763,529076
529081,1762294438.056560,ACCEL,1,0.00491,0.12000,0.06763,529081
529086,1762294438.056568,ACCEL,1,0.00491,0.12000,0.06763,529086
529091,1762294438.056576,ACCEL,2,0.00982,0.12000,0.06776,529091
529096,1762294438.056583,ACCEL,2,0.00982,0.12000,0.06776,529096
529101,1762294438.056591,ACCEL,2,0.00982,0.12000,0.06776,529101
529106,1762294438.056599,ACCEL,2,0.00982,0.12000,0.06776,529106
529111,1762294438.056606,ACCEL,2,0.00982,0.12000,0.06776,529111
529116,1762294438.056614,ACCEL,2,0.00982,0.12000,0.06776,529116
529121,1762294438.056621,ACCEL,2,0.00982,0.12000,0.06776,529121
529126,1762294438.056629,ACCEL,2,0.00982,0.12000,0.06776,529126
529131,1762294438.056637,ACCEL,3,0.01473,0.12000,0.06790,529131
529136,1762294438.056644,ACCEL,3,0.01473,0.12000,0.06790,529136
529141,1762294438.056652,ACCEL,3,0.01473,0.12000,0.06790,529141
529146,1762294438.056659,ACCEL,3,0.01473,0.12000,0.06790,529146
529151,1762294438.056669,ACCEL,3,0.01473,0.12000,0.06790,529151
529156,1762294438.056677,ACCEL,3,0.01473,0.12000,0.06790,529156
529161,1762294438.056684,ACCEL,3,0.01473,0.12000,0.06790,529161
529166,1762294438.056692,ACCEL,3,0.01473,0.12000,0.06790,529166
529171,1762294438.056699,ACCEL,4,0.01963,0.12000,0.06803,529171
529176,1762294438.056707,ACCEL,4,0.01963,0.12000,0.06803,529176
529181,1762294438.056715,ACCEL,4,0.01963,0.12000,0.06803,529181
529186,1762294438.056722,ACCEL,4,0.01963,0.12000,0.06803,529186
529191,1762294438.056729,ACCEL,4,0.01963,0.12000,0.06803,529191
529196,1762294438.056736,ACCEL,4,0.01963,0.12000,0.06803,529196
529201,1762294438.056742,ACCEL,4,0.01963,0.12000,0.06803,529201
529206,1762294438.056751,ACCEL,4,0.01963,0.12000,0.06803,529206
529211,1762294438.056758,ACCEL,4,0.01963,0.12000,0.06803,529211
529217,1762294438.056766,ACCEL,5,0.02454,0.12000,0.06817,529217
529221,1762294438.056773,ACCEL,5,0.02454,0.12000,0.06817,529221
529226,1762294438.056780,ACCEL,5,0.02454,0.12000,0.06817,529226
529231,1762294438.056787,ACCEL,5,0.02454,0.12000,0.06817,529231
529236,1762294438.056795,ACCEL,5,0.02454,0.12000,0.06817,529236
