time_ms,time_ts,v4,v5,g4,g5
280736,1762294189.499780,2.502766,2.517485,0.001383,0.008742
280736,1762294189.499847,2.502446,2.516525,0.001223,0.008262
280736,1762294189.499891,2.501806,2.515885,0.000903,0.007942
280736,1762294189.499933,2.502446,2.515885,0.001223,0.007942
280736,1762294189.499948,2.502126,2.515565,0.001063,0.007782
280736,1762294189.499973,2.501486,2.516525,0.000743,0.008262
280736,1762294189.499986,2.501806,2.514925,0.000903,0.007462
280736,1762294189.500452,2.502126,2.515565,0.001063,0.007782
280737,1762294189.500488,2.501166,2.515885,0.000583,0.007942
280737,1762294189.501163,2.501806,2.515245,0.000903,0.007622
280753,1762294189.516887,2.502126,2.516205,0.001063,0.008102
280753,1762294189.516930,2.501806,2.514285,0.000903,0.007142
280753,1762294189.516938,2.502446,2.514605,0.001223,0.007302
280753,1762294189.516944,2.502126,2.514925,0.001063,0.007462
280753,1762294189.516949,2.502126,2.513005,0.001063,0.006503
280753,1762294189.516955,2.501806,2.513965,0.000903,0.006983
280753,1762294189.516977,2.502126,2.513965,0.001063,0.006983
280753,1762294189.517008,2.502446,2.513005,0.001223,0.006503
280754,1762294189.518334,2.502766,2.513005,0.001383,0.006503
280754,1762294189.518342,2.502766,2.512365,0.001383,0.006183
280770,1762294189.533935,2.503086,2.512685,0.001543,0.006343
280770,1762294189.534388,2.503086,2.513005,0.001543,0.006503
280770,1762294189.534441,2.503726,2.512685,0.001863,0.006343
280770,1762294189.534467,2.503726,2.512045,0.001863,0.006023
280770,1762294189.534473,2.503726,2.512365,0.001863,0.006183
280771,1762294189.534480,2.504046,2.512685,0.002023,0.006343
280771,1762294189.534510,2.504046,2.512365,0.002023,0.006183
280771,1762294189.534550,2.504046,2.511725,0.002023,0.005863
280771,1762294189.534607,2.503726,2.513645,0.001863,0.006823
280771,1762294189.534616,2.503406,2.511725,0.001703,0.005863
280771,1762294189.535269,2.505326,2.511725,0.002663,0.005863
280771,1762294189.535297,2.503406,2.513005,0.001703,0.006503
280771,1762294189.535305,2.503406,2.511405,0.001703,0.005703
280771,1762294189.535312,2.504686,2.511405,0.002343,0.005703
280771,1762294189.535318,2.503406,2.512685,0.001703,0.006343
280771,1762294189.535325,2.504366,2.511405,0.002183,0.005703
280771,1762294189.535357,2.503406,2.511405,0.001703,0.005703
280771,1762294189.535364,2.504046,2.511405,0.002023,0.005703
280771,1762294189.535375,2.504046,2.512045,0.002023,0.006023
280772,1762294189.535733,2.504686,2.511085,0.002343,0.005543
280784,1762294189.547825,2.504366,2.511085,0.002183,0.005543
280784,1762294189.547873,2.504366,2.510445,0.002183,0.005223
280784,1762294189.547901,2.505006,2.511725,0.002503,0.005863
280784,1762294189.547981,2.503726,2.512365,0.001863,0.006183
280784,1762294189.548017,2.504366,2.511405,0.002183,0.005703
280784,1762294189.548052,2.504046,2.512045,0.002023,0.006023
280784,1762294189.548068,2.504686,2.510445,0.002343,0.005223
280784,1762294189.548074,2.505006,2.511405,0.002503,0.005703
280784,1762294189.548103,2.504686,2.511085,0.002343,0.005543
280784,1762294189.548120,2.505646,2.510125,0.002823,0.005063
280800,1762294189.563849,2.504686,2.510765,0.002343,0.005383
280800,1762294189.563908,2.505646,2.510445,0.002823,0.005223
280800,1762294189.563921,2.504686,2.510125,0.002343,0.005063
280800,1762294189.563933,2.505006,2.510765,0.002503,0.005383
280800,1762294189.563945,2.505646,2.509165,0.002823,0.004583
280800,1762294189.563955,2.505966,2.510125,0.002983,0.005063
280800,1762294189.563965,2.505966,2.510445,0.002983,0.005223
280800,1762294189.563975,2.505646,2.510125,0.002823,0.005063
280800,1762294189.563985,2.506606,2.510125,0.003303,0.005063
280800,1762294189.563995,2.505966,2.509805,0.002983,0.004903
280815,1762294189.578766,2.505966,2.510125,0.002983,0.005063
280816,1762294189.579921,2.506606,2.510765,0.003303,0.005383
280816,1762294189.579969,2.505646,2.510445,0.002823,0.005223
280816,1762294189.579988,2.506286,2.510445,0.003143,0.005223
280816,1762294189.579993,2.506286,2.511085,0.003143,0.005543
280816,1762294189.580001,2.506926,2.510445,0.003463,0.005223
280816,1762294189.580006,2.506926,2.512045,0.003463,0.006023
280816,1762294189.580052,2.506606,2.511085,0.003303,0.005543
280817,1762294189.581031,2.506606,2.511725,0.003303,0.005863
280820,1762294189.584264,2.506286,2.512365,0.003143,0.006183
280821,1762294189.584849,2.506606,2.511725,0.003303,0.005863
280821,1762294189.585212,2.507885,2.512365,0.003943,0.006183
280821,1762294189.585220,2.505646,2.513325,0.002823,0.006663
280821,1762294189.585226,2.505966,2.512365,0.002983,0.006183
280821,1762294189.585231,2.506606,2.513005,0.003303,0.006503
280821,1762294189.585253,2.506926,2.513645,0.003463,0.006823
280821,1762294189.585271,2.506286,2.513965,0.003143,0.006983
280821,1762294189.585280,2.506926,2.514285,0.003463,0.007142
280821,1762294189.585330,2.505966,2.508845,0.002983,0.004423
280821,1762294189.585347,2.507246,2.514285,0.003623,0.007142
280831,1762294189.595358,2.507246,2.514285,0.003623,0.007142
280831,1762294189.595402,2.505966,2.514925,0.002983,0.007462
280832,1762294189.595866,2.506926,2.511725,0.003463,0.005863
280832,1762294189.595878,2.506926,2.518445,0.003463,0.009222
280832,1762294189.595902,2.506606,2.523244,0.003303,0.011622
280832,1762294189.595914,2.506286,2.513965,0.003143,0.006983
280832,1762294189.595937,2.506926,2.517485,0.003463,0.008742
280832,1762294189.595955,2.505966,2.510765,0.002983,0.005383
280832,1762294189.596025,2.506606,2.522284,0.003303,0.011142
280832,1762294189.596077,2.506606,2.511085,0.003303,0.005543
280833,1762294189.596645,2.506606,2.513965,0.003303,0.006983
280833,1762294189.596672,2.506286,2.513965,0.003143,0.006983
280833,1762294189.596680,2.506606,2.510765,0.003303,0.005383
280833,1762294189.596687,2.505966,2.509165,0.002983,0.004583
280833,1762294189.597069,2.506286,2.504686,0.003143,0.002343
280833,1762294189.597124,2.506606,2.512045,0.003303,0.006023
280833,1762294189.597132,2.506606,2.510125,0.003303,0.005063
280833,1762294189.597138,2.505966,2.505646,0.002983,0.002823
280833,1762294189.597145,2.506926,2.519725,0.003463,0.009862
280833,1762294189.597168,2.505646,2.512045,0.002823,0.006023
280847,1762294189.610717,2.505966,2.509805,0.002983,0.004903
280847,1762294189.610736,2.506926,2.524524,0.003463,0.012262
280847,1762294189.610743,2.505966,2.519405,0.002983,0.009702
280847,1762294189.610749,2.506606,2.509485,0.003303,0.004743
280847,1762294189.610754,2.506606,2.527084,0.003303,0.013542
280847,1762294189.610759,2.504686,2.512045,0.002343,0.006023
280847,1762294189.610798,2.505966,2.526124,0.002983,0.013062
280847,1762294189.610845,2.505966,2.508525,0.002983,0.004263
280847,1762294189.610911,2.504686,2.521005,0.002343,0.010502
280847,1762294189.610931,2.505646,2.519405,0.002823,0.009702
280862,1762294189.626212,2.505326,2.519085,0.002663,0.009542
280862,1762294189.626234,2.504366,2.509165,0.002183,0.004583
280862,1762294189.626238,2.504686,2.504046,0.002343,0.002023
280862,1762294189.626241,2.504046,2.515885,0.002023,0.007942
280862,1762294189.626245,2.504686,2.509485,0.002343,0.004743
280862,1762294189.626249,2.503406,2.529004,0.001703,0.014502
280862,1762294189.626253,2.503406,2.527724,0.001703,0.013862
280862,1762294189.626256,2.503086,2.517165,0.001543,0.008582
280862,1762294189.626260,2.503406,2.514605,0.001703,0.007302
280862,1762294189.626263,2.503726,2.508845,0.001863,0.004423
280878,1762294189.642259,2.504046,2.518125,0.002023,0.009062
280878,1762294189.642306,2.503406,2.509485,0.001703,0.004743
280878,1762294189.642321,2.502766,2.518125,0.001383,0.009062
280878,1762294189.642331,2.502766,2.511085,0.001383,0.005543
280878,1762294189.642343,2.503086,2.513005,0.001543,0.006503
280878,1762294189.642363,2.501806,2.512685,0.000903,0.006343
