time_ms,time_ts,v4,v5,g4,g5
1843319,1762295754.491405,2.501806,2.514925,0.000903,0.007462
1843319,1762295754.491461,2.503086,2.516205,0.001543,0.008102
1843319,1762295754.491498,2.501806,2.515885,0.000903,0.007942
1843319,1762295754.491517,2.501166,2.514925,0.000583,0.007462
1843319,1762295754.491544,2.502766,2.514925,0.001383,0.007462
1843319,1762295754.491554,2.502766,2.515245,0.001383,0.007622
1843319,1762295754.491586,2.502766,2.515885,0.001383,0.007942
1843319,1762295754.491626,2.502126,2.514925,0.001063,0.007462
1843319,1762295754.491652,2.503086,2.514925,0.001543,0.007462
1843322,1762295754.494716,2.503726,2.514605,0.001863,0.007302
1843335,1762295754.507041,2.503726,2.516205,0.001863,0.008102
1843335,1762295754.507119,2.503406,2.515245,0.001703,0.007622
1843335,1762295754.507160,2.503406,2.514605,0.001703,0.007302
1843335,1762295754.507168,2.504366,2.514605,0.002183,0.007302
1843335,1762295754.507604,2.504366,2.514925,0.002183,0.007462
1843335,1762295754.507611,2.504046,2.514285,0.002023,0.007142
1843335,1762295754.507615,2.505326,2.514285,0.002663,0.007142
1843335,1762295754.507626,2.505006,2.514285,0.002503,0.007142
1843336,1762295754.508697,2.516525,2.513965,0.008262,0.006983
1843339,1762295754.511163,2.506286,2.514605,0.003143,0.007302
1843351,1762295754.523909,2.507885,2.513965,0.003943,0.006983
1843352,1762295754.524352,2.508205,2.513645,0.004103,0.006823
1843352,1762295754.524373,2.505646,2.512685,0.002823,0.006343
1843352,1762295754.524380,2.508845,2.513325,0.004423,0.006663
1843352,1762295754.524386,2.513005,2.512685,0.006503,0.006343
1843352,1762295754.524392,2.511085,2.513005,0.005543,0.006503
1843352,1762295754.524397,2.507885,2.512045,0.003943,0.006023
1843352,1762295754.524415,2.511085,2.512685,0.005543,0.006343
1843352,1762295754.524423,2.528044,2.513325,0.014022,0.006663
1843352,1762295754.524427,2.510125,2.511725,0.005063,0.005863
1843366,1762295754.538330,2.523564,2.511085,0.011782,0.005543
1843366,1762295754.538359,2.517485,2.512045,0.008742,0.006023
1843366,1762295754.538366,2.515565,2.511405,0.007782,0.005703
1843366,1762295754.538374,2.510125,2.512045,0.005063,0.006023
1843366,1762295754.538394,2.513325,2.511725,0.006663,0.005863
1843366,1762295754.538417,2.518445,2.511405,0.009222,0.005703
1843366,1762295754.538424,2.515245,2.511405,0.007622,0.005703
1843366,1762295754.538451,2.534124,2.511405,0.017062,0.005703
1843366,1762295754.538469,2.522604,2.511085,0.011302,0.005543
1843366,1762295754.538476,2.539883,2.512045,0.019942,0.006023
1843366,1762295754.538739,2.513005,2.511405,0.006503,0.005703
1843366,1762295754.538751,2.525164,2.511405,0.012582,0.005703
1843366,1762295754.538760,2.519085,2.510765,0.009542,0.005383
1843366,1762295754.538770,2.548203,2.510445,0.024101,0.005223
1843366,1762295754.538776,2.537963,2.511405,0.018982,0.005703
1843366,1762295754.538792,2.530924,2.511405,0.015462,0.005703
1843366,1762295754.538798,2.514285,2.512045,0.007142,0.006023
1843366,1762295754.538803,2.540203,2.512045,0.020102,0.006023
1843366,1762295754.538808,2.523884,2.511405,0.011942,0.005703
1843366,1762295754.538814,2.535403,2.511405,0.017702,0.005703
1843381,1762295754.553698,2.526764,2.512685,0.013382,0.006343
1843381,1762295754.553747,2.527404,2.511085,0.013702,0.005543
1843381,1762295754.553758,2.526444,2.512365,0.013222,0.006183
1843381,1762295754.553770,2.514925,2.511085,0.007462,0.005543
1843381,1762295754.553779,2.519405,2.511725,0.009702,0.005863
1843381,1762295754.553788,2.526124,2.511085,0.013062,0.005543
1843381,1762295754.553798,2.529324,2.511725,0.014662,0.005863
1843381,1762295754.553806,2.520365,2.510765,0.010182,0.005383
1843381,1762295754.553815,2.522604,2.510765,0.011302,0.005383
1843381,1762295754.553823,2.525164,2.510125,0.012582,0.005063
1843397,1762295754.569522,2.522924,2.511725,0.011462,0.005863
1843398,1762295754.570777,2.521324,2.511085,0.010662,0.005543
1843398,1762295754.570799,2.525164,2.509805,0.012582,0.004903
1843398,1762295754.570804,2.514925,2.509805,0.007462,0.004903
1843398,1762295754.570808,2.520685,2.509485,0.010342,0.004743
1843398,1762295754.570813,2.525164,2.510765,0.012582,0.005383
1843398,1762295754.570863,2.528044,2.509165,0.014022,0.004583
1843398,1762295754.570869,2.521644,2.509805,0.010822,0.004903
1843401,1762295754.573279,2.521005,2.508845,0.010502,0.004423
1843403,1762295754.575815,2.522924,2.509805,0.011462,0.004903
1843405,1762295754.577349,2.523884,2.509805,0.011942,0.004903
1843405,1762295754.577376,2.515885,2.509165,0.007942,0.004583
1843405,1762295754.577396,2.523244,2.508845,0.011622,0.004423
1843405,1762295754.577448,2.522924,2.508845,0.011462,0.004423
1843405,1762295754.577474,2.523244,2.509165,0.011622,0.004583
1843405,1762295754.577481,2.521644,2.509805,0.010822,0.004903
1843405,1762295754.577504,2.520365,2.509805,0.010182,0.004903
1843405,1762295754.577513,2.528044,2.509165,0.014022,0.004583
1843405,1762295754.577520,2.541803,2.509485,0.020902,0.004743
1843406,1762295754.578211,2.520365,2.509805,0.010182,0.004903
1843414,1762295754.586177,2.519085,2.509485,0.009542,0.004743
1843414,1762295754.586205,2.517165,2.509485,0.008582,0.004743
1843414,1762295754.586214,2.517805,2.509165,0.008902,0.004583
1843414,1762295754.586221,2.530924,2.508845,0.015462,0.004423
1843414,1762295754.586251,2.512685,2.509165,0.006343,0.004583
1843414,1762295754.586259,2.513005,2.509165,0.006503,0.004583
1843414,1762295754.586266,2.511405,2.508205,0.005703,0.004103
1843414,1762295754.586273,2.514925,2.509485,0.007462,0.004743
1843414,1762295754.586312,2.529644,2.510445,0.014822,0.005223
1843414,1762295754.586320,2.515245,2.509485,0.007622,0.004743
1843414,1762295754.586952,2.515565,2.509165,0.007782,0.004583
1843414,1762295754.587009,2.510125,2.509485,0.005063,0.004743
1843415,1762295754.587045,2.512045,2.508525,0.006023,0.004263
1843415,1762295754.587079,2.515245,2.509165,0.007622,0.004583
1843415,1762295754.587087,2.514605,2.509165,0.007302,0.004583
1843415,1762295754.587092,2.513325,2.509165,0.006663,0.004583
1843415,1762295754.587098,2.516525,2.509485,0.008262,0.004743
1843415,1762295754.587105,2.511725,2.509165,0.005863,0.004583
1843415,1762295754.587111,2.513325,2.509485,0.006663,0.004743
1843415,1762295754.588270,2.520045,2.509165,0.010022,0.004583
1843430,1762295754.602874,2.511405,2.508525,0.005703,0.004263
1843430,1762295754.602945,2.515565,2.509485,0.007782,0.004743
1843430,1762295754.602952,2.518445,2.510125,0.009222,0.005063
1843430,1762295754.602957,2.502126,2.509165,0.001063,0.004583
1843430,1762295754.602995,2.510765,2.509165,0.005383,0.004583
1843430,1762295754.603002,2.507246,2.509485,0.003623,0.004743
1843430,1762295754.603008,2.517485,2.510125,0.008742,0.005063
1843430,1762295754.603014,2.515245,2.509805,0.007622,0.004903
1843430,1762295754.603019,2.510125,2.509485,0.005063,0.004743
1843431,1762295754.603026,2.509165,2.509805,0.004583,0.004903
1843445,1762295754.617576,2.513325,2.510445,0.006663,0.005223
1843445,1762295754.617617,2.511085,2.510125,0.005543,0.005063
1843445,1762295754.617633,2.511085,2.510765,0.005543,0.005383
1843445,1762295754.617640,2.513965,2.511085,0.006983,0.005543
1843445,1762295754.617644,2.509805,2.509805,0.004903,0.004903
1843445,1762295754.617716,2.512365,2.510445,0.006183,0.005223
1843445,1762295754.617730,2.508525,2.511085,0.004263,0.005543
1843445,1762295754.617770,2.511405,2.510765,0.005703,0.005383
1843445,1762295754.617787,2.508845,2.512045,0.004423,0.006023
1843445,1762295754.617804,2.510765,2.512045,0.005383,0.006023
1843446,1762295754.618611,2.507565,2.512045,0.003783,0.006023
1843446,1762295754.618635,2.507246,2.510765,0.003623,0.005383
1843446,1762295754.618645,2.509165,2.510445,0.004583,0.005223
1843446,1762295754.618652,2.505966,2.511085,0.002983,0.005543
1843446,1762295754.618658,2.509805,2.511405,0.004903,0.005703
1843446,1762295754.618682,2.508205,2.511085,0.004103,0.005543
1843446,1762295754.618715,2.506926,2.511405,0.003463,0.005703
1843446,1762295754.618722,2.505006,2.511725,0.002503,0.005863
1843446,1762295754.618728,2.505646,2.510765,0.002823,0.005383
1843446,1762295754.618736,2.505966,2.511085,0.002983,0.005543
1843459,1762295754.631662,2.506286,2.511085,0.003143,0.005543
1843460,1762295754.632174,2.506606,2.511085,0.003303,0.005543
1843460,1762295754.632214,2.505966,2.512365,0.002983,0.006183
1843460,1762295754.632222,2.505326,2.511085,0.002663,0.005543
1843460,1762295754.632227,2.506926,2.510765,0.003463,0.005383
1843460,1762295754.632231,2.506286,2.511405,0.003143,0.005703
1843460,1762295754.632246,2.507565,2.511085,0.003783,0.005543
1843460,1762295754.632252,2.506926,2.510765,0.003463,0.005383
