time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1896722,1762295807.777237,ACCEL,0,0.00000,0.12000,0.06749,1896722
1896727,1762295807.879049,ACCEL,0,0.00000,0.12000,0.06749,1896727
1896732,1762295807.879071,ACCEL,1,0.00491,0.12000,0.06763,1896732
1896737,1762295807.879082,ACCEL,1,0.00491,0.12000,0.06763,1896737
1896742,1762295807.879092,ACCEL,1,0.00491,0.12000,0.06763,1896742
1896747,1762295807.879100,ACCEL,1,0.00491,0.12000,0.06763,1896747
1896752,1762295807.879108,ACCEL,1,0.00491,0.12000,0.06763,1896752
1896757,1762295807.879116,ACCEL,1,0.00491,0.12000,0.06763,1896757
1896762,1762295807.879123,ACCEL,1,0.00491,0.12000,0.06763,1896762
1896767,1762295807.879131,ACCEL,1,0.00491,0.12000,0.06763,1896767
1896772,1762295807.879138,ACCEL,2,0.00982,0.12000,0.06776,1896772
1896777,1762295807.879145,ACCEL,2,0.00982,0.12000,0.06776,1896777
1896782,1762295807.879152,ACCEL,2,0.00982,0.12000,0.06776,1896782
1896787,1762295807.879697,ACCEL,2,0.00982,0.12000,0.06776,1896787
1896792,1762295807.879724,ACCEL,2,0.00982,0.12000,0.06776,1896792
1896797,1762295807.879735,ACCEL,2,0.00982,0.12000,0.06776,1896797
1896802,1762295807.879744,ACCEL,2,0.00982,0.12000,0.06776,1896802
1896807,1762295807.879753,ACCEL,2,0.00982,0.12000,0.06776,1896807
1896812,1762295807.879761,ACCEL,3,0.01473,0.12000,0.06790,1896812
1896817,1762295807.879770,ACCEL,3,0.01473,0.12000,0.06790,1896817
1896822,1762295807.879778,ACCEL,3,0.01473,0.12000,0.06790,1896822
1896827,1762295807.879786,ACCEL,3,0.01473,0.12000,0.06790,1896827
1896832,1762295807.879793,ACCEL,3,0.01473,0.12000,0.06790,1896832
1896837,1762295807.879801,ACCEL,3,0.01473,0.12000,0.06790,1896837
1896842,1762295807.879808,ACCEL,3,0.01473,0.12000,0.06790,1896842
1896847,1762295807.879817,ACCEL,3,0.01473,0.12000,0.06790,1896847
1896852,1762295807.879824,ACCEL,4,0.01963,0.12000,0.06803,1896852
1896857,1762295807.879833,ACCEL,4,0.01963,0.12000,0.06803,1896857
1896862,1762295807.879840,ACCEL,4,0.01963,0.12000,0.06803,1896862
1896867,1762295807.879848,ACCEL,4,0.01963,0.12000,0.06803,1896867
1896872,1762295807.879855,ACCEL,4,0.01963,0.12000,0.06803,1896872
1896877,1762295807.879863,ACCEL,4,0.01963,0.12000,0.06803,1896877
1896882,1762295807.879870,ACCEL,4,0.01963,0.12000,0.06803,1896882
1896887,1762295807.879879,ACCEL,4,0.01963,0.12000,0.06803,1896887
1896892,1762295807.879887,ACCEL,4,0.01963,0.12000,0.06803,1896892
1896897,1762295807.879894,ACCEL,5,0.02454,0.12000,0.06817,1896897
1896902,1762295807.879902,ACCEL,5,0.02454,0.12000,0.06817,1896902
1896907,1762295807.879909,ACCEL,5,0.02454,0.12000,0.06817,1896907
