time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1393387,1762291894.482868,ACCEL,0,0.00000,0.12000,0.06749,1393387
1393392,1762291894.585392,ACCEL,0,0.00000,0.12000,0.06749,1393392
1393397,1762291894.585414,ACCEL,1,0.00491,0.12000,0.06763,1393397
1393402,1762291894.585426,ACCEL,1,0.00491,0.12000,0.06763,1393402
1393407,1762291894.585436,ACCEL,1,0.00491,0.12000,0.06763,1393407
1393412,1762291894.585445,ACCEL,1,0.00491,0.12000,0.06763,1393412
1393417,1762291894.585453,ACCEL,1,0.00491,0.12000,0.06763,1393417
1393422,1762291894.585461,ACCEL,1,0.00491,0.12000,0.06763,1393422
1393427,1762291894.585469,ACCEL,1,0.00491,0.12000,0.06763,1393427
1393432,1762291894.585477,ACCEL,1,0.00491,0.12000,0.06763,1393432
1393437,1762291894.585485,ACCEL,2,0.00982,0.12000,0.06776,1393437
1393442,1762291894.585492,ACCEL,2,0.00982,0.12000,0.06776,1393442
1393447,1762291894.585500,ACCEL,2,0.00982,0.12000,0.06776,1393447
1393452,1762291894.585509,ACCEL,2,0.00982,0.12000,0.06776,1393452
1393457,1762291894.585516,ACCEL,2,0.00982,0.12000,0.06776,1393457
1393462,1762291894.585524,ACCEL,2,0.00982,0.12000,0.06776,1393462
1393467,1762291894.585531,ACCEL,2,0.00982,0.12000,0.06776,1393467
1393472,1762291894.585539,ACCEL,2,0.00982,0.12000,0.06776,1393472
1393477,1762291894.585546,ACCEL,3,0.01473,0.12000,0.06790,1393477
1393482,1762291894.585554,ACCEL,3,0.01473,0.12000,0.06790,1393482
1393487,1762291894.585561,ACCEL,3,0.01473,0.12000,0.06790,1393487
1393492,1762291894.585571,ACCEL,3,0.01473,0.12000,0.06790,1393492
1393497,1762291894.585578,ACCEL,3,0.01473,0.12000,0.06790,1393497
1393502,1762291894.585586,ACCEL,3,0.01473,0.12000,0.06790,1393502
1393507,1762291894.585593,ACCEL,3,0.01473,0.12000,0.06790,1393507
1393512,1762291894.585601,ACCEL,3,0.01473,0.12000,0.06790,1393512
1393517,1762291894.585608,ACCEL,4,0.01963,0.12000,0.06803,1393517
1393522,1762291894.585620,ACCEL,4,0.01963,0.12000,0.06803,1393522
1393527,1762291894.585628,ACCEL,4,0.01963,0.12000,0.06803,1393527
1393532,1762291894.585635,ACCEL,4,0.01963,0.12000,0.06803,1393532
1393537,1762291894.585642,ACCEL,4,0.01963,0.12000,0.06803,1393537
1393542,1762291894.585649,ACCEL,4,0.01963,0.12000,0.06803,1393542
1393547,1762291894.585656,ACCEL,4,0.01963,0.12000,0.06803,1393547
1393552,1762291894.585665,ACCEL,4,0.01963,0.12000,0.06803,1393552
1393557,1762291894.585672,ACCEL,4,0.01963,0.12000,0.06803,1393557
1393562,1762291894.585680,ACCEL,5,0.02454,0.12000,0.06817,1393562
1393567,1762291894.585687,ACCEL,5,0.02454,0.12000,0.06817,1393567
1393572,1762291894.585695,ACCEL,5,0.02454,0.12000,0.06817,1393572
1393577,1762291894.585702,ACCEL,5,0.02454,0.12000,0.06817,1393577
1393582,1762291894.585709,ACCEL,5,0.02454,0.12000,0.06817,1393582
1393587,1762291894.585716,ACCEL,5,0.02454,0.12000,0.06817,1393587
1393592,1762291894.585724,ACCEL,5,0.02454,0.12000,0.06817,1393592
1393597,1762291894.585732,ACCEL,5,0.02454,0.12000,0.06817,1393597
1393602,1762291894.585739,ACCEL,6,0.02945,0.12000,0.06831,1393602
1393607,1762291894.585746,ACCEL,6,0.02945,0.12000,0.06831,1393607
1393612,1762291894.585753,ACCEL,6,0.02945,0.12000,0.06831,1393612
1393617,1762291894.585760,ACCEL,6,0.02945,0.12000,0.06831,1393617
1393622,1762291894.586341,ACCEL,6,0.02945,0.12000,0.06831,1393622
1393742,1762291894.857375,ACCEL,9,0.04418,0.12000,0.06872,1393742
1393747,1762291894.857399,ACCEL,9,0.04418,0.12000,0.06872,1393747
1393752,1762291894.860575,ACCEL,9,0.04418,0.12000,0.06872,1393752
1393757,1762291894.860590,ACCEL,9,0.04418,0.12000,0.06872,1393757
1393762,1762291894.860599,ACCEL,9,0.04418,0.12000,0.06872,1393762
1393767,1762291894.860609,ACCEL,10,0.04909,0.12000,0.06885,1393767
1393772,1762291894.860617,ACCEL,10,0.04909,0.12000,0.06885,1393772
1393777,1762291894.860624,ACCEL,10,0.04909,0.12000,0.06885,1393777
1393782,1762291894.860631,ACCEL,10,0.04909,0.12000,0.06885,1393782
1393787,1762291894.860638,ACCEL,10,0.04909,0.12000,0.06885,1393787
1393792,1762291894.860646,ACCEL,10,0.04909,0.12000,0.06885,1393792
1393797,1762291894.860654,ACCEL,10,0.04909,0.12000,0.06885,1393797
1393802,1762291894.860661,ACCEL,10,0.04909,0.12000,0.06885,1393802
1393807,1762291894.860667,ACCEL,11,0.05400,0.12000,0.06899,1393807
1393812,1762291894.860674,ACCEL,11,0.05400,0.12000,0.06899,1393812
1393817,1762291894.860681,ACCEL,11,0.05400,0.12000,0.06899,1393817
1393822,1762291894.860688,ACCEL,11,0.05400,0.12000,0.06899,1393822
1393827,1762291894.860696,ACCEL,11,0.05400,0.12000,0.06899,1393827
1393832,1762291894.860703,ACCEL,11,0.05400,0.12000,0.06899,1393832
1393837,1762291894.860710,ACCEL,11,0.05400,0.12000,0.06899,1393837
1393842,1762291894.860717,ACCEL,11,0.05400,0.12000,0.06899,1393842
1393847,1762291894.860723,ACCEL,12,0.05890,0.12000,0.06912,1393847
1393852,1762291894.860730,ACCEL,12,0.05890,0.12000,0.06912,1393852
1393857,1762291894.860737,ACCEL,12,0.05890,0.12000,0.06912,1393857
1393862,1762291894.860748,ACCEL,12,0.05890,0.12000,0.06912,1393862
1393867,1762291894.860755,ACCEL,12,0.05890,0.12000,0.06912,1393867
1393872,1762291894.860761,ACCEL,12,0.05890,0.12000,0.06912,1393872
