time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1445137,1762291946.325202,ACCEL,0,0.00000,0.12000,0.06749,1445137
1445142,1762291946.426160,ACCEL,0,0.00000,0.12000,0.06749,1445142
1445147,1762291946.426209,ACCEL,1,0.00491,0.12000,0.06763,1445147
1445152,1762291946.426237,ACCEL,1,0.00491,0.12000,0.06763,1445152
1445157,1762291946.426257,ACCEL,1,0.00491,0.12000,0.06763,1445157
1445162,1762291946.426278,ACCEL,1,0.00491,0.12000,0.06763,1445162
1445167,1762291946.426293,ACCEL,1,0.00491,0.12000,0.06763,1445167
1445172,1762291946.426308,ACCEL,1,0.00491,0.12000,0.06763,1445172
1445177,1762291946.426323,ACCEL,1,0.00491,0.12000,0.06763,1445177
1445182,1762291946.426339,ACCEL,1,0.00491,0.12000,0.06763,1445182
1445187,1762291946.426354,ACCEL,2,0.00982,0.12000,0.06776,1445187
1445192,1762291946.426369,ACCEL,2,0.00982,0.12000,0.06776,1445192
1445197,1762291946.426384,ACCEL,2,0.00982,0.12000,0.06776,1445197
1445202,1762291946.426398,ACCEL,2,0.00982,0.12000,0.06776,1445202
1445207,1762291946.426412,ACCEL,2,0.00982,0.12000,0.06776,1445207
1445212,1762291946.426426,ACCEL,2,0.00982,0.12000,0.06776,1445212
1445217,1762291946.426441,ACCEL,2,0.00982,0.12000,0.06776,1445217
1445222,1762291946.426457,ACCEL,2,0.00982,0.12000,0.06776,1445222
1445227,1762291946.426471,ACCEL,3,0.01473,0.12000,0.06790,1445227
1445232,1762291946.426485,ACCEL,3,0.01473,0.12000,0.06790,1445232
1445237,1762291946.426511,ACCEL,3,0.01473,0.12000,0.06790,1445237
1445242,1762291946.426524,ACCEL,3,0.01473,0.12000,0.06790,1445242
1445247,1762291946.426539,ACCEL,3,0.01473,0.12000,0.06790,1445247
1445252,1762291946.426552,ACCEL,3,0.01473,0.12000,0.06790,1445252
1445257,1762291946.426566,ACCEL,3,0.01473,0.12000,0.06790,1445257
1445262,1762291946.426581,ACCEL,3,0.01473,0.12000,0.06790,1445262
1445267,1762291946.426595,ACCEL,4,0.01963,0.12000,0.06803,1445267
1445272,1762291946.426609,ACCEL,4,0.01963,0.12000,0.06803,1445272
1445277,1762291946.426623,ACCEL,4,0.01963,0.12000,0.06803,1445277
1445282,1762291946.426637,ACCEL,4,0.01963,0.12000,0.06803,1445282
1445287,1762291946.426651,ACCEL,4,0.01963,0.12000,0.06803,1445287
1445292,1762291946.426665,ACCEL,4,0.01963,0.12000,0.06803,1445292
1445297,1762291946.426678,ACCEL,4,0.01963,0.12000,0.06803,1445297
1445302,1762291946.426695,ACCEL,4,0.01963,0.12000,0.06803,1445302
1445307,1762291946.426709,ACCEL,4,0.01963,0.12000,0.06803,1445307
1445312,1762291946.426722,ACCEL,5,0.02454,0.12000,0.06817,1445312
1445317,1762291946.426736,ACCEL,5,0.02454,0.12000,0.06817,1445317
1445322,1762291946.426750,ACCEL,5,0.02454,0.12000,0.06817,1445322
1445327,1762291946.426764,ACCEL,5,0.02454,0.12000,0.06817,1445327
1445332,1762291946.426777,ACCEL,5,0.02454,0.12000,0.06817,1445332
1445337,1762291946.426790,ACCEL,5,0.02454,0.12000,0.06817,1445337
1445342,1762291946.426805,ACCEL,5,0.02454,0.12000,0.06817,1445342
1445347,1762291946.426819,ACCEL,5,0.02454,0.12000,0.06817,1445347
1445352,1762291946.426832,ACCEL,6,0.02945,0.12000,0.06831,1445352
1445357,1762291946.426846,ACCEL,6,0.02945,0.12000,0.06831,1445357
1445362,1762291946.426859,ACCEL,6,0.02945,0.12000,0.06831,1445362
1445367,1762291946.426873,ACCEL,6,0.02945,0.12000,0.06831,1445367
1445372,1762291946.426886,ACCEL,6,0.02945,0.12000,0.06831,1445372
1445507,1762291946.712365,ACCEL,9,0.04418,0.12000,0.06872,1445507
1445512,1762291946.712393,ACCEL,9,0.04418,0.12000,0.06872,1445512
1445517,1762291946.715568,ACCEL,10,0.04909,0.12000,0.06885,1445517
1445522,1762291946.715585,ACCEL,10,0.04909,0.12000,0.06885,1445522
1445527,1762291946.715596,ACCEL,10,0.04909,0.12000,0.06885,1445527
1445532,1762291946.715607,ACCEL,10,0.04909,0.12000,0.06885,1445532
1445537,1762291946.715616,ACCEL,10,0.04909,0.12000,0.06885,1445537
