time_ms,time_ts,v4,v5,g4,g5
1499673,1762292001.141990,2.501806,2.586600,0.000903,0.043300
1499673,1762292001.142080,2.501166,2.605158,0.000583,0.052579
1499673,1762292001.142124,2.502126,2.595239,0.001063,0.047620
1499673,1762292001.142148,2.502126,2.594279,0.001063,0.047140
1499673,1762292001.142156,2.502446,2.610278,0.001223,0.055139
1499673,1762292001.142201,2.501806,2.591079,0.000903,0.045540
1499673,1762292001.142231,2.502126,2.574761,0.001063,0.037380
1499673,1762292001.142249,2.502766,2.607398,0.001383,0.053699
1499673,1762292001.142261,2.502766,2.595239,0.001383,0.047620
1499677,1762292001.145615,2.502766,2.590759,0.001383,0.045380
1499689,1762292001.157967,2.503406,2.592999,0.001703,0.046500
1499689,1762292001.158009,2.502766,2.595559,0.001383,0.047780
1499689,1762292001.158043,2.503406,2.600999,0.001703,0.050499
1499689,1762292001.158062,2.503726,2.601959,0.001863,0.050979
1499689,1762292001.158069,2.504046,2.598119,0.002023,0.049059
1499689,1762292001.158075,2.504686,2.595879,0.002343,0.047940
1499689,1762292001.158080,2.504686,2.600039,0.002343,0.050019
1499689,1762292001.158091,2.504686,2.593319,0.002343,0.046660
1499689,1762292001.158096,2.504686,2.601639,0.002343,0.050819
1499689,1762292001.158102,2.504046,2.598119,0.002023,0.049059
1499705,1762292001.174064,2.504686,2.595239,0.002343,0.047620
1499705,1762292001.174112,2.505646,2.597799,0.002823,0.048899
1499705,1762292001.174124,2.505006,2.600679,0.002503,0.050339
1499705,1762292001.174133,2.504686,2.597159,0.002343,0.048579
1499705,1762292001.174142,2.505646,2.605158,0.002823,0.052579
1499705,1762292001.174152,2.506286,2.600359,0.003143,0.050179
1499705,1762292001.174162,2.505006,2.599079,0.002503,0.049539
1499705,1762292001.174172,2.505966,2.595559,0.002983,0.047780
1499705,1762292001.174182,2.505966,2.601639,0.002983,0.050819
1499705,1762292001.174191,2.505646,2.608998,0.002823,0.054499
1499722,1762292001.191172,2.506606,2.599079,0.003303,0.049539
1499722,1762292001.191281,2.506606,2.598439,0.003303,0.049219
1499722,1762292001.191289,2.505966,2.600679,0.002983,0.050339
1499722,1762292001.191301,2.507246,2.600039,0.003623,0.050019
1499723,1762292001.191305,2.506606,2.604518,0.003303,0.052259
1499723,1762292001.192164,2.506926,2.601639,0.003463,0.050819
1499723,1762292001.192189,2.507565,2.605798,0.003783,0.052899
1499726,1762292001.194630,2.508525,2.595559,0.004263,0.047780
1499726,1762292001.195277,2.508205,2.602599,0.004103,0.051299
1499727,1762292001.195337,2.507885,2.600359,0.003943,0.050179
1499727,1762292001.196009,2.508205,2.598759,0.004103,0.049379
1499727,1762292001.196028,2.509165,2.599079,0.004583,0.049539
1499728,1762292001.196537,2.509805,2.598439,0.004903,0.049219
1499728,1762292001.196547,2.509805,2.611238,0.004903,0.055619
1499728,1762292001.196553,2.508205,2.594599,0.004103,0.047300
1499728,1762292001.196559,2.509165,2.597159,0.004583,0.048579
1499728,1762292001.196564,2.509165,2.593639,0.004583,0.046820
1499728,1762292001.196569,2.508845,2.594919,0.004423,0.047460
1499728,1762292001.196574,2.509805,2.592999,0.004903,0.046500
1499728,1762292001.196579,2.509485,2.592039,0.004743,0.046020
1499740,1762292001.208540,2.510125,2.595239,0.005063,0.047620
1499740,1762292001.209127,2.510445,2.593959,0.005223,0.046980
1499740,1762292001.209209,2.510125,2.596839,0.005063,0.048420
1499740,1762292001.209258,2.510445,2.591079,0.005223,0.045540
1499740,1762292001.209277,2.510445,2.590759,0.005223,0.045380
1499741,1762292001.209306,2.510445,2.595879,0.005223,0.047940
1499741,1762292001.209329,2.510765,2.588520,0.005383,0.044260
1499741,1762292001.209336,2.510765,2.590119,0.005383,0.045060
1499741,1762292001.209342,2.510765,2.590439,0.005383,0.045220
1499741,1762292001.209347,2.510125,2.590119,0.005063,0.045060
1499741,1762292001.209926,2.510125,2.588200,0.005063,0.044100
1499741,1762292001.209956,2.510765,2.586600,0.005383,0.043300
1499741,1762292001.209980,2.510445,2.585320,0.005223,0.042660
1499741,1762292001.209987,2.510445,2.584360,0.005223,0.042180
1499741,1762292001.209992,2.510125,2.586920,0.005063,0.043460
1499741,1762292001.209999,2.510445,2.586920,0.005223,0.043460
1499741,1762292001.210045,2.510445,2.587560,0.005223,0.043780
1499741,1762292001.210052,2.509805,2.585640,0.004903,0.042820
1499741,1762292001.210057,2.510765,2.585000,0.005383,0.042500
1499741,1762292001.210062,2.509805,2.584680,0.004903,0.042340
1499753,1762292001.222213,2.509805,2.585000,0.004903,0.042500
1499753,1762292001.222235,2.510765,2.584360,0.005383,0.042180
1499753,1762292001.222242,2.511405,2.584680,0.005703,0.042340
1499753,1762292001.222258,2.510765,2.582120,0.005383,0.041060
1499753,1762292001.222265,2.510765,2.578280,0.005383,0.039140
1499753,1762292001.222270,2.510445,2.580840,0.005223,0.040420
1499753,1762292001.222275,2.511085,2.581800,0.005543,0.040900
1499753,1762292001.222283,2.509805,2.580520,0.004903,0.040260
1499753,1762292001.222293,2.510445,2.580840,0.005223,0.040420
1499754,1762292001.222307,2.510125,2.578920,0.005063,0.039460
1499769,1762292001.237764,2.511085,2.579880,0.005543,0.039940
1499769,1762292001.237812,2.511085,2.578280,0.005543,0.039140
1499769,1762292001.237823,2.509805,2.579560,0.004903,0.039780
1499769,1762292001.237833,2.510125,2.578280,0.005063,0.039140
1499769,1762292001.237841,2.509485,2.578600,0.004743,0.039300
1499769,1762292001.237852,2.509805,2.578920,0.004903,0.039460
1499769,1762292001.237862,2.510445,2.578600,0.005223,0.039300
1499769,1762292001.237872,2.509165,2.578920,0.004583,0.039460
1499769,1762292001.237882,2.509485,2.577000,0.004743,0.038500
1499769,1762292001.237892,2.508845,2.577640,0.004423,0.038820
1499769,1762292001.238136,2.508845,2.578280,0.004423,0.039140
1499769,1762292001.238149,2.508845,2.576041,0.004423,0.038020
