time_ms,time_ts,v4,v5,g4,g5
1301329,1762291802.471169,2.506926,2.555882,0.003463,0.027941
1301329,1762291802.471294,2.507565,2.555562,0.003783,0.027781
1301329,1762291802.471343,2.507246,2.557482,0.003623,0.028741
1301329,1762291802.471370,2.507885,2.561642,0.003943,0.030821
1301329,1762291802.471390,2.506926,2.561322,0.003463,0.030661
1301329,1762291802.471409,2.507246,2.564201,0.003623,0.032101
1301329,1762291802.471428,2.506286,2.563881,0.003143,0.031941
1301329,1762291802.471446,2.506286,2.565801,0.003143,0.032901
1301329,1762291802.471464,2.507885,2.566441,0.003943,0.033221
1301330,1762291802.471990,2.506606,2.568361,0.003303,0.034181
1301344,1762291802.486494,2.506926,2.568681,0.003463,0.034341
1301344,1762291802.486515,2.505646,2.571561,0.002823,0.035780
1301344,1762291802.486522,2.506286,2.571241,0.003143,0.035620
1301344,1762291802.486528,2.505326,2.574121,0.002663,0.037060
1301344,1762291802.486534,2.505326,2.576360,0.002663,0.038180
1301344,1762291802.486539,2.505646,2.576360,0.002823,0.038180
1301344,1762291802.486544,2.505006,2.578280,0.002503,0.039140
1301344,1762291802.486550,2.504366,2.578280,0.002183,0.039140
1301344,1762291802.486555,2.504686,2.580200,0.002343,0.040100
1301344,1762291802.486563,2.504366,2.581160,0.002183,0.040580
1301360,1762291802.502426,2.504366,2.582120,0.002183,0.041060
1301360,1762291802.502481,2.504046,2.582760,0.002023,0.041380
1301360,1762291802.502489,2.503406,2.584040,0.001703,0.042020
1301360,1762291802.502521,2.503726,2.586600,0.001863,0.043300
1301360,1762291802.502548,2.502766,2.585640,0.001383,0.042820
1301360,1762291802.502613,2.503406,2.587560,0.001703,0.043780
1301360,1762291802.502621,2.501806,2.586920,0.000903,0.043460
1301360,1762291802.502629,2.503406,2.588200,0.001703,0.044100
1301360,1762291802.502634,2.502766,2.588200,0.001383,0.044100
1301360,1762291802.502639,2.503086,2.589480,0.001543,0.044740
1301377,1762291802.519227,2.504046,2.588840,0.002023,0.044420
1301377,1762291802.519284,2.502766,2.589160,0.001383,0.044580
1301377,1762291802.519291,2.503406,2.590119,0.001703,0.045060
1301377,1762291802.519298,2.503406,2.590439,0.001703,0.045220
1301377,1762291802.519308,2.503086,2.590759,0.001543,0.045380
1301377,1762291802.519313,2.501486,2.590759,0.000743,0.045380
1301377,1762291802.519354,2.503406,2.590439,0.001703,0.045220
1301377,1762291802.519413,2.502446,2.591719,0.001223,0.045860
1301377,1762291802.519427,2.503406,2.590439,0.001703,0.045220
1301377,1762291802.519433,2.503726,2.590759,0.001863,0.045380
1301392,1762291802.533916,2.504046,2.590759,0.002023,0.045380
1301392,1762291802.533946,2.504366,2.590439,0.002183,0.045220
1301392,1762291802.533951,2.502766,2.591399,0.001383,0.045700
1301392,1762291802.533955,2.504046,2.590119,0.002023,0.045060
1301392,1762291802.533958,2.503726,2.590759,0.001863,0.045380
1301392,1762291802.533962,2.503086,2.589800,0.001543,0.044900
1301392,1762291802.533966,2.504366,2.590759,0.002183,0.045380
1301392,1762291802.533969,2.504046,2.589800,0.002023,0.044900
1301392,1762291802.533972,2.503726,2.589800,0.001863,0.044900
1301392,1762291802.533976,2.503406,2.589480,0.001703,0.044740
1301392,1762291802.534124,2.504686,2.589800,0.002343,0.044900
1301392,1762291802.534131,2.503726,2.589480,0.001863,0.044740
1301392,1762291802.534135,2.504046,2.588840,0.002023,0.044420
1301392,1762291802.534139,2.504686,2.589160,0.002343,0.044580
1301392,1762291802.534143,2.504686,2.587560,0.002343,0.043780
1301392,1762291802.534146,2.503726,2.588200,0.001863,0.044100
1301392,1762291802.534150,2.503726,2.587880,0.001863,0.043940
1301392,1762291802.534153,2.503726,2.587880,0.001863,0.043940
1301392,1762291802.534157,2.503726,2.587240,0.001863,0.043620
1301392,1762291802.534163,2.503726,2.586920,0.001863,0.043460
1301409,1762291802.550816,2.503406,2.586920,0.001703,0.043460
1301409,1762291802.550856,2.503726,2.585320,0.001863,0.042660
1301409,1762291802.550863,2.505646,2.585640,0.002823,0.042820
1301409,1762291802.550868,2.504686,2.585320,0.002343,0.042660
1301409,1762291802.550873,2.504046,2.584680,0.002023,0.042340
1301409,1762291802.550880,2.504366,2.584680,0.002183,0.042340
1301409,1762291802.551381,2.505006,2.584040,0.002503,0.042020
1301409,1762291802.551417,2.505646,2.584360,0.002823,0.042180
1301410,1762291802.551841,2.505006,2.583720,0.002503,0.041860
1301413,1762291802.554948,2.505326,2.583080,0.002663,0.041540
1301414,1762291802.555952,2.504366,2.581480,0.002183,0.040740
1301414,1762291802.555979,2.505966,2.583080,0.002983,0.041540
1301414,1762291802.556009,2.505646,2.583080,0.002823,0.041540
1301414,1762291802.556070,2.506286,2.582120,0.003143,0.041060
1301414,1762291802.556489,2.505966,2.582120,0.002983,0.041060
1301414,1762291802.556507,2.507246,2.580840,0.003623,0.040420
1301414,1762291802.556514,2.507246,2.581480,0.003623,0.040740
1301414,1762291802.556523,2.506606,2.581480,0.003303,0.040740
1301414,1762291802.556528,2.506926,2.580520,0.003463,0.040260
1301414,1762291802.556533,2.507246,2.580840,0.003623,0.040420
1301425,1762291802.566893,2.507246,2.578920,0.003623,0.039460
1301425,1762291802.566917,2.508205,2.579880,0.004103,0.039940
1301425,1762291802.567087,2.507246,2.580200,0.003623,0.040100
1301425,1762291802.567105,2.507885,2.579560,0.003943,0.039780
1301425,1762291802.567123,2.508525,2.579240,0.004263,0.039620
1301425,1762291802.567129,2.507565,2.578600,0.003783,0.039300
1301425,1762291802.567134,2.508205,2.577640,0.004103,0.038820
1301425,1762291802.567140,2.507565,2.577000,0.003783,0.038500
1301425,1762291802.567145,2.508525,2.576680,0.004263,0.038340
1301425,1762291802.567150,2.508845,2.576360,0.004423,0.038180
1301426,1762291802.567877,2.507885,2.576041,0.003943,0.038020
1301426,1762291802.568223,2.509165,2.576041,0.004583,0.038020
1301426,1762291802.568239,2.507565,2.575401,0.003783,0.037700
1301426,1762291802.568265,2.507565,2.574761,0.003783,0.037380
1301426,1762291802.568270,2.508525,2.574121,0.004263,0.037060
1301426,1762291802.568288,2.507885,2.574121,0.003943,0.037060
1301426,1762291802.568371,2.508205,2.571241,0.004103,0.035620
1301426,1762291802.568403,2.508205,2.571881,0.004103,0.035940
1301426,1762291802.568436,2.507246,2.571241,0.003623,0.035620
1301426,1762291802.568536,2.508525,2.569961,0.004263,0.034980
1301440,1762291802.581694,2.508205,2.569961,0.004103,0.034980
1301440,1762291802.581723,2.508845,2.569321,0.004423,0.034661
1301440,1762291802.581760,2.508845,2.568361,0.004423,0.034181
1301440,1762291802.581804,2.508525,2.568041,0.004263,0.034021
1301440,1762291802.581812,2.508525,2.566121,0.004263,0.033061
1301440,1762291802.581818,2.509165,2.566761,0.004583,0.033381
1301440,1762291802.581824,2.508525,2.564201,0.004263,0.032101
1301440,1762291802.581830,2.509165,2.562601,0.004583,0.031301
1301440,1762291802.581836,2.509165,2.563561,0.004583,0.031781
1301440,1762291802.581844,2.509165,2.561002,0.004583,0.030501
1301455,1762291802.597421,2.510125,2.561002,0.005063,0.030501
1301455,1762291802.597447,2.508845,2.560042,0.004423,0.030021
1301455,1762291802.597452,2.509805,2.559402,0.004903,0.029701
1301455,1762291802.597456,2.509485,2.558442,0.004743,0.029221
1301455,1762291802.597460,2.509485,2.557482,0.004743,0.028741
1301455,1762291802.597464,2.509805,2.556522,0.004903,0.028261
1301455,1762291802.597468,2.509805,2.556522,0.004903,0.028261
1301455,1762291802.597471,2.510125,2.554922,0.005063,0.027461
1301455,1762291802.597475,2.509485,2.553962,0.004743,0.026981
1301455,1762291802.597478,2.509485,2.553002,0.004743,0.026501
1301472,1762291802.614476,2.510445,2.551722,0.005223,0.025861
1301472,1762291802.614552,2.509165,2.552362,0.004583,0.026181
1301472,1762291802.614636,2.509485,2.550762,0.004743,0.025381
1301473,1762291802.614672,2.507885,2.551082,0.003943,0.025541
1301473,1762291802.614713,2.509485,2.549482,0.004743,0.024741
1301473,1762291802.614726,2.509485,2.550122,0.004743,0.025061
1301473,1762291802.614735,2.508525,2.547883,0.004263,0.023941
1301473,1762291802.614751,2.507885,2.546923,0.003943,0.023461
1301473,1762291802.614764,2.508205,2.546603,0.004103,0.023301
1301473,1762291802.614780,2.508845,2.546603,0.004423,0.023301
1301477,1762291802.619429,2.508205,2.545323,0.004103,0.022661
1301477,1762291802.619487,2.508205,2.545003,0.004103,0.022501
1301478,1762291802.619914,2.507885,2.544363,0.003943,0.022181
1301478,1762291802.620010,2.508525,2.543723,0.004263,0.021861
1301478,1762291802.620072,2.507565,2.543083,0.003783,0.021541
1301478,1762291802.620085,2.507885,2.542763,0.003943,0.021381
1301478,1762291802.620158,2.506286,2.542123,0.003143,0.021061
1301478,1762291802.620173,2.508205,2.542443,0.004103,0.021221
1301478,1762291802.620586,2.507565,2.541163,0.003783,0.020582
1301478,1762291802.620605,2.507246,2.540843,0.003623,0.020422
1301487,1762291802.628786,2.506926,2.540203,0.003463,0.020102
1301487,1762291802.628845,2.507565,2.540843,0.003783,0.020422
1301487,1762291802.628873,2.507565,2.540203,0.003783,0.020102
1301487,1762291802.628891,2.506926,2.540203,0.003463,0.020102
1301487,1762291802.628919,2.508205,2.539883,0.004103,0.019942
1301487,1762291802.628927,2.506926,2.538923,0.003463,0.019462
1301487,1762291802.628933,2.507246,2.540203,0.003623,0.020102
1301487,1762291802.628938,2.506926,2.541483,0.003463,0.020742
1301487,1762291802.628942,2.506926,2.539883,0.003463,0.019942
1301487,1762291802.628950,2.506286,2.540843,0.003143,0.020422
1301487,1762291802.629527,2.507246,2.539883,0.003623,0.019942
1301487,1762291802.629548,2.506286,2.541163,0.003143,0.020582
1301487,1762291802.629555,2.507246,2.540843,0.003623,0.020422
1301487,1762291802.629560,2.507246,2.541803,0.003623,0.020902
1301487,1762291802.629572,2.506926,2.541483,0.003463,0.020742
1301487,1762291802.629579,2.505646,2.542763,0.002823,0.021381
1301487,1762291802.629584,2.505326,2.542443,0.002663,0.021221
1301487,1762291802.629589,2.506606,2.544043,0.003303,0.022021
1301487,1762291802.629595,2.505646,2.544683,0.002823,0.022341
1301487,1762291802.629600,2.505646,2.545643,0.002823,0.022821
1301504,1762291802.646031,2.506286,2.546283,0.003143,0.023141
1301504,1762291802.646070,2.505646,2.545643,0.002823,0.022821
1301504,1762291802.646104,2.505326,2.547883,0.002663,0.023941
1301504,1762291802.646111,2.505006,2.547563,0.002503,0.023781
1301504,1762291802.646116,2.504686,2.548523,0.002343,0.024261
1301504,1762291802.646122,2.504366,2.548523,0.002183,0.024261
1301504,1762291802.646127,2.505326,2.550442,0.002663,0.025221
1301504,1762291802.646132,2.504686,2.550122,0.002343,0.025061
1301504,1762291802.646138,2.504366,2.552042,0.002183,0.026021
1301504,1762291802.646143,2.504366,2.553642,0.002183,0.026821
1301519,1762291802.660737,2.504366,2.558442,0.002183,0.029221
1301519,1762291802.660758,2.504686,2.561962,0.002343,0.030981
1301519,1762291802.660763,2.504366,2.553642,0.002183,0.026821
1301519,1762291802.660770,2.504366,2.558122,0.002183,0.029061
1301519,1762291802.660774,2.504366,2.554922,0.002183,0.027461
1301519,1762291802.660777,2.505326,2.559082,0.002663,0.029541
1301519,1762291802.660780,2.504046,2.566761,0.002023,0.033381
1301519,1762291802.660784,2.504686,2.557482,0.002343,0.028741
1301519,1762291802.660788,2.504686,2.561642,0.002343,0.030821
1301519,1762291802.660791,2.504046,2.560682,0.002023,0.030341
1301519,1762291802.660910,2.504686,2.562601,0.002343,0.031301
1301519,1762291802.660916,2.504366,2.564841,0.002183,0.032421
1301519,1762291802.660920,2.504686,2.571881,0.002343,0.035940
1301519,1762291802.660931,2.504366,2.564841,0.002183,0.032421
1301519,1762291802.660936,2.505006,2.561962,0.002503,0.030981
1301519,1762291802.660939,2.504046,2.565801,0.002023,0.032901
1301519,1762291802.660943,2.505326,2.565161,0.002663,0.032581
1301519,1762291802.660946,2.504366,2.567721,0.002183,0.033861
1301519,1762291802.660950,2.504686,2.568041,0.002343,0.034021
1301519,1762291802.660954,2.504686,2.572841,0.002343,0.036420
1301534,1762291802.676380,2.504366,2.575081,0.002183,0.037540
1301534,1762291802.676401,2.505326,2.570601,0.002663,0.035300
1301534,1762291802.676408,2.505006,2.592039,0.002503,0.046020
1301534,1762291802.676413,2.505646,2.582760,0.002823,0.041380
1301534,1762291802.676450,2.505326,2.588200,0.002663,0.044100
1301534,1762291802.676491,2.505006,2.577640,0.002503,0.038820
1301534,1762291802.676501,2.505006,2.578600,0.002503,0.039300
1301534,1762291802.676507,2.504366,2.576360,0.002183,0.038180
1301534,1762291802.676517,2.504686,2.572521,0.002343,0.036260
1301534,1762291802.676533,2.505006,2.575081,0.002503,0.037540
1301550,1762291802.692416,2.504046,2.574121,0.002023,0.037060
