time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1088053,1762291588.699580,ACCEL,0,0.00000,0.12000,0.06749,1088053
1088058,1762291588.801400,ACCEL,0,0.00000,0.12000,0.06749,1088058
1088063,1762291588.801422,ACCEL,1,0.00491,0.12000,0.06763,1088063
1088068,1762291588.801435,ACCEL,1,0.00491,0.12000,0.06763,1088068
1088073,1762291588.801445,ACCEL,1,0.00491,0.12000,0.06763,1088073
1088078,1762291588.801454,ACCEL,1,0.00491,0.12000,0.06763,1088078
1088083,1762291588.801463,ACCEL,1,0.00491,0.12000,0.06763,1088083
1088088,1762291588.801471,ACCEL,1,0.00491,0.12000,0.06763,1088088
1088093,1762291588.801480,ACCEL,1,0.00491,0.12000,0.06763,1088093
1088098,1762291588.801489,ACCEL,1,0.00491,0.12000,0.06763,1088098
1088103,1762291588.801498,ACCEL,2,0.00982,0.12000,0.06776,1088103
1088108,1762291588.801506,ACCEL,2,0.00982,0.12000,0.06776,1088108
1088113,1762291588.801515,ACCEL,2,0.00982,0.12000,0.06776,1088113
1088118,1762291588.801523,ACCEL,2,0.00982,0.12000,0.06776,1088118
1088123,1762291588.801532,ACCEL,2,0.00982,0.12000,0.06776,1088123
1088128,1762291588.801540,ACCEL,2,0.00982,0.12000,0.06776,1088128
1088133,1762291588.801548,ACCEL,2,0.00982,0.12000,0.06776,1088133
1088138,1762291588.801557,ACCEL,2,0.00982,0.12000,0.06776,1088138
1088143,1762291588.801565,ACCEL,3,0.01473,0.12000,0.06790,1088143
1088148,1762291588.801573,ACCEL,3,0.01473,0.12000,0.06790,1088148
1088153,1762291588.801581,ACCEL,3,0.01473,0.12000,0.06790,1088153
1088158,1762291588.801589,ACCEL,3,0.01473,0.12000,0.06790,1088158
1088163,1762291588.801598,ACCEL,3,0.01473,0.12000,0.06790,1088163
1088168,1762291588.801605,ACCEL,3,0.01473,0.12000,0.06790,1088168
1088173,1762291588.801612,ACCEL,3,0.01473,0.12000,0.06790,1088173
1088178,1762291588.801620,ACCEL,3,0.01473,0.12000,0.06790,1088178
1088183,1762291588.801627,ACCEL,4,0.01963,0.12000,0.06803,1088183
1088188,1762291588.801634,ACCEL,4,0.01963,0.12000,0.06803,1088188
1088193,1762291588.801640,ACCEL,4,0.01963,0.12000,0.06803,1088193
1088198,1762291588.801647,ACCEL,4,0.01963,0.12000,0.06803,1088198
1088203,1762291588.804025,ACCEL,4,0.01963,0.12000,0.06803,1088203
1088208,1762291588.804055,ACCEL,4,0.01963,0.12000,0.06803,1088208
1088213,1762291588.804083,ACCEL,4,0.01963,0.12000,0.06803,1088213
1088218,1762291588.804097,ACCEL,4,0.01963,0.12000,0.06803,1088218
1088223,1762291588.804106,ACCEL,4,0.01963,0.12000,0.06803,1088223
1088228,1762291588.804114,ACCEL,5,0.02454,0.12000,0.06817,1088228
1088233,1762291588.804122,ACCEL,5,0.02454,0.12000,0.06817,1088233
1088238,1762291588.804174,ACCEL,5,0.02454,0.12000,0.06817,1088238
1088243,1762291588.804187,ACCEL,5,0.02454,0.12000,0.06817,1088243
1088248,1762291588.804195,ACCEL,5,0.02454,0.12000,0.06817,1088248
1088253,1762291588.804203,ACCEL,5,0.02454,0.12000,0.06817,1088253
1088258,1762291588.804212,ACCEL,5,0.02454,0.12000,0.06817,1088258
1088263,1762291588.804219,ACCEL,5,0.02454,0.12000,0.06817,1088263
1088268,1762291588.804227,ACCEL,6,0.02945,0.12000,0.06831,1088268
1088273,1762291588.804234,ACCEL,6,0.02945,0.12000,0.06831,1088273
1088278,1762291588.804241,ACCEL,6,0.02945,0.12000,0.06831,1088278
1088283,1762291588.804292,ACCEL,6,0.02945,0.12000,0.06831,1088283
1088288,1762291588.804335,ACCEL,6,0.02945,0.12000,0.06831,1088288
1088413,1762291589.072722,ACCEL,9,0.04418,0.12000,0.06872,1088413
1088418,1762291589.072749,ACCEL,9,0.04418,0.12000,0.06872,1088418
1088423,1762291589.073347,ACCEL,9,0.04418,0.12000,0.06872,1088423
1088428,1762291589.073362,ACCEL,9,0.04418,0.12000,0.06872,1088428
1088433,1762291589.073372,ACCEL,10,0.04909,0.12000,0.06885,1088433
1088438,1762291589.073381,ACCEL,10,0.04909,0.12000,0.06885,1088438
1088443,1762291589.073389,ACCEL,10,0.04909,0.12000,0.06885,1088443
1088448,1762291589.073396,ACCEL,10,0.04909,0.12000,0.06885,1088448
1088453,1762291589.073403,ACCEL,10,0.04909,0.12000,0.06885,1088453
1088458,1762291589.073410,ACCEL,10,0.04909,0.12000,0.06885,1088458
1088463,1762291589.073417,ACCEL,10,0.04909,0.12000,0.06885,1088463
1088468,1762291589.073424,ACCEL,10,0.04909,0.12000,0.06885,1088468
1088473,1762291589.073430,ACCEL,11,0.05400,0.12000,0.06899,1088473
1088478,1762291589.073437,ACCEL,11,0.05400,0.12000,0.06899,1088478
1088483,1762291589.073444,ACCEL,11,0.05400,0.12000,0.06899,1088483
1088488,1762291589.073450,ACCEL,11,0.05400,0.12000,0.06899,1088488
1088493,1762291589.073457,ACCEL,11,0.05400,0.12000,0.06899,1088493
