time_ms,time_ts,v4,v5,g4,g5
1909669,1762290005.370775,2.504366,2.592039,0.002183,0.046020
1909669,1762290005.370839,2.502766,2.592679,0.001383,0.046340
1909669,1762290005.370855,2.503406,2.591719,0.001703,0.045860
1909670,1762290005.371937,2.504686,2.592999,0.002343,0.046500
1909670,1762290005.371962,2.504686,2.592999,0.002343,0.046500
1909670,1762290005.371971,2.503726,2.593639,0.001863,0.046820
1909670,1762290005.371978,2.503406,2.593319,0.001703,0.046660
1909670,1762290005.372008,2.503726,2.592999,0.001863,0.046500
1909670,1762290005.372559,2.504046,2.593319,0.002023,0.046660
1909674,1762290005.375946,2.503726,2.593639,0.001863,0.046820
1909685,1762290005.387152,2.503726,2.593959,0.001863,0.046980
1909685,1762290005.387730,2.504366,2.593959,0.002183,0.046980
1909685,1762290005.387761,2.504366,2.594279,0.002183,0.047140
1909685,1762290005.387767,2.504366,2.593639,0.002183,0.046820
1909686,1762290005.387781,2.504686,2.593319,0.002343,0.046660
1909686,1762290005.387787,2.504046,2.593959,0.002023,0.046980
1909686,1762290005.387793,2.504046,2.594279,0.002023,0.047140
1909686,1762290005.387805,2.503406,2.592679,0.001703,0.046340
1909686,1762290005.387810,2.504686,2.592679,0.002343,0.046340
1909686,1762290005.387815,2.504366,2.592359,0.002183,0.046180
1909701,1762290005.402815,2.504366,2.591079,0.002183,0.045540
1909701,1762290005.402867,2.504686,2.591399,0.002343,0.045700
1909701,1762290005.402953,2.505326,2.590119,0.002663,0.045060
1909701,1762290005.402989,2.505326,2.589480,0.002663,0.044740
1909701,1762290005.403005,2.505326,2.589160,0.002663,0.044580
1909701,1762290005.403019,2.505006,2.588200,0.002503,0.044100
1909701,1762290005.403148,2.504686,2.588200,0.002343,0.044100
1909701,1762290005.403204,2.505326,2.586920,0.002663,0.043460
1909701,1762290005.403244,2.505966,2.586280,0.002983,0.043140
1909701,1762290005.403250,2.505326,2.584360,0.002663,0.042180
1909716,1762290005.418742,2.506286,2.585320,0.003143,0.042660
1909717,1762290005.418799,2.505966,2.583080,0.002983,0.041540
1909717,1762290005.418815,2.506606,2.584040,0.003303,0.042020
1909717,1762290005.418869,2.505326,2.582440,0.002663,0.041220
1909717,1762290005.418890,2.505966,2.579560,0.002983,0.039780
1909717,1762290005.418918,2.506606,2.579880,0.003303,0.039940
1909717,1762290005.418946,2.508205,2.577640,0.004103,0.038820
1909717,1762290005.418951,2.507565,2.577320,0.003783,0.038660
1909717,1762290005.418955,2.507246,2.576041,0.003623,0.038020
1909717,1762290005.418969,2.506926,2.575721,0.003463,0.037860
1909733,1762290005.434869,2.506606,2.572841,0.003303,0.036420
1909734,1762290005.435981,2.507885,2.573481,0.003943,0.036740
1909734,1762290005.435998,2.508845,2.571241,0.004423,0.035620
1909734,1762290005.436005,2.507565,2.572841,0.003783,0.036420
1909735,1762290005.437754,2.508525,2.569641,0.004263,0.034820
1909737,1762290005.439630,2.508205,2.565161,0.004103,0.032581
1909737,1762290005.439664,2.510125,2.569961,0.005063,0.034980
1909737,1762290005.439678,2.509485,2.565801,0.004743,0.032901
1909738,1762290005.440266,2.509165,2.565481,0.004583,0.032741
1909738,1762290005.440299,2.510125,2.567081,0.005063,0.033541
1909739,1762290005.441485,2.509805,2.558442,0.004903,0.029221
1909739,1762290005.441503,2.509805,2.554602,0.004903,0.027301
1909739,1762290005.441510,2.508845,2.560362,0.004423,0.030181
1909739,1762290005.441581,2.509805,2.561002,0.004903,0.030501
1909739,1762290005.441610,2.510125,2.556842,0.005063,0.028421
1909739,1762290005.441641,2.510125,2.552042,0.005063,0.026021
1909739,1762290005.441662,2.510765,2.559722,0.005383,0.029861
1909739,1762290005.441675,2.509805,2.546603,0.004903,0.023301
1909739,1762290005.441689,2.511405,2.557482,0.005703,0.028741
1909739,1762290005.441768,2.511085,2.547563,0.005543,0.023781
1909751,1762290005.453443,2.511405,2.536363,0.005703,0.018182
1909752,1762290005.454056,2.512685,2.532844,0.006343,0.016422
1909752,1762290005.454098,2.511405,2.547243,0.005703,0.023621
1909752,1762290005.454124,2.512685,2.534764,0.006343,0.017382
1909752,1762290005.454138,2.512045,2.545003,0.006023,0.022501
1909752,1762290005.454159,2.513325,2.548842,0.006663,0.024421
1909752,1762290005.454628,2.512685,2.550122,0.006343,0.025061
1909752,1762290005.454648,2.511405,2.537323,0.005703,0.018662
1909752,1762290005.454659,2.512685,2.562601,0.006343,0.031301
1909752,1762290005.454675,2.512685,2.556522,0.006343,0.028261
1909753,1762290005.455337,2.512365,2.552042,0.006183,0.026021
1909753,1762290005.455355,2.512685,2.552682,0.006343,0.026341
1909753,1762290005.455364,2.512365,2.558762,0.006183,0.029381
1909753,1762290005.455370,2.513005,2.543403,0.006503,0.021701
1909753,1762290005.455406,2.513645,2.542443,0.006823,0.021221
1909753,1762290005.455411,2.512365,2.535083,0.006183,0.017542
1909753,1762290005.455437,2.511725,2.551082,0.005863,0.025541
1909753,1762290005.455446,2.511725,2.537003,0.005863,0.018502
1909753,1762290005.455451,2.512685,2.542763,0.006343,0.021381
1909753,1762290005.455461,2.512685,2.540203,0.006343,0.020102
1909764,1762290005.466747,2.513325,2.546923,0.006663,0.023461
1909765,1762290005.466787,2.512045,2.542763,0.006023,0.021381
1909765,1762290005.466801,2.511725,2.541163,0.005863,0.020582
1909765,1762290005.466812,2.511405,2.541803,0.005703,0.020902
1909765,1762290005.466822,2.513325,2.552682,0.006663,0.026341
1909765,1762290005.466833,2.511725,2.548523,0.005863,0.024261
1909765,1762290005.466862,2.512365,2.544363,0.006183,0.022181
1909765,1762290005.466922,2.512685,2.549162,0.006343,0.024581
1909765,1762290005.466938,2.511725,2.552682,0.005863,0.026341
1909765,1762290005.466944,2.509805,2.548203,0.004903,0.024101
1909781,1762290005.482895,2.511085,2.551402,0.005543,0.025701
1909781,1762290005.482939,2.510765,2.539243,0.005383,0.019622
1909781,1762290005.482950,2.509485,2.548842,0.004743,0.024421
1909781,1762290005.482964,2.510445,2.544363,0.005223,0.022181
1909781,1762290005.482973,2.509805,2.550762,0.004903,0.025381
1909781,1762290005.482983,2.509485,2.541483,0.004743,0.020742
1909781,1762290005.482993,2.510445,2.552362,0.005223,0.026181
1909781,1762290005.483003,2.509485,2.547243,0.004743,0.023621
1909781,1762290005.483012,2.510125,2.542123,0.005063,0.021061
1909781,1762290005.483042,2.509805,2.559722,0.004903,0.029861
1909796,1762290005.498117,2.508845,2.548203,0.004423,0.024101
1909798,1762290005.499954,2.509165,2.557482,0.004583,0.028741
1909798,1762290005.499979,2.509165,2.556842,0.004583,0.028421
1909798,1762290005.499985,2.508845,2.553962,0.004423,0.026981
1909798,1762290005.500031,2.508845,2.552362,0.004423,0.026181
1909798,1762290005.500049,2.509165,2.551722,0.004583,0.025861
1909798,1762290005.500086,2.509165,2.553002,0.004583,0.026501
1909798,1762290005.500093,2.508525,2.558762,0.004263,0.029381
1909798,1762290005.500096,2.509485,2.559402,0.004743,0.029701
1909798,1762290005.500149,2.508845,2.565481,0.004423,0.032741
1909804,1762290005.505896,2.508205,2.556842,0.004103,0.028421
1909804,1762290005.505972,2.508205,2.557162,0.004103,0.028581
1909804,1762290005.506000,2.507885,2.561002,0.003943,0.030501
1909804,1762290005.506398,2.506926,2.565481,0.003463,0.032741
1909804,1762290005.506434,2.507246,2.559082,0.003623,0.029541
1909804,1762290005.506449,2.507565,2.559082,0.003783,0.029541
1909804,1762290005.506456,2.506606,2.564841,0.003303,0.032421
1909804,1762290005.506461,2.506926,2.562921,0.003463,0.031461
1909804,1762290005.506465,2.506606,2.563241,0.003303,0.031621
1909804,1762290005.506493,2.507565,2.563241,0.003783,0.031621
1909812,1762290005.514273,2.505966,2.563241,0.002983,0.031621
1909812,1762290005.514322,2.506286,2.568041,0.003143,0.034021
1909812,1762290005.514371,2.505646,2.566761,0.002823,0.033381
1909812,1762290005.514402,2.505326,2.564201,0.002663,0.032101
1909812,1762290005.514416,2.505646,2.566441,0.002823,0.033221
1909812,1762290005.514434,2.506286,2.568041,0.003143,0.034021
1909812,1762290005.514452,2.505006,2.568041,0.002503,0.034021
1909812,1762290005.514470,2.505006,2.566441,0.002503,0.033221
1909812,1762290005.514483,2.505326,2.567721,0.002663,0.033861
1909812,1762290005.514498,2.505006,2.569321,0.002503,0.034661
1909812,1762290005.514723,2.504366,2.569321,0.002183,0.034661
1909812,1762290005.514744,2.503726,2.570601,0.001863,0.035300
1909813,1762290005.515208,2.503726,2.570921,0.001863,0.035460
1909815,1762290005.517208,2.503086,2.568681,0.001543,0.034341
1909815,1762290005.517222,2.503086,2.568681,0.001543,0.034341
1909815,1762290005.517634,2.503726,2.570601,0.001863,0.035300
1909815,1762290005.517649,2.504046,2.567081,0.002023,0.033541
1909815,1762290005.517657,2.503406,2.571241,0.001703,0.035620
1909815,1762290005.517663,2.504686,2.571561,0.002343,0.035780
1909815,1762290005.517668,2.504366,2.570281,0.002183,0.035140
1909828,1762290005.530428,2.504686,2.571881,0.002343,0.035940
1909828,1762290005.530479,2.504046,2.571561,0.002023,0.035780
1909828,1762290005.530495,2.505006,2.571241,0.002503,0.035620
1909828,1762290005.530508,2.504366,2.571241,0.002183,0.035620
1909828,1762290005.530520,2.504686,2.571241,0.002343,0.035620
1909828,1762290005.530532,2.504046,2.571881,0.002023,0.035940
1909828,1762290005.530555,2.503726,2.571241,0.001863,0.035620
1909828,1762290005.530569,2.505006,2.570921,0.002503,0.035460
1909828,1762290005.530581,2.503726,2.571241,0.001863,0.035620
1909828,1762290005.530599,2.504046,2.572201,0.002023,0.036100
1909829,1762290005.531009,2.504686,2.570601,0.002343,0.035300
1909829,1762290005.531029,2.504046,2.570281,0.002023,0.035140
1909829,1762290005.531039,2.504686,2.569321,0.002343,0.034661
1909829,1762290005.531044,2.504366,2.569321,0.002183,0.034661
1909830,1762290005.531867,2.505646,2.570921,0.002823,0.035460
1909830,1762290005.531902,2.505326,2.570601,0.002663,0.035300
1909830,1762290005.531934,2.503726,2.570921,0.001863,0.035460
1909830,1762290005.531962,2.504366,2.569961,0.002183,0.034980
1909830,1762290005.531973,2.504686,2.570281,0.002343,0.035140
1909830,1762290005.531984,2.504046,2.568681,0.002023,0.034341
1909844,1762290005.545814,2.504686,2.568361,0.002343,0.034181
1909844,1762290005.545860,2.504686,2.569001,0.002343,0.034501
1909844,1762290005.545873,2.504046,2.567081,0.002023,0.033541
1909844,1762290005.545882,2.503406,2.567721,0.001703,0.033861
1909844,1762290005.545891,2.504686,2.565161,0.002343,0.032581
1909844,1762290005.545900,2.505326,2.565801,0.002663,0.032901
1909844,1762290005.545908,2.505006,2.565161,0.002503,0.032581
1909844,1762290005.545916,2.505646,2.565161,0.002823,0.032581
1909844,1762290005.545925,2.505326,2.564521,0.002663,0.032261
1909844,1762290005.545933,2.505006,2.564201,0.002503,0.032101
1909859,1762290005.560988,2.505326,2.561962,0.002663,0.030981
1909859,1762290005.561020,2.505646,2.561642,0.002823,0.030821
1909859,1762290005.561027,2.505966,2.561642,0.002983,0.030821
1909860,1762290005.562104,2.505646,2.560362,0.002823,0.030181
1909863,1762290005.564972,2.505326,2.559722,0.002663,0.029861
1909863,1762290005.565037,2.506606,2.558442,0.003303,0.029221
1909865,1762290005.567123,2.506606,2.558442,0.003303,0.029221
1909865,1762290005.567152,2.505966,2.556522,0.002983,0.028261
1909865,1762290005.567163,2.506286,2.557482,0.003143,0.028741
1909865,1762290005.567172,2.506606,2.556202,0.003303,0.028101
1909875,1762290005.577347,2.506926,2.555882,0.003463,0.027941
1909875,1762290005.577378,2.507246,2.554602,0.003623,0.027301
1909875,1762290005.577386,2.508205,2.553002,0.004103,0.026501
1909875,1762290005.577393,2.507246,2.553322,0.003623,0.026661
1909875,1762290005.577399,2.507565,2.552362,0.003783,0.026181
1909875,1762290005.577406,2.507885,2.551722,0.003943,0.025861
1909875,1762290005.577413,2.507246,2.551082,0.003623,0.025541
1909875,1762290005.577419,2.507246,2.551402,0.003623,0.025701
1909875,1762290005.577425,2.507246,2.549162,0.003623,0.024581
1909875,1762290005.577431,2.507565,2.548842,0.003783,0.024421
1909875,1762290005.577634,2.506926,2.548523,0.003463,0.024261
1909875,1762290005.577662,2.507246,2.547883,0.003623,0.023941
1909875,1762290005.577670,2.507246,2.547563,0.003623,0.023781
1909875,1762290005.577677,2.506926,2.545643,0.003463,0.022821
1909875,1762290005.577683,2.507246,2.545963,0.003623,0.022981
1909875,1762290005.577710,2.506926,2.545643,0.003463,0.022821
1909875,1762290005.577727,2.507885,2.545003,0.003943,0.022501
1909875,1762290005.577734,2.506926,2.543083,0.003463,0.021541
1909875,1762290005.577760,2.506926,2.543403,0.003463,0.021701
1909876,1762290005.577854,2.507246,2.542123,0.003623,0.021061
1909876,1762290005.577993,2.507565,2.542123,0.003783,0.021061
1909876,1762290005.578020,2.507246,2.542123,0.003623,0.021061
1909876,1762290005.578056,2.507246,2.540523,0.003623,0.020262
1909876,1762290005.578096,2.508525,2.540203,0.004263,0.020102
1909876,1762290005.578104,2.507885,2.539243,0.003943,0.019622
1909876,1762290005.578110,2.508205,2.539243,0.004103,0.019622
1909876,1762290005.578117,2.508205,2.537643,0.004103,0.018822
1909876,1762290005.578123,2.508205,2.538283,0.004103,0.019142
1909876,1762290005.578130,2.508525,2.537963,0.004263,0.018982
1909876,1762290005.578137,2.507885,2.537003,0.003943,0.018502
1909891,1762290005.592949,2.508525,2.536363,0.004263,0.018182
1909891,1762290005.592980,2.520365,2.536363,0.010182,0.018182
1909891,1762290005.592991,2.509165,2.536043,0.004583,0.018022
1909891,1762290005.593000,2.509485,2.534764,0.004743,0.017382
1909891,1762290005.593008,2.521964,2.534444,0.010982,0.017222
1909891,1762290005.593016,2.509485,2.533484,0.004743,0.016742
1909891,1762290005.593023,2.505646,2.533484,0.002823,0.016742
1909891,1762290005.593030,2.532844,2.532524,0.016422,0.016262
1909891,1762290005.593038,2.508205,2.532524,0.004103,0.016262
1909891,1762290005.593045,2.510125,2.531564,0.005063,0.015782
1909906,1762290005.608619,2.510125,2.531244,0.005063,0.015622
1909906,1762290005.608647,2.517805,2.533484,0.008902,0.016742
1909906,1762290005.608653,2.515245,2.532204,0.007622,0.016102
1909906,1762290005.608657,2.514925,2.531884,0.007462,0.015942
1909906,1762290005.608661,2.533804,2.530924,0.016902,0.015462
1909906,1762290005.608666,2.513005,2.532844,0.006503,0.016422
1909906,1762290005.608669,2.512045,2.531244,0.006023,0.015622
1909906,1762290005.608673,2.533804,2.531884,0.016902,0.015942
1909906,1762290005.608677,2.522284,2.531244,0.011142,0.015622
1909906,1762290005.608681,2.517165,2.531244,0.008582,0.015622
1909922,1762290005.624691,2.522604,2.531564,0.011302,0.015782
1909922,1762290005.624722,2.519725,2.530924,0.009862,0.015462
1909922,1762290005.624728,2.526764,2.529964,0.013382,0.014982
1909922,1762290005.624738,2.531244,2.530924,0.015622,0.015462
1909922,1762290005.624769,2.511085,2.530924,0.005543,0.015462
1909923,1762290005.624810,2.503726,2.531564,0.001863,0.015782
1909923,1762290005.624853,2.513645,2.531564,0.006823,0.015782
1909923,1762290005.624876,2.519085,2.531564,0.009542,0.015782
1909923,1762290005.624933,2.501806,2.531884,0.000903,0.015942
1909923,1762290005.624970,2.515565,2.532844,0.007782,0.016422
1909923,1762290005.625529,2.529644,2.531244,0.014822,0.015622
1909923,1762290005.625546,2.524524,2.532204,0.012262,0.016102
1909923,1762290005.625553,2.511085,2.531564,0.005543,0.015782
1909923,1762290005.625559,2.521964,2.532844,0.010982,0.016422
1909923,1762290005.625564,2.497326,2.532204,-0.001337,0.016102
1909923,1762290005.625569,2.520365,2.533484,0.010182,0.016742
1909923,1762290005.625615,2.518445,2.533804,0.009222,0.016902
1909923,1762290005.625641,2.506606,2.533484,0.003303,0.016742
