time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1970887,1762290066.467689,ACCEL,0,0.00000,0.12000,0.03374,1970887
1970892,1762290066.570007,ACCEL,0,0.00000,0.12000,0.03374,1970892
1970897,1762290066.570030,ACCEL,1,0.00491,0.12000,0.03381,1970897
1970902,1762290066.570042,ACCEL,1,0.00491,0.12000,0.03381,1970902
1970907,1762290066.570052,ACCEL,1,0.00491,0.12000,0.03381,1970907
1970912,1762290066.570062,ACCEL,1,0.00491,0.12000,0.03381,1970912
1970917,1762290066.570071,ACCEL,1,0.00491,0.12000,0.03381,1970917
1970922,1762290066.570079,ACCEL,1,0.00491,0.12000,0.03381,1970922
1970927,1762290066.570088,ACCEL,1,0.00491,0.12000,0.03381,1970927
1970932,1762290066.570096,ACCEL,1,0.00491,0.12000,0.03381,1970932
1970937,1762290066.570105,ACCEL,2,0.00982,0.12000,0.03388,1970937
1970942,1762290066.570116,ACCEL,2,0.00982,0.12000,0.03388,1970942
1970947,1762290066.570125,ACCEL,2,0.00982,0.12000,0.03388,1970947
1970952,1762290066.570132,ACCEL,2,0.00982,0.12000,0.03388,1970952
1970957,1762290066.570143,ACCEL,2,0.00982,0.12000,0.03388,1970957
1970962,1762290066.570151,ACCEL,2,0.00982,0.12000,0.03388,1970962
1970967,1762290066.570160,ACCEL,2,0.00982,0.12000,0.03388,1970967
1970972,1762290066.570171,ACCEL,2,0.00982,0.12000,0.03388,1970972
1970977,1762290066.570180,ACCEL,3,0.01473,0.12000,0.03395,1970977
1970982,1762290066.570195,ACCEL,3,0.01473,0.12000,0.03395,1970982
1970987,1762290066.570201,ACCEL,3,0.01473,0.12000,0.03395,1970987
1970992,1762290066.570208,ACCEL,3,0.01473,0.12000,0.03395,1970992
1970997,1762290066.570272,ACCEL,3,0.01473,0.12000,0.03395,1970997
1971002,1762290066.570290,ACCEL,3,0.01473,0.12000,0.03395,1971002
1971007,1762290066.570301,ACCEL,3,0.01473,0.12000,0.03395,1971007
1971012,1762290066.570333,ACCEL,3,0.01473,0.12000,0.03395,1971012
1971017,1762290066.570349,ACCEL,4,0.01963,0.12000,0.03402,1971017
1971022,1762290066.570361,ACCEL,4,0.01963,0.12000,0.03402,1971022
1971027,1762290066.570372,ACCEL,4,0.01963,0.12000,0.03402,1971027
1971032,1762290066.570380,ACCEL,4,0.01963,0.12000,0.03402,1971032
1971037,1762290066.570390,ACCEL,4,0.01963,0.12000,0.03402,1971037
1971042,1762290066.570400,ACCEL,4,0.01963,0.12000,0.03402,1971042
1971047,1762290066.570410,ACCEL,4,0.01963,0.12000,0.03402,1971047
1971052,1762290066.570421,ACCEL,4,0.01963,0.12000,0.03402,1971052
1971057,1762290066.570430,ACCEL,4,0.01963,0.12000,0.03402,1971057
1971062,1762290066.570439,ACCEL,5,0.02454,0.12000,0.03409,1971062
1971067,1762290066.570448,ACCEL,5,0.02454,0.12000,0.03409,1971067
1971072,1762290066.570456,ACCEL,5,0.02454,0.12000,0.03409,1971072
1971077,1762290066.570465,ACCEL,5,0.02454,0.12000,0.03409,1971077
1971082,1762290066.570474,ACCEL,5,0.02454,0.12000,0.03409,1971082
1971087,1762290066.570482,ACCEL,5,0.02454,0.12000,0.03409,1971087
1971092,1762290066.570492,ACCEL,5,0.02454,0.12000,0.03409,1971092
1971097,1762290066.570501,ACCEL,5,0.02454,0.12000,0.03409,1971097
1971102,1762290066.570508,ACCEL,6,0.02945,0.12000,0.03415,1971102
1971107,1762290066.570518,ACCEL,6,0.02945,0.12000,0.03415,1971107
1971112,1762290066.570528,ACCEL,6,0.02945,0.12000,0.03415,1971112
1971117,1762290066.570536,ACCEL,6,0.02945,0.12000,0.03415,1971117
1971122,1762290066.570545,ACCEL,6,0.02945,0.12000,0.03415,1971122
1971237,1762290066.836255,ACCEL,9,0.04418,0.12000,0.03436,1971237
1971242,1762290066.836280,ACCEL,9,0.04418,0.12000,0.03436,1971242
1971247,1762290066.839398,ACCEL,9,0.04418,0.12000,0.03436,1971247
1971252,1762290066.839411,ACCEL,9,0.04418,0.12000,0.03436,1971252
1971257,1762290066.839420,ACCEL,9,0.04418,0.12000,0.03436,1971257
1971262,1762290066.839428,ACCEL,9,0.04418,0.12000,0.03436,1971262
1971267,1762290066.839436,ACCEL,10,0.04909,0.12000,0.03443,1971267
1971272,1762290066.839444,ACCEL,10,0.04909,0.12000,0.03443,1971272
1971277,1762290066.839451,ACCEL,10,0.04909,0.12000,0.03443,1971277
1971282,1762290066.839458,ACCEL,10,0.04909,0.12000,0.03443,1971282
1971287,1762290066.839465,ACCEL,10,0.04909,0.12000,0.03443,1971287
1971292,1762290066.839495,ACCEL,10,0.04909,0.12000,0.03443,1971292
1971297,1762290066.839501,ACCEL,10,0.04909,0.12000,0.03443,1971297
1971302,1762290066.839508,ACCEL,10,0.04909,0.12000,0.03443,1971302
1971307,1762290066.839514,ACCEL,11,0.05400,0.12000,0.03449,1971307
