time_ms,time_ts,v4,v5,g4,g5
9762,1762290240.497061,2.503406,2.552042,0.001703,0.026021
9762,1762290240.497436,2.504686,2.551402,0.002343,0.025701
9762,1762290240.497514,2.505006,2.553642,0.002503,0.026821
9762,1762290240.497527,2.505966,2.556522,0.002983,0.028261
9763,1762290240.498051,2.505646,2.557162,0.002823,0.028581
9763,1762290240.498107,2.504686,2.559402,0.002343,0.029701
9764,1762290240.498773,2.505326,2.559082,0.002663,0.029541
9764,1762290240.498795,2.506286,2.561642,0.003143,0.030821
9765,1762290240.499887,2.507246,2.561962,0.003623,0.030981
9765,1762290240.499919,2.506606,2.564201,0.003303,0.032101
9777,1762290240.511647,2.505966,2.564521,0.002983,0.032261
9777,1762290240.511698,2.506286,2.565801,0.003143,0.032901
9777,1762290240.511704,2.507885,2.566761,0.003943,0.033381
9777,1762290240.511709,2.506606,2.568681,0.003303,0.034341
9777,1762290240.511713,2.507246,2.569641,0.003623,0.034820
9777,1762290240.511717,2.507565,2.569961,0.003783,0.034980
9777,1762290240.511721,2.509165,2.571241,0.004583,0.035620
9777,1762290240.511725,2.507565,2.571561,0.003783,0.035780
9777,1762290240.511730,2.507885,2.572521,0.003943,0.036260
9777,1762290240.511733,2.509485,2.572201,0.004743,0.036100
9793,1762290240.527658,2.509165,2.574121,0.004583,0.037060
9793,1762290240.527688,2.509485,2.573801,0.004743,0.036900
9793,1762290240.527693,2.509165,2.573801,0.004583,0.036900
9794,1762290240.528723,2.510125,2.573801,0.005063,0.036900
9794,1762290240.528730,2.511085,2.574441,0.005543,0.037220
9794,1762290240.528737,2.509805,2.575081,0.004903,0.037540
9794,1762290240.528741,2.510445,2.574441,0.005223,0.037220
9794,1762290240.528746,2.511085,2.574121,0.005543,0.037060
9794,1762290240.528766,2.510765,2.575081,0.005383,0.037540
9794,1762290240.528772,2.509805,2.575401,0.004903,0.037700
9808,1762290240.543385,2.510445,2.573801,0.005223,0.036900
9808,1762290240.543469,2.511725,2.573481,0.005863,0.036740
9808,1762290240.543538,2.512365,2.574121,0.006183,0.037060
9809,1762290240.543560,2.510765,2.573161,0.005383,0.036580
9809,1762290240.543576,2.511085,2.572841,0.005543,0.036420
9809,1762290240.543606,2.510445,2.571561,0.005223,0.035780
9809,1762290240.543973,2.511085,2.570921,0.005543,0.035460
9809,1762290240.543992,2.512365,2.570601,0.006183,0.035300
9809,1762290240.543997,2.512045,2.570281,0.006023,0.035140
9809,1762290240.544077,2.510445,2.570281,0.005223,0.035140
9809,1762290240.544421,2.511085,2.567721,0.005543,0.033861
9809,1762290240.544460,2.511405,2.567721,0.005703,0.033861
9809,1762290240.544488,2.511405,2.567721,0.005703,0.033861
9810,1762290240.545124,2.511405,2.567401,0.005703,0.033701
9810,1762290240.545148,2.510125,2.564841,0.005063,0.032421
9810,1762290240.545159,2.511405,2.562921,0.005703,0.031461
9810,1762290240.545168,2.510765,2.562921,0.005383,0.031461
9810,1762290240.545177,2.510125,2.560682,0.005063,0.030341
9810,1762290240.545202,2.510125,2.561642,0.005063,0.030821
9810,1762290240.545239,2.510125,2.558762,0.005063,0.029381
9826,1762290240.561547,2.509485,2.559402,0.004743,0.029701
9827,1762290240.561573,2.509805,2.555242,0.004903,0.027621
9827,1762290240.561579,2.509805,2.556522,0.004903,0.028261
9827,1762290240.561586,2.509805,2.554282,0.004903,0.027141
9827,1762290240.561592,2.509805,2.554922,0.004903,0.027461
9827,1762290240.561598,2.509805,2.552682,0.004903,0.026341
9827,1762290240.561604,2.508205,2.551402,0.004103,0.025701
9827,1762290240.561610,2.509805,2.550442,0.004903,0.025221
9827,1762290240.561616,2.509165,2.548842,0.004583,0.024421
9827,1762290240.561622,2.507885,2.548523,0.003943,0.024261
9840,1762290240.575504,2.508845,2.546283,0.004423,0.023141
9841,1762290240.575886,2.508525,2.546283,0.004263,0.023141
9841,1762290240.575917,2.508205,2.545003,0.004103,0.022501
9841,1762290240.575940,2.508205,2.543403,0.004103,0.021701
9841,1762290240.576012,2.508205,2.542443,0.004103,0.021221
9841,1762290240.576033,2.508205,2.542443,0.004103,0.021221
9842,1762290240.576834,2.507885,2.540523,0.003943,0.020262
9842,1762290240.576844,2.507885,2.538283,0.003943,0.019142
9842,1762290240.576850,2.507565,2.539883,0.003783,0.019942
9843,1762290240.578186,2.506926,2.537643,0.003463,0.018822
9843,1762290240.578517,2.507246,2.537643,0.003623,0.018822
9843,1762290240.578534,2.506606,2.536683,0.003303,0.018342
9843,1762290240.578541,2.506286,2.536363,0.003143,0.018182
9844,1762290240.578547,2.506926,2.536043,0.003463,0.018022
9844,1762290240.578578,2.506926,2.536363,0.003463,0.018182
9844,1762290240.578592,2.506286,2.535083,0.003143,0.017542
9844,1762290240.578607,2.505646,2.535403,0.002823,0.017702
9844,1762290240.578617,2.506926,2.534124,0.003463,0.017062
9844,1762290240.578622,2.505646,2.534124,0.002823,0.017062
9844,1762290240.578627,2.505966,2.534124,0.002983,0.017062
9857,1762290240.591887,2.505966,2.533804,0.002983,0.016902
9857,1762290240.591933,2.505006,2.535083,0.002503,0.017542
9857,1762290240.592001,2.504686,2.533804,0.002343,0.016902
9857,1762290240.592055,2.505326,2.533804,0.002663,0.016902
