time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
103373,1762290334.032369,ACCEL,0,0.00000,0.12000,0.13498,103373
103378,1762290334.133356,ACCEL,0,0.00000,0.12000,0.13498,103378
103383,1762290334.133377,ACCEL,1,0.00491,0.12000,0.13525,103383
103388,1762290334.133387,ACCEL,1,0.00491,0.12000,0.13525,103388
103393,1762290334.133395,ACCEL,1,0.00491,0.12000,0.13525,103393
103398,1762290334.133403,ACCEL,1,0.00491,0.12000,0.13525,103398
103403,1762290334.133410,ACCEL,1,0.00491,0.12000,0.13525,103403
103408,1762290334.133417,ACCEL,1,0.00491,0.12000,0.13525,103408
103414,1762290334.133425,ACCEL,1,0.00491,0.12000,0.13525,103414
103419,1762290334.133432,ACCEL,1,0.00491,0.12000,0.13525,103419
103423,1762290334.133439,ACCEL,2,0.00982,0.12000,0.13552,103423
103428,1762290334.133446,ACCEL,2,0.00982,0.12000,0.13552,103428
103433,1762290334.133453,ACCEL,2,0.00982,0.12000,0.13552,103433
103438,1762290334.133460,ACCEL,2,0.00982,0.12000,0.13552,103438
103443,1762290334.133466,ACCEL,2,0.00982,0.12000,0.13552,103443
103448,1762290334.133472,ACCEL,2,0.00982,0.12000,0.13552,103448
103453,1762290334.133479,ACCEL,2,0.00982,0.12000,0.13552,103453
103458,1762290334.133486,ACCEL,2,0.00982,0.12000,0.13552,103458
103463,1762290334.133493,ACCEL,3,0.01473,0.12000,0.13580,103463
103468,1762290334.133499,ACCEL,3,0.01473,0.12000,0.13580,103468
103474,1762290334.133506,ACCEL,3,0.01473,0.12000,0.13580,103474
103478,1762290334.133512,ACCEL,3,0.01473,0.12000,0.13580,103478
103483,1762290334.133518,ACCEL,3,0.01473,0.12000,0.13580,103483
103488,1762290334.133524,ACCEL,3,0.01473,0.12000,0.13580,103488
103493,1762290334.133582,ACCEL,3,0.01473,0.12000,0.13580,103493
103499,1762290334.133589,ACCEL,3,0.01473,0.12000,0.13580,103499
103503,1762290334.133595,ACCEL,4,0.01963,0.12000,0.13607,103503
103508,1762290334.133601,ACCEL,4,0.01963,0.12000,0.13607,103508
103513,1762290334.133666,ACCEL,4,0.01963,0.12000,0.13607,103513
103518,1762290334.133672,ACCEL,4,0.01963,0.12000,0.13607,103518
103523,1762290334.133677,ACCEL,4,0.01963,0.12000,0.13607,103523
103528,1762290334.133683,ACCEL,4,0.01963,0.12000,0.13607,103528
103533,1762290334.133689,ACCEL,4,0.01963,0.12000,0.13607,103533
103538,1762290334.133697,ACCEL,4,0.01963,0.12000,0.13607,103538
103543,1762290334.133703,ACCEL,4,0.01963,0.12000,0.13607,103543
103548,1762290334.133709,ACCEL,5,0.02454,0.12000,0.13634,103548
103554,1762290334.133715,ACCEL,5,0.02454,0.12000,0.13634,103554
103558,1762290334.133721,ACCEL,5,0.02454,0.12000,0.13634,103558
103563,1762290334.133726,ACCEL,5,0.02454,0.12000,0.13634,103563
103568,1762290334.133732,ACCEL,5,0.02454,0.12000,0.13634,103568
103573,1762290334.133738,ACCEL,5,0.02454,0.12000,0.13634,103573
103579,1762290334.133744,ACCEL,5,0.02454,0.12000,0.13634,103579
103583,1762290334.133750,ACCEL,5,0.02454,0.12000,0.13634,103583
103588,1762290334.133756,ACCEL,6,0.02945,0.12000,0.13661,103588
103593,1762290334.133762,ACCEL,6,0.02945,0.12000,0.13661,103593
103598,1762290334.133768,ACCEL,6,0.02945,0.12000,0.13661,103598
103603,1762290334.133773,ACCEL,6,0.02945,0.12000,0.13661,103603
103608,1762290334.133779,ACCEL,6,0.02945,0.12000,0.13661,103608
103723,1762290334.400621,ACCEL,9,0.04418,0.12000,0.13743,103723
103728,1762290334.400651,ACCEL,9,0.04418,0.12000,0.13743,103728
103733,1762290334.401645,ACCEL,9,0.04418,0.12000,0.13743,103733
103739,1762290334.401660,ACCEL,9,0.04418,0.12000,0.13743,103739
103743,1762290334.403790,ACCEL,9,0.04418,0.12000,0.13743,103743
103748,1762290334.403813,ACCEL,9,0.04418,0.12000,0.13743,103748
103754,1762290334.403826,ACCEL,10,0.04909,0.12000,0.13770,103754
103758,1762290334.403836,ACCEL,10,0.04909,0.12000,0.13770,103758
103763,1762290334.403845,ACCEL,10,0.04909,0.12000,0.13770,103763
103768,1762290334.403853,ACCEL,10,0.04909,0.12000,0.13770,103768
103773,1762290334.403862,ACCEL,10,0.04909,0.12000,0.13770,103773
103778,1762290334.403870,ACCEL,10,0.04909,0.12000,0.13770,103778
103783,1762290334.403877,ACCEL,10,0.04909,0.12000,0.13770,103783
103788,1762290334.403885,ACCEL,10,0.04909,0.12000,0.13770,103788
103794,1762290334.403892,ACCEL,11,0.05400,0.12000,0.13797,103794
103798,1762290334.403900,ACCEL,11,0.05400,0.12000,0.13797,103798
103803,1762290334.403907,ACCEL,11,0.05400,0.12000,0.13797,103803
103808,1762290334.403916,ACCEL,11,0.05400,0.12000,0.13797,103808
103813,1762290334.403924,ACCEL,11,0.05400,0.12000,0.13797,103813
