time_ms,time_ts,v4,v5,g4,g5
791445,1762291291.842145,2.504046,2.565481,0.002023,0.032741
791445,1762291291.842669,2.504686,2.566121,0.002343,0.033061
791445,1762291291.842690,2.505006,2.567721,0.002503,0.033861
791446,1762291291.843152,2.504366,2.566761,0.002183,0.033381
791446,1762291291.843810,2.504046,2.567401,0.002023,0.033701
791449,1762291291.846238,2.503726,2.567401,0.001863,0.033701
791449,1762291291.846285,2.504366,2.567721,0.002183,0.033861
791449,1762291291.846308,2.505326,2.568361,0.002663,0.034181
791449,1762291291.846640,2.504686,2.568681,0.002343,0.034341
791449,1762291291.846662,2.504046,2.568041,0.002023,0.034021
791461,1762291291.858405,2.505006,2.569321,0.002503,0.034661
791461,1762291291.858443,2.503726,2.569321,0.001863,0.034661
791461,1762291291.858461,2.504046,2.569001,0.002023,0.034501
791461,1762291291.858500,2.504366,2.569641,0.002183,0.034820
791461,1762291291.858531,2.503406,2.569321,0.001703,0.034661
791461,1762291291.858538,2.504686,2.569321,0.002343,0.034661
791461,1762291291.858544,2.504366,2.569321,0.002183,0.034661
791461,1762291291.858550,2.503086,2.568681,0.001543,0.034341
791461,1762291291.858555,2.505006,2.569641,0.002503,0.034820
791461,1762291291.858561,2.503726,2.569641,0.001863,0.034820
791461,1762291291.858717,2.504046,2.569001,0.002023,0.034501
791461,1762291291.858725,2.504686,2.569321,0.002343,0.034661
791461,1762291291.858731,2.504046,2.568041,0.002023,0.034021
791461,1762291291.858737,2.504046,2.568361,0.002023,0.034181
791461,1762291291.858745,2.505326,2.568041,0.002663,0.034021
791461,1762291291.858752,2.504686,2.568361,0.002343,0.034181
791461,1762291291.858757,2.504686,2.567401,0.002343,0.033701
791461,1762291291.858764,2.505006,2.568041,0.002503,0.034021
791461,1762291291.858769,2.504366,2.567081,0.002183,0.033541
791461,1762291291.858775,2.505646,2.567081,0.002823,0.033541
791476,1762291291.874079,2.505006,2.566441,0.002503,0.033221
791477,1762291291.874120,2.505966,2.566121,0.002983,0.033061
791477,1762291291.874146,2.505646,2.564841,0.002823,0.032421
791477,1762291291.874158,2.505646,2.564521,0.002823,0.032261
791477,1762291291.874163,2.506286,2.564201,0.003143,0.032101
