time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
705542,1762291205.605972,ACCEL,0,0.00000,0.12000,0.06749,705542
705547,1762291205.708886,ACCEL,0,0.00000,0.12000,0.06749,705547
705552,1762291205.708906,ACCEL,1,0.00491,0.12000,0.06763,705552
705557,1762291205.708919,ACCEL,1,0.00491,0.12000,0.06763,705557
705562,1762291205.708929,ACCEL,1,0.00491,0.12000,0.06763,705562
705567,1762291205.708938,ACCEL,1,0.00491,0.12000,0.06763,705567
705572,1762291205.708946,ACCEL,1,0.00491,0.12000,0.06763,705572
705577,1762291205.708954,ACCEL,1,0.00491,0.12000,0.06763,705577
705582,1762291205.708962,ACCEL,1,0.00491,0.12000,0.06763,705582
705587,1762291205.708970,ACCEL,1,0.00491,0.12000,0.06763,705587
705592,1762291205.708977,ACCEL,2,0.00982,0.12000,0.06776,705592
705597,1762291205.709026,ACCEL,2,0.00982,0.12000,0.06776,705597
705602,1762291205.709044,ACCEL,2,0.00982,0.12000,0.06776,705602
705607,1762291205.709072,ACCEL,2,0.00982,0.12000,0.06776,705607
705612,1762291205.709094,ACCEL,2,0.00982,0.12000,0.06776,705612
705617,1762291205.709105,ACCEL,2,0.00982,0.12000,0.06776,705617
705622,1762291205.709135,ACCEL,2,0.00982,0.12000,0.06776,705622
705627,1762291205.709144,ACCEL,2,0.00982,0.12000,0.06776,705627
705632,1762291205.709202,ACCEL,3,0.01473,0.12000,0.06790,705632
705637,1762291205.709224,ACCEL,3,0.01473,0.12000,0.06790,705637
705642,1762291205.709235,ACCEL,3,0.01473,0.12000,0.06790,705642
705647,1762291205.709245,ACCEL,3,0.01473,0.12000,0.06790,705647
705652,1762291205.709255,ACCEL,3,0.01473,0.12000,0.06790,705652
705657,1762291205.709263,ACCEL,3,0.01473,0.12000,0.06790,705657
705662,1762291205.709270,ACCEL,3,0.01473,0.12000,0.06790,705662
705668,1762291205.709279,ACCEL,3,0.01473,0.12000,0.06790,705668
705672,1762291205.709287,ACCEL,4,0.01963,0.12000,0.06803,705672
705677,1762291205.709295,ACCEL,4,0.01963,0.12000,0.06803,705677
705682,1762291205.709302,ACCEL,4,0.01963,0.12000,0.06803,705682
705687,1762291205.709309,ACCEL,4,0.01963,0.12000,0.06803,705687
705692,1762291205.709316,ACCEL,4,0.01963,0.12000,0.06803,705692
705697,1762291205.709323,ACCEL,4,0.01963,0.12000,0.06803,705697
705702,1762291205.709331,ACCEL,4,0.01963,0.12000,0.06803,705702
705707,1762291205.709340,ACCEL,4,0.01963,0.12000,0.06803,705707
705712,1762291205.709347,ACCEL,4,0.01963,0.12000,0.06803,705712
705717,1762291205.709364,ACCEL,5,0.02454,0.12000,0.06817,705717
705722,1762291205.709371,ACCEL,5,0.02454,0.12000,0.06817,705722
705727,1762291205.709378,ACCEL,5,0.02454,0.12000,0.06817,705727
705732,1762291205.709385,ACCEL,5,0.02454,0.12000,0.06817,705732
705738,1762291205.709391,ACCEL,5,0.02454,0.12000,0.06817,705738
705742,1762291205.709396,ACCEL,5,0.02454,0.12000,0.06817,705742
705747,1762291205.709420,ACCEL,5,0.02454,0.12000,0.06817,705747
705752,1762291205.709492,ACCEL,5,0.02454,0.12000,0.06817,705752
705757,1762291205.709517,ACCEL,6,0.02945,0.12000,0.06831,705757
705762,1762291205.709529,ACCEL,6,0.02945,0.12000,0.06831,705762
705767,1762291205.709538,ACCEL,6,0.02945,0.12000,0.06831,705767
705772,1762291205.709546,ACCEL,6,0.02945,0.12000,0.06831,705772
705778,1762291205.709554,ACCEL,6,0.02945,0.12000,0.06831,705778
705897,1762291205.987161,ACCEL,9,0.04418,0.12000,0.06872,705897
705902,1762291205.987184,ACCEL,9,0.04418,0.12000,0.06872,705902
705907,1762291205.990335,ACCEL,9,0.04418,0.12000,0.06872,705907
705912,1762291205.990350,ACCEL,9,0.04418,0.12000,0.06872,705912
705918,1762291205.990360,ACCEL,9,0.04418,0.12000,0.06872,705918
705922,1762291205.990369,ACCEL,10,0.04909,0.12000,0.06885,705922
705927,1762291205.990377,ACCEL,10,0.04909,0.12000,0.06885,705927
705932,1762291205.990384,ACCEL,10,0.04909,0.12000,0.06885,705932
705938,1762291205.990390,ACCEL,10,0.04909,0.12000,0.06885,705938
705942,1762291205.990397,ACCEL,10,0.04909,0.12000,0.06885,705942
705947,1762291205.990404,ACCEL,10,0.04909,0.12000,0.06885,705947
705953,1762291205.990411,ACCEL,10,0.04909,0.12000,0.06885,705953
705957,1762291205.990417,ACCEL,10,0.04909,0.12000,0.06885,705957
705962,1762291205.990424,ACCEL,11,0.05400,0.12000,0.06899,705962
705967,1762291205.990430,ACCEL,11,0.05400,0.12000,0.06899,705967
705972,1762291205.990451,ACCEL,11,0.05400,0.12000,0.06899,705972
705977,1762291205.990458,ACCEL,11,0.05400,0.12000,0.06899,705977
705982,1762291205.990466,ACCEL,11,0.05400,0.12000,0.06899,705982
705987,1762291205.990478,ACCEL,11,0.05400,0.12000,0.06899,705987
705992,1762291205.990485,ACCEL,11,0.05400,0.12000,0.06899,705992
705997,1762291205.990491,ACCEL,11,0.05400,0.12000,0.06899,705997
706003,1762291205.990510,ACCEL,12,0.05890,0.12000,0.06912,706003
706007,1762291205.990516,ACCEL,12,0.05890,0.12000,0.06912,706007
706012,1762291205.990522,ACCEL,12,0.05890,0.12000,0.06912,706012
706017,1762291205.990528,ACCEL,12,0.05890,0.12000,0.06912,706017
706022,1762291205.990534,ACCEL,12,0.05890,0.12000,0.06912,706022
706027,1762291205.990541,ACCEL,12,0.05890,0.12000,0.06912,706027
706032,1762291205.990547,ACCEL,12,0.05890,0.12000,0.06912,706032
706037,1762291205.990553,ACCEL,12,0.05890,0.12000,0.06912,706037
706043,1762291205.990561,ACCEL,13,0.06381,0.12000,0.06926,706043
706047,1762291205.990567,ACCEL,13,0.06381,0.12000,0.06926,706047
706052,1762291205.990573,ACCEL,13,0.06381,0.12000,0.06926,706052
706057,1762291205.990579,ACCEL,13,0.06381,0.12000,0.06926,706057
706062,1762291205.990585,ACCEL,13,0.06381,0.12000,0.06926,706062
706067,1762291205.990591,ACCEL,13,0.06381,0.12000,0.06926,706067
706073,1762291205.990597,ACCEL,13,0.06381,0.12000,0.06926,706073
706077,1762291205.990606,ACCEL,13,0.06381,0.12000,0.06926,706077
706082,1762291205.990613,ACCEL,14,0.06872,0.12000,0.06940,706082
706088,1762291205.990618,ACCEL,14,0.06872,0.12000,0.06940,706088
706092,1762291205.990624,ACCEL,14,0.06872,0.12000,0.06940,706092
706097,1762291205.990630,ACCEL,14,0.06872,0.12000,0.06940,706097
706102,1762291205.990636,ACCEL,14,0.06872,0.12000,0.06940,706102
706107,1762291205.990641,ACCEL,14,0.06872,0.12000,0.06940,706107
706112,1762291205.990648,ACCEL,14,0.06872,0.12000,0.06940,706112
706118,1762291205.990654,ACCEL,14,0.06872,0.12000,0.06940,706118
706122,1762291205.990661,ACCEL,15,0.07363,0.12000,0.06953,706122
706127,1762291205.990666,ACCEL,15,0.07363,0.12000,0.06953,706127
706132,1762291205.990672,ACCEL,15,0.07363,0.12000,0.06953,706132
706137,1762291205.990678,ACCEL,15,0.07363,0.12000,0.06953,706137
