time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
444594,1762290944.281625,ACCEL,0,0.00000,0.12000,0.06749,444594
444599,1762290944.384285,ACCEL,0,0.00000,0.12000,0.06749,444599
444604,1762290944.384339,ACCEL,1,0.00491,0.12000,0.06763,444604
444609,1762290944.384370,ACCEL,1,0.00491,0.12000,0.06763,444609
444614,1762290944.384395,ACCEL,1,0.00491,0.12000,0.06763,444614
444619,1762290944.384420,ACCEL,1,0.00491,0.12000,0.06763,444619
444624,1762290944.384442,ACCEL,1,0.00491,0.12000,0.06763,444624
444629,1762290944.385494,ACCEL,1,0.00491,0.12000,0.06763,444629
444635,1762290944.385548,ACCEL,1,0.00491,0.12000,0.06763,444635
444640,1762290944.385569,ACCEL,1,0.00491,0.12000,0.06763,444640
444644,1762290944.385581,ACCEL,2,0.00982,0.12000,0.06776,444644
444649,1762290944.385588,ACCEL,2,0.00982,0.12000,0.06776,444649
444654,1762290944.385596,ACCEL,2,0.00982,0.12000,0.06776,444654
444659,1762290944.386070,ACCEL,2,0.00982,0.12000,0.06776,444659
444664,1762290944.386926,ACCEL,2,0.00982,0.12000,0.06776,444664
444669,1762290944.387835,ACCEL,2,0.00982,0.12000,0.06776,444669
444674,1762290944.387858,ACCEL,2,0.00982,0.12000,0.06776,444674
444680,1762290944.387949,ACCEL,2,0.00982,0.12000,0.06776,444680
444684,1762290944.387996,ACCEL,3,0.01473,0.12000,0.06790,444684
444690,1762290944.388026,ACCEL,3,0.01473,0.12000,0.06790,444690
444694,1762290944.388050,ACCEL,3,0.01473,0.12000,0.06790,444694
444699,1762290944.388072,ACCEL,3,0.01473,0.12000,0.06790,444699
444704,1762290944.388093,ACCEL,3,0.01473,0.12000,0.06790,444704
444709,1762290944.388121,ACCEL,3,0.01473,0.12000,0.06790,444709
444714,1762290944.388143,ACCEL,3,0.01473,0.12000,0.06790,444714
444719,1762290944.388165,ACCEL,3,0.01473,0.12000,0.06790,444719
444724,1762290944.388187,ACCEL,4,0.01963,0.12000,0.06803,444724
444729,1762290944.388206,ACCEL,4,0.01963,0.12000,0.06803,444729
444734,1762290944.388227,ACCEL,4,0.01963,0.12000,0.06803,444734
444739,1762290944.388246,ACCEL,4,0.01963,0.12000,0.06803,444739
444744,1762290944.388265,ACCEL,4,0.01963,0.12000,0.06803,444744
444749,1762290944.388280,ACCEL,4,0.01963,0.12000,0.06803,444749
444754,1762290944.388297,ACCEL,4,0.01963,0.12000,0.06803,444754
444759,1762290944.388317,ACCEL,4,0.01963,0.12000,0.06803,444759
444764,1762290944.388335,ACCEL,4,0.01963,0.12000,0.06803,444764
444769,1762290944.388351,ACCEL,5,0.02454,0.12000,0.06817,444769
444774,1762290944.388369,ACCEL,5,0.02454,0.12000,0.06817,444774
444779,1762290944.388384,ACCEL,5,0.02454,0.12000,0.06817,444779
444784,1762290944.388402,ACCEL,5,0.02454,0.12000,0.06817,444784
444789,1762290944.388417,ACCEL,5,0.02454,0.12000,0.06817,444789
444794,1762290944.391067,ACCEL,5,0.02454,0.12000,0.06817,444794
444800,1762290944.391097,ACCEL,5,0.02454,0.12000,0.06817,444800
444804,1762290944.391111,ACCEL,5,0.02454,0.12000,0.06817,444804
444809,1762290944.391122,ACCEL,6,0.02945,0.12000,0.06831,444809
444814,1762290944.391131,ACCEL,6,0.02945,0.12000,0.06831,444814
444819,1762290944.391139,ACCEL,6,0.02945,0.12000,0.06831,444819
444824,1762290944.391165,ACCEL,6,0.02945,0.12000,0.06831,444824
444829,1762290944.391173,ACCEL,6,0.02945,0.12000,0.06831,444829
444964,1762290944.662203,ACCEL,9,0.04418,0.12000,0.06872,444964
444969,1762290944.662249,ACCEL,9,0.04418,0.12000,0.06872,444969
444974,1762290944.665414,ACCEL,10,0.04909,0.12000,0.06885,444974
444979,1762290944.665434,ACCEL,10,0.04909,0.12000,0.06885,444979
444984,1762290944.665448,ACCEL,10,0.04909,0.12000,0.06885,444984
444989,1762290944.665464,ACCEL,10,0.04909,0.12000,0.06885,444989
444994,1762290944.665478,ACCEL,10,0.04909,0.12000,0.06885,444994
445000,1762290944.665493,ACCEL,10,0.04909,0.12000,0.06885,445000
445004,1762290944.665507,ACCEL,10,0.04909,0.12000,0.06885,445004
445009,1762290944.665520,ACCEL,10,0.04909,0.12000,0.06885,445009
445014,1762290944.665534,ACCEL,11,0.05400,0.12000,0.06899,445014
445019,1762290944.665547,ACCEL,11,0.05400,0.12000,0.06899,445019
445025,1762290944.665560,ACCEL,11,0.05400,0.12000,0.06899,445025
445029,1762290944.665572,ACCEL,11,0.05400,0.12000,0.06899,445029
445034,1762290944.665584,ACCEL,11,0.05400,0.12000,0.06899,445034
445039,1762290944.665596,ACCEL,11,0.05400,0.12000,0.06899,445039
445044,1762290944.665607,ACCEL,11,0.05400,0.12000,0.06899,445044
445049,1762290944.665622,ACCEL,11,0.05400,0.12000,0.06899,445049
445054,1762290944.665633,ACCEL,12,0.05890,0.12000,0.06912,445054
445059,1762290944.665646,ACCEL,12,0.05890,0.12000,0.06912,445059
445064,1762290944.665685,ACCEL,12,0.05890,0.12000,0.06912,445064
445069,1762290944.665699,ACCEL,12,0.05890,0.12000,0.06912,445069
445074,1762290944.665708,ACCEL,12,0.05890,0.12000,0.06912,445074
445079,1762290944.665715,ACCEL,12,0.05890,0.12000,0.06912,445079
445084,1762290944.665722,ACCEL,12,0.05890,0.12000,0.06912,445084
445089,1762290944.665729,ACCEL,12,0.05890,0.12000,0.06912,445089
445094,1762290944.665735,ACCEL,13,0.06381,0.12000,0.06926,445094
445100,1762290944.665742,ACCEL,13,0.06381,0.12000,0.06926,445100
445104,1762290944.665748,ACCEL,13,0.06381,0.12000,0.06926,445104
445109,1762290944.665757,ACCEL,13,0.06381,0.12000,0.06926,445109
445114,1762290944.665763,ACCEL,13,0.06381,0.12000,0.06926,445114
445119,1762290944.665770,ACCEL,13,0.06381,0.12000,0.06926,445119
445124,1762290944.665776,ACCEL,13,0.06381,0.12000,0.06926,445124
445129,1762290944.665785,ACCEL,13,0.06381,0.12000,0.06926,445129
445134,1762290944.665791,ACCEL,14,0.06872,0.12000,0.06940,445134
445139,1762290944.665797,ACCEL,14,0.06872,0.12000,0.06940,445139
445145,1762290944.665803,ACCEL,14,0.06872,0.12000,0.06940,445145
445149,1762290944.665809,ACCEL,14,0.06872,0.12000,0.06940,445149
445154,1762290944.665815,ACCEL,14,0.06872,0.12000,0.06940,445154
445159,1762290944.665821,ACCEL,14,0.06872,0.12000,0.06940,445159
445164,1762290944.665827,ACCEL,14,0.06872,0.12000,0.06940,445164
445169,1762290944.665833,ACCEL,14,0.06872,0.12000,0.06940,445169
445174,1762290944.665839,ACCEL,15,0.07363,0.12000,0.06953,445174
445180,1762290944.665845,ACCEL,15,0.07363,0.12000,0.06953,445180
445184,1762290944.665852,ACCEL,15,0.07363,0.12000,0.06953,445184
445189,1762290944.665860,ACCEL,15,0.07363,0.12000,0.06953,445189
445194,1762290944.665866,ACCEL,15,0.07363,0.12000,0.06953,445194
445199,1762290944.665872,ACCEL,15,0.07363,0.12000,0.06953,445199
445204,1762290944.665878,ACCEL,15,0.07363,0.12000,0.06953,445204
445209,1762290944.665883,ACCEL,15,0.07363,0.12000,0.06953,445209
445239,1762290944.922317,ACCEL,16,0.07854,0.12000,0.06967,445239
445244,1762290944.922353,ACCEL,16,0.07854,0.12000,0.06967,445244
445250,1762290944.922468,ACCEL,16,0.07854,0.12000,0.06967,445250
445254,1762290944.922481,ACCEL,16,0.07854,0.12000,0.06967,445254
445259,1762290944.922490,ACCEL,17,0.08345,0.12000,0.06980,445259
445264,1762290944.922497,ACCEL,17,0.08345,0.12000,0.06980,445264
445269,1762290944.922504,ACCEL,17,0.08345,0.12000,0.06980,445269
445274,1762290944.922511,ACCEL,17,0.08345,0.12000,0.06980,445274
445280,1762290944.922518,ACCEL,17,0.08345,0.12000,0.06980,445280
445284,1762290944.922525,ACCEL,17,0.08345,0.12000,0.06980,445284
445289,1762290944.922531,ACCEL,17,0.08345,0.12000,0.06980,445289
445294,1762290944.922540,ACCEL,17,0.08345,0.12000,0.06980,445294
445299,1762290944.922574,ACCEL,18,0.08836,0.12000,0.06994,445299
445305,1762290944.922580,ACCEL,18,0.08836,0.12000,0.06994,445305
445309,1762290944.922586,ACCEL,18,0.08836,0.12000,0.06994,445309
445314,1762290944.922592,ACCEL,18,0.08836,0.12000,0.06994,445314
445319,1762290944.922599,ACCEL,18,0.08836,0.12000,0.06994,445319
445324,1762290944.922605,ACCEL,18,0.08836,0.12000,0.06994,445324
445329,1762290944.922611,ACCEL,18,0.08836,0.12000,0.06994,445329
445334,1762290944.922618,ACCEL,18,0.08836,0.12000,0.06994,445334
445339,1762290944.922624,ACCEL,19,0.09327,0.12000,0.07008,445339
445345,1762290944.922630,ACCEL,19,0.09327,0.12000,0.07008,445345
445349,1762290944.922637,ACCEL,19,0.09327,0.12000,0.07008,445349
445354,1762290944.922643,ACCEL,19,0.09327,0.12000,0.07008,445354
445360,1762290944.922650,ACCEL,19,0.09327,0.12000,0.07008,445360
445364,1762290944.922656,ACCEL,19,0.09327,0.12000,0.07008,445364
445369,1762290944.922662,ACCEL,19,0.09327,0.12000,0.07008,445369
445374,1762290944.922668,ACCEL,19,0.09327,0.12000,0.07008,445374
445379,1762290944.922674,ACCEL,20,0.09817,0.12000,0.07021,445379
445385,1762290944.922681,ACCEL,20,0.09817,0.12000,0.07021,445385
445389,1762290944.922687,ACCEL,20,0.09817,0.12000,0.07021,445389
445394,1762290944.922695,ACCEL,20,0.09817,0.12000,0.07021,445394
