time_ms,time_ts,v4,v5,g4,g5
1972179,1762292474.366219,2.512045,2.548842,0.006023,0.024421
1972179,1762292474.366298,2.512685,2.548203,0.006343,0.024101
1972179,1762292474.366310,2.513325,2.549162,0.006663,0.024581
1972179,1762292474.366318,2.511405,2.550442,0.005703,0.025221
1972179,1762292474.366326,2.511405,2.548842,0.005703,0.024421
1972179,1762292474.366333,2.512045,2.550762,0.006023,0.025381
1972179,1762292474.366340,2.511405,2.550442,0.005703,0.025221
1972179,1762292474.366347,2.512365,2.551082,0.006183,0.025541
1972179,1762292474.366353,2.510765,2.550762,0.005383,0.025381
1972182,1762292474.369440,2.511405,2.550762,0.005703,0.025381
1972196,1762292474.383278,2.510445,2.550442,0.005223,0.025221
1972196,1762292474.383308,2.510445,2.550122,0.005223,0.025061
1972196,1762292474.383316,2.510445,2.550762,0.005223,0.025381
1972196,1762292474.383322,2.510445,2.551082,0.005223,0.025541
1972196,1762292474.383351,2.510445,2.551082,0.005223,0.025541
1972196,1762292474.383382,2.510765,2.552042,0.005383,0.026021
1972196,1762292474.383440,2.509485,2.551082,0.004743,0.025541
1972196,1762292474.383479,2.509165,2.551082,0.004583,0.025541
1972197,1762292474.383951,2.509485,2.552362,0.004743,0.026181
1972197,1762292474.384369,2.508525,2.551402,0.004263,0.025701
1972212,1762292474.399307,2.509165,2.550762,0.004583,0.025381
1972212,1762292474.399338,2.508525,2.552362,0.004263,0.026181
1972213,1762292474.400050,2.507565,2.551722,0.003783,0.025861
1972213,1762292474.400078,2.508205,2.551082,0.004103,0.025541
1972213,1762292474.400091,2.508205,2.551722,0.004103,0.025861
1972213,1762292474.400101,2.508845,2.552042,0.004423,0.026021
1972213,1762292474.400147,2.507246,2.552362,0.003623,0.026181
1972213,1762292474.400161,2.507246,2.552042,0.003623,0.026021
1972213,1762292474.400193,2.508205,2.552362,0.004103,0.026181
1972213,1762292474.400228,2.506606,2.553322,0.003303,0.026661
1972227,1762292474.414497,2.505646,2.552362,0.002823,0.026181
1972227,1762292474.414538,2.506606,2.552682,0.003303,0.026341
1972227,1762292474.414546,2.505006,2.554922,0.002503,0.027461
1972227,1762292474.414554,2.505646,2.552682,0.002823,0.026341
1972227,1762292474.414560,2.505966,2.554922,0.002983,0.027461
1972227,1762292474.414566,2.505006,2.554602,0.002503,0.027301
1972227,1762292474.414572,2.504366,2.555562,0.002183,0.027781
1972227,1762292474.414577,2.504366,2.556202,0.002183,0.028101
1972227,1762292474.414583,2.503406,2.555882,0.001703,0.027941
1972227,1762292474.414588,2.504046,2.556202,0.002023,0.028101
1972228,1762292474.414782,2.503406,2.557162,0.001703,0.028581
1972228,1762292474.414803,2.501806,2.557162,0.000903,0.028581
1972228,1762292474.414810,2.502446,2.557802,0.001223,0.028901
1972228,1762292474.414815,2.502126,2.557482,0.001063,0.028741
1972228,1762292474.414820,2.501486,2.559082,0.000743,0.029541
