time_ms,time_ts,v4,v5,g4,g5
2026441,1762292528.831916,2.503726,2.522284,0.001863,0.011142
2026441,1762292528.832001,2.504686,2.522284,0.002343,0.011142
2026441,1762292528.832042,2.498286,2.522284,-0.000857,0.011142
2026441,1762292528.832081,2.494766,2.521005,-0.002617,0.010502
2026441,1762292528.832095,2.506926,2.522604,0.003463,0.011302
2026441,1762292528.832109,2.500846,2.522924,0.000423,0.011462
2026442,1762292528.832537,2.497006,2.521324,-0.001497,0.010662
2026442,1762292528.832595,2.512045,2.521324,0.006023,0.010662
2026442,1762292528.832610,2.497646,2.521644,-0.001177,0.010822
2026447,1762292528.837709,2.499246,2.522284,-0.000377,0.011142
2026457,1762292528.847457,2.508845,2.520685,0.004423,0.010342
2026457,1762292528.847489,2.499566,2.520685,-0.000217,0.010342
2026457,1762292528.847497,2.505326,2.521005,0.002663,0.010502
2026457,1762292528.847503,2.500846,2.521324,0.000423,0.010662
2026457,1762292528.847547,2.504366,2.521324,0.002183,0.010662
2026457,1762292528.847575,2.506606,2.520685,0.003303,0.010342
2026457,1762292528.847597,2.511725,2.520685,0.005863,0.010342
2026457,1762292528.847604,2.507246,2.521324,0.003623,0.010662
2026457,1762292528.847609,2.503406,2.521324,0.001703,0.010662
2026457,1762292528.847643,2.495726,2.521324,-0.002137,0.010662
2026473,1762292528.863651,2.504366,2.521005,0.002183,0.010502
2026473,1762292528.863715,2.501486,2.520365,0.000743,0.010182
2026473,1762292528.863727,2.501486,2.520685,0.000743,0.010342
2026473,1762292528.863737,2.508845,2.521005,0.004423,0.010502
2026473,1762292528.863748,2.502766,2.521324,0.001383,0.010662
2026473,1762292528.863760,2.503406,2.519725,0.001703,0.009862
2026473,1762292528.863771,2.505646,2.520365,0.002823,0.010182
2026473,1762292528.863783,2.503406,2.519085,0.001703,0.009542
2026473,1762292528.863793,2.506926,2.520045,0.003463,0.010022
2026473,1762292528.863803,2.502446,2.519405,0.001223,0.009702
2026490,1762292528.880573,2.503086,2.518765,0.001543,0.009382
2026490,1762292528.880640,2.504686,2.517485,0.002343,0.008742
2026490,1762292528.880662,2.503086,2.518765,0.001543,0.009382
2026490,1762292528.880675,2.504366,2.518765,0.002183,0.009382
2026490,1762292528.880679,2.503406,2.518445,0.001703,0.009222
2026490,1762292528.880683,2.502766,2.517165,0.001383,0.008582
2026490,1762292528.880687,2.502766,2.516845,0.001383,0.008422
2026490,1762292528.880691,2.499566,2.517485,-0.000217,0.008742
2026490,1762292528.880695,2.502766,2.517165,0.001383,0.008582
2026490,1762292528.880698,2.501166,2.516845,0.000583,0.008422
2026495,1762292528.885348,2.503726,2.516845,0.001863,0.008422
2026495,1762292528.885382,2.500206,2.516205,0.000103,0.008102
2026495,1762292528.885393,2.505646,2.515885,0.002823,0.007942
2026495,1762292528.885681,2.502126,2.516205,0.001063,0.008102
2026495,1762292528.885708,2.501806,2.515565,0.000903,0.007782
2026495,1762292528.885785,2.502446,2.514925,0.001223,0.007462
2026495,1762292528.885801,2.503406,2.514925,0.001703,0.007462
2026495,1762292528.885824,2.502126,2.514925,0.001063,0.007462
2026495,1762292528.885837,2.501806,2.514925,0.000903,0.007462
2026495,1762292528.885864,2.502126,2.514285,0.001063,0.007142
2026507,1762292528.897634,2.502126,2.513325,0.001063,0.006663
2026507,1762292528.897661,2.501806,2.514285,0.000903,0.007142
2026507,1762292528.897668,2.501806,2.513325,0.000903,0.006663
2026507,1762292528.897675,2.500846,2.514925,0.000423,0.007462
2026507,1762292528.897681,2.500846,2.514285,0.000423,0.007142
2026507,1762292528.897745,2.500846,2.514285,0.000423,0.007142
2026507,1762292528.897751,2.499566,2.513005,-0.000217,0.006503
2026507,1762292528.897757,2.500526,2.513325,0.000263,0.006663
2026507,1762292528.897762,2.500206,2.512365,0.000103,0.006183
2026507,1762292528.897767,2.499886,2.513325,-0.000057,0.006663
2026507,1762292528.897958,2.498926,2.513005,-0.000537,0.006503
2026507,1762292528.897976,2.498606,2.512685,-0.000697,0.006343
2026507,1762292528.897983,2.499246,2.512365,-0.000377,0.006183
2026507,1762292528.897999,2.499246,2.513005,-0.000377,0.006503
2026507,1762292528.898004,2.499246,2.512045,-0.000377,0.006023
2026507,1762292528.898011,2.498286,2.511405,-0.000857,0.005703
2026508,1762292528.898343,2.498286,2.512045,-0.000857,0.006023
2026508,1762292528.898361,2.498286,2.511725,-0.000857,0.005863
2026508,1762292528.898368,2.498606,2.511725,-0.000697,0.005863
2026508,1762292528.898373,2.497966,2.511405,-0.001017,0.005703
2026521,1762292528.911576,2.498606,2.512045,-0.000697,0.006023
2026521,1762292528.911604,2.497646,2.511085,-0.001177,0.005543
2026521,1762292528.911611,2.497326,2.510445,-0.001337,0.005223
