time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1783164,1762292284.866319,ACCEL,0,0.00000,0.12000,0.06749,1783164
1783169,1762292284.969646,ACCEL,0,0.00000,0.12000,0.06749,1783169
1783174,1762292284.969666,ACCEL,1,0.00491,0.12000,0.06763,1783174
1783179,1762292284.969677,ACCEL,1,0.00491,0.12000,0.06763,1783179
1783184,1762292284.969686,ACCEL,1,0.00491,0.12000,0.06763,1783184
1783189,1762292284.970501,ACCEL,1,0.00491,0.12000,0.06763,1783189
1783194,1762292284.970518,ACCEL,1,0.00491,0.12000,0.06763,1783194
1783199,1762292284.970528,ACCEL,1,0.00491,0.12000,0.06763,1783199
1783204,1762292284.970547,ACCEL,1,0.00491,0.12000,0.06763,1783204
1783209,1762292284.970554,ACCEL,1,0.00491,0.12000,0.06763,1783209
1783214,1762292284.970563,ACCEL,2,0.00982,0.12000,0.06776,1783214
1783219,1762292284.970570,ACCEL,2,0.00982,0.12000,0.06776,1783219
1783224,1762292284.970585,ACCEL,2,0.00982,0.12000,0.06776,1783224
1783229,1762292284.970607,ACCEL,2,0.00982,0.12000,0.06776,1783229
1783234,1762292284.970616,ACCEL,2,0.00982,0.12000,0.06776,1783234
1783239,1762292284.970622,ACCEL,2,0.00982,0.12000,0.06776,1783239
1783244,1762292284.970654,ACCEL,2,0.00982,0.12000,0.06776,1783244
1783249,1762292284.970664,ACCEL,2,0.00982,0.12000,0.06776,1783249
1783254,1762292284.970670,ACCEL,3,0.01473,0.12000,0.06790,1783254
1783259,1762292284.970676,ACCEL,3,0.01473,0.12000,0.06790,1783259
1783264,1762292284.970684,ACCEL,3,0.01473,0.12000,0.06790,1783264
1783269,1762292284.970692,ACCEL,3,0.01473,0.12000,0.06790,1783269
1783274,1762292284.970704,ACCEL,3,0.01473,0.12000,0.06790,1783274
1783279,1762292284.970736,ACCEL,3,0.01473,0.12000,0.06790,1783279
1783284,1762292284.970745,ACCEL,3,0.01473,0.12000,0.06790,1783284
1783289,1762292284.970753,ACCEL,3,0.01473,0.12000,0.06790,1783289
1783294,1762292284.970759,ACCEL,4,0.01963,0.12000,0.06803,1783294
1783299,1762292284.971196,ACCEL,4,0.01963,0.12000,0.06803,1783299
1783304,1762292284.971225,ACCEL,4,0.01963,0.12000,0.06803,1783304
1783309,1762292284.971239,ACCEL,4,0.01963,0.12000,0.06803,1783309
1783314,1762292284.971249,ACCEL,4,0.01963,0.12000,0.06803,1783314
1783319,1762292284.971256,ACCEL,4,0.01963,0.12000,0.06803,1783319
1783324,1762292284.971263,ACCEL,4,0.01963,0.12000,0.06803,1783324
1783329,1762292284.971275,ACCEL,4,0.01963,0.12000,0.06803,1783329
1783334,1762292284.971282,ACCEL,4,0.01963,0.12000,0.06803,1783334
1783339,1762292284.971289,ACCEL,5,0.02454,0.12000,0.06817,1783339
1783344,1762292284.971297,ACCEL,5,0.02454,0.12000,0.06817,1783344
1783349,1762292284.971304,ACCEL,5,0.02454,0.12000,0.06817,1783349
1783354,1762292284.971312,ACCEL,5,0.02454,0.12000,0.06817,1783354
1783359,1762292284.971320,ACCEL,5,0.02454,0.12000,0.06817,1783359
1783364,1762292284.971327,ACCEL,5,0.02454,0.12000,0.06817,1783364
1783369,1762292284.971356,ACCEL,5,0.02454,0.12000,0.06817,1783369
1783374,1762292284.971365,ACCEL,5,0.02454,0.12000,0.06817,1783374
1783379,1762292284.971372,ACCEL,6,0.02945,0.12000,0.06831,1783379
1783384,1762292284.971378,ACCEL,6,0.02945,0.12000,0.06831,1783384
1783389,1762292284.971386,ACCEL,6,0.02945,0.12000,0.06831,1783389
1783394,1762292284.971394,ACCEL,6,0.02945,0.12000,0.06831,1783394
1783399,1762292284.971400,ACCEL,6,0.02945,0.12000,0.06831,1783399
1783524,1762292285.251292,ACCEL,9,0.04418,0.12000,0.06872,1783524
1783529,1762292285.251323,ACCEL,9,0.04418,0.12000,0.06872,1783529
1783534,1762292285.254785,ACCEL,9,0.04418,0.12000,0.06872,1783534
1783539,1762292285.254800,ACCEL,9,0.04418,0.12000,0.06872,1783539
1783544,1762292285.254811,ACCEL,10,0.04909,0.12000,0.06885,1783544
1783549,1762292285.254821,ACCEL,10,0.04909,0.12000,0.06885,1783549
1783554,1762292285.254829,ACCEL,10,0.04909,0.12000,0.06885,1783554
1783559,1762292285.254837,ACCEL,10,0.04909,0.12000,0.06885,1783559
1783564,1762292285.254846,ACCEL,10,0.04909,0.12000,0.06885,1783564
1783569,1762292285.254854,ACCEL,10,0.04909,0.12000,0.06885,1783569
1783574,1762292285.254891,ACCEL,10,0.04909,0.12000,0.06885,1783574
1783579,1762292285.254900,ACCEL,10,0.04909,0.12000,0.06885,1783579
1783584,1762292285.254908,ACCEL,11,0.05400,0.12000,0.06899,1783584
1783589,1762292285.254918,ACCEL,11,0.05400,0.12000,0.06899,1783589
1783594,1762292285.254926,ACCEL,11,0.05400,0.12000,0.06899,1783594
1783599,1762292285.254935,ACCEL,11,0.05400,0.12000,0.06899,1783599
1783604,1762292285.254942,ACCEL,11,0.05400,0.12000,0.06899,1783604
1783609,1762292285.254951,ACCEL,11,0.05400,0.12000,0.06899,1783609
1783614,1762292285.254959,ACCEL,11,0.05400,0.12000,0.06899,1783614
1783619,1762292285.254966,ACCEL,11,0.05400,0.12000,0.06899,1783619
1783624,1762292285.254974,ACCEL,12,0.05890,0.12000,0.06912,1783624
1783629,1762292285.254981,ACCEL,12,0.05890,0.12000,0.06912,1783629
1783634,1762292285.254989,ACCEL,12,0.05890,0.12000,0.06912,1783634
1783639,1762292285.254997,ACCEL,12,0.05890,0.12000,0.06912,1783639
1783644,1762292285.255004,ACCEL,12,0.05890,0.12000,0.06912,1783644
1783649,1762292285.255012,ACCEL,12,0.05890,0.12000,0.06912,1783649
1783654,1762292285.255020,ACCEL,12,0.05890,0.12000,0.06912,1783654
1783659,1762292285.255028,ACCEL,12,0.05890,0.12000,0.06912,1783659
1783664,1762292285.255035,ACCEL,13,0.06381,0.12000,0.06926,1783664
1783669,1762292285.255045,ACCEL,13,0.06381,0.12000,0.06926,1783669
1783674,1762292285.255053,ACCEL,13,0.06381,0.12000,0.06926,1783674
1783679,1762292285.255060,ACCEL,13,0.06381,0.12000,0.06926,1783679
1783684,1762292285.255068,ACCEL,13,0.06381,0.12000,0.06926,1783684
1783689,1762292285.255075,ACCEL,13,0.06381,0.12000,0.06926,1783689
1783694,1762292285.255083,ACCEL,13,0.06381,0.12000,0.06926,1783694
1783699,1762292285.255091,ACCEL,13,0.06381,0.12000,0.06926,1783699
1783704,1762292285.255099,ACCEL,14,0.06872,0.12000,0.06940,1783704
