time_ms,time_ts,v4,v5,g4,g5
1783177,1762292285.055095,2.512365,2.512685,0.006183,0.006343
1783177,1762292285.055170,2.511725,2.513005,0.005863,0.006503
1783177,1762292285.055236,2.512045,2.512685,0.006023,0.006343
1783177,1762292285.055320,2.512365,2.512685,0.006183,0.006343
1783177,1762292285.055362,2.511405,2.513325,0.005703,0.006663
1783177,1762292285.055407,2.510765,2.512685,0.005383,0.006343
1783177,1762292285.055458,2.510765,2.513965,0.005383,0.006983
1783177,1762292285.055470,2.510765,2.513965,0.005383,0.006983
1783177,1762292285.055480,2.510445,2.513645,0.005223,0.006823
1783180,1762292285.058533,2.510445,2.513325,0.005223,0.006663
1783193,1762292285.071379,2.509165,2.514605,0.004583,0.007302
1783193,1762292285.071437,2.508525,2.514925,0.004263,0.007462
1783194,1762292285.071880,2.508205,2.513645,0.004103,0.006823
1783194,1762292285.071920,2.508525,2.513965,0.004263,0.006983
1783194,1762292285.071932,2.508205,2.514925,0.004103,0.007462
1783194,1762292285.071942,2.506926,2.514605,0.003463,0.007302
1783194,1762292285.071951,2.506926,2.514285,0.003463,0.007142
1783194,1762292285.071966,2.507246,2.514925,0.003623,0.007462
1783194,1762292285.071974,2.506286,2.515565,0.003143,0.007782
1783194,1762292285.071983,2.504046,2.514925,0.002023,0.007462
1783208,1762292285.086048,2.505966,2.513645,0.002983,0.006823
1783210,1762292285.087686,2.505326,2.515245,0.002663,0.007622
1783210,1762292285.087807,2.505006,2.515245,0.002503,0.007622
1783211,1762292285.089451,2.504046,2.515245,0.002023,0.007622
1783214,1762292285.091880,2.502766,2.514925,0.001383,0.007462
1783214,1762292285.092288,2.503726,2.514925,0.001863,0.007462
1783214,1762292285.092319,2.502766,2.515885,0.001383,0.007942
1783214,1762292285.092365,2.502126,2.514925,0.001063,0.007462
1783214,1762292285.092374,2.501486,2.515565,0.000743,0.007782
1783214,1762292285.092412,2.502446,2.515245,0.001223,0.007622
1783226,1762292285.104624,2.501486,2.516525,0.000743,0.008262
1783227,1762292285.105168,2.500206,2.515565,0.000103,0.007782
1783227,1762292285.105211,2.501806,2.516205,0.000903,0.008102
1783227,1762292285.105225,2.500206,2.516525,0.000103,0.008262
1783227,1762292285.105231,2.499566,2.515885,-0.000217,0.007942
1783227,1762292285.105236,2.499566,2.515885,-0.000217,0.007942
1783227,1762292285.105242,2.499566,2.516205,-0.000217,0.008102
1783227,1762292285.105247,2.498606,2.516205,-0.000697,0.008102
