time_ms,time_ts,v4,v5,g4,g5
1886891,1762292388.947704,2.510765,2.534124,0.005383,0.017062
1886892,1762292388.949043,2.511725,2.535083,0.005863,0.017542
1886896,1762292388.952341,2.511085,2.536043,0.005543,0.018022
1886896,1762292388.952937,2.510765,2.534124,0.005383,0.017062
1886896,1762292388.952982,2.511405,2.534124,0.005703,0.017062
1886897,1762292388.953297,2.511085,2.535083,0.005543,0.017542
1886897,1762292388.953324,2.510765,2.534124,0.005383,0.017062
1886897,1762292388.953350,2.511405,2.534444,0.005703,0.017222
1886897,1762292388.953372,2.510445,2.534764,0.005223,0.017382
1886901,1762292388.957738,2.510765,2.533804,0.005383,0.016902
1886907,1762292388.964043,2.509805,2.534764,0.004903,0.017382
1886908,1762292388.964491,2.509485,2.532844,0.004743,0.016422
1886908,1762292388.964514,2.510445,2.532844,0.005223,0.016422
1886908,1762292388.964533,2.509805,2.533804,0.004903,0.016902
1886908,1762292388.964586,2.510445,2.531564,0.005223,0.015782
1886908,1762292388.964596,2.510445,2.531884,0.005223,0.015942
1886908,1762292388.964602,2.508845,2.531244,0.004423,0.015622
1886908,1762292388.964615,2.509165,2.530924,0.004583,0.015462
1886908,1762292388.964658,2.510125,2.530924,0.005063,0.015462
1886908,1762292388.964664,2.509805,2.531564,0.004903,0.015782
1886923,1762292388.979850,2.509165,2.529964,0.004583,0.014982
1886923,1762292388.979887,2.509805,2.529324,0.004903,0.014662
1886923,1762292388.979897,2.508525,2.529644,0.004263,0.014822
1886923,1762292388.979907,2.509165,2.529004,0.004583,0.014502
1886925,1762292388.981723,2.509805,2.529324,0.004903,0.014662
1886925,1762292388.981770,2.508205,2.526764,0.004103,0.013382
1886925,1762292388.981813,2.509165,2.526764,0.004583,0.013382
1886925,1762292388.981876,2.508845,2.528044,0.004423,0.014022
1886925,1762292388.981887,2.507885,2.527404,0.003943,0.013702
1886925,1762292388.981894,2.509165,2.526124,0.004583,0.013062
1886939,1762292388.995677,2.508845,2.527084,0.004423,0.013542
1886939,1762292388.995707,2.507565,2.525164,0.003783,0.012582
1886939,1762292388.995712,2.508525,2.524844,0.004263,0.012422
1886939,1762292388.995721,2.507246,2.524524,0.003623,0.012262
1886939,1762292388.995725,2.507565,2.523564,0.003783,0.011782
1886939,1762292388.995728,2.506926,2.523884,0.003463,0.011942
1886939,1762292388.995732,2.506606,2.522284,0.003303,0.011142
1886939,1762292388.995736,2.506926,2.523884,0.003463,0.011942
1886939,1762292388.995739,2.505966,2.521644,0.002983,0.010822
1886939,1762292388.995743,2.506606,2.521644,0.003303,0.010822
1886939,1762292388.995898,2.505646,2.521644,0.002823,0.010822
