time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2945887,1762285732.322303,ACCEL,1,0.00491,0.12000,0.06763,2945887
2945892,1762285732.424237,ACCEL,1,0.00491,0.12000,0.06763,2945892
2945897,1762285732.424258,ACCEL,1,0.00491,0.12000,0.06763,2945897
2945902,1762285732.424268,ACCEL,1,0.00491,0.12000,0.06763,2945902
2945907,1762285732.424278,ACCEL,1,0.00491,0.12000,0.06763,2945907
2945912,1762285732.424287,ACCEL,1,0.00491,0.12000,0.06763,2945912
2945917,1762285732.424296,ACCEL,1,0.00491,0.12000,0.06763,2945917
2945922,1762285732.424304,ACCEL,1,0.00491,0.12000,0.06763,2945922
2945927,1762285732.424312,ACCEL,2,0.00982,0.12000,0.06776,2945927
2945932,1762285732.424319,ACCEL,2,0.00982,0.12000,0.06776,2945932
2945937,1762285732.424325,ACCEL,2,0.00982,0.12000,0.06776,2945937
2945942,1762285732.424342,ACCEL,2,0.00982,0.12000,0.06776,2945942
2945947,1762285732.424390,ACCEL,2,0.00982,0.12000,0.06776,2945947
2945952,1762285732.424407,ACCEL,2,0.00982,0.12000,0.06776,2945952
2945957,1762285732.424432,ACCEL,2,0.00982,0.12000,0.06776,2945957
2945962,1762285732.424442,ACCEL,2,0.00982,0.12000,0.06776,2945962
2945967,1762285732.424449,ACCEL,3,0.01473,0.12000,0.06790,2945967
2945972,1762285732.424459,ACCEL,3,0.01473,0.12000,0.06790,2945972
2945977,1762285732.424466,ACCEL,3,0.01473,0.12000,0.06790,2945977
2945982,1762285732.424473,ACCEL,3,0.01473,0.12000,0.06790,2945982
2945987,1762285732.424480,ACCEL,3,0.01473,0.12000,0.06790,2945987
2945992,1762285732.424491,ACCEL,3,0.01473,0.12000,0.06790,2945992
2945997,1762285732.424498,ACCEL,3,0.01473,0.12000,0.06790,2945997
2946002,1762285732.424506,ACCEL,3,0.01473,0.12000,0.06790,2946002
2946007,1762285732.424527,ACCEL,4,0.01963,0.12000,0.06803,2946007
2946012,1762285732.424576,ACCEL,4,0.01963,0.12000,0.06803,2946012
2946017,1762285732.424589,ACCEL,4,0.01963,0.12000,0.06803,2946017
2946022,1762285732.424598,ACCEL,4,0.01963,0.12000,0.06803,2946022
2946027,1762285732.424606,ACCEL,4,0.01963,0.12000,0.06803,2946027
2946032,1762285732.424615,ACCEL,4,0.01963,0.12000,0.06803,2946032
2946037,1762285732.424623,ACCEL,4,0.01963,0.12000,0.06803,2946037
2946042,1762285732.424631,ACCEL,4,0.01963,0.12000,0.06803,2946042
2946047,1762285732.424637,ACCEL,4,0.01963,0.12000,0.06803,2946047
2946052,1762285732.424646,ACCEL,5,0.02454,0.12000,0.06817,2946052
2946057,1762285732.424652,ACCEL,5,0.02454,0.12000,0.06817,2946057
2946062,1762285732.424659,ACCEL,5,0.02454,0.12000,0.06817,2946062
2946067,1762285732.424665,ACCEL,5,0.02454,0.12000,0.06817,2946067
2946072,1762285732.424671,ACCEL,5,0.02454,0.12000,0.06817,2946072
2946077,1762285732.424711,ACCEL,5,0.02454,0.12000,0.06817,2946077
2946082,1762285732.424721,ACCEL,5,0.02454,0.12000,0.06817,2946082
2946087,1762285732.424729,ACCEL,5,0.02454,0.12000,0.06817,2946087
2946092,1762285732.424752,ACCEL,6,0.02945,0.12000,0.06831,2946092
2946097,1762285732.424760,ACCEL,6,0.02945,0.12000,0.06831,2946097
2946102,1762285732.424767,ACCEL,6,0.02945,0.12000,0.06831,2946102
2946107,1762285732.424775,ACCEL,6,0.02945,0.12000,0.06831,2946107
2946112,1762285732.424783,ACCEL,6,0.02945,0.12000,0.06831,2946112
2946117,1762285732.424790,ACCEL,6,0.02945,0.12000,0.06831,2946117
2946122,1762285732.424797,ACCEL,6,0.02945,0.12000,0.06831,2946122
2946127,1762285732.424804,ACCEL,6,0.02945,0.12000,0.06831,2946127
2946132,1762285732.424811,ACCEL,7,0.03436,0.12000,0.06844,2946132
2946252,1762285732.685647,ACCEL,9,0.04418,0.12000,0.06872,2946252
2946257,1762285732.685668,ACCEL,10,0.04909,0.12000,0.06885,2946257
2946262,1762285732.685677,ACCEL,10,0.04909,0.12000,0.06885,2946262
2946267,1762285732.685685,ACCEL,10,0.04909,0.12000,0.06885,2946267
2946272,1762285732.685693,ACCEL,10,0.04909,0.12000,0.06885,2946272
2946277,1762285732.685700,ACCEL,10,0.04909,0.12000,0.06885,2946277
2946282,1762285732.685707,ACCEL,10,0.04909,0.12000,0.06885,2946282
2946287,1762285732.685714,ACCEL,10,0.04909,0.12000,0.06885,2946287
2946292,1762285732.685721,ACCEL,10,0.04909,0.12000,0.06885,2946292
2946297,1762285732.685728,ACCEL,11,0.05400,0.12000,0.06899,2946297
2946302,1762285732.685735,ACCEL,11,0.05400,0.12000,0.06899,2946302
2946307,1762285732.685741,ACCEL,11,0.05400,0.12000,0.06899,2946307
2946312,1762285732.685748,ACCEL,11,0.05400,0.12000,0.06899,2946312
