time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2366078,1762285151.599225,ACCEL,0,0.00000,0.12000,0.06749,2366078
2366083,1762285151.701821,ACCEL,0,0.00000,0.12000,0.06749,2366083
2366088,1762285151.701845,ACCEL,1,0.00491,0.12000,0.06763,2366088
2366093,1762285151.701858,ACCEL,1,0.00491,0.12000,0.06763,2366093
2366098,1762285151.701868,ACCEL,1,0.00491,0.12000,0.06763,2366098
2366103,1762285151.701878,ACCEL,1,0.00491,0.12000,0.06763,2366103
2366108,1762285151.701886,ACCEL,1,0.00491,0.12000,0.06763,2366108
2366113,1762285151.701895,ACCEL,1,0.00491,0.12000,0.06763,2366113
2366118,1762285151.701904,ACCEL,1,0.00491,0.12000,0.06763,2366118
2366123,1762285151.701913,ACCEL,1,0.00491,0.12000,0.06763,2366123
2366128,1762285151.701921,ACCEL,2,0.00982,0.12000,0.06776,2366128
2366133,1762285151.701930,ACCEL,2,0.00982,0.12000,0.06776,2366133
2366138,1762285151.701938,ACCEL,2,0.00982,0.12000,0.06776,2366138
2366143,1762285151.701947,ACCEL,2,0.00982,0.12000,0.06776,2366143
2366148,1762285151.701955,ACCEL,2,0.00982,0.12000,0.06776,2366148
2366153,1762285151.701963,ACCEL,2,0.00982,0.12000,0.06776,2366153
2366158,1762285151.701972,ACCEL,2,0.00982,0.12000,0.06776,2366158
2366163,1762285151.701981,ACCEL,2,0.00982,0.12000,0.06776,2366163
2366168,1762285151.701990,ACCEL,3,0.01473,0.12000,0.06790,2366168
2366173,1762285151.701998,ACCEL,3,0.01473,0.12000,0.06790,2366173
2366178,1762285151.702007,ACCEL,3,0.01473,0.12000,0.06790,2366178
2366183,1762285151.702015,ACCEL,3,0.01473,0.12000,0.06790,2366183
2366188,1762285151.702026,ACCEL,3,0.01473,0.12000,0.06790,2366188
2366193,1762285151.702034,ACCEL,3,0.01473,0.12000,0.06790,2366193
2366198,1762285151.702042,ACCEL,3,0.01473,0.12000,0.06790,2366198
2366203,1762285151.702051,ACCEL,3,0.01473,0.12000,0.06790,2366203
2366208,1762285151.702059,ACCEL,4,0.01963,0.12000,0.06803,2366208
2366213,1762285151.702067,ACCEL,4,0.01963,0.12000,0.06803,2366213
2366218,1762285151.702075,ACCEL,4,0.01963,0.12000,0.06803,2366218
2366223,1762285151.702083,ACCEL,4,0.01963,0.12000,0.06803,2366223
2366228,1762285151.702091,ACCEL,4,0.01963,0.12000,0.06803,2366228
2366233,1762285151.702097,ACCEL,4,0.01963,0.12000,0.06803,2366233
2366238,1762285151.702104,ACCEL,4,0.01963,0.12000,0.06803,2366238
2366243,1762285151.702116,ACCEL,4,0.01963,0.12000,0.06803,2366243
2366248,1762285151.702125,ACCEL,4,0.01963,0.12000,0.06803,2366248
2366253,1762285151.702130,ACCEL,5,0.02454,0.12000,0.06817,2366253
2366258,1762285151.702163,ACCEL,5,0.02454,0.12000,0.06817,2366258
2366263,1762285151.702183,ACCEL,5,0.02454,0.12000,0.06817,2366263
2366268,1762285151.702194,ACCEL,5,0.02454,0.12000,0.06817,2366268
2366273,1762285151.702203,ACCEL,5,0.02454,0.12000,0.06817,2366273
2366278,1762285151.702211,ACCEL,5,0.02454,0.12000,0.06817,2366278
2366283,1762285151.702219,ACCEL,5,0.02454,0.12000,0.06817,2366283
2366288,1762285151.702227,ACCEL,5,0.02454,0.12000,0.06817,2366288
2366293,1762285151.702235,ACCEL,6,0.02945,0.12000,0.06831,2366293
2366298,1762285151.702242,ACCEL,6,0.02945,0.12000,0.06831,2366298
2366303,1762285151.702249,ACCEL,6,0.02945,0.12000,0.06831,2366303
2366308,1762285151.702256,ACCEL,6,0.02945,0.12000,0.06831,2366308
2366313,1762285151.702263,ACCEL,6,0.02945,0.12000,0.06831,2366313
2366448,1762285151.974640,ACCEL,9,0.04418,0.12000,0.06872,2366448
2366453,1762285151.974663,ACCEL,9,0.04418,0.12000,0.06872,2366453
2366458,1762285151.977780,ACCEL,10,0.04909,0.12000,0.06885,2366458
2366463,1762285151.977793,ACCEL,10,0.04909,0.12000,0.06885,2366463
2366468,1762285151.977802,ACCEL,10,0.04909,0.12000,0.06885,2366468
2366473,1762285151.977812,ACCEL,10,0.04909,0.12000,0.06885,2366473
2366478,1762285151.977819,ACCEL,10,0.04909,0.12000,0.06885,2366478
2366483,1762285151.977826,ACCEL,10,0.04909,0.12000,0.06885,2366483
2366488,1762285151.977833,ACCEL,10,0.04909,0.12000,0.06885,2366488
2366493,1762285151.977840,ACCEL,10,0.04909,0.12000,0.06885,2366493
2366498,1762285151.977847,ACCEL,11,0.05400,0.12000,0.06899,2366498
2366503,1762285151.977855,ACCEL,11,0.05400,0.12000,0.06899,2366503
