time_ms,time_ts,v4,v5,g4,g5
2366086,1762285151.785342,2.497326,2.515565,-0.001337,0.007782
2366086,1762285151.785459,2.497006,2.514925,-0.001497,0.007462
2366087,1762285151.785482,2.497006,2.515565,-0.001497,0.007782
2366087,1762285151.785496,2.497326,2.515565,-0.001337,0.007782
2366087,1762285151.785509,2.497326,2.516845,-0.001337,0.008422
2366087,1762285151.785555,2.497646,2.517485,-0.001177,0.008742
2366087,1762285151.785614,2.497006,2.517165,-0.001497,0.008582
2366087,1762285151.785629,2.497006,2.517805,-0.001497,0.008902
2366087,1762285151.785639,2.498286,2.517485,-0.000857,0.008742
2366090,1762285151.788945,2.497326,2.518765,-0.001337,0.009382
2366102,1762285151.800940,2.497006,2.518765,-0.001497,0.009382
2366102,1762285151.800972,2.497006,2.519085,-0.001497,0.009542
2366102,1762285151.800984,2.496686,2.518765,-0.001657,0.009382
2366102,1762285151.800993,2.497646,2.519725,-0.001177,0.009862
2366102,1762285151.801003,2.497966,2.519405,-0.001017,0.009702
2366102,1762285151.801012,2.497646,2.521005,-0.001177,0.010502
2366102,1762285151.801021,2.497966,2.521005,-0.001017,0.010502
2366102,1762285151.801030,2.499246,2.520365,-0.000377,0.010182
2366102,1762285151.801039,2.499566,2.521644,-0.000217,0.010822
2366102,1762285151.801047,2.498926,2.521964,-0.000537,0.010982
2366119,1762285151.818024,2.499566,2.521644,-0.000217,0.010822
2366119,1762285151.818089,2.499246,2.522924,-0.000377,0.011462
2366119,1762285151.818097,2.499566,2.523244,-0.000217,0.011622
2366119,1762285151.818103,2.499886,2.521964,-0.000057,0.010982
2366119,1762285151.818107,2.501486,2.522924,0.000743,0.011462
2366119,1762285151.818112,2.500526,2.522924,0.000263,0.011462
2366119,1762285151.818116,2.500526,2.524524,0.000263,0.012262
2366119,1762285151.818120,2.500846,2.523884,0.000423,0.011942
2366119,1762285151.818124,2.501486,2.523564,0.000743,0.011782
2366121,1762285151.819541,2.501166,2.525484,0.000583,0.012742
2366136,1762285151.834539,2.501806,2.524844,0.000903,0.012422
2366136,1762285151.835162,2.502766,2.525804,0.001383,0.012902
2366136,1762285151.835204,2.502766,2.525484,0.001383,0.012742
2366136,1762285151.835244,2.502766,2.526444,0.001383,0.013222
2366136,1762285151.835258,2.502446,2.525164,0.001223,0.012582
2366136,1762285151.835270,2.503086,2.526124,0.001543,0.013062
2366136,1762285151.835282,2.503406,2.525804,0.001703,0.012902
2366136,1762285151.835295,2.505326,2.526444,0.002663,0.013222
2366136,1762285151.835307,2.504046,2.527404,0.002023,0.013702
2366136,1762285151.835319,2.504046,2.526764,0.002023,0.013382
2366149,1762285151.848447,2.505006,2.526124,0.002503,0.013062
2366150,1762285151.848490,2.505326,2.527084,0.002663,0.013542
2366150,1762285151.848509,2.505006,2.527404,0.002503,0.013702
2366150,1762285151.848515,2.505646,2.527084,0.002823,0.013542
2366150,1762285151.848521,2.504686,2.526444,0.002343,0.013222
2366150,1762285151.848526,2.506286,2.527404,0.003143,0.013702
2366150,1762285151.848531,2.505966,2.527404,0.002983,0.013702
2366150,1762285151.848540,2.506286,2.527404,0.003143,0.013702
2366150,1762285151.848545,2.506926,2.526444,0.003463,0.013222
2366150,1762285151.848551,2.507885,2.526764,0.003943,0.013382
2366150,1762285151.848723,2.507565,2.527404,0.003783,0.013702
2366150,1762285151.848767,2.507246,2.527724,0.003623,0.013862
2366150,1762285151.848784,2.507885,2.526764,0.003943,0.013382
2366150,1762285151.848791,2.507885,2.527084,0.003943,0.013542
2366150,1762285151.848797,2.508525,2.527084,0.004263,0.013542
2366150,1762285151.848802,2.507885,2.527724,0.003943,0.013862
2366150,1762285151.848808,2.509165,2.527724,0.004583,0.013862
2366150,1762285151.848813,2.508525,2.527084,0.004263,0.013542
2366150,1762285151.848819,2.509485,2.526124,0.004743,0.013062
2366150,1762285151.848824,2.509805,2.526444,0.004903,0.013222
2366165,1762285151.864405,2.510445,2.525484,0.005223,0.012742
2366165,1762285151.864442,2.510125,2.525484,0.005063,0.012742
2366165,1762285151.864446,2.509165,2.526444,0.004583,0.013222
