time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2426178,1762285211.802490,ACCEL,0,0.00000,0.12000,0.06749,2426178
2426183,1762285211.904044,ACCEL,0,0.00000,0.12000,0.06749,2426183
2426188,1762285211.904068,ACCEL,1,0.00491,0.12000,0.06763,2426188
2426193,1762285211.904108,ACCEL,1,0.00491,0.12000,0.06763,2426193
2426198,1762285211.904152,ACCEL,1,0.00491,0.12000,0.06763,2426198
2426203,1762285211.904602,ACCEL,1,0.00491,0.12000,0.06763,2426203
2426208,1762285211.904626,ACCEL,1,0.00491,0.12000,0.06763,2426208
2426213,1762285211.904637,ACCEL,1,0.00491,0.12000,0.06763,2426213
2426218,1762285211.904646,ACCEL,1,0.00491,0.12000,0.06763,2426218
2426223,1762285211.904664,ACCEL,1,0.00491,0.12000,0.06763,2426223
2426228,1762285211.904675,ACCEL,2,0.00982,0.12000,0.06776,2426228
2426233,1762285211.904684,ACCEL,2,0.00982,0.12000,0.06776,2426233
2426238,1762285211.904694,ACCEL,2,0.00982,0.12000,0.06776,2426238
2426243,1762285211.904702,ACCEL,2,0.00982,0.12000,0.06776,2426243
2426248,1762285211.904709,ACCEL,2,0.00982,0.12000,0.06776,2426248
2426253,1762285211.904716,ACCEL,2,0.00982,0.12000,0.06776,2426253
2426258,1762285211.904723,ACCEL,2,0.00982,0.12000,0.06776,2426258
2426263,1762285211.904732,ACCEL,2,0.00982,0.12000,0.06776,2426263
2426268,1762285211.904740,ACCEL,3,0.01473,0.12000,0.06790,2426268
2426273,1762285211.904748,ACCEL,3,0.01473,0.12000,0.06790,2426273
2426278,1762285211.904757,ACCEL,3,0.01473,0.12000,0.06790,2426278
2426283,1762285211.904767,ACCEL,3,0.01473,0.12000,0.06790,2426283
2426288,1762285211.904776,ACCEL,3,0.01473,0.12000,0.06790,2426288
2426293,1762285211.904784,ACCEL,3,0.01473,0.12000,0.06790,2426293
2426298,1762285211.904791,ACCEL,3,0.01473,0.12000,0.06790,2426298
2426303,1762285211.904800,ACCEL,3,0.01473,0.12000,0.06790,2426303
2426308,1762285211.904808,ACCEL,4,0.01963,0.12000,0.06803,2426308
2426313,1762285211.904817,ACCEL,4,0.01963,0.12000,0.06803,2426313
2426318,1762285211.904827,ACCEL,4,0.01963,0.12000,0.06803,2426318
2426323,1762285211.904834,ACCEL,4,0.01963,0.12000,0.06803,2426323
2426328,1762285211.905669,ACCEL,4,0.01963,0.12000,0.06803,2426328
2426333,1762285211.905691,ACCEL,4,0.01963,0.12000,0.06803,2426333
2426338,1762285211.905718,ACCEL,4,0.01963,0.12000,0.06803,2426338
2426343,1762285211.905740,ACCEL,4,0.01963,0.12000,0.06803,2426343
2426348,1762285211.905751,ACCEL,4,0.01963,0.12000,0.06803,2426348
2426353,1762285211.905759,ACCEL,5,0.02454,0.12000,0.06817,2426353
2426358,1762285211.905767,ACCEL,5,0.02454,0.12000,0.06817,2426358
2426363,1762285211.905789,ACCEL,5,0.02454,0.12000,0.06817,2426363
2426368,1762285211.905797,ACCEL,5,0.02454,0.12000,0.06817,2426368
2426373,1762285211.905805,ACCEL,5,0.02454,0.12000,0.06817,2426373
2426378,1762285211.905813,ACCEL,5,0.02454,0.12000,0.06817,2426378
2426383,1762285211.905821,ACCEL,5,0.02454,0.12000,0.06817,2426383
2426388,1762285211.905829,ACCEL,5,0.02454,0.12000,0.06817,2426388
2426393,1762285211.905837,ACCEL,6,0.02945,0.12000,0.06831,2426393
2426398,1762285211.905846,ACCEL,6,0.02945,0.12000,0.06831,2426398
2426403,1762285211.907128,ACCEL,6,0.02945,0.12000,0.06831,2426403
2426408,1762285211.907152,ACCEL,6,0.02945,0.12000,0.06831,2426408
2426413,1762285211.907163,ACCEL,6,0.02945,0.12000,0.06831,2426413
2426418,1762285211.907173,ACCEL,6,0.02945,0.12000,0.06831,2426418
2426423,1762285211.907180,ACCEL,6,0.02945,0.12000,0.06831,2426423
2426553,1762285212.168339,ACCEL,9,0.04418,0.12000,0.06872,2426553
2426558,1762285212.168360,ACCEL,10,0.04909,0.12000,0.06885,2426558
2426563,1762285212.168371,ACCEL,10,0.04909,0.12000,0.06885,2426563
2426568,1762285212.168380,ACCEL,10,0.04909,0.12000,0.06885,2426568
2426573,1762285212.168388,ACCEL,10,0.04909,0.12000,0.06885,2426573
2426578,1762285212.168395,ACCEL,10,0.04909,0.12000,0.06885,2426578
2426583,1762285212.168402,ACCEL,10,0.04909,0.12000,0.06885,2426583
2426588,1762285212.168410,ACCEL,10,0.04909,0.12000,0.06885,2426588
2426593,1762285212.168417,ACCEL,10,0.04909,0.12000,0.06885,2426593
2426598,1762285212.168424,ACCEL,11,0.05400,0.12000,0.06899,2426598
2426603,1762285212.168431,ACCEL,11,0.05400,0.12000,0.06899,2426603
2426608,1762285212.168438,ACCEL,11,0.05400,0.12000,0.06899,2426608
