time_ms,time_ts,v4,v5,g4,g5
2487787,1762285273.688318,2.497326,2.521644,-0.001337,0.010822
2487787,1762285273.688425,2.497326,2.521644,-0.001337,0.010822
2487787,1762285273.688501,2.497646,2.523244,-0.001177,0.011622
2487787,1762285273.688520,2.496046,2.522604,-0.001977,0.011302
2487787,1762285273.688534,2.496366,2.525484,-0.001817,0.012742
2487787,1762285273.688552,2.497326,2.525164,-0.001337,0.012582
2487787,1762285273.688569,2.496686,2.528364,-0.001657,0.014182
2487787,1762285273.688589,2.497006,2.526764,-0.001497,0.013382
2487787,1762285273.688610,2.497006,2.529004,-0.001497,0.014502
2487790,1762285273.691853,2.497966,2.531884,-0.001017,0.015942
2487801,1762285273.702733,2.497326,2.531244,-0.001337,0.015622
2487801,1762285273.702763,2.497006,2.534444,-0.001497,0.017222
2487801,1762285273.702769,2.497646,2.534444,-0.001177,0.017222
2487801,1762285273.702773,2.498286,2.537003,-0.000857,0.018502
2487801,1762285273.702777,2.499246,2.537323,-0.000377,0.018662
2487801,1762285273.702780,2.497966,2.539563,-0.001017,0.019782
2487801,1762285273.702785,2.498606,2.539883,-0.000697,0.019942
2487801,1762285273.702791,2.498926,2.541483,-0.000537,0.020742
2487801,1762285273.702794,2.499886,2.541483,-0.000057,0.020742
2487801,1762285273.702798,2.499246,2.544363,-0.000377,0.022181
2487818,1762285273.720100,2.499246,2.548842,-0.000377,0.024421
2487818,1762285273.720136,2.499886,2.546603,-0.000057,0.023301
2487818,1762285273.720142,2.500526,2.549162,0.000263,0.024581
2487819,1762285273.720201,2.500526,2.550122,0.000263,0.025061
2487819,1762285273.720225,2.500526,2.551402,0.000263,0.025701
2487819,1762285273.720233,2.501166,2.550122,0.000583,0.025061
2487819,1762285273.720239,2.501166,2.552362,0.000583,0.026181
2487819,1762285273.720244,2.501486,2.552362,0.000743,0.026181
2487819,1762285273.720250,2.501806,2.555242,0.000903,0.027621
2487819,1762285273.720255,2.501166,2.554602,0.000583,0.027301
2487837,1762285273.738290,2.502446,2.556202,0.001223,0.028101
2487837,1762285273.738343,2.501806,2.557802,0.000903,0.028901
2487837,1762285273.738351,2.502126,2.557162,0.001063,0.028581
2487837,1762285273.738362,2.502766,2.559402,0.001383,0.029701
2487837,1762285273.738368,2.503086,2.559082,0.001543,0.029541
2487837,1762285273.738373,2.502446,2.560362,0.001223,0.030181
2487837,1762285273.738378,2.503406,2.559722,0.001703,0.029861
2487837,1762285273.738383,2.502766,2.560362,0.001383,0.030181
2487837,1762285273.738388,2.503086,2.560362,0.001543,0.030181
2487837,1762285273.738393,2.504686,2.560042,0.002343,0.030021
2487837,1762285273.738602,2.504686,2.561002,0.002343,0.030501
2487837,1762285273.738612,2.503726,2.561962,0.001863,0.030981
2487837,1762285273.738618,2.503726,2.561002,0.001863,0.030501
2487837,1762285273.738621,2.504366,2.560682,0.002183,0.030341
2487837,1762285273.738625,2.504366,2.560362,0.002183,0.030181
2487837,1762285273.738649,2.505006,2.561002,0.002503,0.030501
2487837,1762285273.738657,2.505326,2.560362,0.002663,0.030181
2487837,1762285273.738662,2.505326,2.559402,0.002663,0.029701
2487837,1762285273.738667,2.505006,2.560042,0.002503,0.030021
2487837,1762285273.738672,2.505646,2.559082,0.002823,0.029541
2487849,1762285273.751024,2.505966,2.558122,0.002983,0.029061
2487849,1762285273.751059,2.507246,2.558442,0.003623,0.029221
2487849,1762285273.751094,2.505646,2.558442,0.002823,0.029221
2487849,1762285273.751144,2.505646,2.555562,0.002823,0.027781
2487849,1762285273.751169,2.507885,2.555882,0.003943,0.027941
2487849,1762285273.751178,2.507246,2.556202,0.003623,0.028101
2487849,1762285273.751182,2.507246,2.556202,0.003623,0.028101
2487849,1762285273.751188,2.506926,2.554282,0.003463,0.027141
2487849,1762285273.751192,2.507246,2.554922,0.003623,0.027461
2487850,1762285273.751202,2.508845,2.550442,0.004423,0.025221
2487850,1762285273.751857,2.508205,2.561002,0.004103,0.030501
2487850,1762285273.751886,2.507885,2.551082,0.003943,0.025541
2487850,1762285273.751894,2.508525,2.548842,0.004263,0.024421
2487850,1762285273.751899,2.508845,2.549162,0.004423,0.024581
2487850,1762285273.751911,2.508845,2.547243,0.004423,0.023621
2487850,1762285273.751918,2.508845,2.547883,0.004423,0.023941
2487851,1762285273.752276,2.508845,2.553002,0.004423,0.026501
2487851,1762285273.752291,2.508845,2.546283,0.004423,0.023141
2487851,1762285273.752296,2.508525,2.543083,0.004263,0.021541
2487851,1762285273.752302,2.509485,2.550122,0.004743,0.025061
2487865,1762285273.766811,2.509485,2.539563,0.004743,0.019782
2487865,1762285273.766842,2.508845,2.531884,0.004423,0.015942
2487865,1762285273.766847,2.508525,2.533484,0.004263,0.016742
2487865,1762285273.766850,2.509165,2.546283,0.004583,0.023141
2487865,1762285273.766854,2.507885,2.539883,0.003943,0.019942
2487865,1762285273.766858,2.508845,2.540523,0.004423,0.020262
2487865,1762285273.766861,2.508525,2.527404,0.004263,0.013702
