time_ms,time_ts,v4,v5,g4,g5
2649304,1762285435.461452,2.501486,2.525804,0.000743,0.012902
2649304,1762285435.461956,2.501166,2.525804,0.000583,0.012902
2649304,1762285435.461989,2.501806,2.525804,0.000903,0.012902
2649304,1762285435.462020,2.502126,2.525164,0.001063,0.012582
2649304,1762285435.462079,2.501806,2.525484,0.000903,0.012742
2649304,1762285435.462093,2.502126,2.525164,0.001063,0.012582
2649305,1762285435.462113,2.503086,2.524844,0.001543,0.012422
2649305,1762285435.462137,2.501486,2.524844,0.000743,0.012422
2649305,1762285435.462147,2.502126,2.523564,0.001063,0.011782
2649309,1762285435.466104,2.502126,2.523884,0.001063,0.011942
2649318,1762285435.475316,2.503406,2.523564,0.001703,0.011782
2649318,1762285435.476023,2.502766,2.523244,0.001383,0.011622
2649318,1762285435.476049,2.503086,2.522924,0.001543,0.011462
2649318,1762285435.476056,2.503086,2.522284,0.001543,0.011142
2649318,1762285435.476095,2.503086,2.523564,0.001543,0.011782
2649319,1762285435.476142,2.502446,2.522284,0.001223,0.011142
2649319,1762285435.476153,2.502766,2.521644,0.001383,0.010822
2649319,1762285435.476161,2.503086,2.521324,0.001543,0.010662
2649319,1762285435.476167,2.503726,2.521324,0.001863,0.010662
2649319,1762285435.476174,2.503726,2.520685,0.001863,0.010342
2649333,1762285435.490363,2.503406,2.519725,0.001703,0.009862
2649333,1762285435.490416,2.503726,2.519085,0.001863,0.009542
2649333,1762285435.490430,2.504686,2.519405,0.002343,0.009702
2649333,1762285435.490442,2.504686,2.518445,0.002343,0.009222
2649333,1762285435.490453,2.504366,2.519085,0.002183,0.009542
2649333,1762285435.490465,2.505006,2.518445,0.002503,0.009222
2649333,1762285435.490475,2.504686,2.517485,0.002343,0.008742
2649333,1762285435.490486,2.505326,2.517485,0.002663,0.008742
2649333,1762285435.490496,2.506286,2.516205,0.003143,0.008102
2649333,1762285435.490506,2.506286,2.515885,0.003143,0.007942
2649350,1762285435.507487,2.506926,2.515885,0.003463,0.007942
2649350,1762285435.507571,2.506926,2.514925,0.003463,0.007462
2649350,1762285435.507580,2.507246,2.514605,0.003623,0.007302
2649350,1762285435.507590,2.506926,2.514285,0.003463,0.007142
2649350,1762285435.507598,2.507885,2.514285,0.003943,0.007142
2649350,1762285435.507647,2.507885,2.513325,0.003943,0.006663
2649350,1762285435.507692,2.508205,2.512685,0.004103,0.006343
2649350,1762285435.507707,2.508525,2.512685,0.004263,0.006343
2649350,1762285435.507720,2.508525,2.512685,0.004263,0.006343
2649350,1762285435.507733,2.509485,2.512045,0.004743,0.006023
2649365,1762285435.522651,2.509165,2.512045,0.004583,0.006023
2649365,1762285435.522686,2.508845,2.512045,0.004423,0.006023
2649365,1762285435.522700,2.509165,2.511725,0.004583,0.005863
2649365,1762285435.522709,2.509165,2.510765,0.004583,0.005383
2649365,1762285435.522717,2.508845,2.510445,0.004423,0.005223
2649365,1762285435.522724,2.509165,2.511405,0.004583,0.005703
2649365,1762285435.522735,2.510125,2.511085,0.005063,0.005543
2649365,1762285435.522742,2.509805,2.510765,0.004903,0.005383
2649365,1762285435.522749,2.510445,2.511725,0.005223,0.005863
2649365,1762285435.522756,2.509165,2.511085,0.004583,0.005543
2649367,1762285435.524243,2.509805,2.509805,0.004903,0.004903
2649367,1762285435.524267,2.509485,2.509485,0.004743,0.004743
2649367,1762285435.524274,2.509485,2.509485,0.004743,0.004743
2649367,1762285435.524292,2.510125,2.509485,0.005063,0.004743
2649367,1762285435.524298,2.509485,2.509485,0.004743,0.004743
2649367,1762285435.524304,2.509485,2.509805,0.004743,0.004903
2649367,1762285435.524308,2.509165,2.510125,0.004583,0.005063
2649367,1762285435.524314,2.509165,2.509485,0.004583,0.004743
2649367,1762285435.524319,2.509805,2.509805,0.004903,0.004903
2649367,1762285435.524324,2.508525,2.509805,0.004263,0.004903
2649381,1762285435.538879,2.508845,2.510125,0.004423,0.005063
2649381,1762285435.538960,2.509485,2.509805,0.004743,0.004903
2649381,1762285435.538975,2.508845,2.510125,0.004423,0.005063
2649381,1762285435.538994,2.509165,2.510445,0.004583,0.005223
2649381,1762285435.539035,2.509805,2.510125,0.004903,0.005063
2649381,1762285435.539055,2.509165,2.510445,0.004583,0.005223
2649382,1762285435.539131,2.509805,2.509485,0.004903,0.004743
2649382,1762285435.539576,2.509485,2.510765,0.004743,0.005383
2649382,1762285435.539597,2.509805,2.509805,0.004903,0.004903
2649382,1762285435.539606,2.509805,2.509805,0.004903,0.004903
2649397,1762285435.554324,2.510125,2.510125,0.005063,0.005063
2649397,1762285435.554358,2.510125,2.509805,0.005063,0.004903
2649397,1762285435.554366,2.509165,2.510765,0.004583,0.005383
2649397,1762285435.554372,2.509805,2.510445,0.004903,0.005223
2649397,1762285435.554379,2.509165,2.509805,0.004583,0.004903
