time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2705267,1762285491.312572,ACCEL,0,0.00000,0.12000,0.06749,2705267
2705272,1762285491.413647,ACCEL,0,0.00000,0.12000,0.06749,2705272
2705277,1762285491.413675,ACCEL,1,0.00491,0.12000,0.06763,2705277
2705282,1762285491.413690,ACCEL,1,0.00491,0.12000,0.06763,2705282
2705287,1762285491.413702,ACCEL,1,0.00491,0.12000,0.06763,2705287
2705292,1762285491.413713,ACCEL,1,0.00491,0.12000,0.06763,2705292
2705297,1762285491.413723,ACCEL,1,0.00491,0.12000,0.06763,2705297
2705302,1762285491.413733,ACCEL,1,0.00491,0.12000,0.06763,2705302
2705307,1762285491.413743,ACCEL,1,0.00491,0.12000,0.06763,2705307
2705312,1762285491.413753,ACCEL,1,0.00491,0.12000,0.06763,2705312
2705317,1762285491.413763,ACCEL,2,0.00982,0.12000,0.06776,2705317
2705322,1762285491.413772,ACCEL,2,0.00982,0.12000,0.06776,2705322
2705327,1762285491.413782,ACCEL,2,0.00982,0.12000,0.06776,2705327
2705332,1762285491.413791,ACCEL,2,0.00982,0.12000,0.06776,2705332
2705337,1762285491.413801,ACCEL,2,0.00982,0.12000,0.06776,2705337
2705342,1762285491.413810,ACCEL,2,0.00982,0.12000,0.06776,2705342
2705347,1762285491.413819,ACCEL,2,0.00982,0.12000,0.06776,2705347
2705352,1762285491.413828,ACCEL,2,0.00982,0.12000,0.06776,2705352
2705357,1762285491.413837,ACCEL,3,0.01473,0.12000,0.06790,2705357
2705362,1762285491.413846,ACCEL,3,0.01473,0.12000,0.06790,2705362
2705367,1762285491.413856,ACCEL,3,0.01473,0.12000,0.06790,2705367
2705372,1762285491.413864,ACCEL,3,0.01473,0.12000,0.06790,2705372
2705377,1762285491.413882,ACCEL,3,0.01473,0.12000,0.06790,2705377
2705382,1762285491.413890,ACCEL,3,0.01473,0.12000,0.06790,2705382
2705387,1762285491.413899,ACCEL,3,0.01473,0.12000,0.06790,2705387
2705392,1762285491.413908,ACCEL,3,0.01473,0.12000,0.06790,2705392
2705397,1762285491.413917,ACCEL,4,0.01963,0.12000,0.06803,2705397
2705402,1762285491.413926,ACCEL,4,0.01963,0.12000,0.06803,2705402
2705407,1762285491.413936,ACCEL,4,0.01963,0.12000,0.06803,2705407
2705412,1762285491.413944,ACCEL,4,0.01963,0.12000,0.06803,2705412
2705417,1762285491.413953,ACCEL,4,0.01963,0.12000,0.06803,2705417
2705422,1762285491.413962,ACCEL,4,0.01963,0.12000,0.06803,2705422
2705427,1762285491.413970,ACCEL,4,0.01963,0.12000,0.06803,2705427
2705432,1762285491.413982,ACCEL,4,0.01963,0.12000,0.06803,2705432
2705437,1762285491.413991,ACCEL,4,0.01963,0.12000,0.06803,2705437
2705442,1762285491.414000,ACCEL,5,0.02454,0.12000,0.06817,2705442
2705447,1762285491.414009,ACCEL,5,0.02454,0.12000,0.06817,2705447
2705452,1762285491.414017,ACCEL,5,0.02454,0.12000,0.06817,2705452
2705457,1762285491.414026,ACCEL,5,0.02454,0.12000,0.06817,2705457
2705462,1762285491.414034,ACCEL,5,0.02454,0.12000,0.06817,2705462
2705467,1762285491.414043,ACCEL,5,0.02454,0.12000,0.06817,2705467
2705472,1762285491.414053,ACCEL,5,0.02454,0.12000,0.06817,2705472
2705477,1762285491.414062,ACCEL,5,0.02454,0.12000,0.06817,2705477
2705482,1762285491.414071,ACCEL,6,0.02945,0.12000,0.06831,2705482
2705487,1762285491.414079,ACCEL,6,0.02945,0.12000,0.06831,2705487
2705492,1762285491.414088,ACCEL,6,0.02945,0.12000,0.06831,2705492
2705497,1762285491.414097,ACCEL,6,0.02945,0.12000,0.06831,2705497
2705502,1762285491.414107,ACCEL,6,0.02945,0.12000,0.06831,2705502
2705617,1762285491.672996,ACCEL,9,0.04418,0.12000,0.06872,2705617
2705622,1762285491.673022,ACCEL,9,0.04418,0.12000,0.06872,2705622
2705627,1762285491.676143,ACCEL,9,0.04418,0.12000,0.06872,2705627
2705632,1762285491.676158,ACCEL,9,0.04418,0.12000,0.06872,2705632
2705637,1762285491.676168,ACCEL,9,0.04418,0.12000,0.06872,2705637
2705642,1762285491.676178,ACCEL,9,0.04418,0.12000,0.06872,2705642
2705647,1762285491.676186,ACCEL,10,0.04909,0.12000,0.06885,2705647
2705652,1762285491.676194,ACCEL,10,0.04909,0.12000,0.06885,2705652
2705657,1762285491.676202,ACCEL,10,0.04909,0.12000,0.06885,2705657
2705662,1762285491.676209,ACCEL,10,0.04909,0.12000,0.06885,2705662
2705667,1762285491.676217,ACCEL,10,0.04909,0.12000,0.06885,2705667
2705672,1762285491.676224,ACCEL,10,0.04909,0.12000,0.06885,2705672
2705677,1762285491.676231,ACCEL,10,0.04909,0.12000,0.06885,2705677
2705682,1762285491.676238,ACCEL,10,0.04909,0.12000,0.06885,2705682
2705687,1762285491.676245,ACCEL,11,0.05400,0.12000,0.06899,2705687
2705692,1762285491.676252,ACCEL,11,0.05400,0.12000,0.06899,2705692
2705697,1762285491.676259,ACCEL,11,0.05400,0.12000,0.06899,2705697
2705702,1762285491.676268,ACCEL,11,0.05400,0.12000,0.06899,2705702
2705707,1762285491.676275,ACCEL,11,0.05400,0.12000,0.06899,2705707
2705712,1762285491.676282,ACCEL,11,0.05400,0.12000,0.06899,2705712
2705717,1762285491.676289,ACCEL,11,0.05400,0.12000,0.06899,2705717
2705722,1762285491.676296,ACCEL,11,0.05400,0.12000,0.06899,2705722
2705727,1762285491.676302,ACCEL,12,0.05890,0.12000,0.06912,2705727
2705732,1762285491.676310,ACCEL,12,0.05890,0.12000,0.06912,2705732
2705737,1762285491.676317,ACCEL,12,0.05890,0.12000,0.06912,2705737
