time_ms,time_ts,v4,v5,g4,g5
356293,1762288449.615992,2.509805,2.546923,0.004903,0.023461
356293,1762288449.616076,2.510445,2.547563,0.005223,0.023781
356297,1762288449.619891,2.509165,2.547563,0.004583,0.023781
356297,1762288449.619931,2.510445,2.547563,0.005223,0.023781
356297,1762288449.619944,2.509805,2.546923,0.004903,0.023461
356297,1762288449.619954,2.505646,2.547563,0.002823,0.023781
356298,1762288449.620455,2.507565,2.547883,0.003783,0.023941
356298,1762288449.620469,2.509485,2.547563,0.004743,0.023781
356298,1762288449.620477,2.506926,2.547563,0.003463,0.023781
356298,1762288449.620500,2.506926,2.546923,0.003463,0.023461
356311,1762288449.633561,2.506926,2.547243,0.003463,0.023621
356311,1762288449.634183,2.508205,2.546603,0.004103,0.023301
356311,1762288449.634195,2.507885,2.547243,0.003943,0.023621
356311,1762288449.634201,2.505966,2.546923,0.002983,0.023461
356311,1762288449.634215,2.506286,2.546603,0.003143,0.023301
356311,1762288449.634233,2.508205,2.545963,0.004103,0.022981
356311,1762288449.634294,2.506926,2.545643,0.003463,0.022821
356311,1762288449.634319,2.507246,2.546283,0.003623,0.023141
356311,1762288449.634327,2.505006,2.544043,0.002503,0.022021
356311,1762288449.634332,2.503726,2.545003,0.001863,0.022501
356312,1762288449.634943,2.504366,2.543723,0.002183,0.021861
356312,1762288449.634968,2.505966,2.544043,0.002983,0.022021
356312,1762288449.634975,2.505646,2.544363,0.002823,0.022181
356312,1762288449.634980,2.506286,2.543723,0.003143,0.021861
356312,1762288449.634985,2.507885,2.543723,0.003943,0.021861
356312,1762288449.634992,2.506286,2.543083,0.003143,0.021541
356312,1762288449.634996,2.506286,2.543403,0.003143,0.021701
356312,1762288449.635010,2.505646,2.543083,0.002823,0.021541
356312,1762288449.635050,2.504686,2.543403,0.002343,0.021701
356312,1762288449.635119,2.505646,2.543403,0.002823,0.021701
356324,1762288449.646880,2.507246,2.543083,0.003623,0.021541
356324,1762288449.646930,2.505326,2.542123,0.002663,0.021061
356324,1762288449.646968,2.505646,2.542123,0.002823,0.021061
356324,1762288449.646994,2.504686,2.542763,0.002343,0.021381
356324,1762288449.647001,2.504366,2.542443,0.002183,0.021221
356324,1762288449.647034,2.504046,2.542443,0.002023,0.021221
356324,1762288449.647041,2.504686,2.542763,0.002343,0.021381
356324,1762288449.647056,2.505006,2.542763,0.002503,0.021381
356324,1762288449.647062,2.504686,2.542763,0.002343,0.021381
356324,1762288449.647066,2.504686,2.542763,0.002343,0.021381
356339,1762288449.661871,2.503726,2.542443,0.001863,0.021221
356339,1762288449.661900,2.504046,2.543083,0.002023,0.021541
356339,1762288449.661904,2.503086,2.543083,0.001543,0.021541
356339,1762288449.661908,2.503406,2.542443,0.001703,0.021221
356339,1762288449.661913,2.503726,2.542443,0.001863,0.021221
356339,1762288449.661916,2.503726,2.543083,0.001863,0.021541
356339,1762288449.661920,2.503086,2.543083,0.001543,0.021541
356339,1762288449.661924,2.502446,2.543723,0.001223,0.021861
356339,1762288449.661927,2.502126,2.542763,0.001063,0.021381
356339,1762288449.661931,2.502446,2.544043,0.001223,0.022021
356339,1762288449.662144,2.502766,2.543723,0.001383,0.021861
356339,1762288449.662164,2.502446,2.544043,0.001223,0.022021
356339,1762288449.662171,2.502126,2.544363,0.001063,0.022181
356339,1762288449.662177,2.502766,2.544363,0.001383,0.022181
356339,1762288449.662182,2.503086,2.544363,0.001543,0.022181
356339,1762288449.662187,2.503406,2.544683,0.001703,0.022341
356339,1762288449.662191,2.503086,2.544683,0.001543,0.022341
356339,1762288449.662195,2.502126,2.544683,0.001063,0.022341
356339,1762288449.662200,2.502766,2.544683,0.001383,0.022341
356339,1762288449.662205,2.503086,2.545643,0.001543,0.022821
356357,1762288449.679852,2.501806,2.546283,0.000903,0.023141
356357,1762288449.679902,2.503086,2.546283,0.001543,0.023141
356357,1762288449.680398,2.502126,2.547883,0.001063,0.023941
356358,1762288449.680432,2.502766,2.547883,0.001383,0.023941
356358,1762288449.680452,2.503726,2.548842,0.001863,0.024421
356358,1762288449.680460,2.501806,2.549482,0.000903,0.024741
356358,1762288449.680466,2.502766,2.550122,0.001383,0.025061
356358,1762288449.680518,2.502446,2.550442,0.001223,0.025221
356358,1762288449.680526,2.503406,2.552362,0.001703,0.026181
356358,1762288449.680533,2.503406,2.551722,0.001703,0.025861
356374,1762288449.696543,2.504366,2.553642,0.002183,0.026821
356374,1762288449.696574,2.503726,2.554922,0.001863,0.027461
356374,1762288449.697284,2.503406,2.555242,0.001703,0.027621
356374,1762288449.697308,2.504366,2.556842,0.002183,0.028421
356374,1762288449.697316,2.503086,2.556842,0.001543,0.028421
356374,1762288449.697321,2.503406,2.559082,0.001703,0.029541
356374,1762288449.697336,2.502766,2.559082,0.001383,0.029541
356374,1762288449.697345,2.503406,2.562282,0.001703,0.031141
356374,1762288449.697367,2.503086,2.561642,0.001543,0.030821
