time_ms,time_ts,v4,v5,g4,g5
4186818,1762286975.375286,2.498606,2.515565,-0.000697,0.007782
4186818,1762286975.375340,2.501166,2.516205,0.000583,0.008102
4186819,1762286975.375376,2.499886,2.515885,-0.000057,0.007942
4186819,1762286975.375405,2.496686,2.516205,-0.001657,0.008102
4186819,1762286975.375416,2.496686,2.515885,-0.001657,0.007942
4186819,1762286975.375444,2.498606,2.517485,-0.000697,0.008742
4186819,1762286975.375483,2.504366,2.516525,0.002183,0.008262
4186819,1762286975.375494,2.499886,2.517485,-0.000057,0.008742
4186819,1762286975.375557,2.503406,2.518445,0.001703,0.009222
4186822,1762286975.378750,2.500846,2.518125,0.000423,0.009062
4186834,1762286975.390447,2.499886,2.517485,-0.000057,0.008742
4186834,1762286975.390490,2.500526,2.518125,0.000263,0.009062
4186834,1762286975.390502,2.498286,2.518445,-0.000857,0.009222
4186834,1762286975.390512,2.498286,2.519405,-0.000857,0.009702
4186834,1762286975.390521,2.497646,2.520045,-0.001177,0.010022
4186834,1762286975.390531,2.498606,2.520045,-0.000697,0.010022
4186834,1762286975.390541,2.498606,2.521644,-0.000697,0.010822
4186834,1762286975.390552,2.503406,2.521005,0.001703,0.010502
4186834,1762286975.390562,2.499566,2.522924,-0.000217,0.011462
4186834,1762286975.390572,2.499886,2.522604,-0.000057,0.011302
4186849,1762286975.406294,2.501486,2.523884,0.000743,0.011942
4186851,1762286975.407533,2.499246,2.523884,-0.000377,0.011942
4186851,1762286975.407580,2.499886,2.524844,-0.000057,0.012422
4186851,1762286975.407587,2.503726,2.524844,0.001863,0.012422
4186851,1762286975.407590,2.502446,2.526764,0.001223,0.013382
4186854,1762286975.410748,2.498606,2.527404,-0.000697,0.013702
4186854,1762286975.411269,2.502126,2.527404,0.001063,0.013702
4186854,1762286975.411312,2.502446,2.529324,0.001223,0.014662
4186854,1762286975.411320,2.500526,2.529004,0.000263,0.014502
4186854,1762286975.411339,2.499566,2.530284,-0.000217,0.015142
4186866,1762286975.423334,2.500846,2.529964,0.000423,0.014982
4186867,1762286975.423957,2.500846,2.530924,0.000423,0.015462
4186867,1762286975.423994,2.503086,2.531884,0.001543,0.015942
4186867,1762286975.424010,2.501486,2.533164,0.000743,0.016582
4186867,1762286975.424024,2.503726,2.533164,0.001863,0.016582
4186867,1762286975.424038,2.503406,2.534764,0.001703,0.017382
4186867,1762286975.424052,2.502446,2.534444,0.001223,0.017222
4186867,1762286975.424066,2.502126,2.535083,0.001063,0.017542
4186867,1762286975.424080,2.503406,2.535723,0.001703,0.017862
4186867,1762286975.424094,2.503406,2.536043,0.001703,0.018022
4186868,1762286975.424725,2.503406,2.537003,0.001703,0.018502
4186868,1762286975.424751,2.502766,2.536043,0.001383,0.018022
4186868,1762286975.424758,2.505646,2.537003,0.002823,0.018502
4186868,1762286975.424763,2.504686,2.537003,0.002343,0.018502
4186868,1762286975.425112,2.502766,2.537963,0.001383,0.018982
4186868,1762286975.425128,2.504686,2.538283,0.002343,0.019142
4186868,1762286975.425141,2.505006,2.538283,0.002503,0.019142
4186868,1762286975.425171,2.504046,2.539563,0.002023,0.019782
4186869,1762286975.425903,2.506286,2.538603,0.003143,0.019302
4186869,1762286975.425933,2.505646,2.539563,0.002823,0.019782
4186880,1762286975.437344,2.506286,2.538923,0.003143,0.019462
4186881,1762286975.437672,2.506606,2.538923,0.003303,0.019462
4186881,1762286975.437696,2.504686,2.539243,0.002343,0.019622
4186881,1762286975.437716,2.506926,2.538603,0.003463,0.019302
4186881,1762286975.437733,2.507246,2.538923,0.003623,0.019462
4186881,1762286975.437772,2.506926,2.539563,0.003463,0.019782
4186881,1762286975.437788,2.505646,2.539243,0.002823,0.019622
4186881,1762286975.437803,2.506926,2.538283,0.003463,0.019142
4186881,1762286975.437818,2.507885,2.538923,0.003943,0.019462
4186881,1762286975.437832,2.506926,2.538923,0.003463,0.019462
4186895,1762286975.452280,2.507565,2.538603,0.003783,0.019302
4186895,1762286975.452311,2.506926,2.537643,0.003463,0.018822
