time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2142585,1762284927.743423,ACCEL,0,0.00000,0.12000,0.06749,2142585
2142590,1762284927.845674,ACCEL,0,0.00000,0.12000,0.06749,2142590
2142595,1762284927.845696,ACCEL,1,0.00491,0.12000,0.06763,2142595
2142600,1762284927.845707,ACCEL,1,0.00491,0.12000,0.06763,2142600
2142605,1762284927.845716,ACCEL,1,0.00491,0.12000,0.06763,2142605
2142610,1762284927.845724,ACCEL,1,0.00491,0.12000,0.06763,2142610
2142615,1762284927.845731,ACCEL,1,0.00491,0.12000,0.06763,2142615
2142620,1762284927.845739,ACCEL,1,0.00491,0.12000,0.06763,2142620
2142625,1762284927.845747,ACCEL,1,0.00491,0.12000,0.06763,2142625
2142630,1762284927.845754,ACCEL,1,0.00491,0.12000,0.06763,2142630
2142635,1762284927.845761,ACCEL,2,0.00982,0.12000,0.06776,2142635
2142640,1762284927.845768,ACCEL,2,0.00982,0.12000,0.06776,2142640
2142645,1762284927.845775,ACCEL,2,0.00982,0.12000,0.06776,2142645
2142650,1762284927.845782,ACCEL,2,0.00982,0.12000,0.06776,2142650
2142655,1762284927.845789,ACCEL,2,0.00982,0.12000,0.06776,2142655
2142660,1762284927.845795,ACCEL,2,0.00982,0.12000,0.06776,2142660
2142665,1762284927.845802,ACCEL,2,0.00982,0.12000,0.06776,2142665
2142670,1762284927.845810,ACCEL,2,0.00982,0.12000,0.06776,2142670
2142675,1762284927.845817,ACCEL,3,0.01473,0.12000,0.06790,2142675
2142680,1762284927.845823,ACCEL,3,0.01473,0.12000,0.06790,2142680
2142685,1762284927.845830,ACCEL,3,0.01473,0.12000,0.06790,2142685
2142690,1762284927.845836,ACCEL,3,0.01473,0.12000,0.06790,2142690
2142695,1762284927.845843,ACCEL,3,0.01473,0.12000,0.06790,2142695
2142700,1762284927.845850,ACCEL,3,0.01473,0.12000,0.06790,2142700
2142705,1762284927.845856,ACCEL,3,0.01473,0.12000,0.06790,2142705
2142710,1762284927.845866,ACCEL,3,0.01473,0.12000,0.06790,2142710
2142715,1762284927.845873,ACCEL,4,0.01963,0.12000,0.06803,2142715
2142720,1762284927.845903,ACCEL,4,0.01963,0.12000,0.06803,2142720
2142725,1762284927.845909,ACCEL,4,0.01963,0.12000,0.06803,2142725
2142730,1762284927.845916,ACCEL,4,0.01963,0.12000,0.06803,2142730
2142735,1762284927.845922,ACCEL,4,0.01963,0.12000,0.06803,2142735
2142740,1762284927.845928,ACCEL,4,0.01963,0.12000,0.06803,2142740
2142745,1762284927.845935,ACCEL,4,0.01963,0.12000,0.06803,2142745
2142750,1762284927.845943,ACCEL,4,0.01963,0.12000,0.06803,2142750
2142755,1762284927.845950,ACCEL,4,0.01963,0.12000,0.06803,2142755
2142760,1762284927.845957,ACCEL,5,0.02454,0.12000,0.06817,2142760
2142765,1762284927.845963,ACCEL,5,0.02454,0.12000,0.06817,2142765
2142770,1762284927.845969,ACCEL,5,0.02454,0.12000,0.06817,2142770
2142775,1762284927.845976,ACCEL,5,0.02454,0.12000,0.06817,2142775
2142780,1762284927.845982,ACCEL,5,0.02454,0.12000,0.06817,2142780
2142785,1762284927.845988,ACCEL,5,0.02454,0.12000,0.06817,2142785
2142790,1762284927.845995,ACCEL,5,0.02454,0.12000,0.06817,2142790
2142795,1762284927.846001,ACCEL,5,0.02454,0.12000,0.06817,2142795
2142800,1762284927.846007,ACCEL,6,0.02945,0.12000,0.06831,2142800
2142805,1762284927.846014,ACCEL,6,0.02945,0.12000,0.06831,2142805
2142810,1762284927.846020,ACCEL,6,0.02945,0.12000,0.06831,2142810
2142815,1762284927.846026,ACCEL,6,0.02945,0.12000,0.06831,2142815
2142820,1762284927.846032,ACCEL,6,0.02945,0.12000,0.06831,2142820
