time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2196108,1762284981.345725,ACCEL,0,0.00000,0.12000,0.06749,2196108
2196113,1762284981.446621,ACCEL,0,0.00000,0.12000,0.06749,2196113
2196118,1762284981.446649,ACCEL,1,0.00491,0.12000,0.06763,2196118
2196123,1762284981.446664,ACCEL,1,0.00491,0.12000,0.06763,2196123
2196128,1762284981.446677,ACCEL,1,0.00491,0.12000,0.06763,2196128
2196133,1762284981.446688,ACCEL,1,0.00491,0.12000,0.06763,2196133
2196138,1762284981.446700,ACCEL,1,0.00491,0.12000,0.06763,2196138
2196143,1762284981.446711,ACCEL,1,0.00491,0.12000,0.06763,2196143
2196148,1762284981.446722,ACCEL,1,0.00491,0.12000,0.06763,2196148
2196153,1762284981.446733,ACCEL,1,0.00491,0.12000,0.06763,2196153
2196158,1762284981.446743,ACCEL,2,0.00982,0.12000,0.06776,2196158
2196163,1762284981.446754,ACCEL,2,0.00982,0.12000,0.06776,2196163
2196168,1762284981.446765,ACCEL,2,0.00982,0.12000,0.06776,2196168
2196173,1762284981.446775,ACCEL,2,0.00982,0.12000,0.06776,2196173
2196178,1762284981.446785,ACCEL,2,0.00982,0.12000,0.06776,2196178
2196183,1762284981.446795,ACCEL,2,0.00982,0.12000,0.06776,2196183
2196188,1762284981.446810,ACCEL,2,0.00982,0.12000,0.06776,2196188
2196193,1762284981.446820,ACCEL,2,0.00982,0.12000,0.06776,2196193
2196198,1762284981.446831,ACCEL,3,0.01473,0.12000,0.06790,2196198
2196203,1762284981.446841,ACCEL,3,0.01473,0.12000,0.06790,2196203
2196208,1762284981.446851,ACCEL,3,0.01473,0.12000,0.06790,2196208
2196213,1762284981.446862,ACCEL,3,0.01473,0.12000,0.06790,2196213
2196218,1762284981.446872,ACCEL,3,0.01473,0.12000,0.06790,2196218
2196223,1762284981.446881,ACCEL,3,0.01473,0.12000,0.06790,2196223
