time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1879725,1762284664.447499,ACCEL,0,0.00000,0.12000,0.06749,1879725
1879730,1762284664.548533,ACCEL,0,0.00000,0.12000,0.06749,1879730
1879735,1762284664.548557,ACCEL,1,0.00491,0.12000,0.06763,1879735
1879740,1762284664.548568,ACCEL,1,0.00491,0.12000,0.06763,1879740
1879745,1762284664.548579,ACCEL,1,0.00491,0.12000,0.06763,1879745
1879750,1762284664.548589,ACCEL,1,0.00491,0.12000,0.06763,1879750
1879755,1762284664.548596,ACCEL,1,0.00491,0.12000,0.06763,1879755
1879760,1762284664.548648,ACCEL,1,0.00491,0.12000,0.06763,1879760
1879765,1762284664.548656,ACCEL,1,0.00491,0.12000,0.06763,1879765
1879770,1762284664.548663,ACCEL,1,0.00491,0.12000,0.06763,1879770
1879775,1762284664.548670,ACCEL,2,0.00982,0.12000,0.06776,1879775
1879780,1762284664.548677,ACCEL,2,0.00982,0.12000,0.06776,1879780
1879785,1762284664.548683,ACCEL,2,0.00982,0.12000,0.06776,1879785
1879790,1762284664.548690,ACCEL,2,0.00982,0.12000,0.06776,1879790
1879795,1762284664.548696,ACCEL,2,0.00982,0.12000,0.06776,1879795
1879800,1762284664.548703,ACCEL,2,0.00982,0.12000,0.06776,1879800
1879805,1762284664.548717,ACCEL,2,0.00982,0.12000,0.06776,1879805
1879810,1762284664.548725,ACCEL,2,0.00982,0.12000,0.06776,1879810
1879815,1762284664.548731,ACCEL,3,0.01473,0.12000,0.06790,1879815
1879820,1762284664.548737,ACCEL,3,0.01473,0.12000,0.06790,1879820
1879825,1762284664.548743,ACCEL,3,0.01473,0.12000,0.06790,1879825
1879830,1762284664.548749,ACCEL,3,0.01473,0.12000,0.06790,1879830
1879835,1762284664.548755,ACCEL,3,0.01473,0.12000,0.06790,1879835
1879840,1762284664.548761,ACCEL,3,0.01473,0.12000,0.06790,1879840
1879845,1762284664.548767,ACCEL,3,0.01473,0.12000,0.06790,1879845
1879850,1762284664.548773,ACCEL,3,0.01473,0.12000,0.06790,1879850
1879855,1762284664.548779,ACCEL,4,0.01963,0.12000,0.06803,1879855
1879860,1762284664.548785,ACCEL,4,0.01963,0.12000,0.06803,1879860
1879865,1762284664.548791,ACCEL,4,0.01963,0.12000,0.06803,1879865
1879870,1762284664.548797,ACCEL,4,0.01963,0.12000,0.06803,1879870
1879875,1762284664.548803,ACCEL,4,0.01963,0.12000,0.06803,1879875
1879880,1762284664.548808,ACCEL,4,0.01963,0.12000,0.06803,1879880
1879885,1762284664.548814,ACCEL,4,0.01963,0.12000,0.06803,1879885
1879890,1762284664.548821,ACCEL,4,0.01963,0.12000,0.06803,1879890
1879895,1762284664.548827,ACCEL,4,0.01963,0.12000,0.06803,1879895
1879900,1762284664.548833,ACCEL,5,0.02454,0.12000,0.06817,1879900
1879905,1762284664.548839,ACCEL,5,0.02454,0.12000,0.06817,1879905
1879910,1762284664.548845,ACCEL,5,0.02454,0.12000,0.06817,1879910
1879915,1762284664.548850,ACCEL,5,0.02454,0.12000,0.06817,1879915
1879920,1762284664.548856,ACCEL,5,0.02454,0.12000,0.06817,1879920
1879925,1762284664.548862,ACCEL,5,0.02454,0.12000,0.06817,1879925
1879930,1762284664.548868,ACCEL,5,0.02454,0.12000,0.06817,1879930
1879935,1762284664.548874,ACCEL,5,0.02454,0.12000,0.06817,1879935
