time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1931944,1762284716.753169,ACCEL,0,0.00000,0.12000,0.06749,1931944
1931949,1762284716.854422,ACCEL,0,0.00000,0.12000,0.06749,1931949
1931954,1762284716.854445,ACCEL,1,0.00491,0.12000,0.06763,1931954
1931959,1762284716.854457,ACCEL,1,0.00491,0.12000,0.06763,1931959
1931964,1762284716.854468,ACCEL,1,0.00491,0.12000,0.06763,1931964
1931969,1762284716.854478,ACCEL,1,0.00491,0.12000,0.06763,1931969
1931974,1762284716.854488,ACCEL,1,0.00491,0.12000,0.06763,1931974
1931979,1762284716.854497,ACCEL,1,0.00491,0.12000,0.06763,1931979
1931984,1762284716.854506,ACCEL,1,0.00491,0.12000,0.06763,1931984
1931989,1762284716.854515,ACCEL,1,0.00491,0.12000,0.06763,1931989
1931994,1762284716.854524,ACCEL,2,0.00982,0.12000,0.06776,1931994
1931999,1762284716.854532,ACCEL,2,0.00982,0.12000,0.06776,1931999
1932004,1762284716.854540,ACCEL,2,0.00982,0.12000,0.06776,1932004
1932009,1762284716.854548,ACCEL,2,0.00982,0.12000,0.06776,1932009
1932014,1762284716.854556,ACCEL,2,0.00982,0.12000,0.06776,1932014
1932019,1762284716.854563,ACCEL,2,0.00982,0.12000,0.06776,1932019
1932024,1762284716.854571,ACCEL,2,0.00982,0.12000,0.06776,1932024
1932029,1762284716.854579,ACCEL,2,0.00982,0.12000,0.06776,1932029
1932034,1762284716.854587,ACCEL,3,0.01473,0.12000,0.06790,1932034
1932039,1762284716.854594,ACCEL,3,0.01473,0.12000,0.06790,1932039
1932044,1762284716.854602,ACCEL,3,0.01473,0.12000,0.06790,1932044
1932049,1762284716.854610,ACCEL,3,0.01473,0.12000,0.06790,1932049
1932054,1762284716.854624,ACCEL,3,0.01473,0.12000,0.06790,1932054
1932059,1762284716.854631,ACCEL,3,0.01473,0.12000,0.06790,1932059
1932064,1762284716.854640,ACCEL,3,0.01473,0.12000,0.06790,1932064
1932069,1762284716.854650,ACCEL,3,0.01473,0.12000,0.06790,1932069
1932074,1762284716.854659,ACCEL,4,0.01963,0.12000,0.06803,1932074
1932079,1762284716.854669,ACCEL,4,0.01963,0.12000,0.06803,1932079
1932084,1762284716.854693,ACCEL,4,0.01963,0.12000,0.06803,1932084
1932089,1762284716.854701,ACCEL,4,0.01963,0.12000,0.06803,1932089
1932094,1762284716.854708,ACCEL,4,0.01963,0.12000,0.06803,1932094
1932099,1762284716.854715,ACCEL,4,0.01963,0.12000,0.06803,1932099
1932104,1762284716.854722,ACCEL,4,0.01963,0.12000,0.06803,1932104
1932109,1762284716.854736,ACCEL,4,0.01963,0.12000,0.06803,1932109
1932114,1762284716.854743,ACCEL,4,0.01963,0.12000,0.06803,1932114
1932119,1762284716.854751,ACCEL,5,0.02454,0.12000,0.06817,1932119
1932124,1762284716.854758,ACCEL,5,0.02454,0.12000,0.06817,1932124
1932129,1762284716.854765,ACCEL,5,0.02454,0.12000,0.06817,1932129
1932134,1762284716.854773,ACCEL,5,0.02454,0.12000,0.06817,1932134
1932139,1762284716.854780,ACCEL,5,0.02454,0.12000,0.06817,1932139
1932144,1762284716.854787,ACCEL,5,0.02454,0.12000,0.06817,1932144
