time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1995390,1762284780.316087,ACCEL,0,0.00000,0.12000,0.06749,1995390
1995395,1762284780.418256,ACCEL,0,0.00000,0.12000,0.06749,1995395
1995400,1762284780.418301,ACCEL,1,0.00491,0.12000,0.06763,1995400
1995405,1762284780.418315,ACCEL,1,0.00491,0.12000,0.06763,1995405
1995410,1762284780.418325,ACCEL,1,0.00491,0.12000,0.06763,1995410
1995415,1762284780.418335,ACCEL,1,0.00491,0.12000,0.06763,1995415
1995420,1762284780.418344,ACCEL,1,0.00491,0.12000,0.06763,1995420
1995425,1762284780.418352,ACCEL,1,0.00491,0.12000,0.06763,1995425
1995430,1762284780.418360,ACCEL,1,0.00491,0.12000,0.06763,1995430
1995435,1762284780.418368,ACCEL,1,0.00491,0.12000,0.06763,1995435
1995440,1762284780.418376,ACCEL,2,0.00982,0.12000,0.06776,1995440
1995445,1762284780.418384,ACCEL,2,0.00982,0.12000,0.06776,1995445
1995450,1762284780.418391,ACCEL,2,0.00982,0.12000,0.06776,1995450
1995455,1762284780.418399,ACCEL,2,0.00982,0.12000,0.06776,1995455
1995460,1762284780.418407,ACCEL,2,0.00982,0.12000,0.06776,1995460
1995465,1762284780.418415,ACCEL,2,0.00982,0.12000,0.06776,1995465
1995470,1762284780.418424,ACCEL,2,0.00982,0.12000,0.06776,1995470
1995475,1762284780.418435,ACCEL,2,0.00982,0.12000,0.06776,1995475
1995480,1762284780.418465,ACCEL,3,0.01473,0.12000,0.06790,1995480
1995485,1762284780.418476,ACCEL,3,0.01473,0.12000,0.06790,1995485
1995490,1762284780.418484,ACCEL,3,0.01473,0.12000,0.06790,1995490
1995495,1762284780.418530,ACCEL,3,0.01473,0.12000,0.06790,1995495
1995500,1762284780.418547,ACCEL,3,0.01473,0.12000,0.06790,1995500
1995505,1762284780.418558,ACCEL,3,0.01473,0.12000,0.06790,1995505
1995510,1762284780.418567,ACCEL,3,0.01473,0.12000,0.06790,1995510
1995515,1762284780.418575,ACCEL,3,0.01473,0.12000,0.06790,1995515
1995520,1762284780.418583,ACCEL,4,0.01963,0.12000,0.06803,1995520
1995525,1762284780.418591,ACCEL,4,0.01963,0.12000,0.06803,1995525
1995530,1762284780.418599,ACCEL,4,0.01963,0.12000,0.06803,1995530
1995535,1762284780.418607,ACCEL,4,0.01963,0.12000,0.06803,1995535
1995540,1762284780.418615,ACCEL,4,0.01963,0.12000,0.06803,1995540
1995545,1762284780.418622,ACCEL,4,0.01963,0.12000,0.06803,1995545
1995550,1762284780.418660,ACCEL,4,0.01963,0.12000,0.06803,1995550
1995555,1762284780.418671,ACCEL,4,0.01963,0.12000,0.06803,1995555
1995560,1762284780.418679,ACCEL,4,0.01963,0.12000,0.06803,1995560
1995565,1762284780.418687,ACCEL,5,0.02454,0.12000,0.06817,1995565
1995570,1762284780.418695,ACCEL,5,0.02454,0.12000,0.06817,1995570
1995575,1762284780.418703,ACCEL,5,0.02454,0.12000,0.06817,1995575
1995580,1762284780.418711,ACCEL,5,0.02454,0.12000,0.06817,1995580
1995585,1762284780.418718,ACCEL,5,0.02454,0.12000,0.06817,1995585
1995590,1762284780.418725,ACCEL,5,0.02454,0.12000,0.06817,1995590
1995595,1762284780.418733,ACCEL,5,0.02454,0.12000,0.06817,1995595
1995600,1762284780.418741,ACCEL,5,0.02454,0.12000,0.06817,1995600
1995605,1762284780.418748,ACCEL,6,0.02945,0.12000,0.06831,1995605
1995610,1762284780.418756,ACCEL,6,0.02945,0.12000,0.06831,1995610
1995615,1762284780.418763,ACCEL,6,0.02945,0.12000,0.06831,1995615
1995620,1762284780.418771,ACCEL,6,0.02945,0.12000,0.06831,1995620
1995625,1762284780.418778,ACCEL,6,0.02945,0.12000,0.06831,1995625
1995630,1762284780.418785,ACCEL,6,0.02945,0.12000,0.06831,1995630
1995635,1762284780.418793,ACCEL,6,0.02945,0.12000,0.06831,1995635
1995755,1762284780.681630,ACCEL,9,0.04418,0.12000,0.06872,1995755
1995760,1762284780.681654,ACCEL,9,0.04418,0.12000,0.06872,1995760
1995765,1762284780.681664,ACCEL,9,0.04418,0.12000,0.06872,1995765
1995770,1762284780.681673,ACCEL,10,0.04909,0.12000,0.06885,1995770
1995775,1762284780.681680,ACCEL,10,0.04909,0.12000,0.06885,1995775
1995780,1762284780.681688,ACCEL,10,0.04909,0.12000,0.06885,1995780
1995785,1762284780.681695,ACCEL,10,0.04909,0.12000,0.06885,1995785
1995790,1762284780.681702,ACCEL,10,0.04909,0.12000,0.06885,1995790
1995795,1762284780.681710,ACCEL,10,0.04909,0.12000,0.06885,1995795
1995800,1762284780.681720,ACCEL,10,0.04909,0.12000,0.06885,1995800
1995805,1762284780.681728,ACCEL,10,0.04909,0.12000,0.06885,1995805
1995810,1762284780.681735,ACCEL,11,0.05400,0.12000,0.06899,1995810
1995815,1762284780.681742,ACCEL,11,0.05400,0.12000,0.06899,1995815
1995820,1762284780.681748,ACCEL,11,0.05400,0.12000,0.06899,1995820
1995825,1762284780.681755,ACCEL,11,0.05400,0.12000,0.06899,1995825
1995830,1762284780.681764,ACCEL,11,0.05400,0.12000,0.06899,1995830
1995835,1762284780.681824,ACCEL,11,0.05400,0.12000,0.06899,1995835
1995840,1762284780.681849,ACCEL,11,0.05400,0.12000,0.06899,1995840
1995845,1762284780.681858,ACCEL,11,0.05400,0.12000,0.06899,1995845
1995850,1762284780.681867,ACCEL,12,0.05890,0.12000,0.06912,1995850
1995855,1762284780.681875,ACCEL,12,0.05890,0.12000,0.06912,1995855
1995860,1762284780.681883,ACCEL,12,0.05890,0.12000,0.06912,1995860
1995865,1762284780.681890,ACCEL,12,0.05890,0.12000,0.06912,1995865
1995870,1762284780.681897,ACCEL,12,0.05890,0.12000,0.06912,1995870
1995875,1762284780.681905,ACCEL,12,0.05890,0.12000,0.06912,1995875
1995880,1762284780.681912,ACCEL,12,0.05890,0.12000,0.06912,1995880
1995885,1762284780.681920,ACCEL,12,0.05890,0.12000,0.06912,1995885
1995890,1762284780.681931,ACCEL,13,0.06381,0.12000,0.06926,1995890
1995895,1762284780.681939,ACCEL,13,0.06381,0.12000,0.06926,1995895
1995900,1762284780.681946,ACCEL,13,0.06381,0.12000,0.06926,1995900
1995905,1762284780.681953,ACCEL,13,0.06381,0.12000,0.06926,1995905
1995910,1762284780.681960,ACCEL,13,0.06381,0.12000,0.06926,1995910
1995915,1762284780.681967,ACCEL,13,0.06381,0.12000,0.06926,1995915
1995920,1762284780.681973,ACCEL,13,0.06381,0.12000,0.06926,1995920
1995925,1762284780.681980,ACCEL,13,0.06381,0.12000,0.06926,1995925
1995930,1762284780.681987,ACCEL,14,0.06872,0.12000,0.06940,1995930
1995935,1762284780.681994,ACCEL,14,0.06872,0.12000,0.06940,1995935
1995940,1762284780.682000,ACCEL,14,0.06872,0.12000,0.06940,1995940
1995945,1762284780.682009,ACCEL,14,0.06872,0.12000,0.06940,1995945
1995950,1762284780.682015,ACCEL,14,0.06872,0.12000,0.06940,1995950
1995955,1762284780.682022,ACCEL,14,0.06872,0.12000,0.06940,1995955
1995960,1762284780.682029,ACCEL,14,0.06872,0.12000,0.06940,1995960
1995965,1762284780.682038,ACCEL,14,0.06872,0.12000,0.06940,1995965
1995970,1762284780.682046,ACCEL,15,0.07363,0.12000,0.06953,1995970
1995975,1762284780.682053,ACCEL,15,0.07363,0.12000,0.06953,1995975
1995980,1762284780.682060,ACCEL,15,0.07363,0.12000,0.06953,1995980
1995985,1762284780.682068,ACCEL,15,0.07363,0.12000,0.06953,1995985
1995990,1762284780.682075,ACCEL,15,0.07363,0.12000,0.06953,1995990
1995995,1762284780.682081,ACCEL,15,0.07363,0.12000,0.06953,1995995
1996000,1762284780.682088,ACCEL,15,0.07363,0.12000,0.06953,1996000
1996015,1762284780.942186,ACCEL,16,0.07854,0.12000,0.06967,1996015
1996020,1762284780.942207,ACCEL,16,0.07854,0.12000,0.06967,1996020
1996025,1762284780.942218,ACCEL,16,0.07854,0.12000,0.06967,1996025
1996030,1762284780.942227,ACCEL,16,0.07854,0.12000,0.06967,1996030
1996035,1762284780.942235,ACCEL,16,0.07854,0.12000,0.06967,1996035
1996040,1762284780.942243,ACCEL,16,0.07854,0.12000,0.06967,1996040
1996045,1762284780.942250,ACCEL,16,0.07854,0.12000,0.06967,1996045
1996050,1762284780.942258,ACCEL,16,0.07854,0.12000,0.06967,1996050
1996055,1762284780.942266,ACCEL,17,0.08345,0.12000,0.06980,1996055
1996060,1762284780.942276,ACCEL,17,0.08345,0.12000,0.06980,1996060
1996065,1762284780.942283,ACCEL,17,0.08345,0.12000,0.06980,1996065
1996070,1762284780.942290,ACCEL,17,0.08345,0.12000,0.06980,1996070
1996075,1762284780.942297,ACCEL,17,0.08345,0.12000,0.06980,1996075
1996080,1762284780.942303,ACCEL,17,0.08345,0.12000,0.06980,1996080
1996085,1762284780.942310,ACCEL,17,0.08345,0.12000,0.06980,1996085
1996090,1762284780.942317,ACCEL,17,0.08345,0.12000,0.06980,1996090
1996095,1762284780.942323,ACCEL,18,0.08836,0.12000,0.06994,1996095
1996100,1762284780.942330,ACCEL,18,0.08836,0.12000,0.06994,1996100
1996105,1762284780.942336,ACCEL,18,0.08836,0.12000,0.06994,1996105
1996110,1762284780.942343,ACCEL,18,0.08836,0.12000,0.06994,1996110
1996115,1762284780.942349,ACCEL,18,0.08836,0.12000,0.06994,1996115
1996120,1762284780.942356,ACCEL,18,0.08836,0.12000,0.06994,1996120
1996125,1762284780.942363,ACCEL,18,0.08836,0.12000,0.06994,1996125
1996130,1762284780.942369,ACCEL,18,0.08836,0.12000,0.06994,1996130
1996135,1762284780.942375,ACCEL,19,0.09327,0.12000,0.07008,1996135
1996140,1762284780.942382,ACCEL,19,0.09327,0.12000,0.07008,1996140
1996145,1762284780.942388,ACCEL,19,0.09327,0.12000,0.07008,1996145
1996150,1762284780.942395,ACCEL,19,0.09327,0.12000,0.07008,1996150
1996155,1762284780.942400,ACCEL,19,0.09327,0.12000,0.07008,1996155
1996160,1762284780.942408,ACCEL,19,0.09327,0.12000,0.07008,1996160
1996165,1762284780.942414,ACCEL,19,0.09327,0.12000,0.07008,1996165
1996170,1762284780.942423,ACCEL,19,0.09327,0.12000,0.07008,1996170
1996175,1762284780.942429,ACCEL,20,0.09817,0.12000,0.07021,1996175
1996180,1762284780.942436,ACCEL,20,0.09817,0.12000,0.07021,1996180
1996185,1762284780.942442,ACCEL,20,0.09817,0.12000,0.07021,1996185
1996190,1762284780.942448,ACCEL,20,0.09817,0.12000,0.07021,1996190
1996195,1762284780.942454,ACCEL,20,0.09817,0.12000,0.07021,1996195
1996200,1762284780.942460,ACCEL,20,0.09817,0.12000,0.07021,1996200
1996205,1762284780.942466,ACCEL,20,0.09817,0.12000,0.07021,1996205
1996210,1762284780.942472,ACCEL,20,0.09817,0.12000,0.07021,1996210
1996215,1762284780.942478,ACCEL,20,0.09817,0.12000,0.07021,1996215
1996220,1762284780.942484,ACCEL,21,0.10308,0.12000,0.07035,1996220
1996225,1762284780.942491,ACCEL,21,0.10308,0.12000,0.07035,1996225
1996230,1762284780.942497,ACCEL,21,0.10308,0.12000,0.07035,1996230
1996235,1762284780.942503,ACCEL,21,0.10308,0.12000,0.07035,1996235
1996240,1762284780.942509,ACCEL,21,0.10308,0.12000,0.07035,1996240
1996245,1762284780.942515,ACCEL,21,0.10308,0.12000,0.07035,1996245
1996250,1762284780.942521,ACCEL,21,0.10308,0.12000,0.07035,1996250
1996255,1762284780.942528,ACCEL,21,0.10308,0.12000,0.07035,1996255
1996260,1762284780.942536,ACCEL,22,0.10799,0.12000,0.07048,1996260
1996275,1762284781.202577,ACCEL,22,0.10799,0.12000,0.07048,1996275
1996280,1762284781.202604,ACCEL,22,0.10799,0.12000,0.07048,1996280
1996285,1762284781.202615,ACCEL,22,0.10799,0.12000,0.07048,1996285
1996290,1762284781.202625,ACCEL,22,0.10799,0.12000,0.07048,1996290
1996295,1762284781.202632,ACCEL,22,0.10799,0.12000,0.07048,1996295
1996300,1762284781.202640,ACCEL,23,0.11290,0.12000,0.07062,1996300
1996305,1762284781.202647,ACCEL,23,0.11290,0.12000,0.07062,1996305
1996310,1762284781.202655,ACCEL,23,0.11290,0.12000,0.07062,1996310
1996315,1762284781.202661,ACCEL,23,0.11290,0.12000,0.07062,1996315
1996320,1762284781.202668,ACCEL,23,0.11290,0.12000,0.07062,1996320
1996325,1762284781.202675,ACCEL,23,0.11290,0.12000,0.07062,1996325
1996330,1762284781.202682,ACCEL,23,0.11290,0.12000,0.07062,1996330
1996335,1762284781.202689,ACCEL,23,0.11290,0.12000,0.07062,1996335
1996340,1762284781.202696,ACCEL,24,0.11781,0.12000,0.07075,1996340
1996345,1762284781.202702,ACCEL,24,0.11781,0.12000,0.07075,1996345
1996350,1762284781.202709,ACCEL,24,0.11781,0.12000,0.07075,1996350
1996355,1762284781.202716,ACCEL,24,0.11781,0.12000,0.07075,1996355
1996360,1762284781.202722,ACCEL,24,0.11781,0.12000,0.07075,1996360
1996365,1762284781.202729,ACCEL,24,0.11781,0.12000,0.07075,1996365
1996370,1762284781.202735,ACCEL,24,0.11781,0.12000,0.07075,1996370
1996375,1762284781.202741,ACCEL,24,0.11781,0.12000,0.07075,1996375
