time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1624777,1762284409.088001,ACCEL,0,0.00000,0.12000,0.06749,1624777
1624782,1762284409.189889,ACCEL,0,0.00000,0.12000,0.06749,1624782
1624787,1762284409.189935,ACCEL,1,0.00491,0.12000,0.06763,1624787
1624792,1762284409.189961,ACCEL,1,0.00491,0.12000,0.06763,1624792
1624797,1762284409.189982,ACCEL,1,0.00491,0.12000,0.06763,1624797
1624802,1762284409.190001,ACCEL,1,0.00491,0.12000,0.06763,1624802
1624807,1762284409.190020,ACCEL,1,0.00491,0.12000,0.06763,1624807
1624812,1762284409.190035,ACCEL,1,0.00491,0.12000,0.06763,1624812
1624817,1762284409.190050,ACCEL,1,0.00491,0.12000,0.06763,1624817
1624822,1762284409.190066,ACCEL,1,0.00491,0.12000,0.06763,1624822
1624827,1762284409.190080,ACCEL,2,0.00982,0.12000,0.06776,1624827
1624832,1762284409.190095,ACCEL,2,0.00982,0.12000,0.06776,1624832
1624837,1762284409.190110,ACCEL,2,0.00982,0.12000,0.06776,1624837
1624842,1762284409.190125,ACCEL,2,0.00982,0.12000,0.06776,1624842
1624847,1762284409.190138,ACCEL,2,0.00982,0.12000,0.06776,1624847
1624852,1762284409.190152,ACCEL,2,0.00982,0.12000,0.06776,1624852
1624857,1762284409.190166,ACCEL,2,0.00982,0.12000,0.06776,1624857
1624862,1762284409.190181,ACCEL,2,0.00982,0.12000,0.06776,1624862
1624867,1762284409.190195,ACCEL,3,0.01473,0.12000,0.06790,1624867
1624872,1762284409.190208,ACCEL,3,0.01473,0.12000,0.06790,1624872
1624877,1762284409.190223,ACCEL,3,0.01473,0.12000,0.06790,1624877
1624882,1762284409.190236,ACCEL,3,0.01473,0.12000,0.06790,1624882
1624887,1762284409.190250,ACCEL,3,0.01473,0.12000,0.06790,1624887
1624892,1762284409.190264,ACCEL,3,0.01473,0.12000,0.06790,1624892
1624897,1762284409.190278,ACCEL,3,0.01473,0.12000,0.06790,1624897
1624902,1762284409.190299,ACCEL,3,0.01473,0.12000,0.06790,1624902
1624907,1762284409.190312,ACCEL,4,0.01963,0.12000,0.06803,1624907
1624912,1762284409.190327,ACCEL,4,0.01963,0.12000,0.06803,1624912
1624917,1762284409.190340,ACCEL,4,0.01963,0.12000,0.06803,1624917
1624922,1762284409.190354,ACCEL,4,0.01963,0.12000,0.06803,1624922
1624927,1762284409.190368,ACCEL,4,0.01963,0.12000,0.06803,1624927
1624932,1762284409.190382,ACCEL,4,0.01963,0.12000,0.06803,1624932
1624937,1762284409.190395,ACCEL,4,0.01963,0.12000,0.06803,1624937
1624942,1762284409.190412,ACCEL,4,0.01963,0.12000,0.06803,1624942
1624947,1762284409.190425,ACCEL,4,0.01963,0.12000,0.06803,1624947
