time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1678669,1762284463.062447,ACCEL,0,0.00000,0.12000,0.06749,1678669
1678674,1762284463.166288,ACCEL,0,0.00000,0.12000,0.06749,1678674
1678679,1762284463.166308,ACCEL,1,0.00491,0.12000,0.06763,1678679
1678684,1762284463.166318,ACCEL,1,0.00491,0.12000,0.06763,1678684
1678689,1762284463.166326,ACCEL,1,0.00491,0.12000,0.06763,1678689
1678694,1762284463.166334,ACCEL,1,0.00491,0.12000,0.06763,1678694
1678699,1762284463.166341,ACCEL,1,0.00491,0.12000,0.06763,1678699
1678704,1762284463.166348,ACCEL,1,0.00491,0.12000,0.06763,1678704
1678709,1762284463.166354,ACCEL,1,0.00491,0.12000,0.06763,1678709
1678714,1762284463.166362,ACCEL,1,0.00491,0.12000,0.06763,1678714
1678719,1762284463.166368,ACCEL,2,0.00982,0.12000,0.06776,1678719
1678724,1762284463.166374,ACCEL,2,0.00982,0.12000,0.06776,1678724
1678729,1762284463.166381,ACCEL,2,0.00982,0.12000,0.06776,1678729
1678734,1762284463.166388,ACCEL,2,0.00982,0.12000,0.06776,1678734
1678739,1762284463.166394,ACCEL,2,0.00982,0.12000,0.06776,1678739
1678744,1762284463.166400,ACCEL,2,0.00982,0.12000,0.06776,1678744
1678749,1762284463.166406,ACCEL,2,0.00982,0.12000,0.06776,1678749
1678754,1762284463.166413,ACCEL,2,0.00982,0.12000,0.06776,1678754
1678759,1762284463.166419,ACCEL,3,0.01473,0.12000,0.06790,1678759
1678764,1762284463.166425,ACCEL,3,0.01473,0.12000,0.06790,1678764
1678769,1762284463.166431,ACCEL,3,0.01473,0.12000,0.06790,1678769
1678774,1762284463.166437,ACCEL,3,0.01473,0.12000,0.06790,1678774
1678779,1762284463.166444,ACCEL,3,0.01473,0.12000,0.06790,1678779
1678784,1762284463.166449,ACCEL,3,0.01473,0.12000,0.06790,1678784
1678789,1762284463.166458,ACCEL,3,0.01473,0.12000,0.06790,1678789
1678794,1762284463.166465,ACCEL,3,0.01473,0.12000,0.06790,1678794
1678799,1762284463.166471,ACCEL,4,0.01963,0.12000,0.06803,1678799
1678804,1762284463.166478,ACCEL,4,0.01963,0.12000,0.06803,1678804
1678809,1762284463.166484,ACCEL,4,0.01963,0.12000,0.06803,1678809
1678814,1762284463.166490,ACCEL,4,0.01963,0.12000,0.06803,1678814
1678819,1762284463.166496,ACCEL,4,0.01963,0.12000,0.06803,1678819
1678824,1762284463.166501,ACCEL,4,0.01963,0.12000,0.06803,1678824
1678829,1762284463.166507,ACCEL,4,0.01963,0.12000,0.06803,1678829
1678834,1762284463.166515,ACCEL,4,0.01963,0.12000,0.06803,1678834
1678839,1762284463.166521,ACCEL,4,0.01963,0.12000,0.06803,1678839
1678844,1762284463.166527,ACCEL,5,0.02454,0.12000,0.06817,1678844
1678849,1762284463.166533,ACCEL,5,0.02454,0.12000,0.06817,1678849
1678854,1762284463.166539,ACCEL,5,0.02454,0.12000,0.06817,1678854
1678859,1762284463.166545,ACCEL,5,0.02454,0.12000,0.06817,1678859
