time_ms,time_ts,v4,v5,g4,g5
1733162,1762284517.839661,2.499246,2.509805,-0.000377,0.004903
1733163,1762284517.840448,2.499246,2.509165,-0.000377,0.004583
1733163,1762284517.840513,2.498606,2.509805,-0.000697,0.004903
1733163,1762284517.840562,2.499566,2.510125,-0.000217,0.005063
1733163,1762284517.840580,2.498286,2.510445,-0.000857,0.005223
1733163,1762284517.840596,2.498606,2.509805,-0.000697,0.004903
1733163,1762284517.840611,2.499566,2.511085,-0.000217,0.005543
1733164,1762284517.841166,2.498606,2.510445,-0.000697,0.005223
1733164,1762284517.841298,2.499246,2.510445,-0.000377,0.005223
1733167,1762284517.844963,2.498926,2.510125,-0.000537,0.005063
1733177,1762284517.855040,2.499566,2.509805,-0.000217,0.004903
1733177,1762284517.855078,2.499246,2.510765,-0.000377,0.005383
1733177,1762284517.855083,2.498606,2.510765,-0.000697,0.005383
1733177,1762284517.855088,2.498926,2.509485,-0.000537,0.004743
1733177,1762284517.855092,2.498286,2.512365,-0.000857,0.006183
1733177,1762284517.855096,2.498286,2.510445,-0.000857,0.005223
1733177,1762284517.855100,2.499566,2.510765,-0.000217,0.005383
1733177,1762284517.855104,2.499566,2.510765,-0.000217,0.005383
1733177,1762284517.855107,2.500206,2.510445,0.000103,0.005223
1733177,1762284517.855111,2.497966,2.511725,-0.001017,0.005863
1733192,1762284517.870017,2.499246,2.511085,-0.000377,0.005543
1733193,1762284517.871105,2.497966,2.512045,-0.001017,0.006023
1733194,1762284517.871180,2.499886,2.510445,-0.000057,0.005223
1733194,1762284517.871739,2.499246,2.511725,-0.000377,0.005863
1733198,1762284517.875623,2.499246,2.511405,-0.000377,0.005703
1733198,1762284517.875671,2.500206,2.511405,0.000103,0.005703
1733198,1762284517.875690,2.499566,2.510765,-0.000217,0.005383
1733198,1762284517.875698,2.500846,2.511085,0.000423,0.005543
1733198,1762284517.875743,2.500846,2.513005,0.000423,0.006503
1733198,1762284517.875786,2.500526,2.511085,0.000263,0.005543
1733208,1762284517.886130,2.501166,2.512365,0.000583,0.006183
1733209,1762284517.886169,2.500526,2.512045,0.000263,0.006023
1733209,1762284517.886177,2.500846,2.511405,0.000423,0.005703
1733209,1762284517.886185,2.501486,2.512045,0.000743,0.006023
1733209,1762284517.886191,2.501166,2.511725,0.000583,0.005863
1733209,1762284517.886196,2.501486,2.511725,0.000743,0.005863
1733209,1762284517.886202,2.501166,2.512045,0.000583,0.006023
1733209,1762284517.886207,2.502126,2.511405,0.001063,0.005703
1733209,1762284517.886213,2.501486,2.512685,0.000743,0.006343
1733209,1762284517.886218,2.502126,2.512685,0.001063,0.006343
1733209,1762284517.886462,2.502126,2.512045,0.001063,0.006023
1733209,1762284517.886497,2.502126,2.513005,0.001063,0.006503
1733209,1762284517.886513,2.502126,2.512045,0.001063,0.006023
1733209,1762284517.886519,2.503406,2.512365,0.001703,0.006183
1733209,1762284517.886548,2.501486,2.513325,0.000743,0.006663
1733209,1762284517.886585,2.503086,2.513005,0.001543,0.006503
1733209,1762284517.886604,2.502446,2.513325,0.001223,0.006663
1733209,1762284517.886612,2.503086,2.512685,0.001543,0.006343
1733209,1762284517.886617,2.503726,2.513325,0.001863,0.006663
1733209,1762284517.886625,2.502446,2.514285,0.001223,0.007142
1733224,1762284517.901870,2.503726,2.513965,0.001863,0.006983
1733224,1762284517.901979,2.503086,2.513645,0.001543,0.006823
1733224,1762284517.902004,2.505326,2.513965,0.002663,0.006983
1733224,1762284517.902012,2.503406,2.514285,0.001703,0.007142
1733224,1762284517.902017,2.504046,2.514925,0.002023,0.007462
1733224,1762284517.902023,2.504046,2.515245,0.002023,0.007622
1733224,1762284517.902028,2.503086,2.514285,0.001543,0.007142
1733224,1762284517.902033,2.504366,2.514605,0.002183,0.007302
1733224,1762284517.902038,2.504046,2.514925,0.002023,0.007462
1733224,1762284517.902043,2.505006,2.515245,0.002503,0.007622
1733240,1762284517.917449,2.503726,2.515565,0.001863,0.007782
1733240,1762284517.917481,2.504046,2.515245,0.002023,0.007622
1733240,1762284517.917486,2.503726,2.514925,0.001863,0.007462
1733240,1762284517.917490,2.504366,2.515885,0.002183,0.007942
1733240,1762284517.917494,2.504366,2.515245,0.002183,0.007622
1733240,1762284517.917499,2.504686,2.515885,0.002343,0.007942
1733240,1762284517.917554,2.504366,2.514925,0.002183,0.007462
1733240,1762284517.917561,2.504366,2.516205,0.002183,0.008102
1733240,1762284517.917564,2.503406,2.516205,0.001703,0.008102
1733240,1762284517.917568,2.504366,2.515565,0.002183,0.007782
1733256,1762284517.933770,2.504686,2.516205,0.002343,0.008102
1733256,1762284517.933825,2.503726,2.516205,0.001863,0.008102
1733257,1762284517.934384,2.504686,2.516525,0.002343,0.008262
1733257,1762284517.934392,2.503726,2.516205,0.001863,0.008102
1733257,1762284517.934397,2.504366,2.516525,0.002183,0.008262
1733257,1762284517.934403,2.504046,2.517165,0.002023,0.008582
1733257,1762284517.934408,2.504366,2.515885,0.002183,0.007942
1733257,1762284517.934417,2.503406,2.516845,0.001703,0.008422
1733257,1762284517.934422,2.503726,2.516845,0.001863,0.008422
1733257,1762284517.934427,2.504686,2.516525,0.002343,0.008262
1733257,1762284517.934988,2.503406,2.517165,0.001703,0.008582
1733257,1762284517.935004,2.504046,2.516525,0.002023,0.008262
1733257,1762284517.935010,2.504366,2.517165,0.002183,0.008582
1733257,1762284517.935015,2.503406,2.516205,0.001703,0.008102
1733257,1762284517.935020,2.504046,2.517165,0.002023,0.008582
1733257,1762284517.935026,2.503406,2.516845,0.001703,0.008422
1733257,1762284517.935031,2.504046,2.517165,0.002023,0.008582
1733257,1762284517.935036,2.502766,2.516845,0.001383,0.008422
1733257,1762284517.935041,2.503726,2.516525,0.001863,0.008262
1733257,1762284517.935046,2.504046,2.517165,0.002023,0.008582
1733273,1762284517.950594,2.503726,2.517485,0.001863,0.008742
1733273,1762284517.950654,2.503726,2.517165,0.001863,0.008582
1733273,1762284517.950681,2.503086,2.517485,0.001543,0.008742
1733273,1762284517.950690,2.502766,2.516525,0.001383,0.008262
1733273,1762284517.950697,2.504046,2.517165,0.002023,0.008582
1733273,1762284517.950739,2.503086,2.517485,0.001543,0.008742
1733273,1762284517.950773,2.503726,2.517165,0.001863,0.008582
1733273,1762284517.950790,2.503406,2.517165,0.001703,0.008582
1733273,1762284517.950852,2.503086,2.516845,0.001543,0.008422
1733273,1762284517.950925,2.504046,2.516525,0.002023,0.008262
1733274,1762284517.951886,2.503086,2.517165,0.001543,0.008582
1733274,1762284517.951906,2.503406,2.516205,0.001703,0.008102
1733274,1762284517.951936,2.502766,2.516525,0.001383,0.008262
1733274,1762284517.951950,2.503726,2.515565,0.001863,0.007782
1733274,1762284517.951994,2.504046,2.517165,0.002023,0.008582
1733274,1762284517.952008,2.503726,2.516845,0.001863,0.008422
1733274,1762284517.952040,2.503726,2.517165,0.001863,0.008582
1733274,1762284517.952057,2.503726,2.516845,0.001863,0.008422
1733274,1762284517.952061,2.504046,2.516525,0.002023,0.008262
1733274,1762284517.952068,2.504686,2.517165,0.002343,0.008582
1733288,1762284517.965448,2.503726,2.517165,0.001863,0.008582
1733288,1762284517.965471,2.504366,2.516845,0.002183,0.008422
1733288,1762284517.965477,2.504686,2.517165,0.002343,0.008582
1733288,1762284517.965481,2.503726,2.515885,0.001863,0.007942
1733288,1762284517.965519,2.504366,2.516205,0.002183,0.008102
1733288,1762284517.965528,2.504366,2.516205,0.002183,0.008102
1733288,1762284517.965532,2.504686,2.516205,0.002343,0.008102
1733288,1762284517.965536,2.504686,2.515245,0.002343,0.007622
1733288,1762284517.965540,2.504046,2.516525,0.002023,0.008262
1733288,1762284517.965543,2.505326,2.515565,0.002663,0.007782
1733305,1762284517.982510,2.505006,2.516525,0.002503,0.008262
1733305,1762284517.982535,2.504686,2.514925,0.002343,0.007462
1733305,1762284517.982541,2.505646,2.515565,0.002823,0.007782
1733305,1762284517.982547,2.504046,2.515565,0.002023,0.007782
1733305,1762284517.982551,2.504686,2.515565,0.002343,0.007782
1733305,1762284517.982584,2.504686,2.515565,0.002343,0.007782
1733305,1762284517.982603,2.503726,2.514925,0.001863,0.007462
1733305,1762284517.982609,2.505006,2.515885,0.002503,0.007942
1733305,1762284517.982614,2.504366,2.514925,0.002183,0.007462
1733305,1762284517.983063,2.505646,2.514925,0.002823,0.007462
1733306,1762284517.983433,2.505326,2.515885,0.002663,0.007942
1733306,1762284517.983861,2.504046,2.513965,0.002023,0.006983
1733306,1762284517.983929,2.505006,2.513645,0.002503,0.006823
1733306,1762284517.983970,2.505646,2.513965,0.002823,0.006983
1733306,1762284517.984041,2.504686,2.514925,0.002343,0.007462
1733306,1762284517.984083,2.505006,2.514285,0.002503,0.007142
1733306,1762284517.984101,2.505646,2.514925,0.002823,0.007462
1733306,1762284517.984116,2.505326,2.514925,0.002663,0.007462
1733306,1762284517.984131,2.504686,2.513965,0.002343,0.006983
1733307,1762284517.984493,2.505966,2.514605,0.002983,0.007302
1733320,1762284517.997810,2.505646,2.514285,0.002823,0.007142
