time_ms,time_ts,v4,v5,g4,g5
3142793,1762285929.715655,2.505326,2.503726,0.002663,0.001863
3142793,1762285929.715709,2.504366,2.504686,0.002183,0.002343
3142793,1762285929.715724,2.503086,2.505646,0.001543,0.002823
3142793,1762285929.715735,2.504046,2.508845,0.002023,0.004423
3142793,1762285929.715744,2.504046,2.510445,0.002023,0.005223
3142793,1762285929.715753,2.502446,2.512685,0.001223,0.006343
3142793,1762285929.715761,2.502766,2.513645,0.001383,0.006823
3142793,1762285929.715770,2.501486,2.506606,0.000743,0.003303
3142793,1762285929.715779,2.501806,2.510765,0.000903,0.005383
3142794,1762285929.716834,2.501806,2.500846,0.000903,0.000423
3142809,1762285929.731664,2.499886,2.511405,-0.000057,0.005703
3142809,1762285929.731688,2.500526,2.507246,0.000263,0.003623
3142809,1762285929.731696,2.500846,2.515565,0.000423,0.007782
3142809,1762285929.731714,2.500846,2.507565,0.000423,0.003783
3142809,1762285929.731719,2.499886,2.507246,-0.000057,0.003623
3142809,1762285929.731724,2.500846,2.514925,0.000423,0.007462
3142809,1762285929.731730,2.499886,2.505006,-0.000057,0.002503
3142809,1762285929.732420,2.498286,2.505646,-0.000857,0.002823
3142810,1762285929.732509,2.498926,2.507246,-0.000537,0.003623
3142810,1762285929.732573,2.498926,2.504366,-0.000537,0.002183
3142824,1762285929.747041,2.498606,2.507565,-0.000697,0.003783
3142824,1762285929.747074,2.498606,2.503726,-0.000697,0.001863
3142824,1762285929.747079,2.498286,2.511405,-0.000857,0.005703
3142824,1762285929.747083,2.497326,2.508845,-0.001337,0.004423
3142824,1762285929.747087,2.497006,2.509165,-0.001497,0.004583
3142824,1762285929.747092,2.497006,2.507246,-0.001497,0.003623
3142824,1762285929.747095,2.497326,2.507246,-0.001337,0.003623
3142824,1762285929.747100,2.497006,2.509485,-0.001497,0.004743
3142824,1762285929.747103,2.495726,2.508845,-0.002137,0.004423
3142824,1762285929.747107,2.495726,2.508205,-0.002137,0.004103
3142839,1762285929.762262,2.497006,2.509165,-0.001497,0.004583
3142839,1762285929.762297,2.497006,2.508205,-0.001497,0.004103
3142839,1762285929.762305,2.496686,2.509165,-0.001657,0.004583
3142839,1762285929.762313,2.495406,2.507246,-0.002297,0.003623
3142839,1762285929.762319,2.495406,2.506606,-0.002297,0.003303
3142839,1762285929.762326,2.495406,2.506926,-0.002297,0.003463
3142839,1762285929.762333,2.495726,2.507565,-0.002137,0.003783
3142839,1762285929.762339,2.495406,2.505646,-0.002297,0.002823
3142839,1762285929.762345,2.495726,2.507246,-0.002137,0.003623
3142839,1762285929.762352,2.495726,2.509485,-0.002137,0.004743
3142858,1762285929.781349,2.496046,2.506926,-0.001977,0.003463
3142859,1762285929.781911,2.495406,2.507565,-0.002297,0.003783
3142859,1762285929.781929,2.496046,2.505966,-0.001977,0.002983
3142859,1762285929.781937,2.495726,2.506606,-0.002137,0.003303
3142859,1762285929.781942,2.496366,2.507246,-0.001817,0.003623
3142859,1762285929.781948,2.495406,2.504366,-0.002297,0.002183
3142859,1762285929.781954,2.495406,2.507246,-0.002297,0.003623
3142859,1762285929.781959,2.495726,2.506286,-0.002137,0.003143
3142859,1762285929.781964,2.496046,2.504686,-0.001977,0.002343
3142859,1762285929.781970,2.495726,2.503726,-0.002137,0.001863
3142859,1762285929.782231,2.496046,2.504686,-0.001977,0.002343
3142859,1762285929.782262,2.496046,2.504046,-0.001977,0.002023
3142859,1762285929.782277,2.495726,2.505646,-0.002137,0.002823
3142860,1762285929.782645,2.495726,2.504686,-0.002137,0.002343
3142860,1762285929.782666,2.495726,2.504686,-0.002137,0.002343
3142860,1762285929.782672,2.496366,2.504366,-0.001817,0.002183
3142860,1762285929.782687,2.496046,2.504686,-0.001977,0.002343
3142860,1762285929.782693,2.496046,2.504686,-0.001977,0.002343
3142860,1762285929.782699,2.496046,2.504366,-0.001977,0.002183
3142860,1762285929.782704,2.497326,2.503726,-0.001337,0.001863
3142872,1762285929.794472,2.496686,2.503726,-0.001657,0.001863
3142872,1762285929.794498,2.496046,2.505006,-0.001977,0.002503
3142872,1762285929.794505,2.496686,2.503726,-0.001657,0.001863
3142872,1762285929.794511,2.496366,2.503726,-0.001817,0.001863
3142872,1762285929.794517,2.496686,2.503406,-0.001657,0.001703
3142872,1762285929.794575,2.496366,2.503406,-0.001817,0.001703
3142872,1762285929.794611,2.497326,2.503726,-0.001337,0.001863
3142872,1762285929.794627,2.497326,2.503406,-0.001337,0.001703
3142872,1762285929.794634,2.497006,2.502126,-0.001497,0.001063
3142872,1762285929.794639,2.497966,2.503406,-0.001017,0.001703
3142872,1762285929.794923,2.497646,2.502126,-0.001177,0.001063
3142872,1762285929.794943,2.497326,2.503406,-0.001337,0.001703
3142872,1762285929.794952,2.498286,2.502446,-0.000857,0.001223
