time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
3394236,1762286181.365533,ACCEL,0,0.00000,0.12000,0.06749,3394236
3394241,1762286181.467273,ACCEL,0,0.00000,0.12000,0.06749,3394241
3394246,1762286181.467297,ACCEL,1,0.00491,0.12000,0.06763,3394246
3394251,1762286181.467310,ACCEL,1,0.00491,0.12000,0.06763,3394251
3394256,1762286181.467320,ACCEL,1,0.00491,0.12000,0.06763,3394256
3394261,1762286181.467330,ACCEL,1,0.00491,0.12000,0.06763,3394261
3394266,1762286181.467338,ACCEL,1,0.00491,0.12000,0.06763,3394266
3394271,1762286181.467346,ACCEL,1,0.00491,0.12000,0.06763,3394271
3394276,1762286181.467355,ACCEL,1,0.00491,0.12000,0.06763,3394276
3394281,1762286181.467364,ACCEL,1,0.00491,0.12000,0.06763,3394281
3394286,1762286181.467372,ACCEL,2,0.00982,0.12000,0.06776,3394286
3394291,1762286181.467381,ACCEL,2,0.00982,0.12000,0.06776,3394291
3394296,1762286181.467389,ACCEL,2,0.00982,0.12000,0.06776,3394296
3394301,1762286181.467398,ACCEL,2,0.00982,0.12000,0.06776,3394301
3394306,1762286181.467407,ACCEL,2,0.00982,0.12000,0.06776,3394306
3394311,1762286181.467415,ACCEL,2,0.00982,0.12000,0.06776,3394311
3394316,1762286181.467423,ACCEL,2,0.00982,0.12000,0.06776,3394316
3394321,1762286181.467432,ACCEL,2,0.00982,0.12000,0.06776,3394321
3394326,1762286181.467440,ACCEL,3,0.01473,0.12000,0.06790,3394326
3394331,1762286181.467449,ACCEL,3,0.01473,0.12000,0.06790,3394331
3394336,1762286181.467457,ACCEL,3,0.01473,0.12000,0.06790,3394336
3394341,1762286181.467465,ACCEL,3,0.01473,0.12000,0.06790,3394341
3394346,1762286181.467479,ACCEL,3,0.01473,0.12000,0.06790,3394346
3394351,1762286181.467487,ACCEL,3,0.01473,0.12000,0.06790,3394351
3394356,1762286181.467496,ACCEL,3,0.01473,0.12000,0.06790,3394356
3394361,1762286181.467505,ACCEL,3,0.01473,0.12000,0.06790,3394361
3394366,1762286181.467514,ACCEL,4,0.01963,0.12000,0.06803,3394366
3394371,1762286181.467521,ACCEL,4,0.01963,0.12000,0.06803,3394371
3394376,1762286181.467530,ACCEL,4,0.01963,0.12000,0.06803,3394376
3394381,1762286181.467538,ACCEL,4,0.01963,0.12000,0.06803,3394381
3394386,1762286181.467546,ACCEL,4,0.01963,0.12000,0.06803,3394386
3394391,1762286181.467554,ACCEL,4,0.01963,0.12000,0.06803,3394391
3394396,1762286181.467561,ACCEL,4,0.01963,0.12000,0.06803,3394396
3394401,1762286181.467571,ACCEL,4,0.01963,0.12000,0.06803,3394401
3394406,1762286181.467579,ACCEL,4,0.01963,0.12000,0.06803,3394406
3394411,1762286181.467587,ACCEL,5,0.02454,0.12000,0.06817,3394411
3394416,1762286181.467595,ACCEL,5,0.02454,0.12000,0.06817,3394416
3394421,1762286181.467603,ACCEL,5,0.02454,0.12000,0.06817,3394421
3394426,1762286181.467611,ACCEL,5,0.02454,0.12000,0.06817,3394426
3394431,1762286181.467651,ACCEL,5,0.02454,0.12000,0.06817,3394431
3394436,1762286181.467694,ACCEL,5,0.02454,0.12000,0.06817,3394436
3394441,1762286181.467769,ACCEL,5,0.02454,0.12000,0.06817,3394441
3394446,1762286181.467783,ACCEL,5,0.02454,0.12000,0.06817,3394446
3394451,1762286181.467793,ACCEL,6,0.02945,0.12000,0.06831,3394451
3394456,1762286181.467801,ACCEL,6,0.02945,0.12000,0.06831,3394456
3394461,1762286181.467849,ACCEL,6,0.02945,0.12000,0.06831,3394461
3394466,1762286181.467891,ACCEL,6,0.02945,0.12000,0.06831,3394466
3394471,1762286181.467916,ACCEL,6,0.02945,0.12000,0.06831,3394471
3394586,1762286181.726002,ACCEL,9,0.04418,0.12000,0.06872,3394586
3394591,1762286181.726026,ACCEL,9,0.04418,0.12000,0.06872,3394591
3394596,1762286181.729718,ACCEL,9,0.04418,0.12000,0.06872,3394596
3394601,1762286181.729734,ACCEL,9,0.04418,0.12000,0.06872,3394601
3394606,1762286181.729745,ACCEL,9,0.04418,0.12000,0.06872,3394606
3394611,1762286181.729755,ACCEL,9,0.04418,0.12000,0.06872,3394611
3394616,1762286181.729764,ACCEL,10,0.04909,0.12000,0.06885,3394616
3394621,1762286181.729774,ACCEL,10,0.04909,0.12000,0.06885,3394621
3394626,1762286181.729783,ACCEL,10,0.04909,0.12000,0.06885,3394626
3394631,1762286181.729792,ACCEL,10,0.04909,0.12000,0.06885,3394631
3394636,1762286181.729801,ACCEL,10,0.04909,0.12000,0.06885,3394636
3394641,1762286181.729810,ACCEL,10,0.04909,0.12000,0.06885,3394641
3394646,1762286181.729819,ACCEL,10,0.04909,0.12000,0.06885,3394646
3394651,1762286181.729828,ACCEL,10,0.04909,0.12000,0.06885,3394651
3394656,1762286181.729836,ACCEL,11,0.05400,0.12000,0.06899,3394656
3394661,1762286181.729845,ACCEL,11,0.05400,0.12000,0.06899,3394661
3394666,1762286181.729853,ACCEL,11,0.05400,0.12000,0.06899,3394666
3394671,1762286181.729863,ACCEL,11,0.05400,0.12000,0.06899,3394671
3394676,1762286181.733085,ACCEL,11,0.05400,0.12000,0.06899,3394676
3394681,1762286181.733511,ACCEL,11,0.05400,0.12000,0.06899,3394681
3394686,1762286181.733523,ACCEL,11,0.05400,0.12000,0.06899,3394686
3394691,1762286181.733531,ACCEL,11,0.05400,0.12000,0.06899,3394691
3394696,1762286181.733539,ACCEL,12,0.05890,0.12000,0.06912,3394696
3394701,1762286181.733547,ACCEL,12,0.05890,0.12000,0.06912,3394701
3394706,1762286181.733555,ACCEL,12,0.05890,0.12000,0.06912,3394706
3394711,1762286181.733562,ACCEL,12,0.05890,0.12000,0.06912,3394711
3394716,1762286181.733570,ACCEL,12,0.05890,0.12000,0.06912,3394716
3394721,1762286181.733577,ACCEL,12,0.05890,0.12000,0.06912,3394721
3394726,1762286181.733585,ACCEL,12,0.05890,0.12000,0.06912,3394726
3394731,1762286181.733595,ACCEL,12,0.05890,0.12000,0.06912,3394731
3394736,1762286181.733603,ACCEL,13,0.06381,0.12000,0.06926,3394736
3394741,1762286181.733610,ACCEL,13,0.06381,0.12000,0.06926,3394741
3394746,1762286181.733618,ACCEL,13,0.06381,0.12000,0.06926,3394746
3394751,1762286181.733626,ACCEL,13,0.06381,0.12000,0.06926,3394751
3394756,1762286181.733633,ACCEL,13,0.06381,0.12000,0.06926,3394756
3394761,1762286181.733641,ACCEL,13,0.06381,0.12000,0.06926,3394761
3394766,1762286181.733648,ACCEL,13,0.06381,0.12000,0.06926,3394766
3394771,1762286181.733656,ACCEL,13,0.06381,0.12000,0.06926,3394771
3394776,1762286181.733664,ACCEL,14,0.06872,0.12000,0.06940,3394776
3394781,1762286181.733671,ACCEL,14,0.06872,0.12000,0.06940,3394781
3394786,1762286181.733678,ACCEL,14,0.06872,0.12000,0.06940,3394786
3394791,1762286181.733686,ACCEL,14,0.06872,0.12000,0.06940,3394791
3394796,1762286181.733693,ACCEL,14,0.06872,0.12000,0.06940,3394796
3394801,1762286181.733701,ACCEL,14,0.06872,0.12000,0.06940,3394801
3394806,1762286181.733708,ACCEL,14,0.06872,0.12000,0.06940,3394806
3394811,1762286181.733717,ACCEL,14,0.06872,0.12000,0.06940,3394811
3394816,1762286181.733724,ACCEL,15,0.07363,0.12000,0.06953,3394816
3394821,1762286181.733732,ACCEL,15,0.07363,0.12000,0.06953,3394821
3394826,1762286181.733739,ACCEL,15,0.07363,0.12000,0.06953,3394826
3394831,1762286181.733747,ACCEL,15,0.07363,0.12000,0.06953,3394831
3394851,1762286182.008091,ACCEL,15,0.07363,0.12000,0.06953,3394851
3394856,1762286182.008114,ACCEL,15,0.07363,0.12000,0.06953,3394856
3394861,1762286182.008196,ACCEL,16,0.07854,0.12000,0.06967,3394861
3394866,1762286182.008208,ACCEL,16,0.07854,0.12000,0.06967,3394866
3394871,1762286182.008218,ACCEL,16,0.07854,0.12000,0.06967,3394871
3394876,1762286182.008227,ACCEL,16,0.07854,0.12000,0.06967,3394876
3394881,1762286182.008235,ACCEL,16,0.07854,0.12000,0.06967,3394881
3394886,1762286182.008244,ACCEL,16,0.07854,0.12000,0.06967,3394886
3394891,1762286182.008252,ACCEL,16,0.07854,0.12000,0.06967,3394891
3394896,1762286182.008261,ACCEL,16,0.07854,0.12000,0.06967,3394896
3394901,1762286182.008268,ACCEL,17,0.08345,0.12000,0.06980,3394901
3394906,1762286182.008279,ACCEL,17,0.08345,0.12000,0.06980,3394906
3394911,1762286182.008286,ACCEL,17,0.08345,0.12000,0.06980,3394911
3394916,1762286182.008293,ACCEL,17,0.08345,0.12000,0.06980,3394916
3394921,1762286182.008301,ACCEL,17,0.08345,0.12000,0.06980,3394921
3394926,1762286182.008308,ACCEL,17,0.08345,0.12000,0.06980,3394926
3394931,1762286182.008316,ACCEL,17,0.08345,0.12000,0.06980,3394931
3394936,1762286182.008324,ACCEL,17,0.08345,0.12000,0.06980,3394936
3394941,1762286182.008332,ACCEL,18,0.08836,0.12000,0.06994,3394941
3394946,1762286182.008339,ACCEL,18,0.08836,0.12000,0.06994,3394946
3394951,1762286182.008347,ACCEL,18,0.08836,0.12000,0.06994,3394951
3394956,1762286182.008353,ACCEL,18,0.08836,0.12000,0.06994,3394956
3394961,1762286182.008360,ACCEL,18,0.08836,0.12000,0.06994,3394961
3394966,1762286182.008368,ACCEL,18,0.08836,0.12000,0.06994,3394966
3394971,1762286182.008376,ACCEL,18,0.08836,0.12000,0.06994,3394971
3394976,1762286182.008383,ACCEL,18,0.08836,0.12000,0.06994,3394976
3394981,1762286182.008391,ACCEL,19,0.09327,0.12000,0.07008,3394981
3394986,1762286182.008399,ACCEL,19,0.09327,0.12000,0.07008,3394986
3394991,1762286182.008406,ACCEL,19,0.09327,0.12000,0.07008,3394991
3394996,1762286182.008413,ACCEL,19,0.09327,0.12000,0.07008,3394996
3395001,1762286182.008420,ACCEL,19,0.09327,0.12000,0.07008,3395001
3395006,1762286182.008429,ACCEL,19,0.09327,0.12000,0.07008,3395006
3395011,1762286182.008436,ACCEL,19,0.09327,0.12000,0.07008,3395011
3395016,1762286182.008443,ACCEL,19,0.09327,0.12000,0.07008,3395016
3395021,1762286182.008450,ACCEL,20,0.09817,0.12000,0.07021,3395021
3395026,1762286182.008457,ACCEL,20,0.09817,0.12000,0.07021,3395026
3395031,1762286182.008464,ACCEL,20,0.09817,0.12000,0.07021,3395031
3395036,1762286182.008471,ACCEL,20,0.09817,0.12000,0.07021,3395036
3395041,1762286182.008478,ACCEL,20,0.09817,0.12000,0.07021,3395041
3395046,1762286182.008485,ACCEL,20,0.09817,0.12000,0.07021,3395046
3395051,1762286182.008492,ACCEL,20,0.09817,0.12000,0.07021,3395051
3395056,1762286182.008499,ACCEL,20,0.09817,0.12000,0.07021,3395056
3395061,1762286182.008506,ACCEL,20,0.09817,0.12000,0.07021,3395061
3395066,1762286182.008513,ACCEL,21,0.10308,0.12000,0.07035,3395066
3395071,1762286182.008520,ACCEL,21,0.10308,0.12000,0.07035,3395071
3395076,1762286182.008527,ACCEL,21,0.10308,0.12000,0.07035,3395076
3395081,1762286182.008534,ACCEL,21,0.10308,0.12000,0.07035,3395081
3395086,1762286182.008542,ACCEL,21,0.10308,0.12000,0.07035,3395086
3395091,1762286182.008553,ACCEL,21,0.10308,0.12000,0.07035,3395091
3395096,1762286182.008561,ACCEL,21,0.10308,0.12000,0.07035,3395096
3395126,1762286182.270817,ACCEL,22,0.10799,0.12000,0.07048,3395126
3395131,1762286182.270842,ACCEL,22,0.10799,0.12000,0.07048,3395131
3395136,1762286182.270947,ACCEL,22,0.10799,0.12000,0.07048,3395136
3395141,1762286182.270957,ACCEL,22,0.10799,0.12000,0.07048,3395141
3395146,1762286182.270964,ACCEL,23,0.11290,0.12000,0.07062,3395146
3395151,1762286182.270971,ACCEL,23,0.11290,0.12000,0.07062,3395151
3395156,1762286182.270978,ACCEL,23,0.11290,0.12000,0.07062,3395156
