time_ms,time_ts,v4,v5,g4,g5
3394245,1762286181.545254,2.507246,2.526444,0.003623,0.013222
3394245,1762286181.545310,2.505966,2.526444,0.002983,0.013222
3394245,1762286181.545324,2.506286,2.527084,0.003143,0.013542
3394245,1762286181.545333,2.506286,2.526124,0.003143,0.013062
3394245,1762286181.545364,2.505646,2.527724,0.002823,0.013862
3394245,1762286181.545393,2.505646,2.526764,0.002823,0.013382
3394245,1762286181.545404,2.506286,2.526124,0.003143,0.013062
3394245,1762286181.545432,2.506286,2.526764,0.003143,0.013382
3394245,1762286181.545508,2.506606,2.527724,0.003303,0.013862
3394249,1762286181.548881,2.505326,2.527724,0.002663,0.013862
3394261,1762286181.560740,2.504366,2.527404,0.002183,0.013702
3394261,1762286181.560785,2.504686,2.526444,0.002343,0.013222
3394261,1762286181.560803,2.504686,2.527084,0.002343,0.013542
3394261,1762286181.560817,2.504686,2.527084,0.002343,0.013542
3394261,1762286181.560832,2.503726,2.527404,0.001863,0.013702
3394261,1762286181.560847,2.504046,2.526444,0.002023,0.013222
3394261,1762286181.560861,2.504366,2.526444,0.002183,0.013222
3394261,1762286181.560881,2.504046,2.526444,0.002023,0.013222
3394261,1762286181.560895,2.502766,2.526764,0.001383,0.013382
3394261,1762286181.560909,2.503086,2.524204,0.001543,0.012102
3394277,1762286181.576834,2.503406,2.524844,0.001703,0.012422
3394277,1762286181.576864,2.502126,2.524844,0.001063,0.012422
3394277,1762286181.576898,2.501806,2.524844,0.000903,0.012422
3394277,1762286181.576969,2.502126,2.524844,0.001063,0.012422
3394277,1762286181.577006,2.501486,2.523244,0.000743,0.011622
3394277,1762286181.577023,2.501486,2.522924,0.000743,0.011462
3394277,1762286181.577035,2.501806,2.522284,0.000903,0.011142
3394277,1762286181.577057,2.500526,2.522604,0.000263,0.011302
3394277,1762286181.577066,2.501166,2.521324,0.000583,0.010662
3394277,1762286181.577073,2.500846,2.521005,0.000423,0.010502
3394293,1762286181.593029,2.500206,2.519405,0.000103,0.009702
3394293,1762286181.593077,2.500206,2.519725,0.000103,0.009862
3394293,1762286181.593261,2.500206,2.519725,0.000103,0.009862
3394293,1762286181.593286,2.499886,2.517485,-0.000057,0.008742
3394293,1762286181.593318,2.498606,2.517485,-0.000697,0.008742
3394293,1762286181.593332,2.499566,2.516845,-0.000217,0.008422
3394293,1762286181.593374,2.499566,2.517165,-0.000217,0.008582
3394293,1762286181.593427,2.498606,2.515245,-0.000697,0.007622
3394293,1762286181.593465,2.498286,2.514605,-0.000857,0.007302
3394293,1762286181.593501,2.498606,2.514285,-0.000697,0.007142
3394309,1762286181.608723,2.498606,2.515565,-0.000697,0.007782
3394309,1762286181.608758,2.498286,2.513325,-0.000857,0.006663
3394309,1762286181.608763,2.498286,2.511725,-0.000857,0.005863
3394309,1762286181.608767,2.498286,2.512365,-0.000857,0.006183
3394309,1762286181.608771,2.497966,2.511085,-0.001017,0.005543
3394309,1762286181.608775,2.497966,2.510125,-0.001017,0.005063
3394309,1762286181.608778,2.498286,2.509805,-0.000857,0.004903
3394309,1762286181.608782,2.499246,2.510445,-0.000377,0.005223
3394309,1762286181.608785,2.497006,2.509165,-0.001497,0.004583
3394309,1762286181.608788,2.497006,2.508845,-0.001497,0.004423
3394309,1762286181.608943,2.497326,2.507885,-0.001337,0.003943
3394309,1762286181.608950,2.497646,2.508205,-0.001177,0.004103
3394309,1762286181.608954,2.497326,2.508845,-0.001337,0.004423
3394309,1762286181.608959,2.496686,2.506606,-0.001657,0.003303
3394309,1762286181.608962,2.496686,2.506286,-0.001657,0.003143
3394309,1762286181.608966,2.497006,2.504686,-0.001497,0.002343
3394309,1762286181.608969,2.497326,2.505646,-0.001337,0.002823
3394309,1762286181.608973,2.496686,2.505326,-0.001657,0.002663
3394309,1762286181.608976,2.497006,2.505006,-0.001497,0.002503
3394309,1762286181.608980,2.496686,2.504366,-0.001657,0.002183
3394325,1762286181.624794,2.497006,2.505646,-0.001497,0.002823
3394325,1762286181.624833,2.496366,2.503726,-0.001817,0.001863
3394325,1762286181.624838,2.497006,2.504366,-0.001497,0.002183
3394325,1762286181.624853,2.497966,2.503726,-0.001017,0.001863
3394325,1762286181.624859,2.496366,2.503726,-0.001817,0.001863
3394325,1762286181.624866,2.497006,2.503726,-0.001497,0.001863
3394325,1762286181.624913,2.497326,2.502766,-0.001337,0.001383
3394325,1762286181.624922,2.497966,2.503086,-0.001017,0.001543
3394325,1762286181.624926,2.497646,2.503086,-0.001177,0.001543
3394325,1762286181.624929,2.497966,2.502766,-0.001017,0.001383
3394344,1762286181.644318,2.497966,2.502446,-0.001017,0.001223
3394344,1762286181.644363,2.497646,2.500526,-0.001177,0.000263
3394344,1762286181.644394,2.499246,2.502766,-0.000377,0.001383
3394344,1762286181.644408,2.498926,2.502766,-0.000537,0.001383
3394345,1762286181.645231,2.499246,2.501806,-0.000377,0.000903
3394345,1762286181.645269,2.499246,2.502446,-0.000377,0.001223
3394345,1762286181.645288,2.500206,2.501486,0.000103,0.000743
3394345,1762286181.645305,2.500206,2.502766,0.000103,0.001383
3394345,1762286181.645321,2.500846,2.501486,0.000423,0.000743
3394345,1762286181.645334,2.500526,2.501806,0.000263,0.000903
3394346,1762286181.645724,2.500846,2.502126,0.000423,0.001063
3394346,1762286181.645794,2.500526,2.503086,0.000263,0.001543
3394346,1762286181.645813,2.500526,2.503086,0.000263,0.001543
3394346,1762286181.645873,2.502126,2.502446,0.001063,0.001223
3394346,1762286181.645890,2.503086,2.503726,0.001543,0.001863
3394346,1762286181.645897,2.503726,2.503086,0.001863,0.001543
3394346,1762286181.645905,2.502446,2.505326,0.001223,0.002663
3394347,1762286181.646756,2.503086,2.504046,0.001543,0.002023
3394347,1762286181.646797,2.502766,2.504686,0.001383,0.002343
3394347,1762286181.646825,2.504686,2.504686,0.002343,0.002343
3394357,1762286181.657357,2.504686,2.505966,0.002343,0.002983
3394357,1762286181.657388,2.505006,2.506606,0.002503,0.003303
3394357,1762286181.657412,2.503726,2.506286,0.001863,0.003143
3394357,1762286181.657424,2.505966,2.506926,0.002983,0.003463
3394357,1762286181.657430,2.505006,2.507885,0.002503,0.003943
3394357,1762286181.657437,2.505646,2.508205,0.002823,0.004103
3394357,1762286181.657482,2.506606,2.508525,0.003303,0.004263
3394357,1762286181.657514,2.506286,2.509805,0.003143,0.004903
3394357,1762286181.657533,2.506926,2.509805,0.003463,0.004903
3394357,1762286181.657590,2.506926,2.510765,0.003463,0.005383
3394360,1762286181.659890,2.507885,2.510445,0.003943,0.005223
3394360,1762286181.659919,2.507885,2.511725,0.003943,0.005863
3394360,1762286181.659931,2.507246,2.512365,0.003623,0.006183
3394360,1762286181.659939,2.508845,2.512365,0.004423,0.006183
3394360,1762286181.659945,2.508205,2.512365,0.004103,0.006183
3394360,1762286181.659975,2.509485,2.513325,0.004743,0.006663
3394360,1762286181.659997,2.509165,2.513965,0.004583,0.006983
3394360,1762286181.660027,2.508845,2.513965,0.004423,0.006983
3394360,1762286181.660053,2.509485,2.514605,0.004743,0.007302
3394360,1762286181.660061,2.510125,2.516205,0.005063,0.008102
3394373,1762286181.673309,2.511085,2.516525,0.005543,0.008262
3394373,1762286181.673335,2.509485,2.515885,0.004743,0.007942
3394373,1762286181.673343,2.510445,2.517165,0.005223,0.008582
3394373,1762286181.673447,2.510445,2.517165,0.005223,0.008582
3394373,1762286181.673455,2.510765,2.518445,0.005383,0.009222
3394373,1762286181.673461,2.510445,2.518765,0.005223,0.009382
3394373,1762286181.673468,2.511085,2.518765,0.005543,0.009382
3394373,1762286181.673475,2.511725,2.519725,0.005863,0.009862
3394373,1762286181.673481,2.511725,2.520365,0.005863,0.010182
3394373,1762286181.673487,2.511725,2.521005,0.005863,0.010502
3394374,1762286181.673805,2.513005,2.520365,0.006503,0.010182
3394374,1762286181.673818,2.512045,2.520685,0.006023,0.010342
3394374,1762286181.673825,2.512365,2.521324,0.006183,0.010662
3394374,1762286181.673829,2.511725,2.522284,0.005863,0.011142
3394374,1762286181.673836,2.511725,2.522284,0.005863,0.011142
3394374,1762286181.673841,2.512045,2.522604,0.006023,0.011302
3394374,1762286181.673846,2.511405,2.522604,0.005703,0.011302
3394374,1762286181.673851,2.511085,2.523564,0.005543,0.011782
